part,category,total_hits
Nyt2,not-RBdirect,2746650
Pcc06,not-RBdirect,2158603
Pcc08,not-RBdirect,2140164
Pcc19,not-RBdirect,2139234
Pcc18,not-RBdirect,2117053
Pcc12,not-RBdirect,2106105
Pcc20,not-RBdirect,2102322
Pcc00,not-RBdirect,2100614
Pcc23,not-RBdirect,2094183
Pcc16,not-RBdirect,2093696
Pcc05,not-RBdirect,2082218
Pcc22,not-RBdirect,2080162
Pcc24,not-RBdirect,2077021
Pcc03,not-RBdirect,2073494
Pcc04,not-RBdirect,2071538
Pcc01,not-RBdirect,2068435
Pcc11,not-RBdirect,2067797
Pcc09,not-RBdirect,2063787
Pcc28,not-RBdirect,2061840
Pcc07,not-RBdirect,2051873
Pcc10,not-RBdirect,2050397
Pcc17,not-RBdirect,2048259
Pcc25,not-RBdirect,2039960
Pcc21,not-RBdirect,2038043
Pcc02,not-RBdirect,2032504
Pcc14,not-RBdirect,2030054
Pcc15,not-RBdirect,2027709
Pcc13,not-RBdirect,2025964
Pcc29,not-RBdirect,2020064
Pcc26,not-RBdirect,2014969
Pcc27,not-RBdirect,2013996
Nyt1,not-RBdirect,1937910
Apw,not-RBdirect,1878981
PccVa,not-RBdirect,66074
PccTe,not-RBdirect,66019
