sentences, pos, scale_type
She was not extremely happy. She was slightly sad., adj, rel
She was slightly sad. She was not extremely happy., adj, rel
She was not extremely happy. She was extremely sad., adj, rel
She was extremely sad. She was not extremely happy., adj, rel
She was not extremely happy. She was sad., adj, rel
She was sad. She was not extremely happy., adj, rel
She was not extremely happy. She was not extremely sad., adj, rel
She was not extremely happy. She was not sad., adj, rel
She was not happy. She was slightly sad., adj, rel
She was slightly sad. She was not happy., adj, rel
She was not happy. She was extremely sad., adj, rel
She was extremely sad. She was not happy., adj, rel
She was not happy. She was sad., adj, rel
She was sad. She was not happy., adj, rel
She was not happy. She was not extremely sad., adj, rel
She was not happy. She was not sad., adj, rel
She was not extremely happy. She was slightly happy., adj, rel
She was slightly happy. She was not extremely happy., adj, rel
She was slightly happy. She was not extremely happy but she was not sad either., adj, rel
She was slightly happy. She was not sad but she was not extremely happy either., adj, rel
She was not extremely happy but she was not sad either. She was slightly happy., adj, rel
She was not sad but she was not extremely happy either. She was slightly happy., adj, rel
She was not extremely sad. She was slightly happy., adj, rel
She was slightly happy. She was not extremely sad., adj, rel
She was not extremely sad. She was extremely happy., adj, rel
She was extremely happy. She was not extremely sad., adj, rel
She was not extremely sad. She was happy., adj, rel
She was happy. She was not extremely sad., adj, rel
She was not extremely sad. She was not extremely happy., adj, rel
She was not extremely sad. She was not happy., adj, rel
She was not sad. She was slightly happy., adj, rel
She was slightly happy. She was not sad., adj, rel
She was not sad. She was extremely happy., adj, rel
She was extremely happy. She was not sad., adj, rel
She was not sad. She was happy., adj, rel
She was happy. She was not sad., adj, rel
She was not sad. She was not extremely happy., adj, rel
She was not sad. She was not happy., adj, rel
She was not extremely sad. She was slightly sad., adj, rel
She was slightly sad. She was not extremely sad., adj, rel
She was slightly sad. She was not extremely sad but she was not happy either., adj, rel
She was slightly sad. She was not happy but she was not extremely sad either., adj, rel
She was not extremely sad but she was not happy either. She was slightly sad., adj, rel
She was not happy but she was not extremely sad either. She was slightly sad., adj, rel
She was not extremely tall. She was slightly short., adj, rel
She was slightly short. She was not extremely tall., adj, rel
She was not extremely tall. She was extremely short., adj, rel
She was extremely short. She was not extremely tall., adj, rel
She was not extremely tall. She was short., adj, rel
She was short. She was not extremely tall., adj, rel
She was not extremely tall. She was not extremely short., adj, rel
She was not extremely tall. She was not short., adj, rel
She was not tall. She was slightly short., adj, rel
