adj_lemma,TOTAL,negative,positive,ratio_neg,ratio_pos,bin_neg,bin_pos
late-career,35,35,0,1.0,0.0,1.0,0.0
Lincoln-related,16,16,0,1.0,0.0,1.0,0.0
hildlike,13,13,0,1.0,0.0,1.0,0.0
hungoverwe,11,11,0,1.0,0.0,1.0,0.0
inadviseable,7,7,0,1.0,0.0,1.0,0.0
lootin,7,7,0,1.0,0.0,1.0,0.0
shop-dressing,6,6,0,1.0,0.0,1.0,0.0
advertis,5,5,0,1.0,0.0,1.0,0.0
gear-talk,5,5,0,1.0,0.0,1.0,0.0
influensive,5,5,0,1.0,0.0,1.0,0.0
mail-ized,5,5,0,1.0,0.0,1.0,0.0
techincal,161,147,14,0.913,0.087,0.9,0.1
horror,16,14,2,0.875,0.125,0.9,0.1
mezzo-soprano,13,12,1,0.923,0.077,0.9,0.1
web-development,11,10,1,0.909,0.091,0.9,0.1
unmoistened,8,7,1,0.875,0.125,0.9,0.1
organ-specific,7,6,1,0.857,0.143,0.9,0.1
roi,7,6,1,0.857,0.143,0.9,0.1
fussed,228,188,40,0.825,0.175,0.8,0.2
0,35,27,8,0.771,0.229,0.8,0.2
batsmen,31,24,7,0.774,0.226,0.8,0.2
plain-sailing,24,19,5,0.792,0.208,0.8,0.2
whistlin,13,11,2,0.846,0.154,0.8,0.2
dispelled,11,9,2,0.818,0.182,0.8,0.2
begun,10,8,2,0.8,0.2,0.8,0.2
semi-passive,8,6,2,0.75,0.25,0.8,0.2
shaby,6,5,1,0.833,0.167,0.8,0.2
banausic,5,4,1,0.8,0.2,0.8,0.2
consoled,5,4,1,0.8,0.2,0.8,0.2
hewing,5,4,1,0.8,0.2,0.8,0.2
out-gamed,5,4,1,0.8,0.2,0.8,0.2
outlayed,5,4,1,0.8,0.2,0.8,0.2
post-marxist,5,4,1,0.8,0.2,0.8,0.2
sartain,5,4,1,0.8,0.2,0.8,0.2
shabby,8370,5697,2673,0.681,0.319,0.7,0.3
-time,194,141,53,0.727,0.273,0.7,0.3
non-phone,21,15,6,0.714,0.286,0.7,0.3
sackless,16,11,5,0.688,0.312,0.7,0.3
deaths,12,8,4,0.667,0.333,0.7,0.3
miserablist,12,8,4,0.667,0.333,0.7,0.3
gladdening,10,7,3,0.7,0.3,0.7,0.3
monsters,10,7,3,0.7,0.3,0.7,0.3
Celiac,9,6,3,0.667,0.333,0.7,0.3
-different,6,4,2,0.667,0.333,0.7,0.3
aggression,6,4,2,0.667,0.333,0.7,0.3
impregnant,6,4,2,0.667,0.333,0.7,0.3
kuwaitis,6,4,2,0.667,0.333,0.7,0.3
post-anything,6,4,2,0.667,0.333,0.7,0.3
satisfie,6,4,2,0.667,0.333,0.7,0.3
queerer,36,23,13,0.639,0.361,0.6,0.4
rice,34,19,15,0.559,0.441,0.6,0.4
rape,21,12,9,0.571,0.429,0.6,0.4
clicking,18,11,7,0.611,0.389,0.6,0.4
unoffending,18,10,8,0.556,0.444,0.6,0.4
exc,16,10,6,0.625,0.375,0.6,0.4
dunks,14,8,6,0.571,0.429,0.6,0.4
coincidence,12,7,5,0.583,0.417,0.6,0.4
date-marked,12,7,5,0.583,0.417,0.6,0.4
christ-haunted,10,6,4,0.6,0.4,0.6,0.4
clean-handed,9,5,4,0.556,0.444,0.6,0.4
hard-packed,9,5,4,0.556,0.444,0.6,0.4
run-happy,9,5,4,0.556,0.444,0.6,0.4
dead-dead,7,4,3,0.571,0.429,0.6,0.4
deterred,7,4,3,0.571,0.429,0.6,0.4
satifactory,7,4,3,0.571,0.429,0.6,0.4
stars,7,4,3,0.571,0.429,0.6,0.4
sugar-y,7,4,3,0.571,0.429,0.6,0.4
waterboarding,7,4,3,0.571,0.429,0.6,0.4
-seeing,5,3,2,0.6,0.4,0.6,0.4
Buddhistic,5,3,2,0.6,0.4,0.6,0.4
blockbustery,5,3,2,0.6,0.4,0.6,0.4
cat-calling,5,3,2,0.6,0.4,0.6,0.4
clog-free,5,3,2,0.6,0.4,0.6,0.4
endosulfan,5,3,2,0.6,0.4,0.6,0.4
gatekeepers,5,3,2,0.6,0.4,0.6,0.4
hijacked,5,3,2,0.6,0.4,0.6,0.4
ice-cream,5,3,2,0.6,0.4,0.6,0.4
manga,5,3,2,0.6,0.4,0.6,0.4
perma,5,3,2,0.6,0.4,0.6,0.4
soe,5,3,2,0.6,0.4,0.6,0.4
swayed,5,3,2,0.6,0.4,0.6,0.4
wronger,5,3,2,0.6,0.4,0.6,0.4
joking,42,22,20,0.524,0.476,0.5,0.5
Formulaic,26,12,14,0.462,0.538,0.5,0.5
drama,16,8,8,0.5,0.5,0.5,0.5
farmy,15,8,7,0.533,0.467,0.5,0.5
ivorian,14,7,7,0.5,0.5,0.5,0.5
stedfast,14,7,7,0.5,0.5,0.5,0.5
substantiated,13,6,7,0.462,0.538,0.5,0.5
dissimiliar,12,6,6,0.5,0.5,0.5,0.5
comprehended,11,6,5,0.545,0.455,0.5,0.5
fulfulling,11,5,6,0.455,0.545,0.5,0.5
scrum,11,5,6,0.455,0.545,0.5,0.5
slouches,11,5,6,0.455,0.545,0.5,0.5
stress-tested,11,5,6,0.455,0.545,0.5,0.5
circumspective,8,4,4,0.5,0.5,0.5,0.5
coachspeak,8,4,4,0.5,0.5,0.5,0.5
complying,8,4,4,0.5,0.5,0.5,0.5
pre-allocated,8,4,4,0.5,0.5,0.5,0.5
anti-entropic,6,3,3,0.5,0.5,0.5,0.5
buddies,6,3,3,0.5,0.5,0.5,0.5
camping,6,3,3,0.5,0.5,0.5,0.5
cheesecakey,6,3,3,0.5,0.5,0.5,0.5
clear-minimize,6,3,3,0.5,0.5,0.5,0.5
commercialism,6,3,3,0.5,0.5,0.5,0.5
dom,6,3,3,0.5,0.5,0.5,0.5
dramas,6,3,3,0.5,0.5,0.5,0.5
furtunate,6,3,3,0.5,0.5,0.5,0.5
handymen,6,3,3,0.5,0.5,0.5,0.5
hazing,6,3,3,0.5,0.5,0.5,0.5
minimize,6,3,3,0.5,0.5,0.5,0.5
necissary,6,3,3,0.5,0.5,0.5,0.5
oa,6,3,3,0.5,0.5,0.5,0.5
super-old,6,3,3,0.5,0.5,0.5,0.5
villains,6,3,3,0.5,0.5,0.5,0.5
farfetched,1834,668,1166,0.364,0.636,0.4,0.6
put-heavy,36,14,22,0.389,0.611,0.4,0.6
fish,31,11,20,0.355,0.645,0.4,0.6
spoofy,24,10,14,0.417,0.583,0.4,0.6
hunky-dory,22,8,14,0.364,0.636,0.4,0.6
upcycled,22,8,14,0.364,0.636,0.4,0.6
destiny,17,6,11,0.353,0.647,0.4,0.6
non-violence,16,6,10,0.375,0.625,0.4,0.6
breedable,14,6,8,0.429,0.571,0.4,0.6
bad--,14,5,9,0.357,0.643,0.4,0.6
pin-sharp,14,5,9,0.357,0.643,0.4,0.6
sf,14,5,9,0.357,0.643,0.4,0.6
curfew,13,5,8,0.385,0.615,0.4,0.6
buddy-buddy,12,5,7,0.417,0.583,0.4,0.6
jews,12,5,7,0.417,0.583,0.4,0.6
super-healthy,12,5,7,0.417,0.583,0.4,0.6
utopia,12,5,7,0.417,0.583,0.4,0.6
HISTORICAL,11,4,7,0.364,0.636,0.4,0.6
anti-Donald,11,4,7,0.364,0.636,0.4,0.6
record-wise,11,4,7,0.364,0.636,0.4,0.6
paradise,10,4,6,0.4,0.6,0.4,0.6
revenue,10,4,6,0.4,0.6,0.4,0.6
satisf,10,4,6,0.4,0.6,0.4,0.6
shippy,10,4,6,0.4,0.6,0.4,0.6
tantalized,10,4,6,0.4,0.6,0.4,0.6
-people,9,4,5,0.444,0.556,0.4,0.6
apple-friendly,9,4,5,0.444,0.556,0.4,0.6
funcional,9,4,5,0.444,0.556,0.4,0.6
match-fit,9,4,5,0.444,0.556,0.4,0.6
nourishment,9,4,5,0.444,0.556,0.4,0.6
super-skilled,9,4,5,0.444,0.556,0.4,0.6
Europe-centric,8,3,5,0.375,0.625,0.4,0.6
demand-side,8,3,5,0.375,0.625,0.4,0.6
denigratory,8,3,5,0.375,0.625,0.4,0.6
dollar-driven,8,3,5,0.375,0.625,0.4,0.6
dubstep,8,3,5,0.375,0.625,0.4,0.6
exam-based,8,3,5,0.375,0.625,0.4,0.6
nelly,8,3,5,0.375,0.625,0.4,0.6
plague-ridden,8,3,5,0.375,0.625,0.4,0.6
saints,8,3,5,0.375,0.625,0.4,0.6
samurai,8,3,5,0.375,0.625,0.4,0.6
sexism,8,3,5,0.375,0.625,0.4,0.6
trill,8,3,5,0.375,0.625,0.4,0.6
ultra-efficient,8,3,5,0.375,0.625,0.4,0.6
varsity,8,3,5,0.375,0.625,0.4,0.6
winter-hardy,8,3,5,0.375,0.625,0.4,0.6
-promise,7,3,4,0.429,0.571,0.4,0.6
Adventist,7,3,4,0.429,0.571,0.4,0.6
anti-horse,7,3,4,0.429,0.571,0.4,0.6
assent,7,3,4,0.429,0.571,0.4,0.6
blackface,7,3,4,0.429,0.571,0.4,0.6
bosnia,7,3,4,0.429,0.571,0.4,0.6
brazillian,7,3,4,0.429,0.571,0.4,0.6
eagar,7,3,4,0.429,0.571,0.4,0.6
fightable,7,3,4,0.429,0.571,0.4,0.6
haiku,7,3,4,0.429,0.571,0.4,0.6
hamlet,7,3,4,0.429,0.571,0.4,0.6
hiccup-free,7,3,4,0.429,0.571,0.4,0.6
ill-reasoned,7,3,4,0.429,0.571,0.4,0.6
musicians,7,3,4,0.429,0.571,0.4,0.6
oncology,7,3,4,0.429,0.571,0.4,0.6
promisin,7,3,4,0.429,0.571,0.4,0.6
rain-proof,7,3,4,0.429,0.571,0.4,0.6
rescues,7,3,4,0.429,0.571,0.4,0.6
rev-happy,7,3,4,0.429,0.571,0.4,0.6
ricey,7,3,4,0.429,0.571,0.4,0.6
rope-a-dope,7,3,4,0.429,0.571,0.4,0.6
see-worthy,7,3,4,0.429,0.571,0.4,0.6
showtime,7,3,4,0.429,0.571,0.4,0.6
stuntin,7,3,4,0.429,0.571,0.4,0.6
un-alike,7,3,4,0.429,0.571,0.4,0.6
unschool,7,3,4,0.429,0.571,0.4,0.6
your-face,7,3,4,0.429,0.571,0.4,0.6
-down,5,2,3,0.4,0.6,0.4,0.6
-myopic,5,2,3,0.4,0.6,0.4,0.6
6-foot-11,5,2,3,0.4,0.6,0.4,0.6
Anarchistic,5,2,3,0.4,0.6,0.4,0.6
all-conference,5,2,3,0.4,0.6,0.4,0.6
ambiance,5,2,3,0.4,0.6,0.4,0.6
antagonistical,5,2,3,0.4,0.6,0.4,0.6
anthological,5,2,3,0.4,0.6,0.4,0.6
anti-Walmart,5,2,3,0.4,0.6,0.4,0.6
anti-dogmatic,5,2,3,0.4,0.6,0.4,0.6
asean,5,2,3,0.4,0.6,0.4,0.6
athletic-minded,5,2,3,0.4,0.6,0.4,0.6
blood,5,2,3,0.4,0.6,0.4,0.6
