adv_lemma,NON_G,OPEN,LOW_CLOSE,UP_CLOSE,TOT_CLOSE,total_ratio,total_count
very,0.10614,1.12187,0.75588,0.69095,0.34024,0.1899999976158142,1206032
too,0.02602,1.17412,0.7163,0.27084,0.21896,0.09399999678134918,594880
much,0.77802,1.17402,0.04161,0.56149,0.12542,0.0729999989271164,465197
so,0.3414,1.06255,0.67256,0.71465,1.06691,0.06199999898672104,393336
as,0.37719,1.02671,0.71001,1.50476,0.54989,0.061000000685453415,388004
more,0.91033,0.66054,2.84231,1.42756,3.45938,0.054999999701976776,351276
not,3.71442,0.75389,0.67694,2.49354,1.59913,0.039000000804662704,246366
relatively,0.00646,1.16167,0.03151,0.91848,0.19454,0.03200000151991844,202847
really,0.58583,1.13408,0.55942,0.57304,0.28384,0.03200000151991844,202321
most,0.35218,0.68058,5.9469,1.55203,0.66602,0.03099999949336052,197244
even,0.411,1.18456,0.39867,0.29613,0.15665,0.029999999329447746,189681
pretty,0.18037,1.06747,0.36636,1.2537,0.68351,0.023000000044703484,143045
still,16.86661,0.45138,1.01303,0.39714,2.29423,0.02199999988079071,139995
extremely,0.04085,1.06057,1.93395,0.72476,0.14495,0.02199999988079071,137965
quite,0.56314,1.04839,0.85642,0.93884,0.73816,0.014000000432133675,91140
less,0.18218,0.96867,1.49481,1.53048,0.7069,0.014000000432133675,86282
slightly,0.03216,1.15548,0.79079,0.23379,0.44407,0.012000000104308128,77757
fairly,0.0318,1.06594,0.15232,1.55024,0.5921,0.009999999776482582,63664
far,0.02024,1.20935,0.05274,0.49555,0.04633,0.009999999776482582,60785
significantly,0.00283,1.24553,0.03381,0.1475,0.00742,0.008999999612569809,56186
also,1.21532,0.81338,0.93482,1.1517,3.24831,0.008999999612569809,55361
how,0.08844,1.10402,0.6777,0.96621,0.32048,0.008999999612569809,54755
now,6.46957,0.23765,0.17962,2.40478,7.78604,0.00800000037997961,49581
rather,0.09621,1.14218,0.55039,0.53581,0.43456,0.00800000037997961,47859
incredibly,0.05551,1.08627,1.2345,0.82351,0.27042,0.007000000216066837,45048
particularly,0.06043,1.07075,2.22569,0.35985,0.19253,0.007000000216066837,44664
already,8.34919,0.72424,0.66166,0.62129,2.29424,0.007000000216066837,43430
just,0.90083,1.04141,0.46514,0.67009,1.33915,0.007000000216066837,42037
always,0.54404,0.48146,1.17342,1.94758,6.76263,0.006000000052154064,39837
super,0.1141,1.05033,0.2951,1.92783,0.19246,0.006000000052154064,38964
completely,1.89388,0.05127,0.25577,7.2403,6.32884,0.006000000052154064,35903
wide,,0.00223,,0.00432,16.6302,0.004999999888241291,32283
that,0.02337,1.20096,0.36982,0.25985,0.17042,0.004999999888241291,32269
unusually,0.01154,1.18087,0.36624,0.43212,0.23789,0.004999999888241291,30963
potentially,0.12742,0.37781,13.37053,0.16698,0.16282,0.004999999888241291,28659
often,0.25572,0.9734,1.98354,0.44069,1.50368,0.004000000189989805,25612
second,0.00467,1.25514,0.01476,0.04654,0.01635,0.004000000189989805,25482
no,0.01881,1.23348,0.0297,0.27604,0.00987,0.004000000189989805,25322
almost,4.92458,0.13052,0.23512,6.4015,5.02903,0.004000000189989805,24157
only,1.69209,0.58392,0.99506,1.97132,5.04911,0.004000000189989805,23787
surprisingly,0.08444,1.15607,0.10568,0.66869,0.47171,0.004000000189989805,23034
especially,0.10541,1.01018,3.1637,0.34146,0.20577,0.004000000189989805,22595
increasingly,0.08199,1.01519,2.15848,0.25998,1.09323,0.004000000189989805,22271
all,6.78023,0.4244,2.43266,2.98443,2.59935,0.003000000026077032,22112
somewhat,0.19851,1.04933,0.95546,1.007,0.714,0.003000000026077032,20796
exceptionally,0.01481,1.0893,0.54754,1.41533,0.11904,0.003000000026077032,18759
generally,0.07658,0.93103,0.20152,2.62824,1.0262,0.003000000026077032,18659
nearly,5.50772,0.06275,0.03306,5.41364,7.02942,0.003000000026077032,18558
usually,0.47355,0.922,0.44156,1.34756,2.3064,0.003000000026077032,17435
actually,5.7565,0.77685,0.93527,1.39618,1.53181,0.0020000000949949026,13860
ridiculously,0.01974,1.22644,0.20832,0.14223,0.11188,0.0020000000949949026,12065
perfectly,0.20181,0.09149,0.05608,12.29585,0.63753,0.0020000000949949026,11998
truly,5.87137,0.49069,2.01783,2.78544,2.69237,0.0020000000949949026,11946
totally,2.58479,0.0999,0.54023,6.6081,5.91202,0.0020000000949949026,9598
extraordinarily,0.09442,1.14263,1.00881,0.42671,0.17367,0.0010000000474974513,8828
reasonably,0.01883,0.8503,0.07746,4.0212,0.5574,0.0010000000474974513,8431
never,2.48178,0.67234,0.31653,3.87125,1.85164,0.0010000000474974513,8253
typically,0.10391,1.06634,0.31578,0.9409,1.14672,0.0010000000474974513,8022
yet,4.79101,0.45575,0.36768,4.98748,2.36673,0.0010000000474974513,8020
dangerously,0.07997,1.21592,0.1844,0.18094,0.19934,0.0010000000474974513,7942
overly,0.02149,1.06458,0.77694,1.07466,0.65648,0.0010000000474974513,7387
definitely,3.23525,0.85493,0.71509,1.17857,2.00439,0.0010000000474974513,6061
awfully,0.0461,1.20432,0.44001,0.18982,0.14102,0.0010000000474974513,6027
kinda,0.68504,1.11208,0.93609,0.40576,0.41542,0.0,3129
sorta,2.07702,0.91692,1.61086,1.21672,0.87199,0.0,172
