colloc,positive_raw,negative_raw,positive_plus1,negative_plus1,total,positive_ratio,negative_ratio,positive_skew,negative_skew
yet_available,0,185,1,186,372,0.0,0.4973,0.0,10.2511
yet_ready,0,175,1,176,352,0.0,0.4972,0.0,10.2491
exactly_sure,0,125,1,126,252,0.0,0.496,0.0,10.2243
even_sure,2,202,3,203,410,0.0049,0.4927,0.0133,10.1563
yet_clear,4,275,5,276,560,0.0071,0.4911,0.0192,10.1233
yet_sure,0,43,1,44,88,0.0,0.4886,0.0,10.0718
immediately_available,61,2335,62,2336,4794,0.0127,0.4871,0.0344,10.0409
yet_certain,0,30,1,31,62,0.0,0.4839,0.0,9.9749
too_sure,2,77,3,78,160,0.0125,0.4812,0.0338,9.9193
exactly_new,0,25,1,26,52,0.0,0.4808,0.0,9.911
yet_able,0,24,1,25,50,0.0,0.48,0.0,9.8945
yet_prepared,1,43,2,44,90,0.0111,0.4778,0.03,9.8492
exactly_short,0,21,1,22,44,0.0,0.4773,0.0,9.8389
really_sure,7,158,8,159,332,0.0211,0.4759,0.0571,9.81
yet_possible,0,19,1,20,40,0.0,0.475,0.0,9.7915
exactly_clear,0,19,1,20,40,0.0,0.475,0.0,9.7915
too_surprising,1,36,2,37,76,0.0132,0.4737,0.0357,9.7647
nearly_enough,4,87,5,88,184,0.0217,0.4728,0.0587,9.7461
entirely_surprising,0,17,1,18,36,0.0,0.4722,0.0,9.7337
too_shabby,1,33,2,34,70,0.0143,0.4714,0.0387,9.7172
yet_complete,2,49,3,50,104,0.0192,0.4712,0.052,9.7131
that_complicated,1,32,2,33,68,0.0147,0.4706,0.0398,9.7008
yet_over,1,32,2,33,68,0.0147,0.4706,0.0398,9.7008
that_surprised,0,16,1,17,34,0.0,0.4706,0.0,9.7008
that_surprising,2,48,3,49,102,0.0196,0.4706,0.0531,9.7008
entirely_sure,2,46,3,47,98,0.0204,0.4694,0.0552,9.676
yet_dead,1,30,2,31,64,0.0156,0.4688,0.0422,9.6637
really_much,0,15,1,16,32,0.0,0.4688,0.0,9.6637
that_unusual,4,71,5,72,152,0.0263,0.4671,0.0712,9.6286
altogether_clear,0,14,1,15,30,0.0,0.4667,0.0,9.6204
even_clear,2,42,3,43,90,0.0222,0.4667,0.0601,9.6204
real_sure,1,28,2,29,60,0.0167,0.4667,0.0452,9.6204
yet_convinced,2,41,3,42,88,0.0227,0.4659,0.0615,9.6039
immediately_clear,21,300,22,301,644,0.0326,0.4658,0.0883,9.6018
exactly_true,1,27,2,28,58,0.0172,0.4655,0.0466,9.5956
altogether_surprising,0,13,1,14,28,0.0,0.4643,0.0,9.5709
entirely_convinced,1,26,2,27,56,0.0179,0.4643,0.0485,9.5709
all_rosy,0,13,1,14,28,0.0,0.4643,0.0,9.5709
that_uncommon,0,12,1,13,26,0.0,0.4615,0.0,9.5132
far_wrong,0,12,1,13,26,0.0,0.4615,0.0,9.5132
that_familiar,0,12,1,13,26,0.0,0.4615,0.0,9.5132
necessarily_enough,0,12,1,13,26,0.0,0.4615,0.0,9.5132
that_different,14,168,15,169,366,0.0383,0.459,0.1037,9.4616
necessarily_bad,5,67,6,68,146,0.0342,0.4589,0.0926,9.4596
that_fond,0,11,1,12,24,0.0,0.4583,0.0,9.4472
as_rosy,2,33,3,34,72,0.0278,0.4583,0.0753,9.4472
as_clear-cut,1,21,2,22,46,0.0217,0.4565,0.0587,9.4101
entirely_clear,9,105,10,106,230,0.0391,0.4565,0.1059,9.4101
that_well-known,0,10,1,11,22,0.0,0.4545,0.0,9.3689
yet_satisfied,1,19,2,20,42,0.0238,0.4524,0.0644,9.3256
that_hard,15,146,16,147,324,0.0463,0.4506,0.1253,9.2885
entirely_certain,0,9,1,10,20,0.0,0.45,0.0,9.2761
yet_open,0,9,1,10,20,0.0,0.45,0.0,9.2761
too_surprised,3,36,4,37,80,0.0375,0.45,0.1015,9.2761
yet_close,0,9,1,10,20,0.0,0.45,0.0,9.2761
yet_good,0,9,1,10,20,0.0,0.45,0.0,9.2761
