colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
immediately_clear,15784,21,15805,210.50005,0.59224,184.82014,0.99867,0.00133,2.47807,0.00223,15785,22
immediately_available,14303,59,14362,190.74586,1.89447,167.93938,0.99589,0.00411,2.47117,0.00688,14304,60
as_good,3982,2245,6227,53.08009,76.8067,72.773,0.63947,0.36053,1.58677,0.6039,3983,2246
very_good,2711,2101,4812,36.12696,71.87196,56.21979,0.56338,0.43662,1.39796,0.73136,2712,2102
so_sure,3949,122,4071,52.63992,4.05342,47.55128,0.97003,0.02997,2.407,0.0502,3950,123
as_bad,2979,455,3434,39.70166,15.46503,40.09941,0.8675,0.1325,2.15259,0.22194,2980,456
too_late,1174,2158,3332,15.62582,73.82529,38.90617,0.35234,0.64766,0.87429,1.08486,1175,2159
too_early,347,2688,3035,4.59495,91.98791,35.43175,0.11433,0.88567,0.2837,1.48354,348,2689
so_bad,1918,685,2603,25.5496,23.34692,30.37805,0.73684,0.26316,1.82838,0.4408,1919,686
very_important,155,2313,2468,2.03398,79.137,28.79877,0.0628,0.9372,0.15584,1.56985,156,2314
as_strong,1832,445,2277,24.4025,15.12234,26.56437,0.80457,0.19543,1.99643,0.32736,1833,446
so_good,1206,1046,2252,16.05265,35.71806,26.27191,0.53552,0.46448,1.32883,0.77802,1207,1047
too_much,481,1725,2206,6.3823,58.98678,25.73379,0.21804,0.78196,0.54104,1.30982,482,1726
yet_clear,2196,4,2200,29.25768,0.00967,25.6636,0.99818,0.00182,2.47685,0.00305,2197,5
very_difficult,116,2075,2191,1.51378,70.98096,25.55831,0.05294,0.94706,0.13137,1.58637,117,2076
so_much,1836,188,2024,24.45585,6.31518,23.60468,0.90711,0.09289,2.25088,0.15559,1837,189
quite_sure,1875,93,1968,24.97605,3.05962,22.94957,0.95274,0.04726,2.36411,0.07916,1876,94
very_happy,603,1288,1891,8.00959,44.01118,22.0488,0.31888,0.68112,0.79126,1.14091,604,1289
as_important,1095,790,1885,14.57209,26.94518,21.97861,0.5809,0.4191,1.44143,0.70201,1096,791
as_high,891,950,1841,11.85105,32.42823,21.46388,0.48398,0.51602,1.20092,0.86437,892,951
too_high,190,1646,1836,2.50082,56.27952,21.40539,0.10349,0.89651,0.25679,1.50171,191,1647
so_easy,1355,376,1731,18.04007,12.75777,20.17705,0.78278,0.21722,1.94238,0.36385,1356,377
as_easy,1463,238,1701,19.48062,8.02864,19.8261,0.86008,0.13992,2.13418,0.23437,1464,239
that_bad,1531,97,1628,20.38764,3.19669,18.97212,0.94042,0.05958,2.33352,0.0998,1532,98
too_bad,925,673,1598,12.30456,22.93569,18.62117,0.57885,0.42115,1.43634,0.70545,926,674
as_much,680,833,1513,9.03665,28.41875,17.62681,0.44944,0.55056,1.11522,0.92222,681,834
very_hard,80,1224,1304,1.0336,41.81796,15.18184,0.06135,0.93865,0.15223,1.57229,81,1225
too_small,275,1024,1299,3.63459,34.96414,15.12335,0.2117,0.7883,0.52531,1.32044,276,1025
much_different,1065,223,1288,14.17193,7.5146,14.99467,0.82686,0.17314,2.05175,0.29001,1066,224
as_big,830,446,1276,11.03741,15.15661,14.85429,0.65047,0.34953,1.61405,0.58548,831,447
so_lucky,1071,168,1239,14.25197,5.6298,14.42145,0.86441,0.13559,2.14491,0.22713,1072,169
that_good,1071,168,1239,14.25197,5.6298,14.42145,0.86441,0.13559,2.14491,0.22713,1072,169
too_busy,87,1148,1235,1.12697,39.21351,14.37466,0.07045,0.92955,0.1748,1.55705,88,1149
yet_ready,1205,0,1205,16.03931,-0.12741,14.0237,1.0,0.0,2.48137,0.0,1206,1
always_easy,1134,36,1170,15.09229,1.10628,13.61426,0.96923,0.03077,2.40502,0.05154,1135,37
pretty_good,23,1136,1159,0.27331,38.80228,13.48558,0.01984,0.98016,0.04924,1.64181,24,1137
so_great,438,718,1156,5.80875,24.4778,13.45048,0.37889,0.62111,0.94017,1.04039,439,719
very_different,252,853,1105,3.3278,29.10413,12.85386,0.22805,0.77195,0.56589,1.29305,253,854
as_likely,207,896,1103,2.72758,30.5777,12.83047,0.18767,0.81233,0.46568,1.3607,208,897
even_sure,1092,2,1094,14.53207,-0.05887,12.72518,0.99817,0.00183,2.47683,0.00306,1093,3
as_simple,717,363,1080,9.53017,12.31227,12.56141,0.66389,0.33611,1.64735,0.563,718,364
yet_available,1076,0,1076,14.31866,-0.12741,12.51461,1.0,0.0,2.48137,0.0,1077,1
no_different,0,1060,1060,-0.03348,36.19783,12.32744,0.0,1.0,0.0,1.67505,1,1061
that_easy,978,55,1033,13.01149,1.75739,12.01158,0.94676,0.05324,2.34925,0.08918,979,56
so_important,324,706,1030,4.28817,24.06657,11.97649,0.31456,0.68544,0.78055,1.14814,325,707
very_pleased,67,960,1027,0.8602,32.77092,11.94139,0.06524,0.93476,0.16188,1.56577,68,961
that_simple,855,166,1021,11.37087,5.56126,11.8712,0.83741,0.16259,2.07793,0.27234,856,167
still_alive,58,948,1006,0.74015,32.35969,11.69572,0.05765,0.94235,0.14306,1.57848,59,949
very_strong,157,828,985,2.06065,28.2474,11.45006,0.15939,0.84061,0.39551,1.40806,158,829
all_bad,943,32,975,12.54465,0.9692,11.33307,0.96718,0.03282,2.39993,0.05498,944,33
too_good,364,606,970,4.82171,20.63966,11.27458,0.37526,0.62474,0.93115,1.04648,365,607
too_big,253,695,948,3.34114,23.68961,11.01722,0.26688,0.73312,0.66222,1.22802,254,696
quite_ready,899,21,920,11.95776,0.59224,10.68966,0.97717,0.02283,2.42473,0.03823,900,22
so_strong,158,754,912,2.07399,25.71149,10.59608,0.17325,0.82675,0.42989,1.38486,159,755
too_expensive,83,827,910,1.07361,28.21313,10.57268,0.09121,0.90879,0.22632,1.52227,84,828
too_old,191,712,903,2.51416,24.27219,10.49079,0.21152,0.78848,0.52485,1.32075,192,713
as_close,316,572,888,4.18146,19.47451,10.31531,0.35586,0.64414,0.88301,1.07898,317,573
even_close,860,27,887,11.43756,0.79786,10.30362,0.96956,0.03044,2.40583,0.05099,861,28
so_different,502,380,882,6.66241,12.89485,10.24512,0.56916,0.43084,1.4123,0.72168,503,381
very_concerned,67,780,847,0.8602,26.60248,9.83568,0.0791,0.9209,0.19628,1.54255,68,781
as_effective,642,204,846,8.52979,6.86349,9.82398,0.75887,0.24113,1.88302,0.40391,643,205
so_high,173,661,834,2.27407,22.52446,9.6836,0.20743,0.79257,0.51472,1.32759,174,662
very_close,76,758,834,0.98024,25.84856,9.6836,0.09113,0.90887,0.22612,1.52241,77,759
well_aware,5,821,826,0.03322,28.00752,9.59001,0.00605,0.99395,0.01502,1.66491,6,822
all_right,19,805,824,0.21995,27.45921,9.56662,0.02306,0.97694,0.05722,1.63643,20,806
really_sure,812,7,819,10.79732,0.11248,9.50813,0.99145,0.00855,2.46016,0.01432,813,8
too_low,32,771,803,0.39335,26.29406,9.32095,0.03985,0.96015,0.09888,1.6083,33,772
too_happy,632,159,791,8.3964,5.32138,9.18057,0.79899,0.20101,1.98258,0.3367,633,160
that_different,774,14,788,10.29046,0.35236,9.14548,0.98223,0.01777,2.43728,0.02976,775,15
as_great,613,169,782,8.14297,5.66407,9.07529,0.78389,0.21611,1.94511,0.362,614,170
very_proud,30,715,745,0.36668,24.37499,8.64245,0.04027,0.95973,0.09992,1.6076,31,716
too_young,80,655,735,1.0336,22.31885,8.52546,0.10884,0.89116,0.27008,1.49273,81,656
very_high,231,488,719,3.0477,16.59591,8.33829,0.32128,0.67872,0.79721,1.13689,232,489
so_hard,248,471,719,3.27445,16.01334,8.33829,0.34492,0.65508,0.85588,1.09729,249,472
so_happy,220,498,718,2.90098,16.9386,8.32659,0.30641,0.69359,0.76031,1.16181,221,499
immediately_possible,716,0,716,9.51683,-0.12741,8.30319,1.0,0.0,2.48137,0.0,717,1
almost_impossible,1,708,709,-0.02014,24.13511,8.2213,0.00141,0.99859,0.0035,1.67269,2,709
too_worried,657,33,690,8.72986,1.00347,7.99903,0.95217,0.04783,2.36269,0.08011,658,34
too_long,270,420,690,3.5679,14.26561,7.99903,0.3913,0.6087,0.97097,1.0196,271,421
very_clear,163,525,688,2.14069,17.86387,7.97564,0.23692,0.76308,0.58788,1.2782,164,526
as_sharp,617,70,687,8.19633,2.27143,7.96394,0.89811,0.10189,2.22853,0.17067,618,71
that_great,661,22,683,8.78322,0.62651,7.91715,0.96779,0.03221,2.40144,0.05395,662,23
that_hard,666,15,681,8.84991,0.38663,7.89375,0.97797,0.02203,2.42671,0.0369,667,16
as_large,394,285,679,5.22186,9.63928,7.87035,0.58027,0.41973,1.43985,0.70308,395,286
that_big,623,44,667,8.27636,1.38043,7.72997,0.93403,0.06597,2.31768,0.1105,624,45
as_successful,533,125,658,7.0759,4.15623,7.62469,0.81003,0.18997,2.00998,0.31821,534,126
too_hard,331,320,651,4.38154,10.8387,7.5428,0.50845,0.49155,1.26165,0.82337,332,321
so_simple,476,166,642,6.31561,5.56126,7.43751,0.74143,0.25857,1.83977,0.43311,477,167
any_different,450,181,631,5.96881,6.0753,7.30883,0.71315,0.28685,1.7696,0.48048,451,182
readily_available,367,261,628,4.86172,8.81683,7.27373,0.58439,0.41561,1.4501,0.69616,368,262
that_important,575,52,627,7.63611,1.65459,7.26204,0.91707,0.08293,2.27558,0.13892,576,53
so_big,147,475,622,1.92727,16.15041,7.20354,0.23633,0.76367,0.58643,1.27918,148,476
legally_binding,582,26,608,7.72948,0.76359,7.03977,0.95724,0.04276,2.37526,0.07163,583,27
overly_concerned,568,37,605,7.54274,1.14055,7.00467,0.93884,0.06116,2.32961,0.10244,569,38
entirely_clear,594,9,603,7.88954,0.18101,6.98127,0.98507,0.01493,2.44433,0.025,595,10
very_interested,136,466,602,1.78055,15.84199,6.96958,0.22591,0.77409,0.56057,1.29664,137,467
almost_certain,1,593,594,-0.02014,20.19416,6.87599,0.00168,0.99832,0.00418,1.67223,2,594
really_good,135,442,577,1.76721,15.01953,6.67712,0.23397,0.76603,0.58056,1.28314,136,443
as_popular,421,149,570,5.582,4.97869,6.59523,0.7386,0.2614,1.83273,0.43786,422,150
