colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
yet_available,0,185,185,-0.13694,15.92086,4.72651,0.0,1.0,0.0,8.61435,1,186
yet_ready,0,175,175,-0.13694,15.05751,4.4638,0.0,1.0,0.0,8.61435,1,176
exactly_sure,0,125,125,-0.13694,10.74079,3.15022,0.0,1.0,0.0,8.61435,1,126
yet_sure,0,43,43,-0.13694,3.66137,0.99596,0.0,1.0,0.0,8.61435,1,44
yet_certain,0,30,30,-0.13694,2.53902,0.65443,0.0,1.0,0.0,8.61435,1,31
exactly_new,0,25,25,-0.13694,2.10735,0.52307,0.0,1.0,0.0,8.61435,1,26
yet_able,0,24,24,-0.13694,2.02101,0.4968,0.0,1.0,0.0,8.61435,1,25
exactly_short,0,21,21,-0.13694,1.76201,0.41798,0.0,1.0,0.0,8.61435,1,22
exactly_clear,0,19,19,-0.13694,1.58934,0.36544,0.0,1.0,0.0,8.61435,1,20
yet_possible,0,19,19,-0.13694,1.58934,0.36544,0.0,1.0,0.0,8.61435,1,20
entirely_surprising,0,17,17,-0.13694,1.41667,0.3129,0.0,1.0,0.0,8.61435,1,18
that_surprised,0,16,16,-0.13694,1.33034,0.28662,0.0,1.0,0.0,8.61435,1,17
really_much,0,15,15,-0.13694,1.244,0.26035,0.0,1.0,0.0,8.61435,1,16
altogether_clear,0,14,14,-0.13694,1.15767,0.23408,0.0,1.0,0.0,8.61435,1,15
all_rosy,0,13,13,-0.13694,1.07134,0.20781,0.0,1.0,0.0,8.61435,1,14
altogether_surprising,0,13,13,-0.13694,1.07134,0.20781,0.0,1.0,0.0,8.61435,1,14
far_wrong,0,12,12,-0.13694,0.985,0.18154,0.0,1.0,0.0,8.61435,1,13
necessarily_enough,0,12,12,-0.13694,0.985,0.18154,0.0,1.0,0.0,8.61435,1,13
that_familiar,0,12,12,-0.13694,0.985,0.18154,0.0,1.0,0.0,8.61435,1,13
that_uncommon,0,12,12,-0.13694,0.985,0.18154,0.0,1.0,0.0,8.61435,1,13
that_fond,0,11,11,-0.13694,0.89867,0.15527,0.0,1.0,0.0,8.61435,1,12
that_well-known,0,10,10,-0.13694,0.81233,0.129,0.0,1.0,0.0,8.61435,1,11
altogether_peculiar,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
entirely_certain,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
entirely_smooth,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
yet_close,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
yet_good,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
yet_open,0,9,9,-0.13694,0.726,0.10272,0.0,1.0,0.0,8.61435,1,10
ever_easy,0,8,8,-0.13694,0.63966,0.07645,0.0,1.0,0.0,8.61435,1,9
ever_simple,0,8,8,-0.13694,0.63966,0.07645,0.0,1.0,0.0,8.61435,1,9
yet_comfortable,0,8,8,-0.13694,0.63966,0.07645,0.0,1.0,0.0,8.61435,1,9
yet_official,0,8,8,-0.13694,0.63966,0.07645,0.0,1.0,0.0,8.61435,1,9
yet_ripe,0,8,8,-0.13694,0.63966,0.07645,0.0,1.0,0.0,8.61435,1,9
always_practical,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
entirely_surprised,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
necessarily_sure,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
only_desirable,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
overly_excited,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
terribly_surprising,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
that_active,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
that_disappointed,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
that_eager,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
that_remarkable,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
yet_robust,0,7,7,-0.13694,0.55333,0.05018,0.0,1.0,0.0,8.61435,1,8
academically_competitive,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
always_compatible,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
entirely_bad,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
even_past,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
exactly_flattering,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
exactly_pleased,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
just_lamb,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
just_limited,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
quite_perfect,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
really_familiar,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
terribly_good,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
that_meaningful,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
that_rosy,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
yet_capable,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
yet_high,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
yet_old,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
yet_perfect,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
yet_right,0,6,6,-0.13694,0.46699,0.02391,0.0,1.0,0.0,8.61435,1,7
altogether_fair,0,5,5,-0.13694,0.38066,-0.00236,0.0,1.0,0.0,8.61435,1,6
as_overt,0,5,5,-0.13694,0.38066,-0.00236,0.0,1.0,0.0,8.61435,1,6
as_sore,0,5,5,-0.13694,0.38066,-0.00236,0.0,1.0,0.0,8.61435,1,6
