key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
very~least,very,least,74798,9599.43549,300925.5978,2.8373082,0.86387026,0.008070125,0.9900332,0.008081968,9254924,75551,72839571,74798.0,9180126.0,753.0,63583894.0,9254924.0,63584647.0,75551.0,72764020.0,9245324.564507388,65951.564507388,63518695.43549261,238.39275,0.016033053,0.8916443,0.008070125,0.86387026,0.86387026,0.4359702,65198.56451,0.87166184,9.124963,9.111598,9.130923,9.145292,9.267505,9.172391,273.492230236985,3042.1906580620484,274.8654216157427,v
very~own,very,own,86828,11234.68499,343459.4209,2.5773726,0.85596395,0.009356763,0.9819839,0.009381817,9254924,88421,72839571,86828.0,9168096.0,1593.0,63583054.0,9254924.0,63584647.0,88421.0,72751150.0,9243689.315009832,77186.315009832,63507460.68499017,256.53906,0.018586064,0.8880989,0.009356763,0.85596395,0.85596395,0.43266037,75593.31501,0.8706099,8.346907,8.337478,8.3511095,8.361233,8.446903,8.380295,294.6659125178886,3042.1906580620484,297.3566881709574,v
partly~cloudy,partly,cloudy,54252,69.82848,735577.1746,4.194376,0.840661,0.6879345,0.84099895,0.6880755,78846,64509,72839571,54252.0,24594.0,10257.0,72750468.0,78846.0,72760725.0,64509.0,72775062.0,78776.171518803,64439.171518803,72696285.8284812,232.62079,0.75689024,2.8903832,0.6879345,0.840661,0.840661,0.7642977,54182.17152,0.9987129,12.165807,12.161658,12.167653,12.172096,12.209419,12.180445,232.92058732538007,280.7952991059501,253.98622009865022,p
long~overdue,long,overdue,18893,20.95423,249627.4659,3.8857067,0.83674896,0.27921703,0.83741856,0.27926743,67652,22561,72839571,18893.0,48759.0,3668.0,72768251.0,67652.0,72771919.0,22561.0,72817010.0,67631.04577483,22540.04577483,72749378.95422517,137.29936,0.41885316,2.9550292,0.27921703,0.83674896,0.83674896,0.557983,18872.04577,0.9988909,12.29028,12.283392,12.293348,12.300733,12.362881,12.314613,137.45180973708568,260.0999807766237,150.2031957050182,l
now~defunct,now,defunct,7417,52.83527,68275.7007,2.9435,0.8324923,0.01703059,0.8383633,0.017050339,435006,8847,72839571,7417.0,427589.0,1430.0,72403135.0,435006.0,72404565.0,8847.0,72830724.0,434953.164734372,8794.164734372,72395770.83526562,85.508514,0.033420976,2.1473043,0.01703059,0.8324923,0.8324923,0.42476144,7364.16473,0.99287647,9.522054,9.511175,9.5269,9.538571,9.6371,9.560531,86.12200647918046,659.5498464862228,94.0584924395453,n
very~first,very,first,139082,18569.80181,520997.0051,2.1373909,0.826231,0.014916717,0.9516322,0.015027892,9254924,146151,72839571,139082.0,9115842.0,7069.0,63577578.0,9254924.0,63584647.0,146151.0,72693420.0,9236354.198188234,127581.198188235,63457065.80181176,323.1436,0.029588532,0.8744637,0.014916717,0.826231,0.826231,0.42057386,120512.19819,0.8664831,6.9802814,6.9756174,6.982358,6.9873567,7.029412,6.9967523,372.93699199730776,3042.1906580620484,382.2970049581869,v
most~populous,most,populous,26619,2882.73162,106054.2304,1.9548758,0.8093607,0.003677925,0.90729064,0.0037193364,7156922,29339,72839571,26619.0,7130303.0,2720.0,65679929.0,7156922.0,65682649.0,29339.0,72810232.0,7154039.268379326,26456.268379326,65656192.73162068,145.48445,0.007408303,0.9653875,0.003677925,0.8093607,0.8093607,0.4065193,23736.26838,0.89170396,6.327101,6.319478,6.330497,6.3386726,6.4076157,6.3540506,163.1533021424942,2675.2424189220683,171.286310019219,m
too~late,too,late,116920,5783.17343,627172.4074,2.0962193,0.7985799,0.03837895,0.8385269,0.03870143,3021077,139435,72839571,116920.0,2904157.0,22515.0,69795979.0,3021077.0,69818494.0,139435.0,72700136.0,3015293.826572262,133651.826572262,69684842.17342773,325.0226,0.07398801,1.3057226,0.03837895,0.7985799,0.7985799,0.4184794,111136.82657,0.9505373,6.8480067,6.84519,6.8492603,6.852277,6.877586,6.857942,341.935666463737,1738.1245640056986,373.40996237379636,t
very~latest,very,latest,6527,935.66257,21947.8888,1.7290422,0.7593567,0.0006920826,0.88633895,0.0007052462,9254924,7364,72839571,6527.0,9248397.0,837.0,63583810.0,9254924.0,63584647.0,7364.0,72832207.0,9253988.337428126,6428.337428127,63578218.66257187,69.20841,0.001409371,0.8435944,0.0006920826,0.7593567,0.7593567,0.3800244,5591.33743,0.8566474,5.4511213,5.4375186,5.457184,5.4717927,5.5955906,5.499312,80.78985084773953,3042.1906580620484,85.81375181169973,v
very~same,very,same,43216,6202.7669,145219.1008,1.7262416,0.75869673,0.0045814114,0.88524723,0.0046695145,9254924,48818,72839571,43216.0,9211708.0,5602.0,63579045.0,9254924.0,63584647.0,48818.0,72790753.0,9248721.23310243,42615.23310243,63542031.76689757,178.04703,0.009290025,0.8430591,0.0045814114,0.75869673,0.75869673,0.38163906,37013.2331,0.8564706,5.6133122,5.6078787,5.6157317,5.621555,5.6705427,5.6325,207.88458336298052,3042.1906580620484,220.94795767329464,v
