key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
too~shabby,too,shabby,5398,382.363173,27289.6639,2.548145,0.8950032,0.012439568,0.9623819,0.012475242,432697,5609,6347362,5398.0,427299.0,211.0,5914454.0,432697.0,5914665.0,5609.0,6341753.0,432314.636827236,5226.636827236,5909438.363172764,68.266815,0.024631195,1.1497568,0.012439568,0.8950032,0.8950032,0.45372137,5015.636827,0.9291658,7.9328313,7.90725,7.944296,7.972094,8.169925,8.010239,73.47108274688756,657.7970811732141,74.89325737341113,t
too~late,too,late,29740,2124.027766,150355.5785,2.4880857,0.89069265,0.06849196,0.95449,0.068731695,432697,31158,6347362,29740.0,402957.0,1418.0,5913247.0,432697.0,5914665.0,31158.0,6316204.0,430572.97223445,29033.97223445,5885631.027765551,160.13632,0.12822972,1.1461807,0.06849196,0.89069265,0.89069265,0.47959232,27615.972234,0.9285801,7.9569716,7.9463367,7.961726,7.973225,8.053852,7.988935,172.45289211839852,657.7970811732141,176.5162882002678,t
very~least,very,least,3460,333.565979,15771.1234,2.7924492,0.8904541,0.005731664,0.9849132,0.00574089,602694,3513,6347362,3460.0,599234.0,53.0,5744615.0,602694.0,5744668.0,3513.0,6343849.0,602360.434020622,3179.434020621,5741488.565979378,53.150974,0.011415243,1.0158943,0.005731664,0.8904541,0.8904541,0.4480929,3126.434021,0.90359366,8.311925,8.2671,8.33209,8.381183,8.738928,8.449007,58.82176467941097,776.3336911406074,59.270566050949775,v
very~own,very,own,3878,377.053944,17419.60856,2.5998163,0.8821802,0.006418254,0.9765802,0.006434443,602694,3971,6347362,3878.0,598816.0,93.0,5744575.0,602694.0,5744668.0,3971.0,6343391.0,602316.94605633,3593.94605633,5741074.053943669,56.218792,0.012784651,1.0122043,0.006418254,0.8821802,0.8821802,0.44429925,3500.9460559999998,0.90277106,7.8811803,7.845177,7.8973475,7.936631,8.219662,7.990728,62.27358990776106,776.3336911406074,63.0158710167526,v
very~first,very,first,6419,643.678843,27544.73557,2.2343867,0.8528538,0.010587846,0.9468948,0.010650513,602694,6779,6347362,6419.0,596275.0,360.0,5744308.0,602694.0,5744668.0,6779.0,6340583.0,602050.321157356,6135.321157356,5738532.678842643,72.084595,0.0210641,0.99879813,0.010587846,0.8528538,0.8528538,0.43172082,5775.321157,0.8997229,7.004899,6.9845743,7.013999,7.03604,7.1919546,7.0662313,80.11866199581718,776.3336911406074,82.33468284993876,v
most~populous,most,populous,1200,73.678691,6038.62817,2.1221685,0.82957464,0.003458223,0.88365245,0.003484543,344378,1358,6347362,1200.0,343178.0,158.0,6002826.0,344378.0,6002984.0,1358.0,6346004.0,344304.321308915,1284.321308915,6001699.678691084,32.514095,0.006941713,1.2118393,0.003458223,0.82957464,0.82957464,0.41651642,1126.321309,0.9386011,6.4234858,6.392511,6.437363,6.471001,6.7100263,6.5171347,34.64101615137755,586.8372857956454,36.851051545376556,m
partly~cloudy,partly,cloudy,2480,1.742812,36438.10085,4.390881,0.8210056,0.6769556,0.821192,0.6770407,3663,3020,6347362,2480.0,1183.0,540.0,6343159.0,3663.0,6343699.0,3020.0,6344342.0,3661.257187789,3018.257187789,6340680.742812211,49.764603,0.74218166,3.153201,0.6769556,0.8210056,0.8210056,0.7489806,2478.257188,0.99929726,12.597747,12.579321,12.605986,12.6259165,12.765872,12.653158,49.79959839195493,60.52272300549604,54.954526656136345,p
mutually~exclusive,mutually,exclusive,5713,8.573356,75805.30756,4.1175094,0.7843672,0.7641359,0.78464496,0.7643832,7474,7281,6347362,5713.0,1761.0,1568.0,6338320.0,7474.0,6339888.0,7281.0,6340081.0,7465.426644014,7272.426644014,6332615.573355987,75.47096,0.7743816,2.8237133,0.7641359,0.7843672,0.7843672,0.7742515,5704.426644,0.99849933,11.375583,11.364247,11.380648,11.392889,11.478412,11.409595,75.58438992278762,86.45229898620394,85.32877591996736,m
very~same,very,same,2079,240.133322,7517.12605,1.6448985,0.727402,0.003371178,0.82206404,0.003449512,602694,2529,6347362,2079.0,600615.0,450.0,5744218.0,602694.0,5744668.0,2529.0,6344833.0,602453.866677527,2288.866677527,5742379.133322474,40.329514,0.006870195,0.93740207,0.003371178,0.727402,0.727402,0.36538658,1838.866678,0.88449574,5.0676436,5.047569,5.0766215,5.0983434,5.2510233,5.1280403,45.59605246071199,776.3336911406074,50.28916384272063,v
too~early,too,early,9508,823.284015,39123.14726,1.71347,0.7204829,0.021539463,0.78728163,0.021973806,432697,12077,6347362,9508.0,423189.0,2569.0,5912096.0,432697.0,5914665.0,12077.0,6335285.0,431873.715985476,11253.715985476,5903411.284014525,89.06581,0.042754296,1.0625395,0.021539463,0.7204829,0.7204829,0.37101117,8684.715985,0.91341144,5.490309,5.4814153,5.494282,5.5038815,5.570869,5.5169783,97.50897394599124,657.7970811732141,109.89540481748998,t
most~recent,most,recent,13493,960.155962,60192.40196,1.7647955,0.7101703,0.038480464,0.7624456,0.039180785,344378,17697,6347362,13493.0,330885.0,4204.0,5998780.0,344378.0,6002984.0,17697.0,6329665.0,343417.8440382,16736.8440382,5986247.155961799,107.893524,0.07453152,1.1477667,0.038480464,0.7101703,0.7101703,0.3743254,12532.844038,0.92884046,5.670216,5.663108,5.673391,5.6810603,5.734508,5.6915197,116.15937327654622,586.8372857956454,133.03007178829907,m
most~prestigious,most,prestigious,1539,119.036118,6373.70889,1.614036,0.647427,0.004359814,0.7014585,0.004468927,344378,2194,6347362,1539.0,342839.0,655.0,6002329.0,344378.0,6002984.0,2194.0,6345168.0,344258.963882003,2074.963882003,6000909.036117997,36.195786,0.008881271,1.1115599,0.004359814,0.647427,0.647427,0.3258934,1419.963882,0.9226536,4.9990964,4.9805903,5.0073647,5.0273485,5.1669893,5.054622,39.230090491866065,586.8372857956454,46.84015371452148,m
necessarily~indicative,necessarily,indicative,1389,15.627802,10827.28362,2.358515,0.59397876,0.032241628,0.6005188,0.03238819,42886,2313,6347362,1389.0,41497.0,924.0,6303552.0,42886.0,6304476.0,2313.0,6345049.0,42870.372197773,2297.372197773,6302178.627802227,36.849968,0.061461538,1.9488044,0.032241628,0.59397876,0.59397876,0.3131102,1373.372198,0.9887489,7.460261,7.443106,7.467921,7.4864197,7.615171,7.5116377,37.26929030716845,207.08935269588343,48.093658625644196,n
very~best,very,best,6631,947.619833,19216.01322,1.2803509,0.5703738,0.010419291,0.66442883,0.011002266,602694,9980,6347362,6631.0,596063.0,3349.0,5741319.0,602694.0,5744668.0,9980.0,6337382.0,601746.380166753,9032.380166753,5735635.619833247,69.79385,0.021646095,0.8449449,0.010419291,0.5703738,0.5703738,0.29039654,5683.380167,0.85709244,4.074873,4.066303,4.0787,4.087943,4.1522913,4.100545,81.43095234614415,776.3336911406074,99.89994994993741,v
