key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~before,NEGMIR,before,290,42.53033,1080.52021,2.5821476,0.84185535,0.0009842174,0.9863946,0.0009865187,293963,294,2032082,290.0,293673.0,4.0,1738115.0,293963.0,1738119.0,294.0,2031788.0,293920.469668055,251.469668055,1737867.530331945,14.5319195,0.001971066,0.84185535,0.8336992,0.0009842174,0.84185535,0.84185535,0.0008285687,247.46967,0.85334367,6.5215282,15.731169,5.107179,4.8882446,5.2053547,5.443703,6.704982,5.5155697,17.029386365926403,542.1835482564921,17.146428199482248
NEG~ever,NEGMIR,ever,4718,749.19928,15340.33822,1.7883301,0.7682837,0.015784409,0.91098666,0.016049638,293963,5179,2032082,4718.0,289245.0,461.0,1737658.0,293963.0,1738119.0,5179.0,2026903.0,293213.800717196,4429.800717195,1733689.199282804,57.780373,0.03154355,0.7682837,0.7991606,0.015784409,0.7682837,0.7682837,0.012126905,3968.80072,0.84120405,27.371506,62.998417,5.5669656,5.5457625,5.5764737,5.5995574,5.7217093,5.6065173,68.68769904429759,542.1835482564921,71.96526940128828
NEG~exactly,NEGMIR,exactly,813,161.15235,1939.46773,1.203984,0.58546245,0.0025924784,0.7298025,0.0027656541,293963,1114,2032082,813.0,293150.0,301.0,1737818.0,293963.0,1738119.0,1114.0,2030968.0,293801.847653786,952.847653786,1737166.152346214,22.861296,0.005510426,0.58546245,0.7028539,0.0025924784,0.58546245,0.58546245,0.0015177989,651.8476499999999,0.80178064,12.694579,25.531307,3.5101511,3.480822,3.523303,3.5552328,3.7241967,3.56486,28.513154858766505,542.1835482564921,33.37663853655727
NEG~any,NEGMIR,any,1082,219.01674,2511.25678,1.1717216,0.5704271,0.0034321907,0.71466315,0.0036807354,293963,1514,2032082,1082.0,292881.0,432.0,1737687.0,293963.0,1738119.0,1514.0,2030568.0,293743.983256581,1294.983256581,1736824.016743419,26.235464,0.007323751,0.5704271,0.69374996,0.0034321907,0.5704271,0.5704271,0.001957815,862.98326,0.79758155,14.799214,29.376577,3.4775622,3.4528272,3.4886541,3.5155826,3.658081,3.523702,32.89376840679705,542.1835482564921,38.91015291668744
NEG~remotely,NEGMIR,remotely,1846,393.04392,4009.83635,1.1003863,0.5354808,0.0057785856,0.67942584,0.006279702,293963,2717,2032082,1846.0,292117.0,871.0,1737248.0,293963.0,1738119.0,2717.0,2029365.0,293569.956081989,2323.956081989,1735795.043918011,33.817123,0.012444385,0.5354808,0.6717906,0.0057785856,0.5354808,0.5354808,0.0030943216,1452.95608,0.78708345,19.825335,38.11766,3.3508883,3.3330324,3.3588953,3.3783345,3.481202,3.3841958,42.96510211788167,542.1835482564921,52.124850119688595
NEG~particularly,NEGMIR,particularly,9278,2163.26049,17999.06937,0.99769086,0.47930217,0.028296197,0.620436,0.031561796,293963,14954,2032082,9278.0,284685.0,5676.0,1732443.0,293963.0,1738119.0,14954.0,2017128.0,291799.739510512,12790.739510512,1725328.260489488,73.86383,0.060067914,0.47930217,0.63234556,0.028296197,0.47930217,0.47930217,0.013562428,7114.739509999999,0.7668398,46.510864,84.348915,3.1518903,3.1446135,3.1551535,3.1630754,3.204997,3.1654642,96.32237538599222,542.1835482564921,122.28654872879518
NEG~that,NEGMIR,that,4338,1080.90694,7632.2144,0.91863036,0.4375152,0.012953861,0.5805675,0.014756959,293963,7472,2032082,4338.0,289625.0,3134.0,1734985.0,293963.0,1738119.0,7472.0,2024610.0,292882.093060221,6391.093060221,1731727.906939779,49.452175,0.028782325,0.4375152,0.60350126,0.012953861,0.4375152,0.4375152,0.005667511,3257.09306,0.75082827,32.877148,57.070946,2.864114,2.8539557,2.8686693,2.8797283,2.93825,2.8830628,65.86349520030045,542.1835482564921,86.44073113989724
NEG~necessarily,NEGMIR,necessarily,971,243.17513,1688.91266,0.9089244,0.43332982,0.0028946493,0.57763237,0.003303137,293963,1681,2032082,971.0,292992.0,710.0,1737409.0,293963.0,1738119.0,1681.0,2030401.0,293719.824870748,1437.824870748,1736681.175129252,23.357012,0.006568711,0.43332982,0.60130006,0.0028946493,0.43332982,0.43332982,0.0012543378,727.82487,0.74956214,15.594073,26.97823,2.6590717,2.637615,2.6686933,2.6920528,2.8156648,2.699096,31.160872901765767,542.1835482564921,41.0
NEG~inherently,NEGMIR,inherently,2872,817.18995,4160.37919,0.78996164,0.3647616,0.008172233,0.50840855,0.009769937,293963,5649,2032082,2872.0,291091.0,2777.0,1735342.0,293963.0,1738119.0,5649.0,2026433.0,293145.81005048,4831.81005048,1733287.18994952,38.342415,0.019171461,0.3647616,0.5458614,0.008172233,0.3647616,0.3647616,0.0029809165,2054.81005,0.7154631,28.586535,45.330013,2.420645,2.4091036,2.4258204,2.438385,2.5048745,2.4421737,53.59104402789705,542.1835482564921,75.15982969645421
NEG~again,NEGMIR,again,182,54.82652,240.56187,0.7377017,0.33561268,0.0005057846,0.48021108,0.0006191255,293963,379,2032082,182.0,293781.0,197.0,1737922.0,293963.0,1738119.0,379.0,2031703.0,293908.173483649,324.173483649,1737794.826516351,9.426725,0.001236657,0.33561268,0.52108073,0.0005057846,0.33561268,0.33561268,0.00016974773,127.17348,0.6987554,7.4044933,11.277122,1.7070273,1.6623238,1.7270736,1.7757412,2.0332778,1.7904154,13.490737563232042,542.1835482564921,19.467922333931785
