key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~really_sure,NEGMIR,really_sure,913,134.82405,3353.12854,2.4438064,0.83533585,0.0030949018,0.9796137,0.003105833,293963,932,2032082,913.0,293050.0,19.0,1738100.0,293963.0,1738119.0,932.0,2031150.0,293828.175954514,797.175954514,1737321.824045486,25.753864,0.006192034,0.83533585,0.83070344,0.0030949018,0.83533585,0.83533585,0.0025852823,778.17596,0.85232854,11.611376,27.895805,6.376325,6.2805862,6.4190874,6.5224104,7.2117176,6.6790276,30.215889859476256,542.1835482564921,30.528675044947494,really,sure,64338,11297.0
NEG~quite_sure,NEGMIR,quite_sure,2969,439.0461,10890.59508,2.42604,0.8348396,0.010061938,0.9782537,0.01009991,293963,3035,2032082,2969.0,290994.0,66.0,1738053.0,293963.0,1738119.0,3035.0,2029047.0,293523.953886211,2595.953886211,1735523.046113788,46.430943,0.0199934,0.8348396,0.83010006,0.010061938,0.8348396,0.8348396,0.008400104,2529.9539,0.85212326,20.953426,50.29865,7.1027646,7.0513654,7.125722,7.181193,7.5512595,7.2652755,54.48853090330111,542.1835482564921,55.09083408335728,quite,sure,43799,11297.0
NEG~too_sure,NEGMIR,too_sure,539,81.44414,1894.0852,2.1154027,0.8129355,0.0018197561,0.95737123,0.0018335641,293963,563,2032082,539.0,293424.0,24.0,1738095.0,293963.0,1738119.0,563.0,2031519.0,293881.555860935,481.555860935,1737637.444139065,19.708326,0.003660118,0.8129355,0.82072896,0.0018197561,0.8129355,0.8129355,0.0014793442,457.55585,0.8488977,9.024641,21.390556,5.45632,5.3701525,5.494807,5.5878005,6.2081943,5.7287593,23.2163735324878,542.1835482564921,23.727621035409346,too,sure,189304,11297.0
NEG~too_careful,NEGMIR,too_careful,678,103.43261,2343.32401,2.0302985,0.8038736,0.0022851252,0.9482517,0.0023064127,293963,715,2032082,678.0,293285.0,37.0,1738082.0,293963.0,1738119.0,715.0,2031367.0,293859.567389997,611.567389997,1737507.432610003,22.066128,0.004601633,0.8038736,0.8165722,0.0022851252,0.8038736,0.8038736,0.0018369519,574.5674,0.84744453,10.170182,23.970135,5.4674253,5.397696,5.4985704,5.5738235,6.0758657,5.687892,26.038433132583073,542.1835482564921,26.739483914241877,too,careful,189304,2165.0
NEG~too_early,NEGMIR,too_early,5209,799.39667,17891.07454,1.994524,0.80014974,0.017537536,0.9426348,0.017719917,293963,5526,2032082,5209.0,288754.0,317.0,1737802.0,293963.0,1738119.0,5526.0,2026556.0,293163.603352621,4726.603352621,1733392.39664738,61.097347,0.03478592,0.80014974,0.813992,0.017537536,0.80014974,0.80014974,0.014032654,4409.6035,0.8465355,28.273603,66.40485,6.1597614,6.1358805,6.170428,6.1962004,6.3681393,6.235266,72.17340230306452,542.1835482564921,74.3370701601832,too,early,189304,5766.0
NEG~too_fancy,NEGMIR,too_fancy,530,81.29948,1814.61439,1.985364,0.7986204,0.0017845373,0.9430605,0.001802948,293963,562,2032082,530.0,293433.0,32.0,1738087.0,293963.0,1738119.0,562.0,2031520.0,293881.700521928,480.700521928,1737638.299478072,19.490305,0.003599015,0.7986204,0.8141881,0.0017845373,0.7986204,0.7986204,0.0014251679,448.70053,0.84660476,9.016623,21.182552,5.220472,5.1452856,5.254054,5.3351965,5.876527,5.4581914,23.021728866442675,542.1835482564921,23.706539182259394,too,fancy,189304,1187.0
NEG~too_pleased,NEGMIR,too_pleased,1295,199.77682,4395.02448,1.9491035,0.7936046,0.0043558376,0.93772626,0.0044053164,293963,1381,2032082,1295.0,292668.0,86.0,1738033.0,293963.0,1738119.0,1381.0,2030701.0,293763.223168652,1181.223168652,1736937.776831348,30.43461,0.008769435,0.7936046,0.81172466,0.0043558376,0.7936046,0.7936046,0.0034568128,1095.2231,0.84573215,14.134243,33.094154,5.6241217,5.5781326,5.6446624,5.6942945,6.025408,5.7695265,35.98610843089316,542.1835482564921,37.16180835212409,too,pleased,189304,3918.0
NEG~more_evident,NEGMIR,more_evident,1291,214.53226,3913.54512,1.6003134,0.7264018,0.0042812447,0.8705327,0.0043917093,293963,1483,2032082,1291.0,292672.0,192.0,1737927.0,293963.0,1738119.0,1483.0,2030599.0,293748.467747365,1268.467747365,1736850.532252636,29.95973,0.00873933,0.7264018,0.77943367,0.0042812447,0.7264018,0.7264018,0.0031099042,1076.4678,0.83382475,14.646919,32.809566,4.7213025,4.6893635,4.7355685,4.7700377,4.999994,4.8222857,35.93048844644336,542.1835482564921,38.50973902793941,more,evident,319218,2620.0
NEG~more_annoying,NEGMIR,more_annoying,763,132.22015,2179.7646,1.4752736,0.69044167,0.0025086892,0.83479214,0.0025955648,293963,914,2032082,763.0,293200.0,151.0,1737968.0,293963.0,1738119.0,914.0,2031168.0,293830.779852388,781.779852388,1737337.220147612,22.835764,0.005175039,0.69044167,0.7612269,0.0025086892,0.69044167,0.69044167,0.0017321036,630.77985,0.82671016,11.498702,25.115332,4.219406,4.1826253,4.2358346,4.2755294,4.5403466,4.335698,27.622454633866266,542.1835482564921,30.23243291566195,more,annoying,319218,2086.0
NEG~too_late,NEGMIR,too_late,11097,1961.8923,31158.36193,1.4412019,0.6781068,0.03633145,0.81824213,0.037749648,293963,13562,2032082,11097.0,282866.0,2465.0,1735654.0,293963.0,1738119.0,13562.0,2018520.0,292001.107612783,11600.107612783,1726518.892387217,86.71832,0.07216974,0.6781068,0.7525304,0.03633145,0.6781068,0.6781068,0.024636602,9135.107,0.8232052,44.293255,95.57776,4.56459,4.55543,4.5686817,4.5785675,4.6445208,4.5935526,105.34229919647663,542.1835482564921,116.45600027478189,too,late,189304,14009.0
