key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~shabby,NEGATED,shabby,5535,299.262,26682.641771,1.7615094,0.6538741,0.001685876,0.6911838,0.0017156338,3226213,8008,86330752,5535.0,3220678.0,2473.0,83102066.0,3226213.0,83104539.0,8008.0,86322744.0,3225913.737997696,7708.737997695,83096830.2620023,70.375114,0.003422772,0.6538741,1.267066,0.001685876,0.6538741,0.6538741,0.0011023507,5235.738,0.9459328,17.29919,72.3584,5.66099,5.651158,5.665377,5.675963,5.7514095,5.680095,74.39758060582346,1796.1661949830811,89.48742928478838
NEG~clear-cut,NEGATED,clear-cut,1368,164.3923,3770.51739,1.0656872,0.27362332,0.0003875544,0.31097975,0.00042402657,3226213,4399,86330752,1368.0,3224845.0,3031.0,83101508.0,3226213.0,83104539.0,4399.0,86326353.0,3226048.607698784,4234.607698784,83100304.39230122,32.541824,0.000846898,0.27362332,0.92020464,0.0003875544,0.27362332,0.27362332,0.00010604393,1203.6077,0.8798302,12.821556,34.69305,3.2856257,3.2723832,3.291534,3.3057904,3.4074025,3.3113558,36.98648401781386,1796.1661949830811,66.32495759516172
NEG~rosy,NEGATED,rosy,2076,251.35318,5688.80312,1.0610192,0.27130374,0.00058752525,0.308653,0.0006434789,3226213,6726,86330752,2076.0,3224137.0,4650.0,83099889.0,3226213.0,83104539.0,6726.0,86324026.0,3225961.646824738,6474.646824737,83098064.35317527,40.046555,0.00128428,0.27130374,0.91694295,0.00058752525,0.27130374,0.27130374,0.00015939781,1824.64682,0.8789243,15.854122,42.715885,3.3180387,3.307308,3.3228264,3.334379,3.4167182,3.3388886,45.56314299957807,1796.1661949830811,82.0121942152507
NEG~far-fetched,NEGATED,far-fetched,1964,255.76288,5078.747509,1.0159583,0.2496161,0.0005500421,0.28696668,0.0006087633,3226213,6844,86330752,1964.0,3224249.0,4880.0,83099659.0,3226213.0,83104539.0,6844.0,86323908.0,3225957.237119908,6588.237119908,83097950.76288009,38.54583,0.001214949,0.2496161,0.885304,0.0005500421,0.2496161,0.2496161,0.00013729936,1708.23712,0.8697745,15.992588,41.330826,3.1658344,3.154971,3.1706812,3.1823766,3.2657347,3.1869423,44.31703961232068,1796.1661949830811,82.72847151978574
NEG~dissimilar,NEGATED,dissimilar,2525,329.45727,6519.560114,1.014832,0.24906613,0.00070695154,0.28641108,0.00078265136,3226213,8816,86330752,2525.0,3223688.0,6291.0,83098248.0,3226213.0,83104539.0,8816.0,86321936.0,3225883.54273073,8486.542730729,83096052.45726927,43.692932,0.001561037,0.24906613,0.8844623,0.00070695154,0.24906613,0.24906613,0.00017607768,2195.54273,0.86952186,18.150957,46.856617,3.1865652,3.1769884,3.1908379,3.2011478,3.2746313,3.2051725,50.24937810560445,1796.1661949830811,93.89355675444402
NEG~flashy,NEGATED,flashy,1617,260.39681,3488.063749,0.89149016,0.19470619,0.00043681805,0.23206085,0.00050120684,3226213,6968,86330752,1617.0,3224596.0,5351.0,83099188.0,3226213.0,83104539.0,6968.0,86323784.0,3225952.6031928,6707.6031928,83097831.3968072,33.73633,0.001000253,0.19470619,0.79307437,0.00043681805,0.19470619,0.19470619,8.505118e-05,1356.60319,0.83896303,16.136816,36.832096,2.7395332,2.7279963,2.7446806,2.7571008,2.8456256,2.7619495,40.2119385257662,1796.1661949830811,83.47454701883683
NEG~distant,NEGATED,distant,8184,1446.75689,16202.363509,0.84013337,0.1741041,0.0021693516,0.2113964,0.0025367204,3226213,38714,86330752,8184.0,3218029.0,30530.0,83074009.0,3226213.0,83104539.0,38714.0,86292038.0,3224766.243112234,37267.243112234,83067271.75688776,74.4731,0.005013282,0.1741041,0.75257003,0.0021693516,0.1741041,0.1741041,0.000377693,6737.243109999999,0.8232213,38.03626,82.08071,2.6908102,2.6857538,2.6930661,2.6985097,2.7373073,2.7006347,90.46546302318913,1796.1661949830811,196.7587355112855
NEG~bad,NEGATED,bad,105275,20835.03317,188571.599184,0.789915,0.15243867,0.02718916,0.1888246,0.032631136,3226213,557528,86330752,105275.0,3120938.0,452253.0,82652286.0,3226213.0,83104539.0,557528.0,85773224.0,3205377.966830545,536692.966830545,82567846.03316946,260.24683,0.055645987,0.15243867,0.703531,0.02718916,0.15243867,0.15243867,0.0041446798,84439.96683,0.80208945,144.34346,290.58557,2.5577617,2.5563893,2.5583737,2.5598512,2.5703802,2.5604277,324.46109165815244,1796.1661949830811,746.6779761048266
NEG~forthcoming,NEGATED,forthcoming,2019,421.16418,3381.868642,0.75018686,0.1417963,0.0005144935,0.17914818,0.0006258111,3226213,11270,86330752,2019.0,3224194.0,9251.0,83095288.0,3226213.0,83104539.0,11270.0,86319482.0,3225791.835818434,10848.835818435,83093690.16418158,35.560184,0.001247265,0.1417963,0.68068486,0.0005144935,0.1417963,0.1417963,7.2953284e-05,1597.83582,0.7913996,20.522285,39.97294,2.2997675,2.2897818,2.3042226,2.3149729,2.3915951,2.3191698,44.93328387732194,1796.1661949830811,106.1602562167217
NEG~fond,NEGATED,fond,6679,1487.67745,10423.805145,0.7161745,0.13046591,0.0016715745,0.16777614,0.002070229,3226213,39809,86330752,6679.0,3219534.0,33130.0,83071409.0,3226213.0,83104539.0,39809.0,86290943.0,3224725.322546235,38321.322546235,83066217.67745377,63.521725,0.004089991,0.13046591,0.65220267,0.0016715745,0.13046591,0.13046591,0.0002180835,5191.32255,0.7772604,38.570423,72.050835,2.2721999,2.2667506,2.274631,2.2804973,2.3223097,2.2827876,81.72514912803769,1796.1661949830811,199.5219286193876
