key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~shabby,NEGATED,shabby,5529,311.76102,27251.73446,1.8917191,0.73811734,0.0017197534,0.7821474,0.0017421411,3173681,7069,71961373,5529.0,3168152.0,1540.0,68786152.0,3173681.0,68787692.0,7069.0,71954304.0,3173369.238980807,6757.238980807,68780934.7610192,70.1645,0.003476539,1.2488248,0.0017197534,0.73811734,0.73811734,0.36991856,5217.23898,0.94361347,6.046906,6.0361266,6.0517025,6.06324,6.1655035,6.0828447,74.35724578008521,1781.4828093473145,84.07734534343957
NEG~dissimilar,NEGATED,dissimilar,2511,202.78359,9529.85054,1.4165846,0.5020365,0.0007608551,0.546107,0.00079119485,3173681,4598,71961373,2511.0,3171170.0,2087.0,68785605.0,3173681.0,68787692.0,4598.0,71956775.0,3173478.21641445,4395.216414451,68783296.78358555,46.0631,0.0015801,1.092814,0.0007608551,0.5020365,0.5020365,0.25139868,2308.21641,0.9192419,4.4599605,4.4485765,4.4650216,4.477184,4.584289,4.497813,50.1098792654702,1781.4828093473145,67.80855403265875
NEG~sure,NEGATED,sure,128062,11326.28797,459578.54173,1.3506776,0.45617625,0.038479477,0.4986508,0.040351253,3173681,256817,71961373,128062.0,3045619.0,128755.0,68658937.0,3173681.0,68787692.0,256817.0,71704556.0,3162354.712029132,245490.712029133,68542201.28797087,326.20724,0.07466088,1.0533327,0.038479477,0.45617625,0.45617625,0.24732786,116735.71203,0.91155624,4.3975277,4.3960056,4.3982043,4.3998303,4.4141417,4.4025884,357.8575135441479,1781.4828093473145,506.77115150726564
NEG~rosy,NEGATED,rosy,2073,236.16923,6089.54703,1.1367098,0.3430378,0.0006054727,0.38711485,0.0006531847,3173681,5355,71961373,2073.0,3171608.0,3282.0,68784410.0,3173681.0,68787692.0,5355.0,71956018.0,3173444.830774116,5118.830774115,68782573.16922589,40.34312,0.001304169,0.943376,0.0006054727,0.3430378,0.3430378,0.17182164,1836.83077,0.8860737,3.5412996,3.530327,3.5461752,3.5578847,3.6605759,3.5777235,45.53020975132884,1781.4828093473145,73.1778655059028
NEG~far-fetched,NEGATED,far-fetched,1955,222.98256,5737.68714,1.1358814,0.3425908,0.0005709232,0.3866693,0.00061600393,3173681,5056,71961373,1955.0,3171726.0,3101.0,68784591.0,3173681.0,68787692.0,5056.0,71956317.0,3173458.01744051,4833.017440509,68782858.98255949,39.172283,0.001230048,0.94287586,0.0005709232,0.3425908,0.3425908,0.17158087,1732.01744,0.8859424,3.5316541,3.5203536,3.5366752,3.5487342,3.6544762,3.5691643,44.21538193886829,1781.4828093473145,71.10555533852471
NEG~clear-cut,NEGATED,clear-cut,1362,157.62256,3951.76043,1.125573,0.3369998,0.00039699776,0.3810856,0.00042915466,3173681,3574,71961373,1362.0,3172319.0,2212.0,68785480.0,3173681.0,68787692.0,3574.0,71957799.0,3173523.377439158,3416.377439158,68784275.62256084,32.63428,0.000857344,0.9365587,0.00039699776,0.3369998,0.3369998,0.1686984,1204.37744,0.88427126,3.4505773,3.4370463,3.4565885,3.471023,3.597465,3.4954705,36.90528417449187,1781.4828093473145,59.782940710540494
NEG~flashy,NEGATED,flashy,1608,197.13846,4456.55833,1.085825,0.3156486,0.0004650609,0.35973155,0.0005066672,3173681,4470,71961373,1608.0,3172073.0,2862.0,68784830.0,3173681.0,68787692.0,4470.0,71956903.0,3173483.861542538,4272.861542539,68783419.13845746,35.18369,0.001011909,0.9115147,0.0004650609,0.3156486,0.3156486,0.15805683,1410.8615399999999,0.8774015,3.3457978,3.3335469,3.3512406,3.3643095,3.478781,3.386444,40.099875311526844,1781.4828093473145,66.85805860178712
NEG~forthcoming,NEGATED,forthcoming,1992,320.0523,4381.33622,0.9141455,0.23041427,0.0005511225,0.2744936,0.00062766235,3173681,7257,71961373,1992.0,3171689.0,5265.0,68782427.0,3173681.0,68787692.0,7257.0,71954116.0,3173360.947698928,6936.947698927,68780755.05230108,37.460884,0.001252461,0.7940684,0.0005511225,0.23041427,0.23041427,0.115482695,1671.9477,0.83933115,2.815446,2.8050492,2.820064,2.8311515,2.9281478,2.8499234,44.63182720884279,1781.4828093473145,85.18802732778826
NEG~indicative,NEGATED,indicative,2052,355.81948,4203.26996,0.86912954,0.21025914,0.0005591103,0.25433812,0.00064656785,3173681,8068,71961373,2052.0,3171629.0,6016.0,68781676.0,3173681.0,68787692.0,8068.0,71953305.0,3173325.18052018,7712.18052018,68779979.81947982,37.4441,0.001289857,0.76094764,0.0005591103,0.21025914,0.21025914,0.10540912,1696.18052,0.8265987,2.6719668,2.6618497,2.6764603,2.6872485,2.7816002,2.7055125,45.2990066116245,1781.4828093473145,89.82204629154248
NEG~uncommon,NEGATED,uncommon,2808,491.47896,5701.19007,0.8637699,0.20790379,0.00076359254,0.25197417,0.000884777,3173681,11144,71961373,2808.0,3170873.0,8336.0,68779356.0,3173681.0,68787692.0,11144.0,71950229.0,3173189.521035806,10652.521035806,68777039.4789642,43.715725,0.001763362,0.75689214,0.00076359254,0.20790379,0.20790379,0.10433369,2316.52104,0.82497185,2.6856802,2.6770775,2.6895018,2.6986775,2.7790034,2.714216,52.99056519796708,1781.4828093473145,105.56514576317318
