key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~shabby,NEGATED,shabby,5529,2804.48056,6941.6129,1.8376423,0.4861703,0.0017169456,0.9857372,0.0017421526,3173660,5609,6347364,5529.0,3168131.0,80.0,3173624.0,3173660.0,3173704.0,5609.0,6341755.0,3170855.519440826,2804.519440826,3170899.480559174,36.64094,0.003478158,0.29479414,0.0017169456,0.4861703,0.4861703,0.24394362,2724.51944,0.49276894,5.2961144,5.2587743,5.3128724,5.3535595,5.666748,5.4607916,74.35724578008521,1781.4769153710638,74.89325737341113
COM~first,COMPLEMENT,first,6658,3389.36116,8190.8956,1.7397312,0.48268676,0.0020598401,0.98215073,0.0020979648,3173552,6779,6347364,6658.0,3166894.0,121.0,3173691.0,3173552.0,3173812.0,6779.0,6340585.0,3170162.638840312,3389.638840312,3170422.361159688,40.058533,0.004186986,0.29322594,0.0020598401,0.48268676,0.48268676,0.2423733,3268.63884,0.49093404,5.107954,5.0764136,5.122093,5.1563807,5.4183583,5.2464676,81.59656855530139,1781.4466031851755,82.33468284993876
COM~few,COMPLEMENT,few,11372,5866.2597,13061.1689,1.4992929,0.47012156,0.0034696232,0.9692321,0.0035833665,3173552,11733,6347364,11372.0,3162180.0,361.0,3173451.0,3173552.0,3173812.0,11733.0,6335631.0,3167685.740302904,5866.740302904,3167945.259697096,51.629425,0.007140334,0.28747556,0.0034696232,0.47012156,0.47012156,0.2367956,5505.7403,0.4841488,4.572989,4.553319,4.581787,4.6030736,4.7634106,4.6586676,106.63957989414625,1781.4466031851755,108.31897340724754
COM~recent,COMPLEMENT,recent,17118,8848.13755,19478.7949,1.4727175,0.4686096,0.0052115256,0.9672826,0.005393956,3173552,17697,6347364,17118.0,3156434.0,579.0,3173233.0,3173552.0,3173812.0,17697.0,6329667.0,3164703.862451248,8848.862451247,3164963.137548752,63.207962,0.010728088,0.28660116,0.0052115256,0.4686096,0.4686096,0.23691057,8269.86245,0.48310915,4.563618,4.54777,4.570702,4.58783,4.7163115,4.6324844,130.83577492413914,1781.4466031851755,133.03007178829907
NEG~sure,NEGATED,sure,128062,67069.03507,138869.6153,1.3407584,0.46451634,0.038436722,0.95469624,0.040351517,3173660,134139,6347364,128062.0,3045598.0,6077.0,3167627.0,3173660.0,3173704.0,134139.0,6213225.0,3106590.964926542,67069.964926543,3106634.035073458,170.43924,0.07743034,0.2808982,0.038436722,0.46451634,0.46451634,0.25147653,60992.96493,0.47627684,4.2950754,4.289898,4.2973857,4.3029613,4.344328,4.3174295,357.8575135441479,1781.4769153710638,366.24991467575796
COM~less,COMPLEMENT,less,7766,4178.82882,7319.7121,1.1185557,0.42975602,0.002260574,0.92916965,0.0024471004,3173552,8358,6347364,7766.0,3165786.0,592.0,3173220.0,3173552.0,3173812.0,8358.0,6339006.0,3169373.171179721,4179.171179721,3169632.828820279,40.70553,0.004881345,0.2691428,0.002260574,0.42975602,0.42975602,0.2160083,3587.1711800000003,0.46190718,3.3875341,3.371451,3.3947217,3.412096,3.5422535,3.4573672,88.12491134747314,1781.4466031851755,91.42209798511517
COM~greater,COMPLEMENT,greater,6316,3474.35768,5399.2286,0.999544,0.4093764,0.0017907543,0.9089078,0.001990199,3173552,6949,6347364,6316.0,3167236.0,633.0,3173179.0,3173552.0,3173812.0,6949.0,6340415.0,3170077.642322073,3474.642322073,3170337.357677927,35.75595,0.003971701,0.2595676,0.0017907543,0.4093764,0.4093764,0.20558359,2841.64232,0.4499117,2.9993277,2.983527,3.006388,3.023451,3.1511421,3.0678916,79.47326594522211,1781.4466031851755,83.3606621854697
COM~little,COMPLEMENT,little,19152,10549.06787,16309.9418,0.9951459,0.4091011,0.0054214206,0.90772074,0.006034878,3173552,21099,6347364,19152.0,3154400.0,1947.0,3171865.0,3173552.0,3173812.0,21099.0,6326265.0,3163002.932127415,10549.932127415,3163262.067872585,62.16407,0.011990042,0.25900003,0.0054214206,0.4091011,0.4091011,0.20726126,8602.93213,0.44919237,3.1139746,3.1047196,3.1181064,3.1280828,3.2023184,3.1540036,138.39075113604954,1781.4466031851755,145.25494828060076
COM~lower,COMPLEMENT,lower,6291,3560.35416,4749.723,0.8801983,0.3838945,0.0017208062,0.88344336,0.0019823215,3173552,7121,6347364,6291.0,3167261.0,830.0,3172982.0,3173552.0,3173812.0,7121.0,6340243.0,3169991.645844795,3560.645844795,3170251.354155205,34.427505,0.003955767,0.24722649,0.0017208062,0.3838945,0.3838945,0.19280766,2730.64584,0.43405592,2.6378958,2.6237516,2.644214,2.659477,2.7734344,2.6991904,79.31582439841371,1781.4466031851755,84.38601779915912
NEG~bad,NEGATED,bad,104709,59754.08578,77460.0752,0.86225617,0.38338178,0.028329816,0.87615997,0.032993138,3173660,119509,6347364,104709.0,3068951.0,14800.0,3158904.0,3173660.0,3173704.0,119509.0,6227855.0,3113905.914218879,59754.914218879,3113949.085781121,138.92653,0.06359164,0.2436164,0.028329816,0.38338178,0.38338178,0.2058558,44954.91422,0.4293319,2.754027,2.7505293,2.755587,2.7593508,2.7872138,2.7691085,323.58770063152895,1781.4769153710638,345.70073763299956
