key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~necessarily,NEGATED,necessarily,42595,2145.193,230465.5925,2.1896372,0.8321615,0.0133334305,0.87570155,0.013421324,3173681,48641,71961373,42595.0,3131086.0,6046.0,68781646.0,3173681.0,68787692.0,48641.0,71912732.0,3171535.807223856,46495.807223856,68741196.19277614,195.99146,0.026437458,1.2978923,0.0133334305,0.8321615,0.8321615,0.42274746,40449.807,0.9496375,7.1468835,7.1414676,7.1492996,7.155127,7.198996,7.1686645,206.3855615104894,1781.4828093473145,220.54704713507275
NEG~that,NEGATED,that,164768,9120.454,831669.7162,1.9521142,0.75481325,0.051305946,0.7967466,0.051917,3173681,206801,71961373,164768.0,3008913.0,42033.0,68745659.0,3173681.0,68787692.0,206801.0,71754572.0,3164560.545829664,197680.545829663,68590011.45417033,383.44745,0.09748196,1.2568564,0.051305946,0.75481325,0.75481325,0.4030596,155647.546,0.9446467,6.3657193,6.3635373,6.366692,6.3690376,6.3866415,6.37448,405.9162475191157,1781.4828093473145,454.7537795334966
NEG~exactly,NEGATED,exactly,43813,2474.551,216169.9787,1.8937335,0.73732746,0.013626352,0.7808551,0.013805105,3173681,56109,71961373,43813.0,3129868.0,12296.0,68775396.0,3173681.0,68787692.0,56109.0,71905264.0,3171206.44928195,53634.44928195,68734057.55071805,197.49344,0.027130555,1.2481066,0.013626352,0.73732746,0.73732746,0.3754769,41338.449,0.9435202,6.1908407,6.1867847,6.19265,6.197012,6.229784,6.2071366,209.3155512617254,1781.4828093473145,236.8733838995002
NEG~immediately,NEGATED,immediately,56099,4046.234,231721.9818,1.5403975,0.5680816,0.017158102,0.6114599,0.01767632,3173681,91746,71961373,56099.0,3117582.0,35647.0,68752045.0,3173681.0,68787692.0,91746.0,71869627.0,3169634.766237534,87699.766237534,68699992.23376247,219.7689,0.034359366,1.1419041,0.017158102,0.5680816,0.5680816,0.29261985,52052.766,0.9278733,5.0386724,5.0359592,5.039882,5.0427985,5.0646696,5.0495625,236.8522746354782,1781.4828093473145,302.8960217632447
NEG~yet,NEGATED,yet,51867,4178.938,197895.375,1.4253873,0.50394106,0.015719369,0.5473801,0.016342852,3173681,94755,71961373,51867.0,3121814.0,42888.0,68744804.0,3173681.0,68787692.0,94755.0,71866618.0,3169502.061624894,90576.061624894,68697115.9383751,209.39394,0.031738117,1.0938252,0.015719369,0.50394106,0.50394106,0.25983024,47688.062,0.9194297,4.660629,4.65801,4.661796,4.6646104,4.6857095,4.6711373,227.7432765198569,1781.4828093473145,307.82300108991205
NEG~any,NEGATED,any,15384,1418.383,53087.8239,1.3003079,0.43443492,0.0046034725,0.47834334,0.004847368,3173681,32161,71961373,15384.0,3158297.0,16777.0,68770915.0,3173681.0,68787692.0,32161.0,71929212.0,3172262.617465234,30742.617465234,68756949.38253477,112.59666,0.009597479,1.0352759,0.0046034725,0.43443492,0.43443492,0.2195192,13965.617,0.9078014,4.224596,4.220107,4.2265973,4.2314205,4.267562,4.2426043,124.03225386970922,1781.4828093473145,179.3348822733603
NEG~terribly,NEGATED,terribly,17949,2581.279,43629.2923,0.9838892,0.26277965,0.0050656465,0.3066685,0.005655578,3173681,58529,71961373,17949.0,3155732.0,40580.0,68747112.0,3173681.0,68787692.0,58529.0,71902844.0,3171099.72107903,55947.721079029,68731744.27892096,114.70685,0.011106333,0.84220535,0.0050656465,0.26277965,0.26277965,0.13392265,15367.721,0.8561881,3.19,3.1863754,3.1916156,3.1955087,3.224644,3.2045312,133.9738780509096,1781.4828093473145,241.92767514279964
NEG~only,NEGATED,only,113502,19079.298,242355.4075,0.90080875,0.21958193,0.031124461,0.26236442,0.035763517,3173681,432612,71961373,113502.0,3060179.0,319110.0,68468582.0,3173681.0,68787692.0,432612.0,71528761.0,3154601.701933078,413532.701933077,68374159.29806693,280.26874,0.06294663,0.7744411,0.031124461,0.21958193,0.21958193,0.1253532,94422.702,0.8319034,2.9192493,2.917857,2.9198701,2.9213662,2.9325714,2.9248345,336.9005788062704,1781.4828093473145,657.732468409459
NEG~overly,NEGATED,overly,24613,4406.728,49011.0092,0.85318804,0.20250568,0.0066605737,0.24632706,0.007755348,3173681,99920,71961373,24613.0,3149068.0,75307.0,68712385.0,3173681.0,68787692.0,99920.0,71861453.0,3169274.271886016,95513.271886016,68692178.72811398,128.79646,0.015037263,0.7470483,0.0066605737,0.20250568,0.20250568,0.10458313,20206.272,0.8209593,2.766355,2.7633848,2.7676787,2.7708685,2.7947397,2.7782614,156.8853084262513,1781.4828093473145,316.10124960208555
NEG~entirely,NEGATED,entirely,63321,11857.239,121185.8749,0.83206475,0.19213541,0.01696395,0.23552012,0.01995191,3173681,268856,71961373,63321.0,3110360.0,205535.0,68582157.0,3173681.0,68787692.0,268856.0,71692517.0,3161823.761270884,256998.761270883,68530693.23872912,204.51616,0.036787406,0.7275642,0.01696395,0.19213541,0.19213541,0.104549676,51463.761,0.81274396,2.7033153,2.7014813,2.7041328,2.7061028,2.720854,2.7106695,251.63664280068593,1781.4828093473145,518.5132592325871
NEG~always,NEGATED,always,103883,26642.226,141064.6494,0.6646215,0.128944,0.0254608,0.17196411,0.032732654,3173681,604097,71961373,103883.0,3069798.0,500214.0,68287478.0,3173681.0,68787692.0,604097.0,71357276.0,3147038.773884373,577454.773884373,68210237.22611563,239.64832,0.054996878,0.590974,0.0254608,0.128944,0.128944,0.077202395,77240.774,0.74353623,2.143353,2.1419775,2.143966,2.1454434,2.1565068,2.1488683,322.30885808491206,1781.4828093473145,777.2367721614823
NEG~as,NEGATED,as,531731,142523.607,727572.779,0.6925397,0.12609936,0.12829405,0.16453905,0.16754393,3173681,3231640,71961373,531731.0,2641950.0,2699909.0,66087783.0,3173681.0,68787692.0,3231640.0,68729733.0,3031157.392691396,3089116.392691396,65698575.6073086,533.7466,0.1660279,0.5718052,0.12609936,0.12829405,0.12829405,0.1271967,389207.39300000004,0.731963,2.0819209,2.081317,2.08219,2.0828388,2.0876992,2.0843427,729.1988754791109,1781.4828093473145,1797.6762778654004
NEG~directly,NEGATED,directly,8197,2146.913,10698.6708,0.6432183,0.12436694,0.0019942843,0.16838537,0.0025828052,3173681,48680,71961373,8197.0,3165484.0,40483.0,68747209.0,3173681.0,68787692.0,48680.0,71912693.0,3171534.087223892,46533.087223892,68741158.91277611,66.824265,0.005087574,0.5818405,0.0019942843,0.12436694,0.12436694,0.06318061,6050.0869999999995,0.7380855,2.0373478,2.0324078,2.0395486,2.0448508,2.084455,2.0571299,90.53728513711906,1781.4828093473145,220.6354459283458
NEG~readily,NEGATED,readily,10242,3458.347,9320.8225,0.5137046,0.086602904,0.002236089,0.1306111,0.0032271673,3173681,78416,71961373,10242.0,3163439.0,68174.0,68719518.0,3173681.0,68787692.0,78416.0,71882957.0,3170222.653404862,74957.653404862,68712734.34659514,67.03032,0.006298705,0.47151625,0.002236089,0.086602904,0.086602904,0.044419497,6783.653,0.66233677,1.6188573,1.6145369,1.6207821,1.6254195,1.6600612,1.6361593,101.20276676059801,1781.4828093473145,280.0285699709942
NEG~particularly,NEGATED,particularly,55527,22568.781,36699.738,0.42606893,0.06486626,0.010863985,0.108507544,0.017496087,3173681,511734,71961373,55527.0,3118154.0,456207.0,68331485.0,3173681.0,68787692.0,511734.0,71449639.0,3151112.218928327,489165.218928327,68298526.78107168,139.86583,0.030133378,0.3909961,0.010863985,0.06486626,0.06486626,0.037865125,32958.219,0.593553,1.3638813,1.3620639,1.3646913,1.3666432,1.3812517,1.3711671,235.64167712864378,1781.4828093473145,715.3558555013022
NEG~too,NEGATED,too,309669,131281.864,197292.1979,0.4282258,0.06251291,0.058801576,0.10402957,0.09757408,3173681,2976740,71961373,309669.0,2864012.0,2667071.0,66120621.0,3173681.0,68787692.0,2976740.0,68984633.0,3042399.136048627,2845458.136048627,65942233.86395137,320.56393,0.10069847,0.372693,0.058801576,0.06251291,0.06251291,0.060657244,178387.136,0.57605743,1.3164519,1.3156872,1.3167927,1.3176143,1.3237685,1.3195192,556.4791101200475,1781.4828093473145,1725.3231581358896
NEG~just,NEGATED,just,54583,26370.598,24671.8623,0.34201485,0.047578156,0.009299626,0.091285385,0.01719864,3173681,597938,71961373,54583.0,3119098.0,543355.0,68244337.0,3173681.0,68787692.0,597938.0,71363435.0,3147310.401571062,571567.401571062,68216124.59842893,120.75674,0.02894407,0.31593743,0.009299626,0.047578156,0.047578156,0.02843889,28212.402,0.5168716,1.0869677,1.0851516,1.087777,1.0897276,1.1043245,1.094248,233.63004943713898,1781.4828093473145,773.2645084316233
COM~most,COMPLEMENT,most,7101224,6806398.874,525721.0234,1.2766677,0.04595243,0.097182915,0.99730295,0.10323393,68787692,7120428,71961373,7101224.0,61686468.0,19204.0,3154477.0,68787692.0,3173681.0,7120428.0,64840945.0,61981293.12581265,314029.12581265,2859651.87418735,110.63636,0.18710051,0.018415816,0.04595243,0.097182915,0.097182915,0.07156768,294825.12600000016,0.041517507,4.0358653,4.0330014,4.0371423,4.0402226,4.0633817,4.0473747,2664.812188504098,8293.834577564228,2668.413011510774
COM~increasingly,COMPLEMENT,increasingly,373560,357154.827,32850.4109,2.372481,0.044136345,0.005407621,0.9998046,0.0054306225,68787692,373633,71961373,373560.0,68414132.0,73.0,3173608.0,68787692.0,3173681.0,373633.0,71587740.0,68430537.17299251,16478.172992516,3157202.827007484,26.84112,0.010802569,0.019503843,0.005407621,0.044136345,0.044136345,0.024771983,16405.17300000001,0.043915763,7.0385256,7.00044,7.055622,7.097138,7.42275,7.195107,611.1955497220182,8293.834577564228,611.2552658259887
COM~albeit,COMPLEMENT,albeit,15663,14975.089,1374.4686,2.314972,0.04392063,0.0002267553,0.9998085,0.0002277006,68787692,15666,71961373,15663.0,68772029.0,3.0,3173678.0,68787692.0,3173681.0,15666.0,71945707.0,68772716.91075493,690.910754941,3172990.089245059,5.4966063,0.000455298,0.019505529,0.0002267553,0.04392063,0.04392063,0.022073692,687.9110000000001,0.043919493,4.812902,4.714848,4.857539,4.967599,5.9254007,5.237209,125.15190769620733,8293.834577564228,125.16389255691915
COM~relatively,COMPLEMENT,relatively,582065,556698.417,49292.091,1.9295621,0.04391191,0.008361562,0.99945396,0.008461761,68787692,582383,71961373,582065.0,68205627.0,318.0,3173363.0,68787692.0,3173681.0,582383.0,71378990.0,68230993.5830585,25684.583058511,3147996.416941489,33.248817,0.016781444,0.0193515,0.008361562,0.04391191,0.04391191,0.026136735,25366.582999999984,0.043580327,5.9760814,5.9557557,5.985174,6.007175,6.1758814,6.058648,762.9318449245646,8293.834577564228,763.1402230258866
COM~pretty,COMPLEMENT,pretty,1505944,1441397.745,119539.2186,1.5597274,0.04372155,0.021276318,0.9987028,0.021892637,68787692,1507900,71961373,1505944.0,67281748.0,1956.0,3171725.0,68787692.0,3173681.0,1507900.0,70453473.0,67346294.25503479,66502.255034795,3107178.744965205,52.597687,0.042846043,0.019024985,0.021276318,0.04372155,0.04372155,0.032498933,64546.25499999989,0.042860992,4.9751244,4.966409,4.979015,4.988408,5.05948,5.010271,1227.1691000021146,8293.834577564228,1227.9657975692971
COM~understandably,COMPLEMENT,understandably,12266,11732.685,1023.1734,1.8234307,0.04345819,0.0001757961,0.9993482,0.0001783168,68787692,12274,71961373,12266.0,68775426.0,8.0,3173673.0,68787692.0,3173681.0,12274.0,71949099.0,68775959.3148606,541.314860599,3173139.685139401,4.815398,0.00035657,0.019305544,0.0001757961,0.04345819,0.04345819,0.021816993,533.3150000000005,0.04347913,3.9764063,3.896705,4.012514,4.101073,4.8428326,4.3151493,110.75197515168747,8293.834577564228,110.78808600206071
COM~almost,COMPLEMENT,almost,433210,414483.82,35325.4841,1.7041038,0.04344879,0.0061726924,0.9990844,0.0062977835,68787692,433607,71961373,433210.0,68354482.0,397.0,3173284.0,68787692.0,3173681.0,433607.0,71527766.0,68373208.1801173,19123.180117297,3154557.819882703,28.451159,0.012516668,0.01919089,0.0061726924,0.04344879,0.04344879,0.02481074,18726.179999999993,0.043226566,5.2725663,5.254176,5.2807903,5.300682,5.4528604,5.3471785,658.1869035464015,8293.834577564228,658.4884205511894
