key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~that,NEGATED,that,164768,83340.0,214471.8335,1.9581647,0.5017035,0.051314548,0.9885289,0.051917,3173681,166680,6347362,164768.0,3008913.0,1912.0,3171769.0,3173681.0,3173681.0,166680.0,6180682.0,3090341.0,83340.0,3090341.0,200.60295,0.09865281,0.29601938,0.051314548,0.5017035,0.5017035,0.27650905,81428.0,0.4941979,6.260318,6.250978,6.264503,6.2746525,6.3365397,6.2979417,405.9162475191157,1781.4828093473145,408.264620068896
COM~increasingly,COMPLEMENT,increasingly,17139,8606.0,22963.6346,2.3700526,0.49710676,0.005377352,0.9957588,0.005400354,3173681,17212,6347362,17139.0,3156542.0,73.0,3173608.0,3173681.0,3173681.0,17212.0,6330150.0,3165075.0,8606.0,3165075.0,65.1792,0.010742447,0.29918414,0.005377352,0.49710676,0.49710676,0.25124207,8533.0,0.49787036,7.0696483,7.029042,7.0879493,7.1326036,7.413585,7.236562,130.91600360536523,1781.4828093473145,131.1945120803458
NEG~necessarily,NEGATED,necessarily,42595,21458.0,55995.1343,2.1280072,0.495873,0.013320179,0.9925203,0.013421324,3173681,42916,6347362,42595.0,3131086.0,321.0,3173360.0,3173681.0,3173681.0,42916.0,6304446.0,3152223.0,21458.0,3152223.0,102.41511,0.026484512,0.29776937,0.013320179,0.495873,0.495873,0.2545966,21137.0,0.49623194,6.6502004,6.628706,6.6598525,6.6833134,6.828026,6.7374363,206.3855615104894,1781.4828093473145,207.16177253537873
NEG~exactly,NEGATED,exactly,43813,22189.0,55763.9933,1.8951353,0.49069923,0.013627078,0.98726845,0.013805105,3173681,44378,6347362,43813.0,3129868.0,565.0,3173116.0,3173681.0,3173681.0,44378.0,6302984.0,3151492.0,22189.0,3151492.0,103.308136,0.027229456,0.29546526,0.013627078,0.49069923,0.49069923,0.25216314,21624.0,0.49355215,5.9702587,5.9536185,5.977724,5.9958525,6.1071334,6.0375805,209.3155512617254,1781.4828093473145,210.6608648990125
COM~relatively,COMPLEMENT,relatively,26629,13473.5,34010.2008,1.9258695,0.49028048,0.008290373,0.98819906,0.008390572,3173681,26947,6347362,26629.0,3147052.0,318.0,3173363.0,3173681.0,3173681.0,26947.0,6320415.0,3160207.5,13473.5,3160207.5,80.617615,0.016639858,0.29587442,0.008290373,0.49028048,0.49028048,0.24928543,13155.5,0.49402907,5.983229,5.9615803,5.9929504,6.016579,6.1623154,6.071087,163.18394528874464,1781.4828093473145,164.1554141659665
COM~almost,COMPLEMENT,almost,20201,10299.0,24695.0667,1.7087654,0.48229137,0.006240073,0.9807263,0.006365164,3173681,20598,6347362,20201.0,3153480.0,397.0,3173284.0,3173681.0,3173681.0,20598.0,6326764.0,3163382.0,10299.0,3163382.0,69.6685,0.012648238,0.2925778,0.006240073,0.48229137,0.48229137,0.24426572,9902.0,0.49017376,5.3039603,5.2842956,5.312787,5.334232,5.466205,5.3836513,142.13022197970423,1781.4828093473145,143.52003344481216
COM~mostly,COMPLEMENT,mostly,9180,4681.5,11190.0232,1.7004633,0.48116475,0.002834878,0.980455,0.00289254,3173681,9363,6347362,9180.0,3164501.0,183.0,3173498.0,3173681.0,3173681.0,9363.0,6337999.0,3168999.5,4681.5,3168999.5,46.951168,0.005768064,0.29245764,0.002834878,0.48116475,0.48116475,0.24199982,4498.5,0.49003267,5.1193314,5.091472,5.1318536,5.162323,5.3512855,5.2327886,95.81231653602788,1781.4828093473145,96.76259607927021
COM~pretty,COMPLEMENT,pretty,69603,35779.5,81991.2638,1.5605141,0.47805542,0.021314997,0.9726659,0.021931317,3173681,71559,6347362,69603.0,3104078.0,1956.0,3171725.0,3173681.0,3173681.0,71559.0,6275803.0,3137901.5,35779.5,3137901.5,128.20488,0.04289544,0.2889937,0.021314997,0.47805542,0.47805542,0.24968521,33823.5,0.4859489,4.9847217,4.9753985,4.9888988,4.999028,5.0607758,5.022269,263.82380483951783,1781.4828093473145,267.5051401375308
COM~largely,COMPLEMENT,largely,8012,4098.5,9604.594,1.6364965,0.47804812,0.002466221,0.97743076,0.002524513,3173681,8197,6347362,8012.0,3165669.0,185.0,3173496.0,3173681.0,3173681.0,8197.0,6339165.0,3169582.5,4098.5,3169582.5,43.72148,0.00503602,0.291116,0.002466221,0.47804812,0.47804812,0.24025717,3913.5,0.48845482,4.9090624,4.8812747,4.9215527,4.951941,5.1403484,5.02221,89.50977600240098,1781.4828093473145,90.53728513711906
COM~fairly,COMPLEMENT,fairly,17263,8840.0,20605.3484,1.6187841,0.47774473,0.005308032,0.976414,0.005439425,3173681,17680,6347362,17263.0,3156418.0,417.0,3173264.0,3173681.0,3173681.0,17680.0,6329682.0,3164841.0,8840.0,3164841.0,64.107475,0.010818582,0.29066402,0.005308032,0.47774473,0.47774473,0.24152638,8423.0,0.48792213,5.013982,4.994701,5.022635,5.043657,5.172956,5.0920887,131.3887361991126,1781.4828093473145,132.9661611087573
NEG~immediately,NEGATED,immediately,56099,28865.0,65652.7941,1.543894,0.47607777,0.017162405,0.9717478,0.01767632,3173681,57730,6347362,56099.0,3117582.0,1631.0,3172050.0,3173681.0,3173681.0,57730.0,6289632.0,3144816.0,28865.0,3144816.0,114.98306,0.034721054,0.28858355,0.017162405,0.47607777,0.47607777,0.24662009,27234.0,0.4854632,4.9198565,4.909678,4.9244175,4.9354796,5.002961,4.960869,236.8522746354782,1781.4828093473145,240.27068069159
COM~rather,COMPLEMENT,rather,16678,8583.5,19395.8835,1.5346256,0.47279382,0.005101017,0.9715151,0.005255097,3173681,17167,6347362,16678.0,3157003.0,489.0,3173192.0,3173681.0,3173681.0,17167.0,6330195.0,3165097.5,8583.5,3165097.5,62.67842,0.010453647,0.28847957,0.005101017,0.47279382,0.47279382,0.23894742,8094.5,0.48533997,4.760038,4.7420654,4.768102,4.787687,4.9079814,4.8327794,129.14333122542564,1781.4828093473145,131.0228987620103
COM~most,COMPLEMENT,most,327788,173496.0,348424.9709,1.2768995,0.47036952,0.09723221,0.9446558,0.10328322,3173681,346992,6347362,327788.0,2845893.0,19204.0,3154477.0,3173681.0,3173681.0,346992.0,6000370.0,3000185.0,173496.0,3000185.0,269.4926,0.18620758,0.2763036,0.09723221,0.47036952,0.47036952,0.28380087,154292.0,0.47070667,4.038133,4.0350327,4.0395207,4.042882,4.0632586,4.050574,572.5277285861358,1781.4828093473145,589.0602685634128
NEG~yet,NEGATED,yet,51867,26889.5,58435.1734,1.4401884,0.4684158,0.015740396,0.9644471,0.016342852,3173681,53779,6347362,51867.0,3121814.0,1912.0,3171769.0,3173681.0,3173681.0,53779.0,6293583.0,3146791.5,26889.5,3146791.5,109.67393,0.032141063,0.2853084,0.015740396,0.4684158,0.4684158,0.24207811,24977.5,0.48156825,4.590548,4.5810776,4.5947914,4.605081,4.6678047,4.62869,227.7432765198569,1781.4828093473145,231.9029969620919
COM~also,COMPLEMENT,also,49082,25524.0,54459.2379,1.4037325,0.46522877,0.014845852,0.96148723,0.015465322,3173681,51048,6347362,49082.0,3124599.0,1966.0,3171715.0,3173681.0,3173681.0,51048.0,6296314.0,3148157.0,25524.0,3148157.0,106.33526,0.030441009,0.28397352,0.014845852,0.46522877,0.46522877,0.24003732,23558.0,0.4799723,4.4727993,4.463439,4.4769936,4.487163,4.549146,4.5104947,221.54457790702077,1781.4828093473145,225.93804460515275
COM~now,COMPLEMENT,now,19714,10283.0,21473.3483,1.3666809,0.46006304,0.005943256,0.9585724,0.006211714,3173681,20566,6347362,19714.0,3153967.0,852.0,3172829.0,3173681.0,3173681.0,20566.0,6326796.0,3163398.0,10283.0,3163398.0,67.16923,0.012343441,0.2826549,0.005943256,0.46006304,0.46006304,0.23300315,9431.0,0.478391,4.2770057,4.2630305,4.283272,4.298478,4.391511,4.3334255,140.40655255364686,1781.4828093473145,143.40850741849314
COM~potentially,COMPLEMENT,potentially,8695,4549.0,9323.2748,1.3345873,0.45635867,0.002612739,0.95570457,0.002739721,3173681,9098,6347362,8695.0,3164986.0,403.0,3173278.0,3173681.0,3173681.0,9098.0,6338264.0,3169132.0,4549.0,3169132.0,44.462563,0.005463779,0.28135365,0.002612739,0.45635867,0.45635867,0.2294857,4146.0,0.47682577,4.0634303,4.0435724,4.0723424,4.09399,4.2270837,4.1438537,93.24698386543128,1781.4828093473145,95.38343671728336
COM~somewhat,COMPLEMENT,somewhat,13119,6867.0,14041.6231,1.330404,0.45620772,0.003939904,0.95522064,0.004133686,3173681,13734,6347362,13119.0,3160562.0,615.0,3173066.0,3173681.0,3173681.0,13734.0,6333628.0,3166814.0,6867.0,3166814.0,54.584408,0.008231749,0.28113368,0.003939904,0.45620772,0.45620772,0.23007381,6252.0,0.4765607,4.115161,4.098837,4.1224833,4.140258,4.2492123,4.181144,114.53820323368095,1781.4828093473145,117.19214990774766
NEG~any,NEGATED,any,15384,8088.0,16135.2667,1.290086,0.45219097,0.004597816,0.9510386,0.004847368,3173681,16176,6347362,15384.0,3158297.0,792.0,3172889.0,3173681.0,3173681.0,16176.0,6331186.0,3165593.0,8088.0,3165593.0,58.82341,0.009645573,0.27922812,0.004597816,0.45219097,0.45219097,0.22839439,7296.0,0.47425896,4.0141582,3.9996243,4.020675,4.0364904,4.1332746,4.072842,124.03225386970922,1781.4828093473145,127.18490476467717
COM~still,COMPLEMENT,still,35719,18842.0,36987.7674,1.264079,0.45053062,0.010635599,0.94785583,0.011254754,3173681,37684,6347362,35719.0,3137962.0,1965.0,3171716.0,3173681.0,3173681.0,37684.0,6309678.0,3154839.0,18842.0,3154839.0,89.2988,0.02224537,0.27777228,0.010635599,0.45053062,0.45053062,0.23058312,16877.0,0.47249362,4.013705,4.0042667,4.017934,4.0281873,4.090668,4.0517087,188.99470892064676,1781.4828093473145,194.12367192076292
COM~slightly,COMPLEMENT,slightly,17168,9081.5,17506.3685,1.2389106,0.44649595,0.005095975,0.9452183,0.005409491,3173681,18163,6347362,17168.0,3156513.0,995.0,3172686.0,3173681.0,3173681.0,18163.0,6329199.0,3164599.5,9081.5,3164599.5,61.716423,0.010757418,0.27656212,0.005095975,0.44649595,0.44649595,0.22579597,8086.5,0.47102168,3.870506,3.8574128,3.8763757,3.890616,3.9776444,3.923327,131.0267148332736,1781.4828093473145,134.77017474204
COM~highly,COMPLEMENT,highly,33503,17954.0,32283.6832,1.1481646,0.4354869,0.009798716,0.9330233,0.010556512,3173681,35908,6347362,33503.0,3140178.0,2405.0,3171276.0,3173681.0,3173681.0,35908.0,6311454.0,3155727.0,17954.0,3155727.0,84.949455,0.020876816,0.27092248,0.009798716,0.4354869,0.4354869,0.22264281,15549.0,0.4641077,3.644663,3.6360269,3.6485317,3.6579108,3.7150118,3.6794171,183.03824736923156,1781.4828093473145,189.49406323154295
COM~extremely,COMPLEMENT,extremely,41785,22906.5,36459.0112,1.0210866,0.41507322,0.011896911,0.91207737,0.0131661,3173681,45813,6347362,41785.0,3131896.0,4028.0,3169653.0,3173681.0,3173681.0,45813.0,6301549.0,3150774.5,22906.5,3150774.5,92.35433,0.025957495,0.26106167,0.011896911,0.41507322,0.41507322,0.21348506,18878.5,0.45180088,3.252892,3.246087,3.2559395,3.263325,3.308213,3.2802467,204.41379601191306,1781.4828093473145,214.03971594075713
NEG~terribly,NEGATED,terribly,17949,9900.5,15189.3483,0.9885038,0.40774134,0.005072028,0.90646935,0.005655578,3173681,19801,6347362,17949.0,3155732.0,1852.0,3171829.0,3173681.0,3173681.0,19801.0,6327561.0,3163780.5,9900.5,3163780.5,60.075146,0.011241022,0.25838313,0.005072028,0.40774134,0.40774134,0.20640668,8048.5,0.44840938,3.0971148,3.087156,3.1015766,3.1123939,3.178286,3.1372044,133.9738780509096,1781.4828093473145,140.71602609511115
NEG~only,NEGATED,only,113502,64204.5,87362.4027,0.89537233,0.39183697,0.03106645,0.88391,0.03576352,3173681,128409,6347362,113502.0,3060179.0,14907.0,3158774.0,3173681.0,3173681.0,128409.0,6218953.0,3109476.5,64204.5,3109476.5,146.32655,0.06874555,0.24743804,0.03106645,0.39183697,0.39183697,0.21145171,49297.5,0.43433157,2.8639393,2.8603022,2.8655672,2.8695107,2.893418,2.8785353,336.9005788062704,1781.4828093473145,358.342015398697
COM~incredibly,COMPLEMENT,incredibly,17461,9902.0,13091.0802,0.87429184,0.3828852,0.004763554,0.88169056,0.005501813,3173681,19804,6347362,17461.0,3156220.0,2343.0,3171338.0,3173681.0,3173681.0,19804.0,6327558.0,3163779.0,9902.0,3163779.0,57.204445,0.010935389,0.24634619,0.004763554,0.3828852,0.3828852,0.19382437,7559.0,0.4329076,2.7354033,2.7263777,2.7394462,2.749246,2.808873,2.7717109,132.14007719083563,1781.4828093473145,140.72668545801824
COM~far,COMPLEMENT,far,18449,10472.5,13775.1491,0.8708433,0.38209158,0.005026655,0.88083076,0.005813124,3173681,20945,6347362,18449.0,3155232.0,2496.0,3171185.0,3173681.0,3173681.0,20945.0,6326417.0,3163208.5,10472.5,3163208.5,58.725395,0.011550022,0.24592246,0.005026655,0.38209158,0.38209158,0.19355911,7976.5,0.43235406,2.7284646,2.7197073,2.7323868,2.7418945,2.7997327,2.7636878,135.827095971312,1781.4828093473145,144.72387501722028
