key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~exactly_sure,NEGATED,exactly_sure,8794,4398.5,12153.523499,3.4013479,0.50035244,0.0027699696,0.999659,0.002770915,3173681,8797,6347362,8794.0,3164887.0,3.0,3173678.0,3173681.0,3173681.0,8797.0,6338565.0,3169282.5,4398.5,3169282.5,46.87217,0.005526511,0.30088186,0.0027699696,0.50035244,0.50035244,0.2515612,4395.5,0.49982944,8.412611,8.314829,8.457113,8.56681,9.530233,8.720804,93.77632963600144,1781.4828093473145,93.7923237797209,exactly,sure,44378,134058.0
NEG~yet_clear,NEGATED,yet_clear,10406,5205.5,14363.372628,3.2783675,0.5003404,0.003277267,0.99951977,0.0032788424,3173681,10411,6347362,10406.0,3163275.0,5.0,3173676.0,3173681.0,3173681.0,10411.0,6336951.0,3168475.5,5205.5,3168475.5,50.980392,0.006536243,0.30082136,0.003277267,0.5003404,0.5003404,0.25180882,5200.5,0.49975976,8.431216,8.342561,8.471466,8.5704155,9.422298,8.708672,102.00980345045274,1781.4828093473145,102.03430795570674,yet,clear,53779,83958.0
NEG~too_surprising,NEGATED,too_surprising,4014,2007.0,5567.12558,3.905211,0.5003164,0.0012647774,1.0,0.0012647774,3173681,4014,6347362,4014.0,3169667.0,0.0,3173681.0,3173681.0,3173681.0,4014.0,6343348.0,3171674.0,2007.0,3171674.0,31.678068,0.00252636,0.30103,0.0012647774,0.5003164,0.5003164,0.2507906,2007.0,0.5,7.8220577,7.6962037,7.8798194,8.023547,9.386839,8.228733,63.35613624582863,1781.4828093473145,63.35613624582863,too,surprising,433149,18886.0
NEG~even_sure,NEGATED,even_sure,14459,7235.5,19899.753225,3.0652246,0.5003114,0.0045521273,0.9991708,0.0045559085,3173681,14471,6347362,14459.0,3159222.0,12.0,3173669.0,3173681.0,3173681.0,14471.0,6332891.0,3166445.5,7235.5,3166445.5,60.07289,0.009070458,0.3006697,0.0045521273,0.5003114,0.5003114,0.25243175,7223.5,0.49958503,8.3844385,8.313211,8.416637,8.495419,9.151428,8.604603,120.24558203942463,1781.4828093473145,120.2954695738788,even,sure,122338,134058.0
NEG~necessarily_indicative,NEGATED,necessarily_indicative,1389,694.5,1925.86689,3.4440787,0.50010943,0.00043766212,1.0,0.00043766212,3173681,1389,6347362,1389.0,3172292.0,0.0,3173681.0,3173681.0,3173681.0,1389.0,6345973.0,3172986.5,694.5,3172986.5,18.634645,0.000874941,0.30103,0.00043766212,0.50010943,0.50010943,0.25027356,694.5,0.5,6.285044,6.158642,6.343042,6.4873176,7.8538094,6.6931973,37.26929030716845,1781.4828093473145,37.26929030716845,necessarily,indicative,42916,2319.0
NEG~that_common,NEGATED,that_common,1207,603.5,1673.486858,3.3830824,0.50009507,0.00038031547,1.0,0.00038031547,3173681,1207,6347362,1207.0,3172474.0,0.0,3173681.0,3173681.0,3173681.0,1207.0,6346155.0,3173077.5,603.5,3173077.5,17.370953,0.000760342,0.30103,0.00038031547,0.50009507,0.50009507,0.2502377,603.5,0.5,6.081034,5.9545054,6.1390862,6.2834883,7.650719,6.4895287,34.741905532080416,1781.4828093473145,34.741905532080416,that,common,166680,34621.0
NEG~entirely_sure,NEGATED,entirely_sure,12931,6471.5,17777.565577,3.0165105,0.5000926,0.0040706675,0.99907285,0.0040744487,3173681,12943,6347362,12931.0,3160750.0,12.0,3173669.0,3173681.0,3173681.0,12943.0,6334419.0,3167209.5,6471.5,3167209.5,56.804512,0.008115799,0.30062714,0.0040706675,0.5000926,0.5000926,0.25208163,6459.5,0.499536,8.223121,8.15188,8.255324,8.334119,8.990215,8.443321,113.71455491712571,1781.4828093473145,113.7673063757774,entirely,sure,72827,134058.0
NEG~that_familiar,NEGATED,that_familiar,1126,563.0,1561.167235,3.3529153,0.5000887,0.00035479307,1.0,0.00035479307,3173681,1126,6347362,1126.0,3172555.0,0.0,3173681.0,3173681.0,3173681.0,1126.0,6346236.0,3173118.0,563.0,3173118.0,16.777962,0.000709334,0.30103,0.00035479307,0.5000887,0.5000887,0.25022176,563.0,0.5,5.9800525,5.853454,6.0381346,6.182606,7.5502424,6.3887343,33.555923471125034,1781.4828093473145,33.555923471125034,that,familiar,166680,19650.0
NEG~exactly_easy,NEGATED,exactly_easy,1066,533.0,1477.968847,3.3291368,0.500084,0.00033588757,1.0,0.00033588757,3173681,1066,6347362,1066.0,3172615.0,0.0,3173681.0,3173681.0,3173681.0,1066.0,6346296.0,3173148.0,533.0,3173148.0,16.324827,0.00067155,0.30103,0.00033588757,0.500084,0.500084,0.25020993,533.0,0.5,5.900413,5.7737565,5.9585204,6.10305,7.471027,6.3092523,32.64965543462902,1781.4828093473145,32.64965543462902,exactly,easy,44378,109374.0
NEG~terribly_surprising,NEGATED,terribly_surprising,949,474.5,1315.735256,3.2786548,0.50007474,0.00029902186,1.0,0.00029902186,3173681,949,6347362,949.0,3172732.0,0.0,3173681.0,3173681.0,3173681.0,949.0,6346413.0,3173206.5,474.5,3173206.5,15.402922,0.000597865,0.30103,0.00029902186,0.50007474,0.50007474,0.2501869,474.5,0.5,5.731205,5.604413,5.78937,5.9340353,7.302799,6.1404076,30.805843601498726,1781.4828093473145,30.805843601498726,terribly,surprising,19801,18886.0
