key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~early,NEGMIR,early,5175,961.63433,15431.643,1.7668929,0.7535294,0.017430233,0.9224599,0.017738702,291735,5610,1701929,5175.0,286560.0,435.0,1409759.0,291735.0,1410194.0,5610.0,1696319.0,290773.365672128,4648.365672129,1405545.634327872,58.56983,0.03480805,0.7309004,0.017430233,0.7535294,0.7535294,0.3854798,4213.3657,0.8141769,5.474482,5.4553733,5.4830394,5.5037713,5.645205,5.541346,71.93747284969079,540.1249855357554,74.89993324429602
NEG~sure,NEGMIR,sure,5772,1158.93221,15192.637,1.4586118,0.6850268,0.019083757,0.8537199,0.019785078,291735,6761,1701929,5772.0,285963.0,989.0,1409205.0,291735.0,1410194.0,6761.0,1695168.0,290576.067791312,5602.067791312,1404591.932208688,60.719288,0.038673885,0.6972683,0.019083757,0.6850268,0.6850268,0.3520553,4613.068,0.7992148,4.5588346,4.545238,4.564916,4.579633,4.6793656,4.606242,75.97367965289031,540.1249855357554,82.22530024268686
NEG~late,NEGMIR,late,11049,2280.4961,28035.83,1.3904623,0.6642805,0.03627434,0.8305021,0.037873413,291735,13304,1701929,11049.0,280686.0,2255.0,1407939.0,291735.0,1410194.0,13304.0,1688625.0,289454.503904099,11023.503904099,1399170.496095901,83.418816,0.072443195,0.6852936,0.03627434,0.6642805,0.6642805,0.3502774,8768.504,0.7936016,4.390599,4.381324,4.394745,4.4047728,4.472502,4.4228816,105.11422358558332,540.1249855357554,115.34296684236972
NEG~certain,NEGMIR,certain,1139,308.54577,1902.2261,0.92196953,0.46185192,0.0034354983,0.63277775,0.003904228,291735,1800,1701929,1139.0,290596.0,661.0,1409533.0,291735.0,1410194.0,1800.0,1700129.0,291426.454226351,1491.454226351,1408702.545773649,24.606726,0.007760574,0.5672041,0.0034354983,0.46185192,0.46185192,0.23264371,830.4542,0.7291082,2.685329,2.665554,2.6941655,2.7155268,2.8595011,2.754072,33.74907406137241,540.1249855357554,42.42640687119285
NEG~frustrating,NEGMIR,frustrating,2052,573.72372,3266.9658,0.886802,0.4425423,0.0061154673,0.61308634,0.0070337807,291735,3347,1701929,2052.0,289683.0,1295.0,1408899.0,291735.0,1410194.0,3347.0,1698582.0,291161.276275332,2773.276275332,1407420.723724668,32.633747,0.013907998,0.55347455,0.0061154673,0.4425423,0.4425423,0.22432889,1478.2762,0.72040755,2.6659322,2.6514764,2.6723905,2.688,2.7930727,2.7161539,45.2990066116245,540.1249855357554,57.85326265648291
NEG~evident,NEGMIR,evident,1453,410.70871,2272.1985,0.8738408,0.43562633,0.004311845,0.6064274,0.0049805474,291735,2396,1701929,1453.0,290282.0,943.0,1409251.0,291735.0,1410194.0,2396.0,1699533.0,291324.29129241,1985.29129241,1408208.70870759,27.343637,0.009879951,0.5487317,0.004311845,0.43562633,0.43562633,0.2199691,1042.2913,0.7173374,2.5771592,2.5601385,2.5847633,2.603142,2.72686,2.6362908,38.118237105091836,540.1249855357554,48.948953002081666
NEG~apparent,NEGMIR,apparent,1163,434.36388,1124.3163,0.61417264,0.2879726,0.003014288,0.45895818,0.0039864946,291735,2534,1701929,1163.0,290572.0,1371.0,1408823.0,291735.0,1410194.0,2534.0,1699395.0,291300.63611643,2099.63611643,1408094.36388357,21.365883,0.007904332,0.427726,0.003014288,0.2879726,0.2879726,0.14549345,728.6361,0.6265143,1.7278655,1.7112778,1.7352701,1.7531512,1.872949,1.7853467,34.10278580995987,540.1249855357554,50.33885179461288
NEG~pleased,NEGMIR,pleased,1569,607.66376,1413.7681,0.58588725,0.2717469,0.003976943,0.4425952,0.0053781685,291735,3545,1701929,1569.0,290166.0,1976.0,1408218.0,291735.0,1410194.0,3545.0,1698384.0,291127.336240231,2937.336240231,1407256.663759769,24.269669,0.010627201,0.41195962,0.003976943,0.2717469,0.2717469,0.13786192,961.33624,0.61270636,1.679316,1.665242,1.6855989,1.7007709,1.8024243,1.7280897,39.61060464067672,540.1249855357554,59.53990258641679
NEG~satisfying,NEGMIR,satisfying,1791,731.76773,1446.9802,0.54522824,0.24874581,0.004381928,0.4195362,0.006139133,291735,4269,1701929,1791.0,289944.0,2478.0,1407716.0,291735.0,1410194.0,4269.0,1697660.0,291003.232273497,3537.232273497,1406656.767726503,25.028996,0.012101188,0.38872233,0.004381928,0.24874581,0.24874581,0.12656386,1059.2323,0.59141946,1.5651227,1.5521924,1.5708947,1.5848324,1.6781857,1.6099259,42.320207938997655,540.1249855357554,65.33758489567853
NEG~satisfied,NEGMIR,satisfied,1014,434.36388,738.59827,0.50959915,0.22908461,0.0023978911,0.40015784,0.003475757,291735,2534,1701929,1014.0,290721.0,1520.0,1408674.0,291735.0,1410194.0,2534.0,1699395.0,291300.63611643,2099.63611643,1408094.36388357,18.202726,0.006891654,0.36818424,0.0023978911,0.22908461,0.22908461,0.11574125,579.6361,0.5716333,1.3746312,1.3576097,1.3822271,1.4005632,1.523174,1.4335551,31.843366656181317,540.1249855357554,50.33885179461288
NEG~old,NEGMIR,old,2512,1085.73829,1798.5958,0.5046254,0.22601667,0.005900289,0.39658985,0.008610554,291735,6334,1701929,2512.0,289223.0,3822.0,1406372.0,291735.0,1410194.0,6334.0,1695595.0,290649.261705394,5248.261705394,1404945.738294606,28.45702,0.016855158,0.36429447,0.005900289,0.22601667,0.22601667,0.11595848,1426.2617,0.56777936,1.4692955,1.4585866,1.4740759,1.4856194,1.5629421,1.5064031,50.11985634456667,540.1249855357554,79.58643100428615
NEG~able,NEGMIR,able,1368,634.91864,827.2383,0.45329002,0.1983478,0.0030326773,0.36933047,0.0046891873,291735,3704,1701929,1368.0,290367.0,2336.0,1407858.0,291735.0,1410194.0,3704.0,1698225.0,291100.081363559,3069.081363559,1407124.918636442,19.82025,0.009260795,0.33336803,0.0030326773,0.1983478,0.1983478,0.100690246,733.08136,0.5358782,1.2371595,1.2228596,1.2435409,1.2589456,1.361954,1.2866633,36.98648401781386,540.1249855357554,60.860496218811754
NEG~popular,NEGMIR,popular,2075,971.57636,1229.5547,0.44788688,0.19532652,0.004564743,0.36609033,0.0071126195,291735,5668,1701929,2075.0,289660.0,3593.0,1406601.0,291735.0,1410194.0,5668.0,1696261.0,290763.423641644,4696.423641644,1405497.576358356,24.223295,0.01395413,0.32954118,0.004564743,0.19532652,0.19532652,0.09994563,1103.4236,0.5317704,1.267705,1.256164,1.2728561,1.2852929,1.3685254,1.3076774,45.552167895721496,540.1249855357554,75.28612089887484
NEG~clear,NEGMIR,clear,2432,1152.24705,1400.2891,0.44014707,0.19113769,0.005294198,0.3617971,0.008336333,291735,6722,1701929,2432.0,289303.0,4290.0,1405904.0,291735.0,1410194.0,6722.0,1695207.0,290582.752949741,5569.752949741,1404624.247050259,25.950418,0.016297154,0.32441798,0.005294198,0.19113769,0.19113769,0.098215945,1279.7529,0.5262142,1.2580098,1.2473947,1.2627478,1.2741877,1.3507656,1.2947798,49.31531202375181,540.1249855357554,81.98780397107853
NEG~exciting,NEGMIR,exciting,2903,1397.19811,1607.5199,0.42990035,0.18562733,0.006229338,0.35615262,0.009950811,291735,8151,1701929,2903.0,288832.0,5248.0,1404946.0,291735.0,1410194.0,8151.0,1693778.0,290337.801888328,6753.801888328,1403440.198111672,27.947588,0.01936069,0.31758904,0.006229338,0.18562733,0.18562733,0.095928326,1505.8019,0.5187054,1.2401447,1.2304798,1.2444589,1.2548757,1.3246193,1.2736274,53.879495172096775,540.1249855357554,90.28288874421332
NEG~important,NEGMIR,important,14757,7485.83471,7285.146,0.40573293,0.17088354,0.030080015,0.33791304,0.05058358,291735,43671,1701929,14757.0,276978.0,28914.0,1381280.0,291735.0,1410194.0,43671.0,1658258.0,284249.165288329,36185.165288329,1374008.834711671,59.855625,0.08799485,0.29475784,0.030080015,0.17088354,0.17088354,0.10048178,7271.1655,0.49272653,1.2249324,1.2207342,1.2268069,1.2313342,1.261695,1.2394891,121.47839314050874,540.1249855357554,208.97607518565374
NEG~bad,NEGMIR,bad,3444,1758.88232,1628.5698,0.39084372,0.16522162,0.0069711474,0.3356398,0.0118052345,291735,10261,1701929,3444.0,288291.0,6817.0,1403377.0,291735.0,1410194.0,10261.0,1691668.0,289976.117675884,8502.117675884,1401691.882324116,28.714329,0.022808248,0.29182637,0.0069711474,0.16522162,0.16522162,0.086096376,1685.1177,0.48929083,1.1265252,1.117788,1.1304252,1.139842,1.2028896,1.1567938,58.68560300448484,540.1249855357554,101.29659421717987
