key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~particularly,NEGMIR,particularly,9243,2247.2493,18490.397,1.0877283,0.5445742,0.02901672,0.7139657,0.031682864,291735,12946,1680633,9243.0,282492.0,3703.0,1385195.0,291735.0,1388898.0,12946.0,1667687.0,289487.75071357,10698.75071357,1378199.24928643,72.76589,0.060673293,0.61416173,0.02901672,0.5445742,0.5445742,0.28679547,6995.7505,0.75687015,3.4297493,3.4214764,3.4334588,3.4424627,3.4921117,3.4628491,96.1405221537724,540.1249855357554,113.78049041905207
POS~pretty,POSMIR,pretty,24525,20372.7485,8277.4196,1.6139746,0.1709421,0.017222557,0.9948483,0.017657883,1388898,24652,1680633,24525.0,1364373.0,127.0,291608.0,1388898.0,291735.0,24652.0,1655981.0,1368525.25146061,4279.25146061,287455.74853939,26.514236,0.03469987,0.08055939,0.017222557,0.1709421,0.1709421,0.094082326,4152.2515,0.16930689,4.7321463,4.699082,4.7470503,4.78343,4.9893847,4.866888,156.60459763365824,1178.5151674883102,157.00955384943936
POS~plain,POSMIR,plain,5025,4166.7775,1751.248,1.7820088,0.1707269,0.003559704,0.99662834,0.003617976,1388898,5042,1680633,5025.0,1383873.0,17.0,291718.0,1388898.0,291735.0,5042.0,1675591.0,1384731.222532224,875.222532224,290859.777467776,12.10687,0.007209779,0.08133576,0.003559704,0.1707269,0.1707269,0.087143295,858.2225,0.17079055,4.4510794,4.37992,4.483405,4.562976,5.032308,4.7491937,70.88723439378913,1178.5151674883102,71.00704190430693
POS~rather,POSMIR,rather,8364,6938.5687,2889.5432,1.735451,0.17062744,0.005912352,0.99618864,0.00602204,1388898,8396,1680633,8364.0,1380534.0,32.0,291703.0,1388898.0,291735.0,8396.0,1672237.0,1381959.431253581,1457.431253581,290277.568746419,15.586164,0.011971711,0.08114413,0.005912352,0.17062744,0.17062744,0.088269904,1425.4313,0.1704246,4.6340446,4.5768075,4.6599684,4.7235756,5.092763,4.871285,91.45490692138941,1178.5151674883102,91.62968951164245
POS~fairly,POSMIR,fairly,5661,4698.1614,1936.2178,1.6878222,0.16993959,0.003993627,0.9957784,0.004075893,1388898,5685,1680633,5661.0,1383237.0,24.0,291711.0,1388898.0,291735.0,5685.0,1674948.0,1384199.838575108,986.838575108,290748.161424892,12.796963,0.008118556,0.08096522,0.003993627,0.16993959,0.16993959,0.08696661,962.8386,0.17008278,4.3316355,4.26819,4.360408,4.431102,4.844236,4.595811,75.23961722390672,1178.5151674883102,75.39893898457723
POS~otherwise,POSMIR,otherwise,6653,5532.8392,2179.4936,1.5190028,0.16798222,0.004646162,0.9937267,0.004790129,1388898,6695,1680633,6653.0,1382245.0,42.0,291693.0,1388898.0,291735.0,6695.0,1673938.0,1383365.160819762,1162.160819763,290572.839180237,13.733196,0.009534298,0.080069475,0.004646162,0.16798222,0.16798222,0.086314194,1120.1608,0.16836928,4.04039,3.9885337,4.0638485,4.1213336,4.4529033,4.254419,81.5659242576212,1178.5151674883102,81.82297965730655
POS~relatively,POSMIR,relatively,5287,4400.6525,1701.0215,1.4617082,0.1669793,0.00367636,0.99286383,0.003806615,1388898,5325,1680633,5287.0,1383611.0,38.0,291697.0,1388898.0,291735.0,5325.0,1675308.0,1384497.347478004,924.347478004,290810.652521996,12.1898775,0.007584153,0.07969223,0.00367636,0.1669793,0.1669793,0.08532783,886.3475,0.16764659,3.8059406,3.7520356,3.8303351,3.890138,4.235767,4.0287232,72.71175970914196,1178.5151674883102,72.97259759663213
POS~almost,POSMIR,almost,5265,4384.9507,1674.007,1.4272987,0.16638458,0.003650237,0.9922729,0.003790775,1388898,5306,1680633,5265.0,1383633.0,41.0,291694.0,1388898.0,291735.0,5306.0,1675327.0,1384513.049336768,921.049336768,290813.950663232,12.128521,0.007552697,0.079433665,0.003650237,0.16638458,0.16638458,0.085017405,880.0493,0.16715087,3.7254372,3.6730247,3.7491488,3.807257,4.142531,3.941806,72.56031973468694,1178.5151674883102,72.84229540589725
POS~equally,POSMIR,equally,7197,6008.027,2188.8805,1.3153607,0.16425563,0.004931579,0.9899587,0.005181806,1388898,7270,1680633,7197.0,1381701.0,73.0,291662.0,1388898.0,291735.0,7270.0,1673363.0,1382889.972988749,1261.972988749,290473.027011251,14.015101,0.010309648,0.078419626,0.004931579,0.16425563,0.16425563,0.08459361,1188.973,0.16520397,3.5803187,3.5384755,3.5992088,3.645396,3.9089687,3.751768,84.8351342310484,1178.5151674883102,85.26429498916883
POS~slightly,POSMIR,slightly,7552,6328.6755,2139.2844,1.17527,0.16047587,0.005074061,0.98615825,0.005437404,1388898,7658,1680633,7552.0,1381346.0,106.0,291629.0,1388898.0,291735.0,7658.0,1672975.0,1382569.324504517,1329.324504517,290405.675495483,14.077019,0.010815177,0.07674915,0.005074061,0.16047587,0.16047587,0.08277497,1223.3245,0.16198683,3.2359896,3.2000368,3.2522013,3.29179,3.5163472,3.3826947,86.90224392960172,1178.5151674883102,87.50999942863673
POS~highly,POSMIR,highly,9093,7622.0128,2565.3754,1.1680984,0.16037127,0.006101307,0.9859048,0.006546917,1388898,9223,1680633,9093.0,1379805.0,130.0,291605.0,1388898.0,291735.0,9223.0,1671410.0,1381275.987190541,1600.987190541,290134.012809459,15.42607,0.013007458,0.076637514,0.006101307,0.16037127,0.16037127,0.08323629,1470.9872,0.16177139,3.2703063,3.237343,3.285162,3.3214176,3.5264947,3.4045544,95.35722311393091,1178.5151674883102,96.03645141299214
POS~also,POSMIR,also,6837,5734.4841,1906.0001,1.1484835,0.15954559,0.004572975,0.9853005,0.004922608,1388898,6939,1680633,6837.0,1382061.0,102.0,291633.0,1388898.0,291735.0,6939.0,1673694.0,1383163.515896689,1204.515896689,290530.484103311,13.333743,0.009796273,0.07637123,0.004572975,0.15954559,0.15954559,0.08205928,1102.5159,0.16125727,3.1355019,3.098935,3.151992,3.1922648,3.4208155,3.284763,82.68615361715648,1178.5151674883102,83.30066026148893
POS~extremely,POSMIR,extremely,17152,14427.529,4561.5781,1.0751566,0.15769671,0.011300462,0.98247224,0.012349359,1388898,17458,1680633,17152.0,1371746.0,306.0,291429.0,1388898.0,291735.0,17458.0,1663175.0,1374470.471036806,3030.471036806,288704.528963194,20.802944,0.024392117,0.07512281,0.011300462,0.15769671,0.15769671,0.084498584,2724.471,0.15884276,3.1530614,3.1304345,3.1632397,3.1880302,3.3269346,3.2446113,130.9656443499592,1178.5151674883102,132.12872511305028
