key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~not,NEGMIR,not,1404,702.0,1949.7439,3.4506469,0.50120604,0.004812587,1.0,0.004812587,291735,1404,583470,1404.0,290331.0,0.0,291735.0,291735.0,291735.0,1404.0,582066.0,291033.0,702.0,291033.0,18.734995,0.009579073,0.30103,0.004812587,0.50120604,0.50120604,0.25300932,702.0,0.5,6.561446,6.4115667,6.6310654,6.806829,7.869339,7.1089,37.469987990390386,540.1249855357554,37.469987990390386
NEG~ever,NEGMIR,ever,4709,2388.0,5953.389,1.8506385,0.48998228,0.0159117,0.9859715,0.01614136,291735,4776,583470,4709.0,287026.0,67.0,291668.0,291735.0,291735.0,4776.0,578694.0,289347.0,2388.0,289347.0,33.822895,0.031762734,0.29489437,0.0159117,0.48998228,0.48998228,0.252947,2321.0,0.49288598,5.3248653,5.2803893,5.3449826,5.3942833,5.65112,5.474225,68.62215385719105,540.1249855357554,69.10861017268398
NEG~any,NEGMIR,any,1066,541.5,1328.2692,1.7864873,0.48520347,0.003595729,0.9843029,0.003654001,291735,1083,583470,1066.0,290669.0,17.0,291718.0,291735.0,291735.0,1083.0,582387.0,291193.5,541.5,291193.5,16.064487,0.007280973,0.29415876,0.003595729,0.48520347,0.48520347,0.24439959,524.5,0.49202627,4.4751205,4.40082,4.508915,4.592236,5.0385213,4.7289004,32.64965543462902,540.1249855357554,32.90896534380867
POS~plain,POSMIR,plain,1051,534.0,1307.899,1.7803134,0.4849701,0.003544312,0.9840824,0.003602585,291735,1068,583470,1051.0,290684.0,17.0,291718.0,291735.0,291735.0,1068.0,582402.0,291201.0,534.0,291201.0,15.947374,0.007178888,0.29406145,0.003544312,0.4849701,0.4849701,0.24425721,517.0,0.49191245,4.4543843,4.3800597,4.488189,4.571535,5.0179305,4.7082367,32.41913015489465,540.1249855357554,32.68026927673638
POS~rather,POSMIR,rather,1774,903.0,2187.3145,1.7397939,0.48377872,0.005971172,0.98228127,0.006080861,291735,1806,583470,1774.0,289961.0,32.0,291703.0,291735.0,291735.0,1806.0,581664.0,290832.0,903.0,290832.0,20.679562,0.012086898,0.29326588,0.005971172,0.48377872,0.48377872,0.24487494,871.0,0.49098083,4.6567974,4.5972447,4.6838055,4.7501864,5.1005893,4.858415,42.118879377305376,540.1249855357554,42.49705872175156
POS~fairly,POSMIR,fairly,1185,604.5,1442.6887,1.6864674,0.48114586,0.003979639,0.98014885,0.004061905,291735,1209,583470,1185.0,290550.0,24.0,291711.0,291735.0,291735.0,1209.0,582261.0,291130.5,604.5,291130.5,16.86332,0.008090283,0.29232204,0.003979639,0.48114586,0.48114586,0.24256276,580.5,0.4898734,4.3333964,4.2670856,4.3635044,4.4375954,4.830971,4.558682,34.42382895611701,540.1249855357554,34.77067730142742
POS~pretty,POSMIR,pretty,5123,2625.0,6124.974,1.6115617,0.4801297,0.017125132,0.9758095,0.017560458,291735,5250,583470,5123.0,286612.0,127.0,291608.0,291735.0,291735.0,5250.0,578220.0,289110.0,2625.0,289110.0,34.900387,0.03450006,0.29039505,0.017125132,0.4801297,0.4801297,0.24862741,2498.0,0.48760492,4.7288933,4.6945987,4.744374,4.7822275,4.9775233,4.843357,71.57513534740957,540.1249855357554,72.4568837309472
POS~otherwise,POSMIR,otherwise,1418,730.0,1646.3871,1.525494,0.472415,0.004716609,0.9712329,0.004860576,291735,1460,583470,1418.0,290317.0,42.0,291693.0,291735.0,291735.0,1460.0,582010.0,291005.0,730.0,291005.0,18.270494,0.009672743,0.28835338,0.004716609,0.472415,0.472415,0.2385658,688.0,0.48519042,4.0636716,4.0093393,4.088279,4.148668,4.465339,4.246855,37.656340767525464,540.1249855357554,38.2099463490856
POS~relatively,POSMIR,relatively,1142,590.0,1302.0457,1.4740423,0.46874458,0.003784256,0.9677966,0.003914511,291735,1180,583470,1142.0,290593.0,38.0,291697.0,291735.0,291735.0,1180.0,582290.0,291145.0,590.0,291145.0,16.334507,0.007797484,0.2868141,0.003784256,0.46874458,0.46874458,0.23626442,552.0,0.48336253,3.846072,3.789383,3.8717532,3.9347975,4.2658567,4.0373597,33.793490497431605,540.1249855357554,34.351128074635334
POS~almost,POSMIR,almost,1068,554.5,1188.3397,1.4122581,0.4639115,0.003520318,0.96302974,0.003660857,291735,1109,583470,1068.0,290667.0,41.0,291694.0,291735.0,291735.0,1109.0,582361.0,291180.5,554.5,291180.5,15.712845,0.007293986,0.2846697,0.003520318,0.4639115,0.4639115,0.2337159,513.5,0.48080525,3.6720738,3.6167552,3.6971242,3.7585926,4.0807533,3.8585098,32.68026927673638,540.1249855357554,33.301651610693426
POS~equally,POSMIR,equally,1512,792.5,1608.8796,1.315556,0.45517972,0.004932559,0.9539432,0.005182786,291735,1585,583470,1512.0,290223.0,73.0,291662.0,291735.0,291735.0,1585.0,581885.0,290942.5,792.5,290942.5,18.503544,0.01030956,0.2805525,0.004932559,0.45517972,0.45517972,0.23005614,719.5,0.4758598,3.5764575,3.5322702,3.5964267,3.6453185,3.899024,3.7244627,38.88444419044716,540.1249855357554,39.81205847478876
NEG~that,NEGMIR,that,4308,2269.0,4499.794,1.2777736,0.45283887,0.013978439,0.94931686,0.014766826,291735,4538,583470,4308.0,287427.0,230.0,291505.0,291735.0,291735.0,4538.0,578932.0,289466.0,2269.0,289466.0,31.065575,0.029081287,0.2784412,0.013978439,0.45283887,0.45283887,0.23340866,2039.0,0.47330546,3.7635875,3.736682,3.7757127,3.8053122,3.9568849,3.85296,65.63535632568775,540.1249855357554,67.36467917239716
POS~slightly,POSMIR,slightly,1675,890.5,1669.504,1.1991377,0.44183153,0.005378169,0.94048285,0.005741512,291735,1781,583470,1675.0,290060.0,106.0,291629.0,291735.0,291735.0,1781.0,581689.0,290844.5,890.5,290844.5,19.168386,0.011413347,0.2743809,0.005378169,0.44183153,0.44183153,0.22360484,784.5,0.46835822,3.3075993,3.2694435,3.3248217,3.3669338,3.5842016,3.4349377,40.92676385936225,540.1249855357554,42.20189569201838
NEG~remotely,NEGMIR,remotely,1840,981.5,1806.8079,1.1758336,0.43881714,0.005885478,0.9373408,0.006307094,291735,1963,583470,1840.0,289895.0,123.0,291612.0,291735.0,291735.0,1963.0,581507.0,290753.5,981.5,290753.5,20.013884,0.012529878,0.27292752,0.005885478,0.43881714,0.43881714,0.22235131,858.5,0.4665761,3.2730522,3.237192,3.2892323,3.3287785,3.532426,3.392589,42.89522117905443,540.1249855357554,44.30575583375144
POS~highly,POSMIR,highly,1915,1022.5,1872.4362,1.1693382,0.43796533,0.006118567,0.93643034,0.006564176,291735,2045,583470,1915.0,289820.0,130.0,291605.0,291735.0,291735.0,2045.0,581425.0,290712.5,1022.5,290712.5,20.395006,0.013036966,0.27250546,0.006118567,0.43796533,0.43796533,0.22204195,892.5,0.46605745,3.2667937,3.231766,3.2825959,3.321213,3.5199454,3.383507,43.76071297408213,540.1249855357554,45.221676218380054
POS~also,POSMIR,also,1426,764.0,1372.0603,1.145524,0.43438363,0.004538365,0.9332461,0.004887998,291735,1528,583470,1426.0,290309.0,102.0,291633.0,291735.0,291735.0,1528.0,581942.0,290971.0,764.0,290971.0,17.530659,0.009725059,0.27102616,0.004538365,0.43438363,0.43438363,0.21946101,662.0,0.46423563,3.1151931,3.0761597,3.1328115,3.175891,3.398143,3.2454555,37.76241517699841,540.1249855357554,39.08964057138413
NEG~particularly,NEGMIR,particularly,9243,5010.0,8550.113,1.0879601,0.42983672,0.029019486,0.9224551,0.031682864,291735,10020,583470,9243.0,282492.0,777.0,290958.0,291735.0,291735.0,10020.0,573450.0,286725.0,5010.0,286725.0,44.0293,0.06126162,0.26597524,0.029019486,0.42983672,0.42983672,0.22942811,4233.0,0.4579682,3.3113592,3.2957811,3.318366,3.335436,3.4220738,3.3628109,96.1405221537724,540.1249855357554,100.09995004993759
POS~simply,POSMIR,simply,1620,876.0,1496.171,1.0896549,0.4259365,0.005100519,0.9246575,0.005552985,291735,1752,583470,1620.0,290115.0,132.0,291603.0,291735.0,291735.0,1752.0,581718.0,290859.0,876.0,290859.0,18.484829,0.011039671,0.2670109,0.005100519,0.4259365,0.4259365,0.2155185,744.0,0.45925927,3.0030866,2.9679592,3.0189307,3.057643,3.256697,3.1200674,40.24922359499622,540.1249855357554,41.8568990729127
POS~deeply,POSMIR,deeply,1008,545.5,926.77966,1.083369,0.42471716,0.003170686,0.923923,0.00345519,291735,1091,583470,1008.0,290727.0,83.0,291652.0,291735.0,291735.0,1091.0,582379.0,291189.5,545.5,291189.5,14.567381,0.006884635,0.2666658,0.003170686,0.42471716,0.42471716,0.21394393,462.5,0.45882937,2.8368287,2.7938266,2.8562448,2.903738,3.1491938,2.9804852,31.74901573277509,540.1249855357554,33.03028912982749
