key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total,first_char
NEG~quite_sure,NEGMIR,quite_sure,2946,512.35213,9982.23749,2.519507,0.81563383,0.010067817,0.98561394,0.010098309,291732,2989,1701929,2946.0,288786.0,43.0,1410154.0,291732.0,1410197.0,2989.0,1698940.0,291219.647870152,2476.647870152,1407720.352129848,44.837498,0.019991789,0.7596642,0.010067817,0.81563383,0.81563383,0.41285083,2433.648,0.8260855,7.3081594,7.2595425,7.3300486,7.383385,7.771838,7.5587707,54.27706698044764,540.122208393619,54.67174773134658,quite,sure,40588,6761,q
NEG~too_early,NEGMIR,too_early,5156,924.42791,16406.23418,2.0286577,0.78713584,0.017505694,0.95605415,0.017673755,291732,5393,1701929,5156.0,286576.0,237.0,1409960.0,291732.0,1410197.0,5393.0,1696536.0,290807.572085557,4468.572085557,1405728.427914443,58.931202,0.034705933,0.7464399,0.017505694,0.78713584,0.78713584,0.40232077,4231.5723,0.82070833,6.2259154,6.20148,6.2368646,6.2634087,6.451045,6.349351,71.80529228406496,540.122208393619,73.43704787094863,too,early,163259,5610,t
NEG~too_late,NEGMIR,too_late,10998,2215.6787,28953.15566,1.4565037,0.6846304,0.0363318,0.85084325,0.037698984,291732,12926,1701929,10998.0,280734.0,1928.0,1408269.0,291732.0,1410197.0,12926.0,1689003.0,289516.3213013,10710.3213013,1399486.6786987,83.74376,0.07219899,0.6958069,0.0363318,0.6846304,0.6846304,0.3604811,8782.321,0.798538,4.596879,4.5870733,4.601261,4.6118536,4.68553,4.6458597,104.8713497576912,540.122208393619,113.69256791892775,too,late,163259,13304,t
NEG~so_easy,NEGMIR,so_easy,2615,628.91267,5236.28288,1.082389,0.5424852,0.008216293,0.71272826,0.008963706,291732,3669,1701929,2615.0,289117.0,1054.0,1409143.0,291732.0,1410197.0,3669.0,1698260.0,291103.08733208,3040.08733208,1407156.91266792,38.838505,0.017704748,0.61888134,0.008216293,0.5424852,0.5424852,0.27535075,1986.0873,0.759498,3.3049169,3.290359,3.311421,3.3271403,3.4363394,3.3775697,51.137070702182385,540.122208393619,60.572270883631234,so,easy,129811,18610,s
NEG~too_old,NEGMIR,too_old,2345,572.86076,4586.16225,1.0588156,0.5313064,0.007331206,0.70167565,0.0080381995,291732,3342,1701929,2345.0,289387.0,997.0,1409200.0,291732.0,1410197.0,3342.0,1698587.0,291159.139237888,2769.139237888,1407427.860762112,36.595394,0.015894318,0.61209375,0.007331206,0.5313064,0.5313064,0.2693188,1772.1393,0.7557097,3.2176619,3.202566,3.2244062,3.2407057,3.353914,3.2929907,48.425200051213004,540.122208393619,57.810033731178535,too,old,163259,6334,t
NEG~as_good,NEGMIR,as_good,3443,1006.70594,5117.14561,0.8400066,0.41626602,0.010078764,0.58624214,0.011801927,291732,5873,1701929,3443.0,288289.0,2430.0,1407767.0,291732.0,1410197.0,5873.0,1696056.0,290725.294058683,4866.294058683,1405330.705941317,41.520367,0.023138052,0.5340344,0.010078764,0.41626602,0.41626602,0.21317239,2436.294,0.7076079,2.5714562,2.5606794,2.576268,2.5878885,2.6682851,2.6250885,58.677082408722406,540.122208393619,76.6355009117837,as,good,108254,31585,a
NEG~more_important,NEGMIR,more_important,12201,3991.68419,15262.03641,0.74104035,0.3574183,0.03396132,0.5239404,0.04182263,291732,23287,1701929,12201.0,279531.0,11086.0,1399111.0,291732.0,1410197.0,23287.0,1678642.0,287740.315808709,19295.315808709,1390901.684191291,74.32061,0.077461995,0.48523927,0.03396132,0.3574183,0.3574183,0.1956898,8209.315,0.6728396,2.3100069,2.304636,2.3124044,2.3181932,2.3581936,2.3367128,110.4581368664165,540.122208393619,152.6007863675676,more,important,288194,43671,m
POS~quite_different,POSMIR,quite_different,3183,2640.66137,1151.01818,2.1664176,0.17049141,0.002243461,0.9987449,0.0022571716,1410172,3187,1701929,3183.0,1406989.0,4.0,291753.0,1410172.0,291757.0,3187.0,1698742.0,1407531.33863046,546.33863046,291210.66136954,9.612851,0.004504163,0.081123926,0.002243461,0.17049141,0.17049141,0.086367436,542.3386,0.170386,4.595413,4.49911,4.6392727,4.7474837,5.6001053,5.1175833,56.418082207746124,1187.5066315604304,56.45352070508977,quite,different,40588,36166,q
POS~too_real,POSMIR,too_real,2348,1947.97455,848.34989,2.1431916,0.17038655,0.001654763,0.9987239,0.0016650452,1410172,2351,1701929,2348.0,1407824.0,3.0,291754.0,1410172.0,291757.0,2351.0,1699578.0,1408224.025453471,403.025453471,291353.974546529,8.255408,0.003324548,0.08111481,0.001654763,0.17038655,0.17038655,0.08602066,400.02545,0.1703686,4.276812,4.1751227,4.3231874,4.4377785,5.350113,4.8316536,48.45616575834287,1187.5066315604304,48.48711168960263,too,real,163259,5236,t
POS~even_better,POSMIR,even_better,6130,5089.09386,2178.63251,2.0082097,0.1700873,0.004305857,0.9980462,0.0043469877,1410172,6142,1701929,6130.0,1404042.0,12.0,291745.0,1410172.0,291757.0,6142.0,1695787.0,1405082.906140033,1052.906140033,290704.093859967,13.2947855,0.008656273,0.08082002,0.004305857,0.1700873,0.1700873,0.08719658,1040.9061,0.16980524,4.905543,4.8319354,4.938879,5.020626,5.639478,5.294775,78.29431652425353,1187.5066315604304,78.37091297158659,even,better,62709,14013,e
POS~too_aware,POSMIR,too_aware,2249,1867.60299,792.99088,1.9281589,0.16943336,0.001577703,0.9977817,0.0015948409,1410172,2254,1701929,2249.0,1407923.0,5.0,291752.0,1410172.0,291757.0,2254.0,1699675.0,1408304.397010686,386.397010686,291370.602989314,8.042342,0.003184592,0.0807049,0.001577703,0.16943336,0.16943336,0.08550553,381.397,0.16958515,3.9847755,3.8926084,4.0266995,4.129995,4.9366527,4.4817457,47.4236228055175,1187.5066315604304,47.47630988187688,too,aware,163259,9084,t
POS~completely_different,POSMIR,completely_different,8398,6978.23974,2922.28211,1.8533438,0.16941592,0.005873042,0.9971503,0.0059553017,1410172,8422,1701929,8398.0,1401774.0,24.0,291733.0,1410172.0,291757.0,8422.0,1693507.0,1403193.760259094,1443.760259094,290313.239740906,15.492699,0.011839892,0.080429986,0.005873042,0.16941592,0.16941592,0.08764448,1419.7603,0.16905934,4.8165054,4.7573113,4.843227,4.9085217,5.3921223,5.125092,91.64060235506966,1187.5066315604304,91.77145525706781,completely,different,26987,36166,c
POS~entirely_different,POSMIR,entirely_different,3362,2792.29018,1181.34196,1.9140179,0.16938877,0.002356686,0.9976261,0.0023841064,1410172,3370,1701929,3362.0,1406810.0,8.0,291749.0,1410172.0,291757.0,3370.0,1698559.0,1407379.709816332,577.709816332,291179.290183668,9.825504,0.004756845,0.08063716,0.002356686,0.16938877,0.16938877,0.085872725,569.70984,0.16945563,4.304278,4.221915,4.3416543,4.4335065,5.1386256,4.7436814,57.982756057296896,1187.5066315604304,58.05170109479997,entirely,different,10397,36166,e
POS~too_common,POSMIR,too_common,4922,4089.83512,1711.23454,1.8480651,0.16908132,0.003442369,0.9971637,0.0034903544,1410172,4936,1701929,4922.0,1405250.0,14.0,291743.0,1410172.0,291757.0,4936.0,1696993.0,1406082.164882319,846.164882319,290910.835117681,11.861472,0.00695636,0.08043581,0.003442369,0.16908132,0.16908132,0.086261846,832.16486,0.16907048,4.4761834,4.4057612,4.5080514,4.58613,5.1740265,4.8472667,70.15696686716153,1187.5066315604304,70.25667228100119,too,common,163259,7604,t
POS~too_familiar,POSMIR,too_familiar,7047,5864.63796,2366.95831,1.6676039,0.1677451,0.00489101,0.99562025,0.0049972627,1410172,7078,1701929,7047.0,1403125.0,31.0,291726.0,1410172.0,291757.0,7078.0,1694851.0,1404307.362041542,1213.362041542,290543.637958458,14.084724,0.009944611,0.07976306,0.00489101,0.1677451,0.1677451,0.08631805,1182.362,0.16778232,4.3358483,4.2816105,4.360305,4.419994,4.858865,4.617234,83.94641147779933,1187.5066315604304,84.13085046521282,too,familiar,163259,12305,t
POS~very_wrong,POSMIR,very_wrong,2727,2269.46078,914.54352,1.6554273,0.16731535,0.001892677,0.9956188,0.0019338067,1410172,2739,1701929,2727.0,1407445.0,12.0,291745.0,1410172.0,291757.0,2739.0,1699190.0,1407902.539224609,469.539224609,291287.460775391,8.761647,0.003860116,0.07976246,0.001892677,0.16731535,0.16731535,0.08460401,457.5392,0.16778116,3.732535,3.658604,3.7660127,3.8480926,4.468938,4.1232305,52.22068555658763,1187.5066315604304,52.3354564325181,very,wrong,185255,20880,v
POS~pretty_good,POSMIR,pretty_good,2084,1735.03135,692.73408,1.6141897,0.16685699,0.001443559,0.9952245,0.001477834,1410172,2094,1701929,2084.0,1408088.0,10.0,291747.0,1410172.0,291757.0,2094.0,1699835.0,1408436.968651454,358.968651454,291398.031348546,7.644297,0.002951285,0.07959039,0.001443559,0.16685699,0.16685699,0.08415028,348.96866,0.16745137,3.4676454,3.3896942,3.5029733,3.5896704,4.2493653,3.881146,45.65084884205331,1187.5066315604304,45.760244754590204,pretty,good,24720,31585,p
POS~very_similar,POSMIR,very_similar,3438,2862.71887,1139.76489,1.6101155,0.16684555,0.002379733,0.9950796,0.0024380004,1410172,3455,1701929,3438.0,1406734.0,17.0,291740.0,1410172.0,291757.0,3455.0,1698474.0,1407309.281132174,592.281132174,291164.718867826,9.811315,0.004864084,0.07952717,0.002379733,0.16684555,0.16684555,0.08461264,575.2811,0.16733018,3.8078651,3.741348,3.8379357,3.9115295,4.461926,4.156825,58.63446085707619,1187.5066315604304,58.77924803874238,very,similar,185255,7011,v
POS~very_different,POSMIR,very_different,6237,5209.23691,1943.46191,1.4093196,0.16408046,0.004251489,0.9920471,0.004422865,1410172,6287,1701929,6237.0,1403935.0,50.0,291707.0,1410172.0,291757.0,6287.0,1695642.0,1404962.763090587,1077.763090587,290679.236909413,13.01383,0.008806467,0.07820164,0.004251489,0.16408046,0.16408046,0.08416597,1027.7631,0.16478485,3.70075,3.6551619,3.721268,3.7712429,4.1343036,3.9353676,78.9746794865291,1187.5066315604304,79.29060473977985,very,different,185255,36166,v
POS~much_bigger,POSMIR,much_bigger,2487,2079.71761,755.5306,1.3411773,0.16250356,0.001684782,0.9908367,0.0017636147,1410172,2510,1701929,2487.0,1407685.0,23.0,291734.0,1410172.0,291757.0,2510.0,1699419.0,1408092.282385458,430.282385458,291326.717614542,8.166909,0.003520962,0.077671416,0.001684782,0.16250356,0.16250356,0.08209417,407.28238,0.16376454,3.0897515,3.0291872,3.1170897,3.1838877,3.6785514,3.4054163,49.86983055916673,1187.5066315604304,50.0999001995014,much,bigger,24011,3923,m
POS~very_excited,POSMIR,very_excited,2459,2061.48901,711.90287,1.2374893,0.1600052,0.001644361,0.9883441,0.0017437589,1410172,2488,1701929,2459.0,1407713.0,29.0,291728.0,1410172.0,291757.0,2488.0,1699441.0,1408110.510986064,426.510986063,291330.489013937,8.016225,0.003481376,0.07657751,0.001644361,0.1600052,0.1600052,0.08082478,397.511,0.16165555,2.8697162,2.813682,2.8949835,2.9566534,3.410288,3.1604762,49.58830507286975,1187.5066315604304,49.879855653359705,very,excited,185255,9902,v
POS~as_small,POSMIR,as_small,2298,1930.57452,639.7266,1.1659716,0.15790953,0.001519908,0.9862661,0.0016295884,1410172,2330,1701929,2298.0,1407874.0,32.0,291725.0,1410172.0,291757.0,2330.0,1699599.0,1408241.425481322,399.425481321,291357.574518679,7.6646843,0.003253801,0.075663455,0.001519908,0.15790953,0.15790953,0.079714715,367.42548,0.15988924,2.6813881,2.6271698,2.7058258,2.765442,3.2027202,2.9621887,47.93745925682754,1187.5066315604304,48.27007354458868,as,small,108254,13023,a
POS~all_right,POSMIR,all_right,2545,2142.68914,681.28419,1.1041982,0.15580939,0.001664216,0.9841454,0.0018047444,1410172,2586,1701929,2545.0,1407627.0,41.0,291716.0,1410172.0,291757.0,2586.0,1699343.0,1408029.310856093,443.310856093,291313.689143907,7.9747643,0.003602882,0.074728616,0.001664216,0.15580939,0.15580939,0.078736804,402.31085,0.15807892,2.5954807,2.5459008,2.6178062,2.6722133,3.0688095,2.8511982,50.44799302251776,1187.5066315604304,50.85272854036448,all,right,5920,5576,a
POS~too_easy,POSMIR,too_easy,7253,6109.89549,1925.47053,1.0937805,0.15569282,0.004728616,0.983591,0.0051433444,1410172,7374,1701929,7253.0,1402919.0,121.0,291636.0,1410172.0,291757.0,7374.0,1694555.0,1404062.104506122,1264.104506122,290492.895493878,13.422305,0.010233178,0.074483894,0.004728616,0.15569282,0.15569282,0.080210716,1143.1045,0.15760437,2.9697986,2.9377081,2.984202,3.0191824,3.2689996,3.133048,85.16454661418682,1187.5066315604304,85.871997764114,too,easy,163259,18610,t
POS~very_important,POSMIR,very_important,6118,5155.37968,1614.38474,1.085012,0.15528004,0.003982017,0.9832851,0.0043384777,1410172,6222,1701929,6118.0,1404054.0,104.0,291653.0,1410172.0,291757.0,6222.0,1695707.0,1405016.620319649,1066.620319649,290690.379680351,12.306946,0.008638839,0.074348815,0.003982017,0.15528004,0.15528004,0.07963103,962.6203,0.15734231,2.894065,2.8598506,2.9094274,2.946752,3.213938,3.0683968,78.21764506810467,1187.5066315604304,78.87965517166008,very,important,185255,43671,v
POS~completely_new,POSMIR,completely_new,2226,1876.71729,581.12458,1.0674034,0.1544142,0.001444858,0.98278147,0.0015785308,1410172,2265,1701929,2226.0,1407946.0,39.0,291718.0,1410172.0,291757.0,2265.0,1699664.0,1408295.282710384,388.282710383,291368.717289617,7.4031153,0.003151999,0.0741263,0.001444858,0.1544142,0.1544142,0.07792953,349.2827,0.15691048,2.4487298,2.3981318,2.4715166,2.527057,2.932295,2.7098565,47.18050444834179,1187.5066315604304,47.59201613716318,completely,new,26987,12836,c
POS~very_nice,POSMIR,very_nice,2278,1920.63165,594.30304,1.0665864,0.15438125,0.001478305,0.98274374,0.0016154058,1410172,2318,1701929,2278.0,1407894.0,40.0,291717.0,1410172.0,291757.0,2318.0,1699611.0,1408251.368354379,397.368354379,291359.631645621,7.487541,0.00322551,0.074109636,0.001478305,0.15438125,0.15438125,0.07792978,357.36835,0.15687811,2.457985,2.4078648,2.4805548,2.5355608,2.9366655,2.7165477,47.7283982551269,1187.5066315604304,48.14561246884289,very,nice,185255,7381,v
POS~very_special,POSMIR,very_special,4780,4035.14932,1220.79789,1.0399152,0.15338565,0.003081182,0.9815195,0.0033896575,1410172,4870,1701929,4780.0,1405392.0,90.0,291667.0,1410172.0,291757.0,4870.0,1697059.0,1406136.850684136,834.850684135,290922.149315865,10.773461,0.006755983,0.073568285,0.003081182,0.15338565,0.15338565,0.07823342,744.8507,0.15582651,2.6963348,2.6599429,2.712681,2.7524104,3.0374527,2.882044,69.13754406977442,1187.5066315604304,69.7853852894716,very,special,185255,15541,v
POS~totally_different,POSMIR,totally_different,2276,1921.46022,580.05712,1.0351657,0.15309337,0.001466605,0.98145753,0.0016139875,1410172,2319,1701929,2276.0,1407896.0,43.0,291714.0,1410172.0,291757.0,2319.0,1699610.0,1408250.539781624,397.539781624,291359.460218376,7.4315405,0.003222675,0.07354086,0.001466605,0.15309337,0.15309337,0.077279985,354.5398,0.1557732,2.3863797,2.337546,2.408364,2.4619265,2.851799,2.6379995,47.70744176750625,1187.5066315604304,48.155996511338024,totally,different,10855,36166,t
POS~very_difficult,POSMIR,very_difficult,3400,2874.31889,846.03004,1.0062534,0.15184629,0.002174555,0.9801095,0.0024110535,1410172,3469,1701929,3400.0,1406772.0,69.0,291688.0,1410172.0,291757.0,3469.0,1698460.0,1407297.681113607,594.681113607,291162.318886393,9.015357,0.004810274,0.07294397,0.002174555,0.15184629,0.15184629,0.07701042,525.6811,0.1546121,2.4881797,2.4475627,2.5064368,2.5508454,2.870932,2.6960926,58.309518948453004,1187.5066315604304,58.89821729050889,very,difficult,185255,15956,v
