adv_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
SUM,285435,108877,97524,30579,15099,8249,6273,6228,5298,4303,1185,1002,749,32,26,6,1,1,1,1,1
more,77335,20673,43222,5476,775,2538,163,1546,1911,395,174,115,336,5,4,0,0,1,0,1,0
too,46567,26194,11188,4933,2823,183,599,350,99,113,44,17,16,1,6,0,1,0,0,0,0
as,30872,12121,7424,5454,1676,466,937,442,723,1195,144,245,38,1,5,1,0,0,0,0,0
so,24760,15784,4535,1921,744,230,144,188,165,820,11,187,30,0,1,0,0,0,0,0,0
really,11124,4444,4539,903,156,65,235,736,6,19,7,13,0,0,1,0,0,0,0,0,0
particularly,9079,1546,3625,1990,962,18,802,112,5,13,2,4,0,0,0,0,0,0,0,0,0
very,8861,3843,1686,1359,693,144,682,159,81,130,7,71,3,0,3,0,0,0,0,0,0
quite,6203,4632,279,300,86,36,117,734,3,14,0,0,0,1,1,0,0,0,0,0,0
less,4718,397,663,620,235,2150,22,25,328,22,44,6,203,3,0,0,0,0,0,0,0
ever,4613,745,2082,279,179,9,47,205,679,321,22,27,17,0,1,0,0,0,0,0,0
that,4318,2967,369,354,78,30,90,165,55,193,1,15,0,0,0,1,0,0,0,0,0
inherently,2814,18,2558,116,50,2,63,2,1,3,0,1,0,0,0,0,0,0,0,0,0
even,2759,295,704,343,504,74,53,180,212,59,307,9,19,0,0,0,0,0,0,0,0
truly,2757,1403,807,270,68,16,49,63,9,49,2,21,0,0,0,0,0,0,0,0,0
completely,2384,1358,263,248,188,24,93,87,10,75,10,27,0,1,0,0,0,0,0,0,0
entirely,2352,1339,139,251,288,14,147,114,8,31,0,19,2,0,0,0,0,0,0,0,0
much,2223,646,1024,123,154,36,69,52,63,25,9,12,9,0,0,1,0,0,0,0,0
remotely,1758,126,1103,351,75,4,64,29,1,4,1,0,0,0,0,0,0,0,0,0,0
fully,1568,1161,24,108,120,3,82,30,9,24,2,5,0,0,0,0,0,0,0,0,0
terribly,1557,283,797,250,102,1,96,27,0,1,0,0,0,0,0,0,0,0,0,0,0
especially,1542,244,591,326,214,3,141,14,3,5,0,1,0,0,0,0,0,0,0,0,0
not,1391,486,185,79,99,419,22,23,9,33,26,4,1,3,1,0,0,0,0,0,1
overly,1364,388,495,118,217,5,89,39,5,6,0,2,0,0,0,0,0,0,0,0,0
most,1300,268,57,66,538,34,41,4,236,40,4,10,2,0,0,0,0,0,0,0,0
any,1068,289,89,142,102,5,26,47,248,15,66,5,34,0,0,0,0,0,0,0,0
actually,1038,270,252,328,23,7,39,52,8,47,2,10,0,0,0,0,0,0,0,0,0
necessarily,936,19,338,219,253,4,95,6,1,0,1,0,0,0,0,0,0,0,0,0,0
totally,896,470,106,93,66,28,34,45,6,19,25,4,0,0,0,0,0,0,0,0,0
exactly,787,312,65,185,44,20,72,84,0,4,0,1,0,0,0,0,0,0,0,0,0
longer,781,2,18,10,15,722,4,5,1,0,3,0,1,0,0,0,0,0,0,0,0
just,716,205,343,39,30,44,14,8,4,16,7,5,0,0,0,1,0,0,0,0,0
all,691,109,233,75,120,14,38,34,36,19,2,8,3,0,0,0,0,0,0,0,0
super,563,130,317,47,30,6,19,1,2,8,0,2,0,0,1,0,0,0,0,0,0
absolutely,535,197,165,61,33,17,14,33,2,12,0,1,0,0,0,0,0,0,0,0,0
politically,516,200,68,57,97,6,31,3,21,21,3,6,2,1,0,0,0,0,0,0,0
always,502,65,64,37,251,20,33,23,3,3,2,1,0,0,0,0,0,0,0,0,0
physically,495,165,250,20,28,2,13,2,2,10,1,1,0,0,1,0,0,0,0,0,0
seriously,428,82,201,53,11,4,12,58,1,4,0,2,0,0,0,0,0,0,0,0,0
intrinsically,419,2,373,26,13,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
immediately,407,20,75,121,49,23,44,61,2,10,0,2,0,0,0,0,0,0,0,0,0
wholly,400,161,22,47,107,5,40,5,2,7,0,3,1,0,0,0,0,0,0,0,0
overtly,370,80,210,19,22,3,10,1,5,13,0,7,0,0,0,0,0,0,0,0,0
real,336,90,139,16,2,66,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
fundamentally,318,5,281,16,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yet,313,13,77,97,44,3,32,27,12,1,3,0,4,0,0,0,0,0,0,0,0
