prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
SUM,3148010,2833802,108823,98180,30832,15075,13802,11728,8253,6496,6243,5293,4300,2011,1172,998,747,255
not,1614457,1614417,0,22,0,1,1,3,11,0,0,1,0,0,1,0,0,0
n't,597367,597367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be,253410,234665,9780,4697,858,470,97,100,342,328,438,1351,75,10,16,9,173,1
been,100757,60306,35986,701,1199,174,30,30,477,137,235,474,718,7,15,191,77,0
nothing,59363,0,0,59363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
never,55068,0,55068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quite,47945,43872,1109,2018,617,81,70,4,62,44,29,0,28,9,0,2,0,0
is,42576,10197,212,21347,4923,293,225,577,138,1803,2621,130,61,4,13,17,14,1
nearly,36719,36151,75,157,202,42,13,11,6,38,7,1,1,7,6,0,0,2
being,22894,12102,226,73,65,30,10300,19,27,21,14,7,6,1,2,1,0,0
the,20478,18457,299,48,601,513,91,13,130,34,2,229,42,5,3,10,1,0
are,18272,6246,119,105,6380,133,59,167,4003,936,11,29,55,2,11,13,3,0
only,14601,14583,1,3,1,2,0,7,2,0,0,0,0,0,2,0,0,0
always,14018,13958,5,6,1,28,1,2,0,4,0,1,1,10,1,0,0,0
all,13749,13272,149,112,132,15,4,4,15,28,6,1,6,1,1,1,2,0
really,11578,10792,361,188,119,19,3,4,17,25,36,2,1,8,0,2,0,1
was,11232,3939,809,2557,1750,101,36,191,49,587,1173,20,8,3,8,0,1,0
so,11096,10225,350,214,83,61,43,14,36,3,9,3,36,5,2,10,0,2
even,9729,8750,84,435,168,118,31,12,50,25,20,4,14,5,6,5,0,2
no,9564,150,2,26,2,2,1,9359,15,2,1,0,0,2,1,1,0,0
as,9325,8576,214,106,145,101,24,2,68,35,8,11,24,0,0,10,1,0
none,8785,0,0,0,8784,0,0,0,1,0,0,0,0,0,0,0,0,0
nor,7734,1,0,0,0,7732,0,1,0,0,0,0,0,0,0,0,0,0
it,7350,5310,72,16,83,1594,2,2,0,223,1,0,34,1,1,9,0,2
at,7312,7063,14,145,35,15,6,1,2,14,5,6,1,0,2,0,3,0
any,6934,6383,47,56,81,153,27,0,5,24,13,108,7,1,14,3,11,1
that,6614,6366,152,20,10,9,8,0,2,7,13,4,5,11,1,2,0,4
were,6575,1692,194,38,2753,53,14,48,1283,473,8,3,8,0,5,3,0,0
just,5710,5469,34,69,14,13,11,31,55,1,2,0,4,5,2,0,0,0
get,5582,5350,142,32,7,5,0,0,7,5,9,11,8,0,0,6,0,0
's,5094,2902,31,1137,60,24,24,164,17,12,691,8,13,5,4,1,0,1
",",4644,2711,552,817,131,102,41,62,105,19,23,9,35,2,22,10,1,2
necessarily,4504,4443,0,8,10,31,2,0,0,6,2,0,0,2,0,0,0,0
much,4234,3937,24,157,10,24,23,20,17,4,2,3,2,2,5,1,3,0
"""",4025,3594,130,107,37,50,18,30,10,7,13,12,11,0,4,1,0,1
yet,3797,3743,1,6,9,33,0,0,1,0,3,0,0,0,1,0,0,0
seem,3157,3028,24,13,24,22,1,1,23,8,0,11,1,0,0,1,0,0
hardly,2716,0,0,0,0,0,0,0,0,0,0,2716,0,0,0,0,0,0
too,2701,2419,31,91,19,16,104,1,2,6,2,1,0,9,0,0,0,0
rarely,2589,0,2,0,0,0,0,0,0,0,0,0,2587,0,0,0,0,0
actually,2500,2353,33,17,31,4,4,4,44,3,4,1,1,0,0,1,0,0
they,2371,1626,11,0,0,599,0,1,0,88,1,1,43,0,0,1,0,0
without,2000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0
half,1946,1765,32,58,32,11,0,0,6,6,2,1,0,6,21,1,4,1
ain't,1846,1,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,0,0
very,1820,1719,29,18,11,15,6,5,11,4,0,0,0,0,1,0,1,0
ever,1643,341,141,762,105,47,10,2,20,15,89,49,56,0,2,2,1,1
more,1627,877,209,350,94,13,2,12,19,3,18,15,7,0,1,3,4,0
mention,1588,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this,1255,980,202,10,12,22,4,4,1,3,2,0,12,0,0,2,0,1
usually,1238,1206,7,7,2,5,1,0,3,4,0,0,0,3,0,0,0,0
neither,1163,6,0,5,0,0,2,0,0,1150,0,0,0,0,0,0,0,0
're,1095,988,3,19,6,12,3,47,5,7,2,0,2,1,0,0,0,0
he,1075,743,13,1,0,284,0,0,0,30,0,0,3,0,1,0,0,0
a,1071,926,28,12,4,49,17,5,22,2,2,3,1,0,0,0,0,0
'm,1015,887,13,23,8,7,1,59,5,8,2,0,0,2,0,0,0,0
exactly,1013,1005,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0
barely,942,1,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0
far,858,718,41,41,11,3,7,17,15,1,1,1,1,0,1,0,0,0
i,844,448,50,1,1,307,0,0,0,30,0,0,7,0,0,0,0,0
we,775,653,10,2,1,94,0,0,0,9,0,0,6,0,0,0,0,0
getting,762,615,7,1,8,0,117,2,3,4,3,0,1,0,0,1,0,0
you,753,708,5,1,2,25,1,1,2,7,0,0,1,0,0,0,0,0
in,727,667,36,4,6,5,2,0,0,1,1,1,2,0,0,2,0,0
',712,625,27,18,7,15,4,11,1,1,2,1,0,0,0,0,0,0
become,697,609,53,1,5,2,3,1,12,1,3,1,5,0,0,0,1,0
``,659,598,8,23,4,0,13,6,4,1,1,1,0,0,0,0,0,0
she,647,548,9,0,0,80,0,0,0,9,0,0,1,0,0,0,0,0
near,642,313,4,19,8,3,0,287,0,2,0,0,0,3,0,1,0,2
seldom,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0
or,597,237,19,258,26,9,6,5,5,2,6,1,17,0,3,3,0,0
already,544,535,0,2,0,1,1,0,5,0,0,0,0,0,0,0,0,0
them,521,15,1,2,388,10,0,0,60,43,0,1,0,1,0,0,0,0
few,501,2,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0
nobody,500,0,0,2,0,0,0,0,0,0,497,0,0,1,0,0,0,0
bit,499,458,2,2,2,0,5,3,24,0,0,1,1,1,0,0,0,0
seemed,482,83,243,26,35,1,0,0,17,15,25,7,19,0,0,10,1,0
little,482,431,2,13,0,0,5,2,25,1,0,1,1,0,0,0,1,0
am,446,362,16,8,8,23,5,11,6,5,1,0,1,0,0,0,0,0
appear,445,429,2,0,3,3,1,0,3,3,0,1,0,0,0,0,0,0
scarcely,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0
nit,439,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
also,432,397,1,4,4,3,3,0,18,1,1,0,0,0,0,0,0,0
most,431,395,5,6,2,14,0,1,5,1,1,0,1,0,0,0,0,0
way,403,346,9,19,1,9,9,1,3,1,1,3,0,1,0,0,0,0
still,379,313,8,11,10,4,3,5,15,2,4,0,0,0,3,1,0,0
lot,374,312,12,34,2,2,2,3,4,0,0,2,0,0,1,0,0,0
least,345,328,0,2,1,3,4,1,5,0,0,0,0,1,0,0,0,0
often,332,316,0,2,2,2,0,4,3,1,0,1,1,0,0,0,0,0
-,320,199,21,46,12,4,8,14,7,0,2,3,1,0,3,0,0,0
perhaps,317,228,2,12,55,13,0,2,5,0,0,0,0,0,0,0,0,0
generally,305,296,1,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0
significantly,303,283,2,2,2,8,3,1,0,2,0,0,0,0,0,0,0,0
and,295,174,7,85,9,3,1,3,3,2,1,1,4,0,0,2,0,0
almost,287,253,3,8,2,0,3,1,12,0,0,0,1,0,3,1,0,0
particularly,279,245,10,10,7,2,1,0,2,2,0,0,0,0,0,0,0,0
remotely,264,192,11,30,22,1,0,0,1,6,1,0,0,0,0,0,0,0
but,261,201,3,37,3,2,1,3,0,0,1,1,3,0,4,1,1,0
got,247,22,173,5,6,1,0,1,9,0,20,0,8,0,2,0,0,0
simply,241,218,0,3,0,2,4,2,11,1,0,0,0,0,0,0,0,0
entirely,241,239,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aint,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
),225,182,6,10,0,9,0,0,2,1,1,0,5,0,9,0,0,0
around,223,202,8,1,6,0,0,0,0,1,0,1,2,1,0,1,0,0
merely,217,215,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
its,216,159,4,7,1,9,1,31,1,0,0,2,0,0,0,0,1,0
gotten,209,184,18,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0
inherently,204,178,0,17,6,1,0,0,0,2,0,0,0,0,0,0,0,0
how,203,175,2,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0
to,200,156,10,7,0,1,0,4,20,0,0,0,0,0,2,0,0,0
seems,200,5,50,59,34,0,0,2,2,9,32,2,4,0,0,1,0,0
now,196,167,1,5,10,3,0,1,9,0,0,0,0,0,0,0,0,0
normally,195,189,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
twice,194,178,1,0,0,0,6,1,1,0,1,1,0,1,3,0,1,0
have,194,153,16,1,9,2,0,1,5,2,0,1,1,0,0,3,0,0
times,194,179,3,2,0,2,3,2,2,0,0,1,0,0,0,0,0,0
less,192,73,11,39,54,2,0,8,2,0,0,1,1,0,1,0,0,0
--,185,105,7,40,7,7,0,0,17,1,1,0,0,0,0,0,0,0
gets,181,24,80,19,4,0,2,2,0,2,36,1,10,0,0,1,0,0
if,180,13,0,54,0,0,0,1,0,0,0,0,98,0,0,14,0,0
currently,175,165,0,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0
either,169,101,7,8,10,2,22,1,13,0,1,0,3,0,0,1,0,0
typically,166,164,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pretty,166,146,1,4,0,1,4,1,7,0,1,0,0,1,0,0,0,0
world,159,18,3,133,1,1,0,0,0,0,2,0,1,0,0,0,0,0
likely,151,129,0,1,8,1,9,0,1,2,0,0,0,0,0,0,0,0
(,150,85,4,13,11,2,5,2,26,0,0,0,1,1,0,0,0,0
one,148,84,39,6,1,11,2,1,0,0,0,1,2,0,0,0,1,0
probably,144,93,2,7,13,5,1,3,10,4,5,1,0,0,0,0,0,0
%,138,131,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
else,135,3,0,120,0,1,0,0,0,0,10,0,0,0,0,0,0,1
otherwise,132,130,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
his,132,119,2,2,0,4,1,0,1,1,0,2,0,0,0,0,0,0
their,130,119,0,0,0,1,4,0,3,0,0,1,0,0,0,2,0,0
