adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,always,just,relatively,completely,particularly,far,only,now,all,incredibly,fairly,especially,truly,increasingly,rather,absolutely,slightly,almost,super,totally,entirely,that,well,often,no,already,somewhat,equally,long,fully,potentially,perfectly,deeply,actually,mostly,nearly,significantly,probably,both,never,politically,seemingly,least,generally,sometimes,usually,surprisingly,ever,largely,currently,definitely,overly,any,certainly,immediately,simply,real,easily,yet,readily,once,environmentally,hugely,exceptionally,otherwise,clearly,unusually,about,mentally,physically,remarkably,virtually,socially,terribly,utterly,partly,genuinely,seriously,reasonably,damn,however,exactly,way,wildly,little,financially,considerably,then,historically,hardly,perhaps,brand,obviously,necessarily,sexually,therefore,consistently,extraordinarily,directly,widely,barely,amazingly,economically,inherently,mutually,apparently,previously,finally,technically,visually,immensely,naturally,emotionally,vastly,typically,sufficiently,critically,wide,substantially,ridiculously,wonderfully,second,indeed,purely,downright,fundamentally,uniquely,personally,similarly,wholly,openly,predominantly,publicly,kinda,commercially,exceedingly,culturally,heavily,thoroughly,notoriously,comparatively,plain,morally,likely,painfully,half,closely,essentially,overwhelmingly,possibly,legally,ultimately,statistically,intensely,enormously,dangerously,profoundly,insanely,mainly,awfully,moderately,primarily,tremendously,extra,somehow,radically,darn,practically,over,unbelievably,normally,instantly,newly,basically,pleasantly,again,technologically,merely,minimally,supposedly,thus,strictly,infinitely,initially,aesthetically,remotely,vitally,distinctly,mildly,fiercely,decidedly,rarely,dramatically,maybe,strikingly,traditionally,kind,enough,horribly,strangely,terminally,of,partially,beautifully,constantly,altogether,further,medically,freely,unexpectedly,oddly,noticeably,suddenly,roughly,acutely,forever,abundantly,sharply,brutally,impossibly,massively,fiscally,excessively,eerily,undeniably,near,deceptively,occasionally,frequently,supremely,stunningly,vaguely,broadly,universally,visibly,beyond,notably,shockingly,solely,reportedly,than,chronically,strongly,clinically,marginally,literally,up,keenly,albeit,progressively,back,globally,intellectually,longer,first,cautiously,doubly,disproportionately,though,abnormally,undoubtedly,officially,exclusively,desperately,markedly,surely,formerly,understandably,deliciously,non,specifically,severely,greatly,overtly,allegedly,overall,refreshingly,crystal,admittedly,famously,eternally,genetically,drastically,bad,patently,delightfully,strategically,astonishingly,nationally,racially,scientifically,endlessly,ecologically,biologically,out,soon,woefully,humanly
SUM,74015056,9287523,8241221,6877921,5336645,5159868,3440339,3332759,1979515,1904149,1474485,1092729,1037796,1025285,967605,899841,845643,730471,654770,594213,576019,562991,509791,505439,416246,397993,391884,387822,370048,355372,353043,347359,333684,304406,302600,300518,292967,286843,285136,253414,249380,248796,245182,235329,223586,214647,207110,194550,188866,169825,165433,142388,139937,139663,136651,133593,121335,119616,117674,112842,112177,111393,110379,107490,106608,106351,104487,101567,101517,96991,96769,95892,94799,91526,89996,88904,88882,84798,83534,82700,80231,74938,70814,70327,69766,69194,67537,64450,64410,63003,61761,60744,60104,59147,58935,56789,56352,56244,54785,53802,52361,51507,50603,49675,49452,49100,48259,48170,47773,47167,47165,46037,45968,44715,43862,42298,42280,41905,41726,41086,41035,40834,40745,40388,38805,38803,38457,38307,38250,37813,37746,37489,37365,36841,36385,36350,36076,35987,35736,35533,35379,35172,34851,34756,34243,33851,32892,32640,32630,32523,32408,32125,31868,31864,31478,31358,31007,30704,30684,30620,30595,30133,29976,29936,29194,29177,28125,27737,27316,27147,26587,26025,25780,25276,25241,25067,25030,24966,24439,24282,23990,23632,23414,23231,23149,23072,22832,22693,22220,22182,21926,21765,21168,20578,20390,20385,20338,20164,19770,19684,19673,19567,19501,19043,18972,18853,18570,18383,18378,18159,18095,18080,17953,17787,17776,17499,17342,17148,17140,17113,17053,16967,16955,16947,16784,16602,16444,16024,16014,15795,15790,15765,15643,15570,15387,15142,14894,14737,14669,14638,14420,14314,14144,13912,13744,13633,13527,13518,13515,13365,13333,13164,13076,13020,12963,12906,12773,12679,12619,12611,12542,12470,12387,12083,12032,11879,11806,11636,11594,11427,11401,11285,11118,11100,10971,10885,10883,10881,10871,10724,10691,10618,10594,10561,10556,10554,10381,10375,10347,10314,10244,10097,10074,10027,9874,9846,9694,9643,9574,9574,9534,9464,9456,9414,9375,9349,9258,9231,9210,9160,9144,9126,9062,9047,9044,8977,8936
good,2872747,644398,21021,5880,149256,142461,248773,58563,259683,286470,241515,2673,130338,24491,27695,9832,17594,16702,69,52227,11559,6467,542,17460,51611,14005,1518,21628,3666,10685,10088,3558,670,4642,906,14354,1339,1931,471,442,21482,839,4362,22982,2452,3193,4690,1259,70,1770,10302,50,9921,2066,560,9242,17196,2890,4935,40,853,360,6811,1895,5828,7767,1621,168,223,5159,71,35498,4590,137,1876,16440,301,355,3,417,51,67,4254,1631,1605,949,2259,47,296,2434,24,53,787,40,51,2018,1802,5219,17022,1162,348,12437,81,1367,337,2524,1461,357,379,3380,2,1596,3831,6,783,3933,885,17,5,397,1541,165,2053,31,545,109,265,644,50,214,1363,43,970,756,368,11,11,1537,1510,158,3776,725,207,123,915,154,57,294,287,0,47,2,352,8,505,8,1,275,117,481,783,946,905,43,107,0,430,253,911,8,676,189,39,105,120,192,1212,118,1983,470,50,399,164,920,189,7657,42,315,1068,387,259,9,1054,10,263,19,821,36,593,285,149,2555,78,62,242,6,118,99,12,300,302,818,1518,153,223,28,1581,24,94,2,153,29,13,309,206,279,18,2,437,42,878,84,11,3,65,29,11,21,148,142,11,39,65,406,167,121,117,130,175,379,31,31,219,74,66,375,470,36,95,106,1,10,11,2325,105,157,0,51,460,299,32,9,113,100,15,145,26,314,31,366,45,31,3,769,492,55,10,108,20,110,5,26,10,89,1973,66,0,107,95,38,16,167,29,9,21,47,534,3,1,19,12,17,9,358,57,1,6
many,2465143,21205,373,140,1191059,58394,434207,448976,517,214,54,54,5309,1132,235,36,267009,1019,8,94,345,92,23,90,243,480,870,49,42,13,134,67,105,173,29,7,62,4,7,6,4086,306,512,3,243,4,110,121,9,339,9,18,192,17,31,10,727,16,20,6,47,171,47,126,123,332,206,4,52,60,16,1,340,35,46,0,39,158,2,167,0,3,11,69,300,8,4360,3,5,20,17,3,53,2,1,2,27,1,211,4266,79,33,0,37,8,7,196,115,14,1121,1,115,15,4,163,3,3,18,1,0,31,4,1,0,186,65,13,7,6,3,163,4,10,88,58,7,0,0,2,1,12,469,0,0,3,3,34,73,1,5,2,67,0,3,14,5,2,9,4,9,1,0,662,2,3,21,10,1,343,5,13,13,2,1,1,3,3,14,7,0,4,2,1,29,1,45,13,4574,13,19,7,1,18,2,476,1,14,0,28,273,1,675,29,0,0,1,0,0,2,1,12,6,146,4,70,6,71,0,14,0,9,0,6,2,8,42,2,2,10,7,3,53,7,1,6,2,0,0,2,2,1,16,0,13,6,1,7,34,0,0,1,6,1,1,2,29,10,2,12,0,0,23,3,0,43,16,2,97,1,959,23,2,0,31,0,1,15,278,1,440,4,5,7,0,425,15,45,2,3,20,2,7,1,5,22,0,0,64,7,0,1,2,0,0,1,1,4,11,0,0,6,0,0,24,268,0,0
important,2198642,356900,305891,746782,104663,24149,102784,12806,71718,1828,6584,25147,658,67059,5665,51804,17839,9108,4790,9313,2471,281,73,26237,48,4088,556,3926,16476,1007,35858,4433,22148,1748,888,105,58,4616,122,32,7809,131,643,7,141,1138,29768,660,8,1858,1,764,1336,115,38,298,492,895,115,989,196,2865,117,172,265,219,518,30,49,1199,146,1,1637,99,120,1386,3,75,2,256,140,7725,753,100,930,105,85,15,20,140,8,371,1706,205,3,254,234,53,289,731,30,26,169,14,66,41,162,2288,63,109,0,1538,267,4,3676,37,999,35,19,8,106,1662,74,36,102,40,10,43,50,1430,52,100,348,39,358,17445,2,30,47,28,475,518,2,11,1457,298,366,303,17,0,5,32,120,806,590,777,12,8,0,5,4,101,98,8,2,4,155,146,106,32,207,55,76,1717,5,1131,69,71,169,143,88,1647,440,133,19,181,79,5,186,32,6,55,45,0,112,62,56,21,71,560,5,87,24,46,63,17199,17,28,4,18,34,48,36,13,66,5,36,6,17,0,55,4,3,23,15,385,678,0,32,11,12,58,2,38,4,6,0,3,10,917,5,23,0,322,3,21,17,25,455,11,21,20,83,8,64,26,6,10,4,11,0,7,697,40,1,3,18,114,24,8,526,19,71,391,1,787,97,102,6,323,1,13,198,0,108,26,23,0,34,195,13,167,8,26,12,1,0,30,3,48,24,19,0,4,0,5177,15,399,2,189,11,657,313,0,4,1,4
much,2026845,42027,102,22,613054,79899,355270,579790,3063,289,57797,15,998,407,89,47,258247,404,1,69,91,27,1,21,55,85,172,120,56,42,20,25,11,45,5,3,5,2,2,2,20731,118,105,20,54,3,13,213,1,41,1,0,150,6,2,3,104,7,796,1,9,13,28,9,94,28,156,4,34,18,41,0,97,1,15,2,4,122,0,10,1,2,3,18,67,2,1682,2,2,5,1,0,105,0,0,2,1,4,247,3436,72,11,0,8,2,3,57,11,108,96,2,56,59,0,90,0,1,0,1,11,8,2,0,1,53,11,1,2,0,1,29,0,3,18,0,0,3,0,5,0,10,242,0,0,0,0,9,5,1,0,0,1,0,0,3,1,2,0,0,3,0,0,84,3,2,5,15,2,36,0,9,0,2,4,0,0,5,0,11,1,1,2,1,5,0,50,0,3246,6,29,3,0,13,0,52,0,0,0,2,171,0,4,8,0,2,0,1,0,0,0,57,2,18,0,4,0,15,3,0,0,27,0,1,2,1,7,0,2,1,1,2,8,0,0,3,0,0,0,2,0,0,19,0,1,5,0,2,5,1,0,0,0,0,2,13,1,1,0,1,0,1,0,0,0,5,49,0,26,0,218,1,0,28,4,0,1,0,259,1,33,0,0,1,0,51,2,6,0,2,1,0,2,0,2,4,0,0,26,0,0,0,1,0,0,1,0,3,1,0,0,1,0,0,87,30,0,0
likely,1055427,35628,498300,191813,847,63068,31826,1191,467,526,1312,139529,883,16837,7412,1981,1655,3271,12695,1131,215,63,20,1102,260,2482,2392,1069,168,496,1379,25,4777,168,17,18,23,30,16,549,133,61,154,22,287,902,2382,124,1,31,28,1,383,1058,5,28,253,323,1011,8,27,11705,52,6,55,14,1962,4,62,71,15,10,241,28,64,36,3,28,1,18,0,16,26,92,15,25,10,0,1,7,1,0,165,2,1,6,6,845,15,62,32,7,1,30,1,6,548,7,1280,96,0,27,56,0,1049,1,8,0,2,10,1,1,48,0,26,6,11,5,0,0,10,0,0,12,31,0,0,60,1,0,9,186,0,8,1,3,2,47,2,0,0,0,3,0,84,0,4,0,3,0,1,0,41,0,2,2,5,330,15,1,58,188,0,3,13,4,1,5,15,33,0,4,73,8,0,14,0,5,1,16,2,0,2,0,229,0,25,0,4,388,0,1,13,0,101,2,5,0,0,2,19,0,15,1,2,0,8,4,0,0,1,0,0,5,49,51,1,0,0,0,0,4,1,0,3,0,0,0,0,1,0,0,1,1,2,0,1,8,2,0,5,1,2,0,4,3,1,3,37,433,0,29,0,1,3,9,0,32,2,8,1,0,36,27,0,12,391,88,0,11,0,0,1,2,27,0,2,0,1,4,0,2,0,1,1,0,0,7,0,0,11,0,7,0,0,1,2,0,0,2,0,0,1,8,157,0,1
more,1017316,69,1635,90,2954,18344,2849,52,4560,353963,14,285,199340,2636,69,128,43,8906,6,2622,7351,675,5,63,103094,2315,3915,919,31,5,83,192,1921,2104,117,19058,1659,1,44,27,23,1119,1807,91759,856,2246,19,125,8,1096,5,0,2348,87,134,15096,6166,222,2009,19,241,80,475,1312,1192,52,6791,27,124,2026,1,7271,1797,29,618,16,130,5905,3,16333,5,30,7,70,715,4,17174,18,20,26,9,4,3,0,6,11,24,9,2,69,19,12088,12,28272,18,7820,382,35,691,7306,5,370,189,2,228,68,4,17,5,1617,9,11,75,2,243,27,35,83,9,48,137,15,1796,284,15,2,9,4303,9,2,25,214,2,0,37,3,50,12,1,0,7,4,16,0,24,3,9,3,1,152,14,0,1091,0,86,4,105,41,2029,6,136,48,3,36,2,14,5,23,0,19,8,36,1,128,23,1,20,3446,6,93,15,1,140,1,303,2,140,6,75,761,6,1181,29,4,3,1,34,5,0,270,404,384,2782,5,42,7,131,0,4,0,70,1,5,23,86,894,2,4,3,6,271,65,64,2,99,35,11,0,1,83,0,5,3,21,3,0,64,67,2,3,2,5,3,24,4,95,4,2,49,0,2,4,0,327,134,372,0,114,516,469,43,1,1,30,0,2,206,375,0,189,26,3,3,73,411,6,16,2,4,29,3,28,1,34,145,1,0,63,6,1,9,56,10,0,5,3,1,27,0,2,18,1,6,215,339,0,1
easy,983546,124821,7320,1584,88004,130326,72774,39905,29457,137053,31606,1864,18785,13589,18514,11930,5662,2254,42,29743,4430,29516,249,1951,11505,2057,4431,1831,9379,18037,1240,426,1085,3195,281,1762,642,22961,336,178,13779,118,3796,951,226,2033,749,227,19,212,255,5,2672,229,24,1845,1855,1715,12243,258,673,37,1784,1399,2450,4639,841,13,94,942,104,9980,1268,69,629,2282,13,337,1,166,3,13,900,116,70,92,197,29,107,1334,6,6,294,24,3,59,148,939,414,124,1106,2868,10,435,42,1175,330,26,133,564,0,274,1134,3,975,42,183,3,2,8,750,12,82,2,223,28,29,206,48,93,119,51,202,574,46,0,6,263,2043,303,20,157,4,85,34,22,4,162,6,1,2,0,116,2,231,6,1,17,157,1266,126,14,145,149,8,0,32,17,102,17,69,13,10,25,189,11,396,19,230,297,4,137,176,205,31,324,30,406,376,166,39,6,49,29,84,15,35,0,146,543,1,807,46,2,40,15,10,7,0,55,603,164,180,11,14,6,33,20,60,0,76,0,32,30,90,50,0,1,89,22,83,72,3,1,11,11,0,5,72,30,0,62,15,40,12,467,9,38,120,62,2,1,19,4,103,45,279,8,22,11,0,1,2,90,34,35,0,22,161,32,11,12,32,22,0,17,6,49,6,55,2,2,10,52,58,7,17,111,9,6,0,11,1,17,79,99,0,70,25,1,2,55,1,3,134,2,113,2,0,3,8,0,3,70,14,9,1
different,895707,232538,12218,1364,39289,4806,9294,5191,6529,44299,2139,198,349,3709,43101,2067,4815,651,191,2129,5402,133,105447,349,10884,886,502,6691,989,569,128,1143,144,5108,825,54565,80,135,47688,45558,8105,199,1016,21078,189,10862,123,45,88,302,45,119,603,161,12,10111,595,278,61,54,550,65,162,266,325,434,52,256,14,2255,21,6975,1335,54,552,202,13,231,4,41,5,594,79,64,1134,39,510,26,364,1174,12,35,525,1288,37,250,68,22,31,364,42,1543,5168,1759,2,1582,37,54,259,220,0,969,210,36,129,68,147,3,1782,132,162,15,683,16,203,17,17,129,210,113,111,27,20462,100,520,57,0,2921,25,229,1,310,12,11,9634,1216,6,29,2347,4,9,2,130,3,48,477,6,82,14,27,71,74,233,23,9,8,666,29,104,77,45,470,29,97,35,1357,33,27,40,30,19,143,1,1307,15522,11,21,12,35,18,36,3,124,45,96,20,189,17,76,62,8,87,10,57,39,17,6165,39,4,2673,11,6747,236,2251,20,5,124,23,98,0,92,33,78,35,5064,20,6,0,37,60,1445,76,4,17,61,4,1038,7,18,238,1,8,12,62,0,3,20,42,5,72,28,49,2,243,3,743,153,15,6,1,0,44,9,193,36,19,1,155,14,12,2,9,1,4,0,4,5,105,1,73,5,10,15,5289,95,3,21,234,9,62,21,395,9,32,7,864,0,32,10,12,550,6024,1,24,185,19,51,1,90,4,21,17,153,7,10,5,0
difficult,830587,187426,220118,76603,26523,25481,16026,27898,18735,639,5644,5466,784,4194,15482,39929,6885,3590,471,5624,1055,776,45,10562,34,749,447,549,11486,1353,7052,838,19606,5223,94,649,382,414,28,54,6544,84,11740,19,2539,3346,1392,238,1,826,1,63,683,49,77,71,328,428,245,1797,245,386,443,5999,792,1447,71,15,249,377,613,3,405,10,166,557,3,131,0,100,8,340,1406,799,123,364,51,66,352,405,69,40,1669,37,4,261,146,75,310,920,129,13,33,372,343,71,84,208,81,222,0,354,193,2,676,60,2439,0,1,4,171,124,602,6,108,225,2,1080,14,561,52,888,16,236,74,9,0,16,313,17,7,348,2,210,56,203,115,282,4,2,3,7,164,5,2737,12,1,10,5964,62,96,60,76,256,4,0,12,123,81,88,37,13,168,611,24,207,441,9,547,514,1,653,246,86,3,118,138,13,300,155,1,3,12,4,60,61,65,7,32,239,1,29,233,1,37,3,18,33,34,56,40,16,98,8,169,3,14,149,56,2,143,2,16,11,20,76,10,0,172,52,9,26,1,31,5,3,0,344,536,51,13,121,0,56,13,246,180,221,101,21,2,0,20,13,91,40,38,1,28,20,14,1,13,6,20,12,0,133,162,6,3,40,10,73,0,496,23,94,14,86,1,3,77,6,51,14,244,14,0,25,17,13,10,8,17,7,0,306,280,7,0,4,2,1,21,12,45,0,0,16,15,0,5,6,7,9,6
