adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
good,316,9090.97,48321.02,0,47.0,282.0,1538.0,644398,2872747,5.315276227571421,644398,1491.0,3774.5,-2189.5,291.54912886633326,23.951467836833306
many,316,7801.09,76940.97,0,2.0,8.5,55.0,1191059,2465143,9.862854329885963,1191059,53.0,134.5,-77.5,15.940466697800465,3.8892079053875888
important,316,6957.73,50510.85,0,13.0,67.5,443.75,746782,2198642,7.259675946925476,746782,430.75,1089.875,-633.125,90.84674890296147,10.00176296543515
much,316,6414.07,53566.67,0,0.0,2.0,20.25,613054,2026845,8.351436577816013,613054,20.25,50.625,-30.375,7.1653322545576685,2.292178071433858
likely,316,3339.96,31270.24,0,0.0,5.0,42.5,498300,1055427,9.36246409375549,498300,42.5,106.25,-63.75,12.408422152900382,2.7195900599011473
more,316,3219.35,24157.49,0,4.0,26.0,208.0,353963,1017316,7.503829219581427,353963,204.0,514.0,-302.0,41.02862432705491,5.961166832211949
easy,316,3112.49,14837.66,0,10.75,58.5,331.5,137053,983546,4.767140350558249,137053,320.75,812.625,-470.375,75.05131744537634,8.300059405899667
different,316,2834.52,15710.4,0,15.75,66.5,443.0,232538,895707,5.542535239939236,232538,427.25,1083.875,-625.125,93.98016573743469,12.325624103693077
difficult,316,2628.44,17185.32,0,10.0,62.5,340.75,220118,830587,6.5382191111293695,220118,330.75,836.875,-486.125,68.0640602475136,8.482386602004647
sure,316,2627.09,31357.07,0,0.75,3.0,35.25,548852,830161,11.936037710152641,548852,34.5,87.0,-51.0,10.839712162377658,2.6337874729190776
available,316,2603.44,13460.39,0,2.0,23.5,243.0,143793,822687,5.1702321643376825,143793,241.0,604.5,-359.5,37.121426289665514,4.520283763637995
popular,316,2575.25,22903.55,0,5.0,29.0,191.0,387869,813780,8.893709288192403,387869,186.0,470.0,-274.0,40.6338135467063,5.714609127959442
high,316,2516.07,11505.25,0,17.75,101.5,674.0,142347,795079,4.572700175076619,142347,656.25,1658.375,-966.625,119.79193565535111,12.402186917754946
bad,316,2354.86,10993.76,0,14.75,68.5,370.75,89460,744136,4.668540597159991,89460,356.0,904.75,-519.25,84.15930145852403,10.03308587667996
common,316,1758.23,16331.62,0,2.0,10.0,62.25,272323,555602,9.28865018153176,272323,60.25,152.625,-88.375,18.085719786369467,3.963483774829412
happy,316,1701.12,10228.65,0,8.0,43.5,251.0,140987,537555,6.012881464499956,140987,243.0,615.5,-356.5,54.69160466567151,7.561533781797005
close,316,1677.58,8966.88,0,9.0,47.5,242.5,109906,530114,5.3451408515357555,109906,233.5,592.75,-341.25,58.869136580197875,8.51549474258711
effective,316,1677.51,12144.64,0,9.0,43.5,159.25,148838,530094,7.239672753392246,148838,150.25,384.625,-216.375,49.66757684142983,9.96844031107359
hard,316,1655.06,8045.0,0,7.0,53.0,268.0,94633,522998,4.8608574883448545,94633,261.0,659.5,-384.5,58.65999054713007,7.734800045848724
great,316,1626.44,7085.68,0,7.0,48.0,274.25,66928,513954,4.356568346554912,66928,267.25,675.125,-393.875,55.244415615874885,7.96757186075861
clear,316,1564.88,8682.59,0,8.0,35.5,223.0,110617,494503,5.548396229789147,110617,215.0,545.5,-314.5,53.37097964800188,8.167957961009574
interesting,316,1546.93,10118.64,0,6.75,30.0,146.75,109819,488831,6.541093284398418,109819,140.0,356.75,-203.25,39.650636185826585,7.161756676714883
big,316,1534.39,7947.75,0,4.0,28.0,167.5,84673,484866,5.179758161338314,84673,163.5,412.75,-241.25,35.54376990863529,5.443204357790999
small,316,1531.18,8933.33,0,6.0,43.0,233.25,116833,483854,5.834267180149537,116833,227.25,574.125,-334.875,47.9833988701031,6.3982662725640775
little,316,1488.5,14790.42,0,1.0,7.0,39.0,241408,470365,9.936481573577089,241408,38.0,96.0,-56.0,11.120521652669776,3.078966828744989
