adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,1632,5860.07,24992.36,0,263,913.5,2817.5,644398,9563637,4.264855553377855,644398,2554.5,6649.25,-3568.75,838.4134198771419,62.960073478751596
more,1632,5361.44,19171.89,0,511,1355.0,3795.0,498300,8749868,3.5758848597725432,498300,3284.0,8721.0,-4415.0,1371.998134775848,242.52381570938337
most,1632,4406.31,25717.95,0,184,652.0,2140.0,746782,7191090,5.836624121804503,746782,1956.0,5074.0,-2750.0,627.8717121250324,68.20689141996071
so,1632,3374.25,34008.95,0,173,464.0,1380.0,1191059,5506777,10.078965071880623,1191059,1207.0,3190.5,-1637.5,486.4952452186049,75.19252973396529
not,1632,3266.15,18654.45,0,121,343.5,1168.5,548852,5330354,5.711451969656961,548852,1047.5,2739.75,-1450.25,391.77171045049914,61.62328452651235
as,1632,2180.86,16234.15,0,150,365.0,1030.25,434207,3559159,7.443931251569596,434207,880.25,2350.625,-1170.375,391.8023371142954,71.6637078065712
too,1632,2099.67,19389.21,0,37,139.5,527.25,579790,3426666,9.234396415427007,579790,490.25,1262.625,-698.375,148.54694569965423,21.81599788090528
really,1632,1243.13,7940.56,0,46,123.5,436.25,259683,2028790,6.387549867401723,259683,390.25,1021.625,-539.375,159.2737269686619,44.57496221331579
much,1632,1184.61,12575.56,0,12,33.0,113.25,353963,1933281,10.615796098596567,353963,101.25,265.125,-139.875,45.596600418344444,14.109847765187558
pretty,1632,938.47,6933.36,0,37,110.5,399.0,241515,1531590,7.387905826511427,241515,362.0,942.0,-506.0,123.18210464100827,21.91192116714318
less,1632,715.27,4022.85,0,57,159.0,443.25,139529,1167325,5.624214324247729,139529,386.25,1022.625,-522.375,157.19807420833015,31.87910558849394
even,1632,655.7,6620.74,0,20,54.0,141.25,199340,1070104,10.097199039950182,199340,121.25,323.125,-161.875,61.50152772473979,20.970107948410504
also,1632,650.23,3796.93,0,36,90.0,267.25,111940,1061182,5.839321955609421,111940,231.25,614.125,-310.875,109.0714640806713,36.21945998656896
quite,1632,621.05,2203.39,0,54,137.0,407.5,43101,1013546,3.5478715781649814,43101,353.5,937.75,-476.25,145.57253484015786,33.853091039015204
extremely,1632,573.5,2282.01,0,27,94.5,326.5,51804,935953,3.9790817320173972,51804,299.5,775.75,-422.25,90.92610657330137,14.244190890971241
how,1632,524.13,9236.67,0,11,28.0,88.25,267009,855377,17.62293301452443,267009,77.25,204.125,-104.875,33.7970799642656,10.406062703951095
still,1632,473.2,2107.28,0,20,67.0,234.25,59429,772257,4.453277022377586,59429,214.25,555.625,-301.375,76.74495246339171,22.041616560321124
highly,1632,428.88,1954.87,0,4,22.0,141.0,35433,699934,4.558073424089223,35433,137.0,346.5,-201.5,30.333473640200268,5.703526687633976
always,1632,375.34,1996.34,0,15,44.0,145.0,52227,612556,5.318745135731555,52227,130.0,340.0,-180.0,53.06633273645242,16.62450489433585
just,1632,370.35,2268.13,0,15,45.0,152.5,66624,604406,6.124328523435455,66624,137.5,358.75,-191.25,53.77937259670351,16.303930366829427
relatively,1632,358.46,2473.54,0,3,11.0,62.0,56893,584999,6.900563174745314,56893,59.0,150.5,-85.5,18.10127238596336,4.90136402705868
completely,1632,340.98,2923.53,0,9,30.0,131.25,105447,556485,8.57381196233475,105447,122.25,314.625,-174.375,36.795298763023276,8.445756734337804
particularly,1632,326.42,1281.15,0,16,55.0,176.25,26237,532717,3.9248413569241323,26237,160.25,416.625,-224.375,56.55836092480618,13.440868468043977
far,1632,259.87,3199.45,0,0,1.0,6.0,103094,424104,12.311851268697959,103094,6.0,15.0,-9.0,4.213290710318997,1.9761229271896215
only,1632,255.42,1658.24,0,14,39.0,115.25,52689,416852,6.4921244636453785,52689,101.25,267.125,-137.875,44.27215776449925,15.567388702739525
all,1632,252.94,1291.46,0,11,32.0,113.25,34808,412800,5.105758392352847,34808,102.25,266.625,-142.375,40.24993004081388,13.442057056202389
now,1632,251.94,2970.05,0,5,17.0,67.25,113460,411169,11.78863811573955,113460,62.25,160.625,-88.375,22.436011191103574,7.093049258641404
incredibly,1632,237.28,808.33,0,11,42.0,149.0,16476,387233,3.406715060058211,16476,138.0,356.0,-196.0,42.30852037996104,9.051383002512432
truly,1632,232.41,822.82,0,13,42.0,158.25,18442,379293,3.5403932592799827,18442,145.25,376.125,-204.875,48.61462931829991,14.19454582256217
fairly,1632,227.2,953.98,0,10,33.0,102.0,18037,370788,4.198870554538608,18037,92.0,240.0,-128.0,36.500133808909986,10.390936081419804
especially,1632,224.11,1478.38,0,8,26.0,90.5,39839,365741,6.596810063731162,39839,82.5,214.25,-115.75,29.533587705444006,8.344955383777911
increasingly,1632,219.66,1094.22,0,8,28.0,107.0,22310,358491,4.981358818331072,22310,99.0,255.5,-140.5,32.81655196858725,8.722042331866463
almost,1632,213.52,1516.48,0,5,22.0,84.25,51155,348470,7.102184439102249,51155,79.25,203.125,-113.875,25.277733183316442,6.773317941034165
rather,1632,205.97,531.69,0,19,60.0,180.75,10644,336149,2.5813461430525235,10644,161.75,423.375,-223.625,59.348992850287566,16.12493778052387
slightly,1632,199.32,1667.33,0,2,12.0,59.0,54565,325284,8.365234567994975,54565,57.0,144.5,-83.5,16.11193535385263,4.459065442300588
absolutely,1632,198.86,999.37,0,4,14.0,56.25,18745,324532,5.025619450031383,18745,52.25,134.625,-74.375,19.165082207518772,5.934063768645852
totally,1632,190.03,1398.69,0,7,23.0,93.25,47688,310122,7.360522043570995,47688,86.25,222.625,-122.375,28.066676815365707,8.004015657766184
super,1632,182.5,923.66,0,3,13.0,68.0,22961,297842,5.061132090959698,22961,65.0,165.5,-94.5,17.48820678175796,4.45408953597612
often,1632,167.8,492.84,0,18,47.0,134.0,11740,273851,2.93704991321635,11740,116.0,308.0,-156.0,50.466130416569506,16.467504334754025
entirely,1632,165.88,1700.0,0,3,11.0,50.0,45558,270720,10.248239051233844,45558,47.0,120.5,-67.5,15.574138868868252,4.898127654277943
well,1632,155.11,2320.6,0,2,5.0,17.0,68835,253134,14.961350683970709,68835,15.0,39.5,-20.5,7.9080367947390044,3.573108768883264
that,1632,154.68,1210.38,0,2,7.0,28.0,24306,252433,7.825226634402153,24306,26.0,67.0,-37.0,11.03354280690537,3.8910146935622554
somewhat,1632,149.32,442.23,0,14,47.0,132.0,10862,243692,2.9616058766723885,10862,118.0,309.0,-163.0,45.42656569268555,14.383715317337925
already,1632,147.37,674.79,0,5,19.0,76.5,15719,240511,4.578807086360275,15719,71.5,183.75,-102.25,23.63218086602673,7.29504565844216
no,1632,144.83,2562.23,0,0,0.0,2.0,91759,236361,17.691438629912376,91759,2.0,5.0,-3.0,2.22178634162808,1.4173137628687031
equally,1632,136.4,793.93,0,14,37.0,102.25,29768,222606,5.820592051756642,29768,88.25,234.625,-118.375,39.356765503450504,13.586823672861287
fully,1632,125.55,891.52,0,1,3.0,18.0,24951,204891,7.101141985596957,24951,17.0,43.5,-24.5,6.940180379244418,2.630649537000864
long,1632,122.99,1040.99,0,3,9.0,33.0,25154,200717,8.464128278753037,25154,30.0,78.0,-42.0,12.915017485258838,4.923207427491275
potentially,1632,114.92,675.27,0,2,7.0,36.0,19385,187550,5.875977779572499,19385,34.0,87.0,-49.0,11.695815030864576,3.9848821098054525
perfectly,1632,108.08,682.04,0,1,5.0,22.0,14603,176394,6.310281553731862,14603,21.0,53.5,-30.5,8.191645389817891,3.053388003004251
mostly,1632,97.98,357.8,0,4,14.5,53.0,6208,159907,3.6517277699520947,6208,49.0,126.5,-69.5,18.210747559033315,6.163847893085909
nearly,1632,94.94,1064.9,0,0,2.0,10.0,37460,154949,11.216058253340583,37460,10.0,25.0,-15.0,5.397625486962968,2.406030971113685
deeply,1632,94.85,580.59,0,1,5.0,28.0,14867,154798,6.121007156064701,14867,27.0,68.5,-39.5,8.635461971377103,2.9238789210547447
