|        | `key`              | `l1`       |     `f` |   `dP1` |   `LRC` |   `P1` |       `G2` | `l2`         |       `f1` |    `f2` |        `N` |    `exp_f` |   `unexp_f` |   `unexp_r` |   `odds_r_disc` |    `t` |   `MI` |
|:-------|:-------------------|:-----------|--------:|--------:|--------:|-------:|-----------:|:-------------|-----------:|--------:|-----------:|-----------:|------------:|------------:|----------------:|-------:|-------:|
| **1**  | NEGany~necessarily | NEGATED    |  42,595 |    0.83 |    7.15 |   0.88 | 230,465.59 | necessarily  |  3,173,681 |  48,641 | 71,961,373 |   2,145.19 |   40,449.81 |        0.95 |            2.19 | 195.99 |   1.30 |
| **2**  | NEGany~that        | NEGATED    | 164,768 |    0.75 |    6.37 |   0.80 | 831,669.72 | that         |  3,173,681 | 206,801 | 71,961,373 |   9,120.45 |  155,647.55 |        0.94 |            1.95 | 383.45 |   1.26 |
| **3**  | NEGany~exactly     | NEGATED    |  43,813 |    0.74 |    6.19 |   0.78 | 216,169.98 | exactly      |  3,173,681 |  56,109 | 71,961,373 |   2,474.55 |   41,338.45 |        0.94 |            1.89 | 197.49 |   1.25 |
| **4**  | NEGany~immediately | NEGATED    |  56,099 |    0.57 |    5.04 |   0.61 | 231,721.98 | immediately  |  3,173,681 |  91,746 | 71,961,373 |   4,046.23 |   52,052.77 |        0.93 |            1.54 | 219.77 |   1.14 |
| **5**  | NEGany~yet         | NEGATED    |  51,867 |    0.50 |    4.66 |   0.55 | 197,895.38 | yet          |  3,173,681 |  94,755 | 71,961,373 |   4,178.94 |   47,688.06 |        0.92 |            1.43 | 209.39 |   1.09 |
| **6**  | NEGany~any         | NEGATED    |  15,384 |    0.43 |    4.22 |   0.48 |  53,087.82 | any          |  3,173,681 |  32,161 | 71,961,373 |   1,418.38 |   13,965.62 |        0.91 |            1.30 | 112.60 |   1.04 |
| **7**  | NEGany~remotely    | NEGATED    |   5,661 |    0.32 |    3.52 |   0.37 |  15,974.28 | remotely     |  3,173,681 |  15,394 | 71,961,373 |     678.91 |    4,982.09 |        0.88 |            1.10 |  66.22 |   0.92 |
| **8**  | NEGany~terribly    | NEGATED    |  17,949 |    0.26 |    3.19 |   0.31 |  43,629.29 | terribly     |  3,173,681 |  58,529 | 71,961,373 |   2,581.28 |   15,367.72 |        0.86 |            0.98 | 114.71 |   0.84 |
| **9**  | NEGany~only        | NEGATED    | 113,502 |    0.22 |    2.92 |   0.26 | 242,355.41 | only         |  3,173,681 | 432,612 | 71,961,373 |  19,079.30 |   94,422.70 |        0.83 |            0.90 | 280.27 |   0.77 |
| **10** | NEGany~overly      | NEGATED    |  24,613 |    0.20 |    2.77 |   0.25 |  49,011.01 | overly       |  3,173,681 |  99,920 | 71,961,373 |   4,406.73 |   20,206.27 |        0.82 |            0.85 | 128.80 |   0.75 |
| **11** | COM~increasingly   | COMPLEMENT | 373,560 |    0.04 |    7.04 |   1.00 |  32,850.41 | increasingly | 68,787,692 | 373,633 | 71,961,373 | 357,154.83 |   16,405.17 |        0.04 |            2.37 |  26.84 |   0.02 |
| **12** | COM~relatively     | COMPLEMENT | 582,065 |    0.04 |    5.98 |   1.00 |  49,292.09 | relatively   | 68,787,692 | 582,383 | 71,961,373 | 556,698.42 |   25,366.58 |        0.04 |            1.93 |  33.25 |   0.02 |
| **13** | COM~almost         | COMPLEMENT | 433,210 |    0.04 |    5.27 |   1.00 |  35,325.48 | almost       | 68,787,692 | 433,607 | 71,961,373 | 414,483.82 |   18,726.18 |        0.04 |            1.70 |  28.45 |   0.02 |
| **14** | COM~mostly         | COMPLEMENT | 199,493 |    0.04 |    5.10 |   1.00 |  16,237.07 | mostly       | 68,787,692 | 199,676 | 71,961,373 | 190,869.78 |    8,623.22 |        0.04 |            1.70 |  19.31 |   0.02 |
| **15** | COM~seemingly      | COMPLEMENT | 160,011 |    0.04 |    5.04 |   1.00 |  13,017.97 | seemingly    | 68,787,692 | 160,158 | 71,961,373 | 153,094.62 |    6,916.38 |        0.04 |            1.70 |  17.29 |   0.02 |
| **16** | COM~fairly         | COMPLEMENT | 370,708 |    0.04 |    4.99 |   1.00 |  29,631.19 | fairly       | 68,787,692 | 371,125 | 71,961,373 | 354,757.44 |   15,950.56 |        0.04 |            1.61 |  26.20 |   0.02 |
