key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGany~yet_clear,10406,0.9498841,0.9933181,10.766786,64409.97,1.3578954,3.5120015,97.535286,72839589,3173660,10476,456.44494,9949.55506,NEGATED,yet_clear,yet,95763,clear,349214
NEGany~yet_ready,7501,0.9436315,0.9871036,9.934922,45985.072,1.3551698,3.2241988,82.78544,72839589,3173660,7599,331.09251,7169.90749,NEGATED,yet_ready,yet,95763,ready,141590
NEGany~necessarily_indicative,1389,0.9485906,0.99214286,9.432794,8577.5418,1.3573813,3.4238107,35.632587,72839589,3173660,1400,60.998752,1328.001248,NEGATED,necessarily_indicative,necessarily,48947,indicative,8148
NEGany~that_uncommon,802,0.95395243,0.99751246,9.431394,4998.3233,1.3597254,3.8480747,27.082626,72839589,3173660,804,35.030712,766.969288,NEGATED,that_uncommon,that,208262,uncommon,11312
NEGany~exactly_easy,1066,0.9499197,0.9934762,9.321383,6596.9131,1.3579645,3.4945054,31.21775,72839589,3173660,1073,46.751186,1019.248814,NEGATED,exactly_easy,exactly,58643,easy,579827
NEGany~yet_complete,2174,0.9410594,0.98460144,9.197567,13277.092,1.3540676,3.1412976,44.562874,72839589,3173660,2208,96.203745,2077.796255,NEGATED,yet_complete,yet,95763,complete,86361
NEGany~that_surprising,1133,0.94769543,0.9912511,9.197115,6986.8145,1.3569908,3.3748472,32.180534,72839589,3173660,1143,49.801124,1083.198876,NEGATED,that_surprising,that,208262,surprising,70540
NEGany~exactly_new,1371,0.9441996,0.98775214,9.104023,8410.3196,1.355455,3.2358053,35.393726,72839589,3173660,1388,60.475905,1310.524095,NEGATED,exactly_new,exactly,58643,new,253862
NEGany~necessarily_easy,909,0.9477173,0.9912759,9.011567,5605.6391,1.3570017,3.370968,28.82443,72839589,3173660,917,39.954182,869.045818,NEGATED,necessarily_easy,necessarily,48947,easy,579827
NEGany~yet_final,640,0.9517722,0.9953344,8.965596,3972.9184,1.3587761,3.6039987,24.190798,72839589,3173660,643,28.015855,611.984145,NEGATED,yet_final,yet,95763,final,5860
NEGany~exactly_cheap,691,0.9506831,0.9942446,8.962514,4281.5854,1.3583003,3.528134,25.134916,72839589,3173660,695,30.281523,660.718477,NEGATED,exactly_cheap,exactly,58643,cheap,60531
NEGany~yet_eligible,448,0.9564353,1.0,8.962071,2807.5637,1.3608071,4.294314,20.243795,72839589,3173660,448,19.519601,428.480399,NEGATED,yet_eligible,yet,95763,eligible,23252
NEGany~that_unusual,977,0.9453087,0.9888664,8.918037,6003.0521,1.3559448,3.2710125,29.879782,72839589,3173660,988,43.04769,933.95231,NEGATED,that_unusual,that,208262,unusual,71234
NEGany~exactly_clear,1746,0.93515193,0.97869956,8.775129,10578.334,1.3514565,2.9984066,39.92494,72839589,3173660,1784,77.729838,1668.270162,NEGATED,exactly_clear,exactly,58643,clear,349214
NEGany~exactly_surprising,440,0.95416766,0.9977324,8.713505,2743.3408,1.3598212,3.8093748,20.060156,72839589,3173660,441,19.214607,420.785393,NEGATED,exactly_surprising,exactly,58643,surprising,70540
NEGany~that_complicated,1207,0.9377461,0.98130083,8.676948,7337.8388,1.3526093,3.0524442,33.199337,72839589,3173660,1230,53.59176,1153.40824,NEGATED,that_complicated,that,208262,complicated,159822
NEGany~terribly_surprising,949,0.9408817,0.98443985,8.658473,5794.095,1.3539963,3.128753,29.442402,72839589,3173660,964,42.001998,906.998002,NEGATED,terribly_surprising,terribly,58964,surprising,70540
NEGany~yet_official,352,0.9564341,1.0,8.605605,2205.9327,1.3608071,4.1896973,17.944208,72839589,3173660,352,15.336829,336.663171,NEGATED,yet_official,yet,95763,official,6853
NEGany~that_hard,9948,0.9149414,0.9583815,8.587868,58817.236,1.3423455,2.7045922,95.20523,72839589,3173660,10380,452.26217,9495.73783,NEGATED,that_hard,that,208262,hard,348463
NEGany~that_familiar,1126,0.9304927,0.97404844,8.346817,6781.1066,1.3493876,2.9090452,32.05492,72839589,3173660,1156,50.367541,1075.632459,NEGATED,that_familiar,that,208262,familiar,156296
NEGany~necessarily_representative,487,0.94627327,0.9898374,8.343816,2996.5839,1.3563709,3.2891386,21.096687,72839589,3173660,492,21.436704,465.563296,NEGATED,necessarily_representative,necessarily,48947,representative,18355
NEGany~necessarily_surprising,340,0.9535014,0.99706745,8.331109,2117.1575,1.3595316,3.6975324,17.633326,72839589,3173660,341,14.857553,325.142447,NEGATED,necessarily_surprising,necessarily,48947,surprising,70540
NEGany~immediately_clear,24416,0.8944556,0.9377064,8.158976,141186.69,1.332874,2.5223026,148.99576,72839589,3173660,26038,1134.4896,23281.5104,NEGATED,immediately_clear,immediately,96973,clear,349214
NEGany~necessarily_new,482,0.93611056,0.9796748,7.9367266,2923.8203,1.351889,3.0038338,20.978083,72839589,3173660,492,21.436704,460.563296,NEGATED,necessarily_new,necessarily,48947,new,253862
NEGany~that_dissimilar,304,0.9466615,0.990228,7.860798,1871.6466,1.3565423,3.2810209,16.66842,72839589,3173660,307,13.376155,290.623845,NEGATED,that_dissimilar,that,208262,dissimilar,4605
NEGany~exactly_conducive,208,0.9564322,1.0,7.8188987,1303.4967,1.3608071,3.9616244,13.793822,72839589,3173660,208,9.0626717,198.9373283,NEGATED,exactly_conducive,exactly,58643,conducive,9110
NEGany~that_noticeable,264,0.945197,0.98876405,7.6483507,1621.8118,1.3558998,3.2198536,15.532095,72839589,3173660,267,11.633333,252.366667,NEGATED,that_noticeable,that,208262,noticeable,31467
NEGany~immediately_possible,1000,0.9052092,0.9487666,7.61511,5845.7672,1.3379664,2.605417,30.170553,72839589,3173660,1054,45.923346,954.076654,NEGATED,immediately_possible,immediately,96973,possible,245272
NEGany~yet_convinced,169,0.9564317,1.0,7.503628,1059.0891,1.3608071,3.871683,12.433583,72839589,3173660,169,7.3634207,161.6365793,NEGATED,yet_convinced,yet,95763,convinced,12132
NEGany~exactly_shocking,151,0.95643145,1.0,7.3311367,946.28585,1.3608071,3.8229232,11.752802,72839589,3173660,151,6.5791511,144.4208489,NEGATED,exactly_shocking,exactly,58643,shocking,35115
NEGany~exactly_pleasant,142,0.9564313,1.0,7.236508,889.88433,1.3608071,3.7963243,11.397172,72839589,3173660,142,6.1870162,135.8129838,NEGATED,exactly_pleasant,exactly,58643,pleasant,52223
NEGany~yet_over,162,0.95029664,0.993865,7.2108574,1003.1289,1.3581345,3.3762443,12.169936,72839589,3173660,163,7.1019975,154.8980025,NEGATED,yet_over,yet,95763,over,3983
NEGany~exactly_famous,130,0.95643115,1.0,7.0998654,814.68236,1.3608071,3.7581182,10.904974,72839589,3173660,130,5.6641698,124.3358302,NEGATED,exactly_famous,exactly,58643,famous,223813
NEGany~exactly_difficult,126,0.9564311,1.0,7.051293,789.61506,1.3608071,3.7445977,10.735894,72839589,3173660,126,5.4898876,120.5101124,NEGATED,exactly_difficult,exactly,58643,difficult,732106
NEGany~necessarily_useful,104,0.95643085,1.0,6.750423,651.74508,1.3608071,3.6616204,9.753705,72839589,3173660,104,4.5313358,99.4686642,NEGATED,necessarily_useful,necessarily,48947,useful,227709
NEGany~yet_online,98,0.95643073,1.0,6.6562376,614.14422,1.3608071,3.6359396,9.468168,72839589,3173660,98,4.2699126,93.7300874,NEGATED,yet_online,yet,95763,online,15650
NEGany~necessarily_fun,96,0.95643073,1.0,6.6234326,601.61061,1.3608071,3.6270304,9.371057,72839589,3173660,96,4.1827715,91.8172285,NEGATED,necessarily_fun,necessarily,48947,fun,190026
NEGany~necessarily_essential,93,0.9564307,1.0,6.5727925,582.81019,1.3608071,3.6133144,9.223472,72839589,3173660,93,4.0520599,88.9479401,NEGATED,necessarily_essential,necessarily,48947,essential,69845
NEGmir~ever_easy,368,0.82605654,0.99728996,6.436813,1285.0115449,0.7647788,3.075189,15.886127,1701929,291732,369,63.2512332,304.748779296875,NEGMIR,ever_easy,ever,5060,easy,18610
NEGany~terribly_original,199,0.8951113,0.9386792,6.4100456,1150.4844,1.3333243,2.5110962,13.451945,72839589,3173660,212,9.2369538,189.7630462,NEGATED,terribly_original,terribly,58964,original,37594
NEGany~necessarily_reliable,81,0.95643055,1.0,6.3504863,507.60858,1.3608071,3.5536587,8.607865,72839589,3173660,81,3.5292135,77.4707865,NEGATED,necessarily_reliable,necessarily,48947,reliable,90598
NEGany~any_happier,828,0.81625336,0.8598131,6.3395596,4420.4862,1.2952112,2.1279256,27.316833,72839589,3173660,963,41.958427,786.041573,NEGATED,any_happier,any,34382,happier,16606
NEGany~terribly_different,366,0.85129976,0.8948655,6.3272467,2022.4728,1.3125648,2.2670946,18.199642,72839589,3173660,409,17.82035,348.17965,NEGATED,terribly_different,terribly,58964,different,825838
NEGany~terribly_uncommon,103,0.9373832,0.9809524,6.3270283,625.85154,1.352455,2.9584744,9.6981125,72839589,3173660,105,4.5749064,98.4250936,NEGATED,terribly_uncommon,terribly,58964,uncommon,11312
NEGany~terribly_likely,108,0.92940384,0.972973,6.2602434,649.49592,1.3489078,2.8328364,9.9269285,72839589,3173660,111,4.8363296,103.1636704,NEGATED,terribly_likely,terribly,58964,likely,890421
NEGany~terribly_unusual,146,0.89836687,0.9419355,6.1736403,847.05489,1.3348283,2.529594,11.524128,72839589,3173660,155,6.7534332,139.2465668,NEGATED,terribly_unusual,terribly,58964,unusual,71234
NEGany~necessarily_proud,71,0.9564304,1.0,6.135151,444.94064,1.3608071,3.4968057,8.059018,72839589,3173660,71,3.0935081,67.9064919,NEGATED,necessarily_proud,necessarily,48947,proud,207536
NEGany~particularly_religious,485,0.8148429,0.8584071,6.1155305,2585.7061,1.2945004,2.1219192,20.9049,72839589,3173660,565,24.617353,460.382647,NEGATED,particularly_religious,particularly,513668,religious,28028
NEGany~yet_mainstream,70,0.9564304,1.0,6.111758,438.67385,1.3608071,3.4906886,8.002063,72839589,3173660,70,3.0499376,66.95006240000001,NEGATED,yet_mainstream,yet,95763,mainstream,17792
NEGany~particularly_new,747,0.7864392,0.83,6.0375867,3874.4626,1.2798852,2.0290642,25.896555,72839589,3173660,900,39.213483,707.786517,NEGATED,particularly_new,particularly,513668,new,253862
NEGany~terribly_impressive,196,0.8555146,0.89908254,5.9689946,1087.6412,1.3146067,2.2826667,13.321545,72839589,3173660,218,9.498377,186.501623,NEGATED,terribly_impressive,terribly,58964,impressive,178051
NEGmir~particularly_new,404,0.81414944,0.98536587,5.9209847,1365.1679092,0.75955486,2.4789002,16.603233,1701929,291732,410,70.279148,333.7208557128906,NEGMIR,particularly_new,particularly,13003,new,12836
NEGany~particularly_original,360,0.80150455,0.8450704,5.862825,1894.5951,1.2876999,2.0755925,17.995413,72839589,3173660,426,18.561049,341.438951,NEGATED,particularly_original,particularly,513668,original,37594
NEGany~that_far-fetched,59,0.95643026,1.0,5.8261833,369.73919,1.3608071,3.417015,7.346474,72839589,3173660,59,2.5706617,56.4293383,NEGATED,that_far-fetched,that,208262,far-fetched,5185
NEGany~that_thrilled,59,0.95643026,1.0,5.8261833,369.73919,1.3608071,3.417015,7.346474,72839589,3173660,59,2.5706617,56.4293383,NEGATED,that_thrilled,that,208262,thrilled,24182
NEGmir~ever_simple,206,0.8286877,1.0,5.8155127,726.7575537,0.76595736,3.300552,11.8924675,1701929,291732,206,35.3109865,170.6890106201172,NEGMIR,ever_simple,ever,5060,simple,25408
NEGany~immediately_available,21078,0.67483705,0.71813565,5.698082,98046.667,1.2170136,1.7504529,136.37416,72839589,3173660,29351,1278.8388,19799.1612,NEGATED,immediately_available,immediately,96973,available,666909
NEGmir~ever_good,299,0.8155313,0.9867987,5.6786933,1013.8722607,0.76018596,2.5079236,14.287964,1701929,291732,303,51.9380045,247.06199645996094,NEGMIR,ever_good,ever,5060,good,31585
NEGany~any_younger,255,0.7870517,0.8306189,5.571493,1323.3623,1.280209,2.028726,15.131072,72839589,3173660,307,13.376155,241.623845,NEGATED,any_younger,any,34382,younger,26216
NEGmir~ever_perfect,206,0.8238567,0.9951691,5.5701528,714.4727787,0.76385427,2.8234303,11.880525,1701929,291732,207,35.4823991,170.51759338378906,NEGMIR,ever_perfect,ever,5060,perfect,3134
NEGany~immediately_reachable,109,0.8647642,0.90833336,5.562258,610.52868,1.3190523,2.3201911,9.93951,72839589,3173660,120,5.2284644,103.77153559999999,NEGATED,immediately_reachable,immediately,96973,reachable,2672
NEGany~ever_simple,211,0.8004322,0.844,5.559586,1109.2833,1.2871495,2.0702019,13.775959,72839589,3173660,250,10.892634,200.107366,NEGATED,ever_simple,ever,114075,simple,396749
NEGany~particularly_likable,119,0.85116786,0.8947368,5.529105,657.48674,1.3125024,2.257476,10.377496,72839589,3173660,133,5.7948814,113.2051186,NEGATED,particularly_likable,particularly,513668,likable,8160
NEGany~ever_easy,429,0.72940797,0.772973,5.4127684,2105.1336,1.2489713,1.8723905,19.544815,72839589,3173660,555,24.181648,404.818352,NEGATED,ever_easy,ever,114075,easy,579827
NEGany~immediately_sure,138,0.8189313,0.8625,5.4022436,738.6493,1.2965662,2.130746,11.153905,72839589,3173660,160,6.9712859,131.0287141,NEGATED,immediately_sure,immediately,96973,sure,262825
NEGany~terribly_productive,64,0.9116542,0.95522386,5.388945,376.8403,1.3409122,2.6069603,7.6350965,72839589,3173660,67,2.919226,61.080774,NEGATED,terribly_productive,terribly,58964,productive,102361
NEGany~inherently_wrong,1639,0.66444194,0.70799136,5.3587675,7535.9651,1.2108351,1.7261237,37.993103,72839589,3173660,2315,100.86579,1538.13421,NEGATED,inherently_wrong,inherently,47803,wrong,149064
NEGany~particularly_likeable,106,0.8397642,0.8833333,5.336488,579.07068,1.3069317,2.207456,9.787797,72839589,3173660,120,5.2284644,100.77153559999999,NEGATED,particularly_likeable,particularly,513668,likeable,5902
NEGmir~exactly_sure,148,0.8286595,1.0,5.314805,522.1121028,0.76595736,3.1572719,10.080201,1701929,291732,148,25.3690583,122.63094329833984,NEGMIR,exactly_sure,exactly,1041,sure,6761
NEGmir~ever_enough,147,0.828659,1.0,5.3044505,518.5839006,0.76595736,3.154336,10.046089,1701929,291732,147,25.1976457,121.80235290527344,NEGMIR,ever_enough,ever,5060,enough,2596
NEGmir~ever_certain,143,0.8286571,1.0,5.2622757,504.4711488,0.76595736,3.14239,9.908464,1701929,291732,143,24.5119955,118.48800659179688,NEGMIR,ever_certain,ever,5060,certain,1800
NEGany~terribly_sure,69,0.8643251,0.90789473,5.084559,386.3087,1.3188425,2.308393,7.907983,72839589,3173660,76,3.3113608,65.6886392,NEGATED,terribly_sure,terribly,58964,sure,262825
NEGany~any_easier,1594,0.61923575,0.6627859,5.075541,6987.7755,1.1821803,1.635009,37.300323,72839589,3173660,2405,104.78714,1489.21286,NEGATED,any_easier,any,34382,easier,209940
NEGany~remotely_surprising,75,0.84928757,0.89285713,5.066927,413.6057,1.3115891,2.2416935,8.237642,72839589,3173660,84,3.6599251,71.3400749,NEGATED,remotely_surprising,remotely,16426,surprising,70540
NEGmir~particularly_surprising,166,0.8167633,0.9880952,5.0601926,564.6730929,0.7607562,2.5080159,10.648994,1701929,291732,168,28.7973094,137.20269775390625,NEGMIR,particularly_surprising,particularly,13003,surprising,2662
NEGmir~particularly_wrong,212,0.8056487,0.9769585,5.0488544,702.2194587,0.7558335,2.2716055,12.005552,1701929,291732,217,37.1965246,174.80348205566406,NEGMIR,particularly_wrong,particularly,13003,wrong,20880
NEGmir~necessarily_wrong,211,0.8055415,0.9768519,5.0416393,698.7376298,0.75578606,2.2695556,11.976925,1701929,291732,216,37.0251121,173.97488403320312,NEGMIR,necessarily_wrong,necessarily,1107,wrong,20880
NEGany~any_simpler,226,0.70976573,0.75333333,5.00012,1087.7071,1.2377943,1.8244023,14.1638155,72839589,3173660,300,13.071161,212.928839,NEGATED,any_simpler,any,34382,simpler,23480
NEGany~terribly_reliable,51,0.90087456,0.9444444,4.98763,296.69984,1.3359835,2.509206,6.8119693,72839589,3173660,54,2.352809,48.647191,NEGATED,terribly_reliable,terribly,58964,reliable,90598
NEGany~particularly_forthcoming,72,0.8239003,0.8674699,4.8530226,387.25355,1.2990615,2.14111,8.05909,72839589,3173660,83,3.6163546,68.3836454,NEGATED,particularly_forthcoming,particularly,513668,forthcoming,7473
NEGany~ever_certain,147,0.7180894,0.761658,4.801235,713.34053,1.2425671,1.8428189,11.430783,72839589,3173660,193,8.4091136,138.5908864,NEGATED,ever_certain,ever,114075,certain,74952
NEGany~particularly_athletic,108,0.7505485,0.7941176,4.7709584,541.00861,1.2606919,1.9220594,9.822114,72839589,3173660,136,5.925593,102.074407,NEGATED,particularly_athletic,particularly,513668,athletic,17142
NEGany~any_nicer,96,0.7631534,0.8067227,4.7498446,486.81596,1.2675314,1.9549325,9.268778,72839589,3173660,119,5.1848939,90.8151061,NEGATED,any_nicer,any,34382,nicer,9955
NEGany~particularly_surprising,1069,0.56975347,0.6133104,4.714746,4433.5163,1.1484874,1.5418009,30.372822,72839589,3173660,1743,75.943446,993.056554,NEGATED,particularly_surprising,particularly,513668,surprising,70540
NEGany~immediately_able,626,0.58940005,0.6329626,4.6984696,2655.1801,1.1621851,1.57796,23.297718,72839589,3173660,989,43.091261,582.908739,NEGATED,immediately_able,immediately,96973,able,223196
NEGany~inherently_bad,794,0.56393766,0.6074981,4.6176786,3270.685,1.144352,1.5311189,26.157043,72839589,3173660,1307,56.946692,737.053308,NEGATED,inherently_bad,inherently,47803,bad,429537
NEGany~remotely_true,250,0.63210833,0.6756757,4.6101465,1111.1329,1.1905453,1.6593142,14.7918005,72839589,3173660,370,16.121099,233.87890099999998,NEGATED,remotely_true,remotely,16426,true,231639
NEGany~immediately_obvious,2238,0.5175007,0.56104285,4.5451183,8712.0707,1.1098031,1.4483024,43.63361,72839589,3173660,3989,173.80287,2064.19713,NEGATED,immediately_obvious,immediately,96973,obvious,165439
NEGany~particularly_revolutionary,77,0.7502449,0.7938144,4.486269,385.60468,1.2605261,1.9190183,8.293328,72839589,3173660,97,4.2263421,72.7736579,NEGATED,particularly_revolutionary,particularly,513668,revolutionary,10338
NEGany~ever_boring,72,0.7564304,0.8,4.4578605,362.7387,1.2638971,1.934636,8.023146,72839589,3173660,90,3.9213483,68.0786517,NEGATED,ever_boring,ever,114075,boring,45891
NEGmir~any_better,380,0.7356898,0.90692127,4.3756804,1096.0101371,0.72352695,1.6686068,15.809205,1701929,291732,419,71.821861,308.1781311035156,NEGMIR,any_better,any,1197,better,14013
NEGmir~that_simple,474,0.72484297,0.89603025,4.3628592,1340.1878697,0.71828,1.6169276,17.606598,1701929,291732,529,90.6772421,383.32275390625,NEGMIR,that_simple,that,5494,simple,25408
NEGany~any_clearer,355,0.54031557,0.58388156,4.262103,1421.5986,1.1271318,1.4883686,17.435453,72839589,3173660,608,26.490886,328.509114,NEGATED,any_clearer,any,34382,clearer,11680
NEGmir~particularly_remarkable,108,0.8016127,0.972973,4.2393956,354.5325815,0.7540581,2.1758168,8.561451,1701929,291732,111,19.0267937,88.97320556640625,NEGMIR,particularly_remarkable,particularly,13003,remarkable,3238
NEGmir~that_easy,450,0.7146275,0.88582677,4.2281227,1248.8359252,0.7133062,1.5714866,17.108328,1701929,291732,508,87.0775784,362.92242431640625,NEGMIR,that_easy,that,5494,easy,18610
NEGany~immediately_certain,70,0.70911855,0.75268817,4.185826,336.68159,1.2374222,1.8185906,7.8822865,72839589,3173660,93,4.0520599,65.9479401,NEGATED,immediately_certain,immediately,96973,certain,74952
NEGmir~ever_able,136,0.7797019,0.951049,4.1690893,426.5167066,0.74416023,1.9445668,9.560018,1701929,291732,143,24.5119955,111.48800659179688,NEGMIR,ever_able,ever,5060,able,3704
NEGany~remotely_ready,58,0.740214,0.7837838,4.160484,287.63052,1.2550033,1.8911397,7.1924124,72839589,3173660,74,3.2242197,54.7757803,NEGATED,remotely_ready,remotely,16426,ready,141590
NEGany~remotely_funny,137,0.6026576,0.6462264,4.148924,589.73753,1.1711918,1.6018339,10.915534,72839589,3173660,212,9.2369538,127.7630462,NEGATED,remotely_funny,remotely,16426,funny,122927
NEGmir~inherently_wrong,1513,0.65788037,0.82858706,4.0799613,3787.527964,0.68429554,1.3702018,30.850487,1701929,291732,1826,312.9993272,1200.000732421875,NEGMIR,inherently_wrong,inherently,5133,wrong,20880
NEGany~particularly_flashy,57,0.7267005,0.7702703,4.075204,278.95571,1.2474502,1.8580974,7.122776,72839589,3173660,74,3.2242197,53.7757803,NEGATED,particularly_flashy,particularly,513668,flashy,4494
NEGmir~terribly_surprising,67,0.8286201,1.0,4.0684233,236.3461416,0.76595736,2.8147287,6.7822804,1701929,291732,67,11.4846413,55.515357971191406,NEGMIR,terribly_surprising,terribly,4610,surprising,2662
NEGany~any_cheaper,129,0.5826447,0.6262136,4.0144844,542.96835,1.1575296,1.5644453,10.567565,72839589,3173660,206,8.9755306,120.0244694,NEGATED,any_cheaper,any,34382,cheaper,46055
NEGmir~particularly_close,136,0.7665838,0.93793106,4.006704,415.6966017,0.7381283,1.8419039,9.530621,1701929,291732,145,24.8548206,111.14517974853516,NEGMIR,particularly_close,particularly,13003,close,13874
NEGany~any_smarter,89,0.63067305,0.67424244,3.9996097,394.9548,1.1896231,1.6548057,8.824344,72839589,3173660,132,5.7513109,83.2486891,NEGATED,any_smarter,any,34382,smarter,8501
NEGany~any_worse,1686,0.41547573,0.45902532,3.9423192,5676.3748,1.0226437,1.2703576,37.16344,72839589,3173660,3673,160.03458,1525.96542,NEGATED,any_worse,any,34382,worse,179012
NEGany~any_brighter,63,0.6723394,0.71590906,3.9102716,292.00119,1.215665,1.737702,7.4541893,72839589,3173660,88,3.8342072,59.1657928,NEGATED,any_brighter,any,34382,brighter,9280
NEGany~immediately_forthcoming,133,0.5528437,0.59641254,3.88667,540.7012,1.1363539,1.5103103,10.690059,72839589,3173660,223,9.7162297,123.2837703,NEGATED,immediately_forthcoming,immediately,96973,forthcoming,7473
NEGany~ever_good,331,0.45794877,0.50151515,3.8110826,1188.6883,1.0610912,1.3441314,16.612803,72839589,3173660,660,28.756554,302.243446,NEGATED,ever_good,ever,114075,good,1681795
NEGmir~ever_boring,57,0.8286152,1.0,3.801714,201.0689789,0.76595736,2.7450778,6.255698,1701929,291732,57,9.7705157,47.22948455810547,NEGMIR,ever_boring,ever,5060,boring,1961
NEGmir~ever_black,56,0.8286147,1.0,3.7721539,197.5412939,0.76595736,2.737457,6.2005806,1701929,291732,56,9.5991031,46.40089797973633,NEGMIR,ever_black,ever,5060,black,1412
NEGmir~particularly_novel,54,0.82861376,1.0,3.7111778,190.4859409,0.76595736,2.721802,6.0888495,1701929,291732,54,9.256278,44.74372100830078,NEGMIR,particularly_novel,particularly,13003,novel,320
NEGmir~terribly_new,69,0.8004518,0.97183096,3.6647363,225.9323561,0.7535481,2.128442,6.841493,1701929,291732,71,12.1702915,56.829708099365234,NEGMIR,terribly_new,terribly,4610,new,12836
NEGany~remotely_close,694,0.39100283,0.4345648,3.6516712,2243.2243,0.9988617,1.2272934,23.702578,72839589,3173660,1597,69.582147,624.417853,NEGATED,remotely_close,remotely,16426,close,411329
NEGmir~that_great,286,0.6649784,0.83625734,3.5665345,725.1559287,0.6882973,1.38978,13.445078,1701929,291732,342,58.6230941,227.3769073486328,NEGMIR,that_great,that,5494,great,5568
NEGany~ever_enough,173,0.4549907,0.4985591,3.5401251,618.61718,1.0585238,1.3389866,12.003472,72839589,3173660,347,15.118976,157.881024,NEGATED,ever_enough,ever,114075,enough,152020
COM~ever_closer,6305,0.043301016,0.9996829,3.5134614,538.66082,0.019229218,2.060815,3.4390678,72839589,69662736,6307,6031.9241,273.0758999999998,COMPLEMENT,ever_closer,ever,114075,closer,61475
NEGany~inherently_illegal,59,0.5977346,0.6413044,3.5065575,252.58914,1.1678712,1.59094,7.159285,72839589,3173660,92,4.0084894,54.9915106,NEGATED,inherently_illegal,inherently,47803,illegal,30194
NEGmir~terribly_original,45,0.82860935,1.0,3.400218,158.7371336,0.76595736,2.6434035,5.5583334,1701929,291732,45,7.713565,37.286434173583984,NEGMIR,terribly_original,terribly,4610,original,1555
NEGmir~exactly_clear,52,0.8097447,0.9811321,3.3806543,173.8850193,0.7576848,2.2284403,5.951258,1701929,291732,53,9.0848655,42.91513442993164,NEGMIR,exactly_clear,exactly,1041,clear,6722
NEGmir~particularly_comfortable,44,0.8286089,1.0,3.3612247,155.2095168,0.76595736,2.6337507,5.4962273,1701929,291732,44,7.5421525,36.457847595214844,NEGMIR,particularly_comfortable,particularly,13003,comfortable,4642
NEGany~ever_perfect,216,0.39814994,0.4417178,3.3436074,706.7148,1.005952,1.2399884,13.24725,72839589,3173660,489,21.305993,194.694007,NEGATED,ever_perfect,ever,114075,perfect,104659
NEGany~ever_sure,87,0.4934676,0.537037,3.3360412,328.20145,1.0908114,1.4055325,8.570636,72839589,3173660,162,7.058427,79.941573,NEGATED,ever_sure,ever,114075,sure,262825
NEGmir~remotely_close,218,0.64516807,0.8164794,3.27924,532.962795,0.6779026,1.329451,11.66508,1701929,291732,267,45.7671524,172.23284912109375,NEGMIR,remotely_close,remotely,2341,close,13874
NEGmir~any_different,48,0.80820256,0.97959185,3.2420387,159.9329356,0.75700253,2.1940167,5.715881,1701929,291732,49,8.3992152,39.60078430175781,NEGMIR,any_different,any,1197,different,36166
