key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_mirror_] any~closer,69,0.06882324,5.678588,0.0694864,506.032947,any,closer,1197,993,1701929,0.6983963251113892,68.30160522460938,0.9898783,2.0539763,8.222547,1.9947472,0.057100814,0.05764411,0.06882324,0.062962025,mirror
[_direct_] any~happier,963,0.05753218,6.7476864,0.057991087,7438.5476,any,happier,34382,16606,72839571,7.8384247,955.1615753,0.9918604,2.1275868,30.779652,2.0893974,0.027793981,0.028008841,0.05753218,0.04266308,direct
[_direct_] any~clearer,608,0.051591042,6.5089507,0.052054796,4556.1708,any,clearer,34382,11680,72839571,5.5132362,602.4867638,0.99093217,2.0735223,24.434065,2.042497,0.017531594,0.017683672,0.051591042,0.034561317,direct
[_direct_] any~cuter,80,0.04329274,5.556755,0.043763675,570.11114,any,cuter,34382,1828,72839571,0.86285923,79.13714077,0.98921424,1.9899564,8.847801,1.9671501,0.0023027896,0.0023267989,0.04329274,0.022797765,direct
[_direct_] any~truer,56,0.038771905,5.161395,0.03924317,386.70705,any,truer,34382,1427,72839571,0.67357775,55.32642225,0.98797184,1.9413773,7.3933043,1.9198003,0.0016099282,0.0016287592,0.038771905,0.020190915,direct
[_direct_] any~wiser,141,0.038372863,5.658483,0.038842976,971.10054,any,wiser,34382,3630,72839571,1.7134458,139.2865542,0.9878479,1.9355819,11.730044,1.9153488,0.0040530604,0.004100983,0.038372863,0.021212962,direct
[_direct_] any~nearer,66,0.035476584,5.145251,0.035947714,444.12488,any,nearer,34382,1836,72839571,0.86663542,65.13336458,0.98686916,1.9013745,8.017363,1.8817075,0.0018952977,0.0019196091,0.035476584,0.01868594,direct
[_mirror_] any~better,419,0.029439883,5.0613184,0.029900806,2496.995074,any,better,1197,14013,1701929,9.85561752319336,409.1443786621094,0.9764782,1.8252609,19.98801,1.6285301,0.34204873,0.35004178,0.34204873,0.18574432,mirror
[_direct_] any~closer,1738,0.027823113,5.742233,0.028271655,10942.346,any,closer,34382,61475,72839571,29.017654,1708.982346,0.983304,1.8119235,40.993282,1.7773875,0.049729202,0.050549705,0.049729202,0.03877616,direct
[_mirror_] any~easier,66,0.026995884,4.277047,0.027661357,361.336165,any,easier,1197,2386,1701929,1.678120493888855,64.3218765258789,0.9745739,1.6336287,7.917476,1.5947208,0.053773727,0.055137843,0.053773727,0.040384807,mirror
