hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_15_094.7823_x1515809_13:10-11,any_clearer,clearer,(+)_any_clearer,any,"leagues below europa - can , ibe any clearer ?","20,000 Premier Leagues below Europa - Can , Ibe any clearer ?"
pcc_eng_24_025.4859_x0395842_50:5-6,any_clearer,clearer,(+)_any_clearer,any,the dramaturgy cannot be any clearer in trying to highlight where our,The dramaturgy cannot be any clearer in trying to highlight where our focus should be .
pcc_eng_13_051.2707_x0812808_028:6-7,any_clearer,clearer,(+)_any_clearer,any,could pope francis have been any clearer ?,Could Pope Francis have been any clearer ?
pcc_eng_00_040.4619_x0637494_045:16-17,any_clearer,clearer,(+)_any_clearer,any,during the 2004 palm island riots be any clearer if it happened in a major,Would the nation ''s understanding about what happened during the 2004 Palm Island riots be any clearer if it happened in a major city ?
pcc_eng_12_045.0037_x0711431_29:12-13,any_clearer,clearer,(+)_any_clearer,any,complaint that was filed will make it any clearer .,I wonder of the complaint that was filed will make it any clearer .
pcc_eng_19_017.6912_x0269256_03:4-5,any_clearer,clearer,(+)_any_clearer,any,can we be any clearer ?,Can we be any clearer ?
pcc_eng_13_087.8453_x1403553_191:5-6,any_clearer,clearer,(+)_any_clearer,any,do you see matters any clearer yet ?,Do you see matters any clearer yet ?
pcc_eng_18_068.3590_x1090948_17:5-6,any_clearer,clearer,(+)_any_clearer,any,""" we cannot be any clearer .",""" We cannot be any clearer ."
pcc_eng_20_025.8504_x0401864_26:12-13,any_clearer,clearer,(+)_any_clearer,any,", jobs still canat make the man any clearer to us at the end of","But Kutcheras performance aside , JOBS still canat make the man any clearer to us at the end of the day ; it certainly does n't make him a sympathetic figure ."
pcc_eng_27_054.6528_x0867265_28:09-10,any_clearer,clearer,(+)_any_clearer,any,consequences of such patchwork legislation cannot be any clearer or more devastating .,The consequences of such patchwork legislation cannot be any clearer or more devastating .
pcc_eng_04_011.5093_x0170025_040:5-6,any_clearer,clearer,(+)_any_clearer,any,these metaphors cannot be any clearer .,These metaphors cannot be any clearer .
pcc_eng_17_009.6103_x0139260_009:37-38,any_clearer,clearer,(+)_any_clearer,any,to make the point of this nonsense any clearer .,"They could change the name of the postseason from "" BCS "" to "" Preservation of the Big Ten's Relevance in the Postseason "" Series , if they need to make the point of this nonsense any clearer ."
pcc_eng_15_066.5856_x1059429_03:5-6,any_clearer,clearer,(+)_any_clearer,any,how can it be any clearer ?,How can it be any clearer ?
pcc_eng_01_044.5653_x0703783_11:7-8,any_clearer,clearer,(+)_any_clearer,any,and no message could have been any clearer,And no message could have been any clearer
pcc_eng_03_014.5443_x0219173_06:3-4,any_clearer,clearer,(+)_any_clearer,any,is it any clearer now ?,Is it any clearer now ?
pcc_eng_23_023.0887_x0356756_235:22-23,any_clearer,clearer,(+)_any_clearer,any,"great loss ... but i cannot be any clearer than that . ""","There is something from their history ... visions of fire , of loss , great loss ... but I cannot be any clearer than that . """
pcc_eng_17_079.2516_x1264684_32:7-8,any_clearer,clearer,(+)_any_clearer,any,12 tieas later : are things any clearer or at least more transparent ?,12 TIEAs later : Are things any clearer or at least more transparent ?
pcc_eng_17_052.7530_x0836156_45:4-5,any_clearer,clearer,(+)_any_clearer,any,could it be any clearer ?,Could it be any clearer ?
pcc_eng_04_061.1983_x0972609_085:5-6,any_clearer,clearer,(+)_any_clearer,any,can i make it any clearer ?,Can I make it any clearer ?
pcc_eng_04_039.1678_x0616969_08:4-5,any_clearer,clearer,(+)_any_clearer,any,can it get any clearer than this ?,Can it get any clearer than this ?
pcc_eng_18_016.8122_x0256181_18:6-7,any_clearer,clearer,(+)_any_clearer,any,6- 11 could it be any clearer ?,6- 11 Could it be any clearer ?
pcc_eng_22_071.7969_x1144277_087:4-5,any_clearer,clearer,(+)_any_clearer,any,can that be any clearer ?,Can that be any clearer ?
pcc_eng_23_046.3428_x0732681_15:7-8,any_clearer,clearer,(+)_any_clearer,any,6 - 11 could it be any clearer ?,6 - 11 Could it be any clearer ?
pcc_eng_04_060.2844_x0957679_159:4-5,any_clearer,clearer,(+)_any_clearer,any,can it be any clearer ?,Can it be any clearer ?
pcc_eng_02_035.0949_x0551878_025:8-9,any_clearer,clearer,(+)_any_clearer,any,do i have to make the point any clearer than that ?,Do I have to make the point any clearer than that ?
pcc_eng_16_102.8378_x1648389_80:1-2,any_clearer,clearer,(+)_any_clearer,any,any clearer ?,Any clearer ?
pcc_eng_07_097.5080_x1559733_099:6-7,any_clearer,clearer,(+)_any_clearer,any,could jesus have made it any clearer than this ?,Could Jesus have made it any clearer than this ?
