hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
apw_eng_19981011_0920_6:11-12,any_closer,closer,(+)_any_closer,any,immediate word on whether the sides were any closer to a deal .,there was no immediate word on whether the sides were any closer to a deal .
pcc_eng_18_035.1131_x0552184_30:4-5,any_closer,closer,(+)_any_closer,any,"if he gets any closer , he 'll be able to","If he gets any closer , he 'll be able to kiss it good-bye . """
pcc_eng_19_015.6268_x0236025_077:17-18,any_closer,closer,(+)_any_closer,any,"but before the real artie can get any closer , he 's jumped by mac","He offers Poe 's pen and notebook next , but before the real Artie can get any closer , he 's jumped by Mac Pherson , who has a variation on one of the implosion bombs he 's used before ."
pcc_eng_00_068.3045_x1087819_13:11-12,any_closer,closer,(+)_any_closer,any,seems unlikely to bring a lasting solution any closer .,[ T]he coup seems unlikely to bring a lasting solution any closer .
pcc_eng_01_068.9909_x1099820_20:6-7,any_closer,closer,(+)_any_closer,any,""" if it had come any closer , it would have come right",""" If it had come any closer , it would have come right through , "" he said ."
pcc_eng_27_070.7334_x1127579_247:3-4,any_closer,closer,(+)_any_closer,any,""" come any closer and i will kill her .",""" Come any closer and I will kill her . """
pcc_eng_00_022.7226_x0351029_14:31-32,any_closer,closer,(+)_any_closer,any,signs that it had brought the sides any closer .,"The 10th anniversary forum had been promoted as a way of highlighting the achievements of the negotiations , but there were no immediate signs that it had brought the sides any closer ."
pcc_eng_12_044.8540_x0708983_04:37-38,any_closer,closer,(+)_any_closer,any,president viktor yanukovych against vehement opposition was any closer to resolution after three weeks of,"The meeting , which also included Ukraine 's three former presidents and an array of student , religious and union representatives , gave no indication that the crisis pitting President Viktor Yanukovych against vehement opposition was any closer to resolution after three weeks of demonstrations that have swelled to hundreds of thousands of people ."
pcc_eng_07_001.7735_x0012475_03:13-14,any_closer,closer,(+)_any_closer,any,dapper don ( jon hamm ) be any closer to the answer ?,"As it concludes , will dapper Don ( Jon Hamm ) be any closer to the answer ?"
pcc_eng_04_031.1294_x0486733_087:7-8,any_closer,closer,(+)_any_closer,any,"q mr. president , are you any closer to a decision on steel ?","Q Mr. President , are you any closer to a decision on steel ?"
pcc_eng_17_003.2677_x0036491_04:14-15,any_closer,closer,(+)_any_closer,any,schedule and asks if the gaa are any closer to solving the fixtures crisis .,Adam Moynihan examines this year 's schedule and asks if the GAA are any closer to solving the fixtures crisis .
