key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] ever~quarterly,137,0.4491176,8.087039,0.4506579,1356.2406,ever,quarterly,110979,304,71961373,0.46882952,136.53117048,0.99657786,2.7260096,11.664645102,2.4657056,0.0012321435,0.0012344677,0.4491176,0.22517486,direct
[_direct_] ever~olympic,217,0.44866827,8.288701,0.45020747,2147.7865,ever,olympic,110979,482,71961373,0.74334154,216.25665846,0.99657446,2.7254295,14.680458551,2.4652712,0.0019516366,0.0019553248,0.44866827,0.22530995,direct
[_direct_] ever~watchful,415,0.22278784,7.0788994,0.22432433,3410.2263,ever,watchful,110979,1850,71961373,2.8530744,412.1469256,0.99312514,2.2743726,20.231496874,2.162735,0.0037194742,0.0037394462,0.22278784,0.11325366,direct
[_direct_] ever~diminishing,69,0.15855156,5.761188,0.1600928,515.51854,ever,diminishing,110979,431,71961373,0.66468922,68.33531078,0.9903668,2.094131,8.226604684,2.0162303,0.000616701,0.00062173925,0.15855156,0.07958413,direct
[_direct_] ever~nearer,220,0.15177093,6.2423806,0.1533101,1623.4468,ever,nearer,110979,1435,71961373,2.2130604,217.7869396,0.98994064,2.0706944,14.683192472,1.9974294,0.0019654469,0.0019823571,0.15177093,0.07686819,direct
[_direct_] ever~scarcer,82,0.14947182,5.7739778,0.1510129,602.34188,ever,scarcer,110979,543,71961373,0.83741589,81.16258411,0.98978764,2.0637867,8.962908024,1.9908726,0.00073246245,0.0007388785,0.14947182,0.07510214,direct
[_direct_] ever~joint,197,0.13517112,6.0163293,0.13671061,1405.3873,ever,joint,110979,1441,71961373,2.2223136,194.7776864,0.9887192,2.0125227,13.877335558,1.9476609,0.0017577969,0.0017751106,0.13517112,0.06846446,direct
[_direct_] ever~shrinking,116,0.1197983,5.6062326,0.12133891,798.16044,ever,shrinking,110979,956,71961373,1.4743455,114.5256545,0.98729014,1.9534237,10.633440074,1.8958588,0.0010335519,0.0010452428,0.1197983,0.060415927,direct
[_direct_] ever~closer,6269,0.11102046,6.2480965,0.11247668,42481.895,ever,closer,110979,55736,71961373,85.956191,6183.043809,0.98628867,1.9390528,78.091396384,1.8629211,0.055799693,0.056488164,0.11102046,0.08341008,direct
[_direct_] ever~vigilant,911,0.09488258,5.8180013,0.096412316,5837.1661,ever,vigilant,110979,9449,71961373,14.57227,896.42773,0.9840041,1.8430896,29.699975695,1.7959912,0.00808993,0.00820876,0.09488258,0.051486254,direct
