hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_26_029.2445_x0456467_10:35-36,ever_closer,closer,(+)_ever_closer,ever,"eu 's drive to pursue an "" ever closer union across europe "" ; plus","Cameron 's proposed reforms included restricting benefits for up to four years for EU migrants arriving in Britain ; to be able to opt out of the EU 's drive to pursue an "" ever closer union across Europe "" ; plus , a stop to the financial regulation which some believe is strangling business in Britain ."
pcc_eng_08_054.6041_x0868128_22:10-11,ever_closer,closer,(+)_ever_closer,ever,", calif . - as we draw ever closer to the beginning of the 2018","PALM SPRINGS , Calif . - As we draw ever closer to the beginning of the 2018 CWL season , those who participated in the past are still earning accolades in the media today ."
pcc_eng_14_086.9176_x1388722_28:5-6,ever_closer,closer,(+)_ever_closer,ever,"eagerly , she draws ever closer to the abyss of exposure and","Eagerly , she draws ever closer to the abyss of exposure and disgrace ."
pcc_eng_22_002.2885_x0020951_5:4-5,ever_closer,closer,(+)_ever_closer,ever,"as she grows ever closer to uniting japan , however ,","As she grows ever closer to uniting Japan , however , she is forced to choose between being an iron ruler and being a woman in love ."
pcc_eng_18_001.2386_x0003940_21:10-11,ever_closer,closer,(+)_ever_closer,ever,development of semantic search promises to inch ever closer to matching the meaning and understanding,"Fortunately , development of semantic search promises to inch ever closer to matching the meaning and understanding the context of searches and the searcher 's intent ."
pcc_eng_04_017.6000_x0268004_044:3-4,ever_closer,closer,(+)_ever_closer,ever,"she twisted ever closer to zultana , but was eventually","She twisted ever closer to Zultana , but was eventually cast away with a gentle swat of the ribbon - wand to her forehead ."
apw_eng_20080829_0018_10:13-14,ever_closer,closer,(+)_ever_closer,ever,"his recently concluded presidential campaign , envisions ever closer commercial ties followed by an informal","the plan , unveiled during his recently concluded presidential campaign , envisions ever closer commercial ties followed by an informal agreement that would guarantee Taiwan latitude to conduct foreign relations ."
pcc_eng_16_026.2585_x0408918_36:19-20,ever_closer,closer,(+)_ever_closer,ever,"has focused on the process of "" ever closer union "" .","Abstract : Much analysis of the European Union ( EU ) has focused on the process of "" ever closer union "" ."
pcc_eng_05_076.9356_x1229018_049:22-23,ever_closer,closer,(+)_ever_closer,ever,the bransfield straight - making our way ever closer to the antarctic coastline .,"This afternoon we continue our journey south , navigating into the broad expanse of the Bransfield Straight - making our way ever closer to the Antarctic coastline ."
apw_eng_19950815_1174_21:25-26,ever_closer,closer,(+)_ever_closer,ever,as colombia 's highest-reaching drug scandal reaches ever closer to samper himself .,"COLOMBIA BOGOTA , Colombia _ Prosecutors order the imprisonment of President Ernesto Samper 's former defense minister as Colombia 's highest-reaching drug scandal reaches ever closer to Samper himself ."
pcc_eng_13_014.1271_x0212098_155:24-25,ever_closer,closer,(+)_ever_closer,ever,"in silicon valley , stevens has grown ever closer to usc over a quarter of","Starting with his first gift of $ 100 in 1993 and that first meeting with Nikias in Silicon Valley , Stevens has grown ever closer to USC over a quarter of a century ."
pcc_eng_06_098.4548_x1576361_30:7-8,ever_closer,closer,(+)_ever_closer,ever,"meanwhile , while the world edges ever closer to the edge , the media-including","Meanwhile , while the world edges ever closer to the edge , the media-including those revered phonies on the PBS Lehrer Newshour - - rarely talk about these things and the politicians even less ( both out of sheer ignorance and a sense that such topics are taboo ) , which enables the cancer to grow unchecked ."
pcc_eng_21_073.0224_x1163994_08:13-14,ever_closer,closer,(+)_ever_closer,ever,stockton springs historic steeple fund raising project ever closer to completion .,This donation will bring the Stockton Springs Historic Steeple fund raising project ever closer to completion .
pcc_eng_05_085.6869_x1370404_07:12-13,ever_closer,closer,(+)_ever_closer,ever,"the pressure throughout day two , getting ever closer to the leaders .","The Donegal duo continued the pressure throughout day two , getting ever closer to the leaders ."
pcc_eng_08_038.0342_x0599532_06:24-25,ever_closer,closer,(+)_ever_closer,ever,eld rule 's initial compliance deadline looms ever closer :,"Here , they answer together in depth five pressing questions of concern to fleets as the ELD rule 's initial compliance deadline looms ever closer :"
pcc_eng_08_087.0424_x1392907_18:6-7,ever_closer,closer,(+)_ever_closer,ever,even with terminator 5 inching ever closer to actually becoming a sure thing,"Even with Terminator 5 inching ever closer to actually becoming a sure thing , there are still multiple directions that Lin ( or whoever ends up ultimately sitting in the director 's chair ) could go with it ."
pcc_eng_test_2.01371_x18270_130:12-13,ever_closer,closer,(+)_ever_closer,ever,vpi designer harry weisfeld brings the listener ever closer to the elusive goal of recreating,"The newest effort from VPI designer Harry Weisfeld brings the listener ever closer to the elusive goal of recreating the master tape 's dynamics , neutrality , soundstaging and imaging ."
pcc_eng_17_002.5649_x0025206_24:16-17,ever_closer,closer,(+)_ever_closer,ever,"at the local scale , leading us ever closer to completing all required remedial actions","These projects have served to remediate environmental quality at the local scale , leading us ever closer to completing all required remedial actions ."
pcc_eng_07_077.2436_x1232056_2:26-27,ever_closer,closer,(+)_ever_closer,ever,midfielder 's permanent exit from ibrox moving ever closer .,"Joey Barton has been signed off from Rangers ' training ground with stress since Friday , with the midfielder 's permanent exit from Ibrox moving ever closer ."
pcc_eng_08_030.5566_x0478484_28:21-22,ever_closer,closer,(+)_ever_closer,ever,"in recent years , with woods edging ever closer to snead 's official record .","Even so , it 's a number which has come under more scrutiny in recent years , with Woods edging ever closer to Snead 's official record ."
pcc_eng_20_018.9127_x0289396_10:28-29,ever_closer,closer,(+)_ever_closer,ever,"of forest in 24 hours , moving ever closer wednesday to the headwaters of a","A lightning -sparked wildfire burning in the Pecos Wilderness of northern New Mexico raced across more than 5 square miles of forest in 24 hours , moving ever closer Wednesday to the headwaters of a river that is home to some of the state 's most popular fishing spots ."
pcc_eng_21_040.6313_x0640790_08:5-6,ever_closer,closer,(+)_ever_closer,ever,"north korea , racing ever closer to having a nuclear-tipped missile that","North Korea , racing ever closer to having a nuclear-tipped missile that could strike the U.S. mainland , is without doubt already one of the biggest security challenges on new President Donald Trump 's plate ."
pcc_eng_06_073.1875_x1167698_61:11-12,ever_closer,closer,(+)_ever_closer,ever,the only goal of the eu though ever closer union is to become the usof,"The truth is the only goal of the EU though ever closer union is to become the USof E , in the past the vast majority of voters across the EU were kept in the dark about it but as Brussels takes more power from the Nation States the voters are beginning to see it for what it is and they reject it at every turn ."
pcc_eng_06_103.1409_x1652474_14:21-22,ever_closer,closer,(+)_ever_closer,ever,"to the body , that we draw ever closer to that pure light that is","It is in prayer , as essential to the soul as oxygen is to the body , that we draw ever closer to that pure light that is the glory of God and we become slowly transformed and transfigured ."
pcc_eng_03_056.6967_x0902100_35:20-21,ever_closer,closer,(+)_ever_closer,ever,"warns , as the encroaching tide licks ever closer .",""" Our back wall 's gonna cave ! "" one of them warns , as the encroaching tide licks ever closer ."
pcc_eng_07_001.0805_x0001282_10:2-3,ever_closer,closer,(+)_ever_closer,ever,creeping ever closer over the horizon is a massive,"Creeping ever closer over the horizon is a massive sandstorm , which constantly decreases the playable area ."
pcc_eng_17_046.6886_x0738160_02:12-13,ever_closer,closer,(+)_ever_closer,ever,summer which means the etds is drawing ever closer !,We 're halfway through summer which means the ETDS is drawing ever closer !
pcc_eng_20_035.6276_x0559697_21:27-28,ever_closer,closer,(+)_ever_closer,ever,"where his path leads him , drawing ever closer to the dark heart of his","Traveling across a landscape haunted by portents of impending catastrophe , Odd will do what he must and go where his path leads him , drawing ever closer to the dark heart of his long journey -- and , perhaps , to the bright light beyond ."
pcc_eng_03_006.0798_x0082107_04:34-35,ever_closer,closer,(+)_ever_closer,ever,after tuesday 's state budget and moving ever closer to our magic $ 600 million,Being a numbers man from a long way back I 'm happy to report that our member councils are in total $ 61 million better off after Tuesday 's State Budget and moving ever closer to our magic $ 600 million per annum target from the State Government .
pcc_eng_02_018.9709_x0290878_20:7-8,ever_closer,closer,(+)_ever_closer,ever,does further integration to an ' ever closer europe ' now seem an almost,Does further integration to an ' ever closer Europe ' now seem an almost redundant ideal ?
pcc_eng_18_078.3063_x1251883_32:16-17,ever_closer,closer,(+)_ever_closer,ever,", the afternoon prayer , brings iftar ever closer .","The third prayer of the day , Asr , the afternoon prayer , brings iftar ever closer ."
pcc_eng_18_017.6346_x0269534_01:09-10,ever_closer,closer,(+)_ever_closer,ever,building at saints as new season edges ever closer,Excitement building at Saints as new season edges ever closer
pcc_eng_03_061.7900_x0984307_03:5-6,ever_closer,closer,(+)_ever_closer,ever,"as the biebs inches ever closer to ultimate twitter rule , we","As the Biebs inches ever closer to ultimate Twitter rule , we have to wonder : who really cares ?"
pcc_eng_26_036.9815_x0581704_10:19-20,ever_closer,closer,(+)_ever_closer,ever,"adversaries , smelling suculent blood , edge ever closer to the dead deer","A flailing attempt to protect its dinner is useless as its adversaries , smelling suculent blood , edge ever closer to the dead deer"
