hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_27_104.2611_x1670548_09:17-18,exactly_alike,alike,(+)_exactly_alike,exactly,other features to make sure they look exactly alike .,"Compare the color , watch hands , linkage and other features to make sure they look exactly alike ."
pcc_eng_28_030.0965_x0470217_25:3-4,exactly_alike,alike,(+)_exactly_alike,exactly,"they were exactly alike -- large white doors , which","They were exactly alike -- large white doors , which an arched frame and wide side-lights , perched upon little "" stoops "" of red stone , which descended sidewise to the brick pavement of the street ."
pcc_eng_00_010.4748_x0152783_30:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,my sister and i feel exactly alike in these things .,My sister and I feel exactly alike in these things .
pcc_eng_12_037.6442_x0592718_01:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,these two fuel injectors look exactly alike .,These two fuel injectors look exactly alike .
pcc_eng_13_019.6793_x0301840_55:12-13,exactly_alike,alike,(+)_exactly_alike,exactly,- old boys at buchenwald who looked exactly alike ?,Were there two four-year - old boys at Buchenwald who looked exactly alike ?
pcc_eng_20_086.2712_x1377686_047:16-17,exactly_alike,alike,(+)_exactly_alike,exactly,using the fact that they both look exactly alike .,Billy : Maybe they worked out a plan using the fact that they both look exactly alike .
pcc_eng_25_026.9665_x0420075_055:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,"if you and i thought exactly alike , one of us would not","If you and I thought exactly alike , one of us would not be necessary ."
pcc_eng_05_082.8702_x1324997_49:19-20,exactly_alike,alike,(+)_exactly_alike,exactly,"who all look different , but think exactly alike .","What I noticed in academia is that diversity meant picking people who all look different , but think exactly alike ."
pcc_eng_02_059.8459_x0951691_113:17-18,exactly_alike,alike,(+)_exactly_alike,exactly,"that are different as though they were exactly alike , a truism well illustrated in","Sometimes the grossest discrimination can lie in treating things that are different as though they were exactly alike , a truism well illustrated in Williams v. Rhodes , supra . ( 403 U.S. at 441-42 ( 91 S.Ct. 1970 ) . )"
pcc_eng_29_059.1976_x0940293_09:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,"the mattress and canopy are exactly alike ; each has its valance ,","The mattress and canopy are exactly alike ; each has its valance , and they are just the same size ; so directions for one will answer for both ."
pcc_eng_11_011.9151_x0176430_60:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,"the two diseases sound almost exactly alike , and both affect the thyroid","The two diseases sound almost exactly alike , and both affect the thyroid ."
pcc_eng_04_007.2637_x0101256_53:22-23,exactly_alike,alike,(+)_exactly_alike,exactly,simply because the two songs famously sound exactly alike ?,"Did "" Brave "" make it to Best Pop Solo Performance against Katy Perry simply because the two songs famously sound exactly alike ?"
pcc_eng_17_041.2418_x0650126_095:09-10,exactly_alike,alike,(+)_exactly_alike,exactly,"one narrow sense , all cells are exactly alike .","In one narrow sense , all cells are exactly alike ."
pcc_eng_24_001.5741_x0009275_1:5-6,exactly_alike,alike,(+)_exactly_alike,exactly,i mean they look exactly alike except one has facial features like,I mean they look exactly alike except one has facial features like he could be the 2nd or 3rd lead in a movie and the other has facial features like he has to play tragic in an emo band to get anywhere near a vag .
pcc_eng_04_076.4964_x1219373_07:6-7,exactly_alike,alike,(+)_exactly_alike,exactly,take two people who are exactly alike except for their ankles : one,Take two people who are exactly alike except for their ankles : one person 's ankles are more flexible than the other 's .
pcc_eng_28_055.1949_x0876937_012:17-18,exactly_alike,alike,(+)_exactly_alike,exactly,the idea that all groups must perform exactly alike and recognize that it 's normal,"We must , with Booker T. Washington , drop the idea that all groups must perform exactly alike and recognize that it 's normal that different groups have different interests , aspirations , and abilities , and let each group perform according to its own dispositions ."
pcc_eng_06_064.4645_x1027009_15:18-19,exactly_alike,alike,(+)_exactly_alike,exactly,""" prototype "" shelby as the look exactly alike with different color schemes .","It could be possible that this is in fact the "" prototype "" Shelby as the look exactly alike with different color schemes ."
pcc_eng_20_018.4667_x0282158_136:19-20,exactly_alike,alike,(+)_exactly_alike,exactly,quality material is characters that all sound exactly alike .,A common culprit that keeps screenwriters from making their work studio quality material is characters that all sound exactly alike .
pcc_eng_25_083.1544_x1329642_59:38-39,exactly_alike,alike,(+)_exactly_alike,exactly,"the universe , all souls cannot be exactly alike and have the same value ;","But we have also to think at the same time , that even though we have a soul that is able to move around , within the life cycle of the universe , all souls cannot be exactly alike and have the same value ; so , one would like to ask , since there are so many religions , how could a soul of a religion be compared to another religion ; for instance we could ask , is the soul of a Christian the same as the soul of a Muslim ?"
pcc_eng_04_044.9857_x0710798_38:19-20,exactly_alike,alike,(+)_exactly_alike,exactly,"it is difficult to find two specimens exactly alike ; the under fur , however","This species varies a good deal in colour , so that it is difficult to find two specimens exactly alike ; the under fur , however , does not differ as much in tint in different specimens as it does in fineness ."
pcc_eng_06_108.7512_x1743071_05:09-10,exactly_alike,alike,(+)_exactly_alike,exactly,in the powder form tend to look exactly alike yet are different in many ways,Clays in the powder form tend to look exactly alike yet are different in many ways .
pcc_eng_13_045.8091_x0724548_30:26-27,exactly_alike,alike,(+)_exactly_alike,exactly,"bad , even when they are otherwise exactly alike .","Actions that are perceived to be good should seem more person-caused than those that are perceived to be bad , even when they are otherwise exactly alike ."
pcc_eng_02_051.4098_x0815459_25:11-12,exactly_alike,alike,(+)_exactly_alike,exactly,"two energies , opposite energies , are exactly alike , fifty - fifty , then","Remember , when two energies , opposite energies , are exactly alike , fifty - fifty , then it is very easy to get out of them , because they are fighting and cancelling each other and you are not in anybody 's grip ."
pcc_eng_21_062.0754_x0987221_07:26-27,exactly_alike,alike,(+)_exactly_alike,exactly,", is based on four overlapping truths exactly alike . ""","Let us return for a moment at the beginning , where we said that "" the scientific evidence , is based on four overlapping truths exactly alike . """
pcc_eng_10_092.6859_x1482321_19:13-14,exactly_alike,alike,(+)_exactly_alike,exactly,"of those fireplaces , however , all exactly alike , so no one knows whether","The White House had seven of those fireplaces , however , all exactly alike , so no one knows whether this one was the one in the Lincoln photo ."
pcc_eng_12_001.0147_x0000253_11:4-5,exactly_alike,alike,(+)_exactly_alike,exactly,"the two look exactly alike , which creates some unintentional visual","The two look exactly alike , which creates some unintentional visual - narrative dissonance . )"
pcc_eng_17_072.4490_x1154582_08:27-28,exactly_alike,alike,(+)_exactly_alike,exactly,plovers on the web the eggs were exactly alike and the plovers usually laid 4,I went and got my camera and took some pictures of the eggs and when I looked up piping plovers on the web the eggs were exactly alike and the plovers usually laid 4 at a time .
pcc_eng_10_003.5956_x0042099_06:5-6,exactly_alike,alike,(+)_exactly_alike,exactly,"some of them sound exactly alike , but have completely different meanings","Some of them sound exactly alike , but have completely different meanings ."
pcc_eng_28_020.8272_x0320474_14:14-15,exactly_alike,alike,(+)_exactly_alike,exactly,five chinese brothers and they all looked exactly alike .,Once upon a time there were Five Chinese Brothers and they all looked exactly alike .
pcc_eng_00_106.5719_x1707639_25:15-16,exactly_alike,alike,(+)_exactly_alike,exactly,", which forbids adjacent homes to be exactly alike and mandates that removal of historic","The spirit persists in the zoning code , which forbids adjacent homes to be exactly alike and mandates that removal of historic trees , like the village 's prized banyans and oaks , must be cleared by the city , says Luciana Gonzalez , assistant director of planning and zoning ."
pcc_eng_04_073.7879_x1175640_27:5-6,exactly_alike,alike,(+)_exactly_alike,exactly,"if all four sound exactly alike , something is not working .","If all four sound exactly alike , something is not working ."
pcc_eng_06_078.5017_x1253229_5:17-18,exactly_alike,alike,(+)_exactly_alike,exactly,"know her , for the flowers were exactly alike , and without any difference ?","Now the question is , how did her husband know her , for the flowers were exactly alike , and without any difference ?"
pcc_eng_29_059.1976_x0940293_18:11-12,exactly_alike,alike,(+)_exactly_alike,exactly,"crosses are placed correctly , and are exactly alike in mattress and canopy .","Be sure these crosses are placed correctly , and are exactly alike in mattress and canopy ."
pcc_eng_00_087.8701_x1404522_45:4-5,exactly_alike,alike,(+)_exactly_alike,exactly,people are all exactly alike .,People are all exactly alike .
