hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_20_005.1521_x0066962_11:5-6,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"the changes were more immediately apparent for the visitors , who looked","The changes were more immediately apparent for the visitors , who looked as if they had yet to be introduced to each other , as a fluent Beaconsfield flew into them from the first whistle ."
pcc_eng_01_006.4720_x0088332_052:45-46,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"physical plants will be more dramatic / immediately apparent to prospectives , especially because at","Now that Williams ' building binge is nearly complete and the campus is only one year away ( once old Sawyer is demolished ) from what was ultimately envisioned , the difference between the two school 's physical plants will be more dramatic / immediately apparent to prospectives , especially because at some point Amherst will need to start a disruptive building binge of its own to accommodate the new science center ."
pcc_eng_26_061.7783_x0982636_22:4-5,immediately_apparent,apparent,(+)_immediately_apparent,immediately,this flaw is immediately apparent .,This flaw is immediately apparent .
pcc_eng_07_019.6751_x0302061_04:27-28,immediately_apparent,apparent,(+)_immediately_apparent,immediately,and the sense of community that 's immediately apparent when you step inside the brewery,"A solid range of core beers with movie inspired names was in part the reason for this , that and the sense of community that 's immediately apparent when you step inside the brewery , even before you 've ordered a beer ."
pcc_eng_04_066.6355_x1060163_12:11-12,immediately_apparent,apparent,(+)_immediately_apparent,immediately,his craft with an intensity that is immediately apparent while observing him work .,He has honed his craft with an intensity that is immediately apparent while observing him work .
nyt_eng_20080211_0193_1:48-49,immediately_apparent,apparent,(+)_immediately_apparent,immediately,bush administration 's military commission system were immediately apparent .,"military prosecutors filed capital charges against a former senior leader of al-Qaida and five other Guantanamo detainees on Monday for their roles in the Sept. 11 terror attacks , but the possible obstacles facing a death penalty case in the Bush administration 's military commission system were immediately apparent ."
pcc_eng_07_090.4049_x1444816_078:4-5,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"though perhaps less immediately apparent , this aspect of homosexuality was","Though perhaps less immediately apparent , this aspect of homosexuality was also very present in mythology ."
pcc_eng_12_022.2806_x0344227_15:5-6,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"nonetheless , it was immediately apparent that the cd's 2.0l high- pressure","Nonetheless , it was immediately apparent that the CD's 2.0L high- pressure turbodiesel 's 151 horsepower and the claimed 264 lb.- ft. ( 280 lb.- ft. for short bursts ) of torque provided more urge than either of the Cruze 's other engines ."
pcc_eng_14_036.6152_x0575369_08:15-16,immediately_apparent,apparent,(+)_immediately_apparent,immediately,canadian mint sought to make its value immediately apparent .,"When designing the coin , the Royal Canadian Mint sought to make its value immediately apparent ."
pcc_eng_15_083.1492_x1327574_22:13-14,immediately_apparent,apparent,(+)_immediately_apparent,immediately,two plots below and the trends are immediately apparent .,Take a look at the two plots below and the trends are immediately apparent .
pcc_eng_07_029.1147_x0454752_34:8-9,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"when looking at chloe , it is immediately apparent that she is white and that","When looking at Chloe , it is immediately apparent that she is white and that this is her not her normal manner of speaking ."
pcc_eng_17_002.9523_x0031355_02:20-21,immediately_apparent,apparent,(+)_immediately_apparent,immediately,"country , two seemingly contradictory things are immediately apparent : the cities straight burning up","Looking over Realtor.com 's rundown of the hottest housing markets in the country , two seemingly contradictory things are immediately apparent : the cities straight burning up the summer thus far are both some of the most and least expensive ones in the nation ."
pcc_eng_27_061.3419_x0975302_51:10-11,immediately_apparent,apparent,(+)_immediately_apparent,immediately,between traditional beauty and the grotesque is immediately apparent .,The juxtaposition between traditional beauty and the grotesque is immediately apparent .
