key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] inherently~governmental,253,0.33180448,8.91852,0.3324573,2742.5929,inherently,governmental,47803,761,72839571,0.49942747,252.50057253,0.99802595,2.8826113,15.874575,2.704648,0.005285576,0.005292555,0.33180448,0.16854502,direct
[_mirror_] inherently~wrong,1826,0.085484885,4.797046,0.087452106,9626.258913,inherently,wrong,5133,20880,1701929,62.97386169433594,1763.026123046875,0.9655127,1.6868476,41.25802,1.4623405,0.344508,0.3557374,0.344508,0.21499643,mirror
[_mirror_] inherently~evil,99,0.07493139,3.9399302,0.077891424,462.556699,inherently,evil,5133,1271,1701929,3.833322763442993,95.16667938232422,0.9612796,1.4560835,9.5646105,1.4120598,0.018596252,0.019286966,0.07493139,0.046763822,mirror
[_direct_] inherently~coercive,94,0.07436495,5.9840927,0.075019956,711.85668,inherently,coercive,47803,1253,72839571,0.8223162,93.1776838,0.99125195,2.0946314,9.610544,2.058089,0.0019504817,0.0019664038,0.07436495,0.038157716,direct
[_direct_] inherently~unequal,390,0.068731695,6.378782,0.069382675,2893.1389,inherently,unequal,47803,5621,72839571,3.688938,386.311062,0.99054116,2.0591438,19.56162,2.0241632,0.008086621,0.008158484,0.068731695,0.03840916,direct
[_direct_] inherently~untrustworthy,69,0.056322362,5.385689,0.056977704,483.61387,inherently,untrustworthy,47803,1211,72839571,0.79475253,68.20524747,0.9884818,1.9673717,8.210947,1.9386172,0.0014277354,0.001443424,0.056322362,0.02887505,direct
[_direct_] inherently~indiscriminate,58,0.05463526,5.2226067,0.055290755,402.9557,inherently,indiscriminate,47803,1049,72839571,0.68843551,57.31156449,0.98813045,1.954007,7.5253773,1.9255648,0.0011996988,0.001213313,0.05463526,0.02791748,direct
[_direct_] inherently~evil,1123,0.048817232,6.051616,0.04945829,7572.6184,inherently,evil,47803,22706,72839571,14.901446,1108.098554,0.9867307,1.9092692,33.06652,1.8771514,0.023195745,0.023492249,0.048817232,0.036006488,direct
[_direct_] inherently~interdisciplinary,94,0.04866294,5.349306,0.049317945,631.33164,inherently,interdisciplinary,47803,1906,72839571,1.2508657,92.7491343,0.9866929,1.9006203,9.566342,1.8759172,0.0019415108,0.0019664038,0.04866294,0.025302226,direct
[_direct_] inherently~sinful,145,0.046746798,5.4917445,0.04740111,962.38574,inherently,sinful,47803,3059,72839571,2.0075541,142.9924459,0.9861548,1.8822235,11.874876,1.8587008,0.0029932505,0.0030332825,0.046746798,0.024870023,direct
