key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] longer~focal,155,0.39424774,11.152214,0.39440203,2191.5074,longer,focal,11259,393,71961373,0.061488363,154.938511637,0.9996033,3.625773,12.444960734,3.4015388,0.013763457,0.013766765,0.39424774,0.2040056,direct
[_direct_] longer~lead,264,0.2110472,10.15025,0.2112,3344.3985,longer,lead,11259,1250,71961373,0.19557367,263.80442633,0.9992592,3.2441392,16.236040082,3.1302936,0.023434205,0.023447908,0.2110472,0.117240705,direct
[_direct_] longer~lasting,3545,0.16136676,10.113873,0.16147399,43975.64,longer,lasting,11259,21954,71961373,3.4348995,3541.5651005,0.99903107,3.2542481,59.482211872,3.0137022,0.31460336,0.3148592,0.31460336,0.23798506,direct
[_mirror_] longer~viable,57,0.12051142,6.795503,0.12101911,513.935293,longer,viable,910,471,1680633,0.2550289034843445,56.744972229003906,0.99552584,2.4360704,7.516055107116699,2.3492854,0.062390894,0.06263736,0.12051142,0.09145115,mirror
[_mirror_] longer~lasting,55,0.1147951,6.6949215,0.115303986,490.137412,longer,lasting,910,477,1680633,0.2582777142524719,54.741722106933594,0.99530405,2.411375,7.381372451782227,2.328276,0.060188327,0.06043956,0.1147951,0.08749171,mirror
[_direct_] longer~historical,108,0.01727563,5.952295,0.0174306,806.8685,longer,historical,11259,6196,71961373,0.96941958,107.03058042,0.9910239,2.060581,10.299022403,2.046912,0.009507712,0.009592326,0.01727563,0.013391671,direct
[_direct_] longer~overall,65,0.01657976,5.605684,0.016735325,480.08094,longer,overall,11259,3884,71961373,0.60768652,64.39231348,0.99065095,2.0422385,7.986883513,2.0292337,0.005720081,0.005773159,0.01657976,0.0111499205,direct
[_direct_] longer~healthier,120,0.009758442,5.1787357,0.009913259,761.9082,longer,healthier,11259,12105,71961373,1.8939354,118.1060646,0.9842172,1.8124243,10.781559289,1.8018161,0.010491567,0.01065814,0.010491567,0.010125004,direct
[_direct_] longer~pink,52,0.0071795564,4.2478247,0.007335308,298.97174,longer,pink,11259,7089,71961373,1.1091374,50.8908626,0.9786704,1.6802212,7.057292866,1.671018,0.0045207236,0.0046185274,0.0071795564,0.00585014,direct
[_direct_] longer~average,69,0.0045271963,3.7941906,0.004682728,336.3495,longer,average,11259,14735,71961373,2.3054225,66.6945775,0.9665881,1.4837518,8.029083614,1.4760985,0.005924595,0.0061284304,0.005924595,0.0052258954,direct
