hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_05_069.2649_x1104556_18:16-17,longer_pink,longer,pink,(+)_longer_pink,", and stir until chicken is no longer pink , about 5 minutes .","Add chicken , season with salt and pepper , and stir until chicken is no longer pink , about 5 minutes ."
pcc_eng_16_088.9784_x1424161_15:10-11,longer_pink,longer,pink,(+)_longer_pink,350 degree oven until chicken is no longer pink .,Bake in 350 degree oven until chicken is no longer pink .
pcc_eng_15_042.3921_x0669247_09:5-6,longer_pink,longer,pink,(+)_longer_pink,"once sausage is no longer pink , remove from heat and carefully","Once sausage is no longer pink , remove from heat and carefully drain excess grease from pan ."
pcc_eng_00_096.3124_x1541507_08:11-12,longer_pink,longer,pink,(+)_longer_pink,beef and cook until it is no longer pink .,Add the ground beef and cook until it is no longer pink .
pcc_eng_19_030.4322_x0475142_28:19-20,longer_pink,longer,pink,(+)_longer_pink,until chicken is cooked through and no longer pink inside and squash is fork-tender .,Bake at 375 deg F for 25 to 30 minutes or until chicken is cooked through and no longer pink inside and squash is fork-tender .
pcc_eng_25_007.3352_x0102860_41:14-15,longer_pink,longer,pink,(+)_longer_pink,", stirring regularly until chicken is no longer pink .","Add chicken and bacon and fry , stirring regularly until chicken is no longer pink ."
pcc_eng_09_021.0624_x0324864_27:23-24,longer_pink,longer,pink,(+)_longer_pink,5 minutes until the lamb is no longer pink .,If using the turkey cook for 2 minutes and if using the lamb cook for 5 minutes until the lamb is no longer pink .
pcc_eng_00_081.8632_x1307207_06:17-18,longer_pink,longer,pink,(+)_longer_pink,and cook until the chicken is no longer pink .,"Add in the chicken , garlic and fresh ginger and cook until the chicken is no longer pink ."
nyt_eng_19980920_0085_60:12-13,longer_pink,longer,pink,(+)_longer_pink,the chicken until the meat is no longer pink inside when sliced in half .,reduce heat and poach the chicken until the meat is no longer pink inside when sliced in half .
pcc_eng_27_103.0367_x1650686_4:12-13,longer_pink,longer,pink,(+)_longer_pink,", cheeks , and tail are no longer pink along with his lilac skin on","His arms , legs , cheeks , and tail are no longer pink along with his lilac skin on his face , neck , hands , and feet ."
pcc_eng_07_052.7098_x0835868_09:17-18,longer_pink,longer,pink,(+)_longer_pink,"spoon , just until meat is no longer pink .","Cook , breaking up the meat with a wooden spoon , just until meat is no longer pink ."
pcc_eng_24_004.1726_x0051174_08:29-30,longer_pink,longer,pink,(+)_longer_pink,"cooks , until the meat is no longer pink inside .","Brown the pork in a large skillet over medium heat for about 10 minutes , breaking up the pork as it cooks , until the meat is no longer pink inside ."
nyt_eng_19950925_0557_42:27-28,longer_pink,longer,pink,(+)_longer_pink,until outside surface of strips are no longer pink .,"add half of the beef strips to the hot wok or skillet , stir-fry 1 to 2 minutes or until outside surface of strips are no longer pink ."
nyt_eng_20051017_0109_114:18-19,longer_pink,longer,pink,(+)_longer_pink,10 minutes or until sausage is no longer pink ; drain .,"Cook , stirring to break up sausage , 7 to 10 minutes or until sausage is no longer pink ; drain ."
pcc_eng_28_047.2306_x0748058_06:6-7,longer_pink,longer,pink,(+)_longer_pink,"cook until tender , no longer pink , and slightly browned .","Cook until tender , no longer pink , and slightly browned ."
nyt_eng_20060817_0071_26:21-22,longer_pink,longer,pink,(+)_longer_pink,"and roast until the chicken is no longer pink in the middle , 12 minutes","place the chicken and the vegetables in the preheated oven on separate racks and roast until the chicken is no longer pink in the middle , 12 minutes , turning once ."
pcc_eng_16_101.2402_x1622458_05:14-15,longer_pink,longer,pink,(+)_longer_pink,a skillet until the meat is no longer pink .,Cooking : Stir and brown in a skillet until the meat is no longer pink .
pcc_eng_07_050.9792_x0807984_25:21-22,longer_pink,longer,pink,(+)_longer_pink,"10 minutes or until beef is no longer pink , breaking up into 3/4- inch","In large nonstick skillet , brown ground beef over medium heat 8 to 10 minutes or until beef is no longer pink , breaking up into 3/4- inch crumbles ."
pcc_eng_29_011.0689_x0162770_155:16-17,longer_pink,longer,pink,(+)_longer_pink,"has rendered and the sausage is no longer pink , about 4 to 5 minutes","Cook the sausage until most of the fat has rendered and the sausage is no longer pink , about 4 to 5 minutes ."
pcc_eng_03_025.3000_x0393397_42:7-8,longer_pink,longer,pink,(+)_longer_pink,cook until the sausage is no longer pink .,Cook until the sausage is no longer pink .
nyt_eng_19951116_0443_76:25-26,longer_pink,longer,pink,(+)_longer_pink,12 minutes or until sausage is no longer pink and vegetables are tender .,"in large nonstick skillet , over medium heat , saute sausage , onion and celery 10 to 12 minutes or until sausage is no longer pink and vegetables are tender ."
pcc_eng_28_035.8197_x0563130_168:10-11,longer_pink,longer,pink,(+)_longer_pink,"chicken till it is oblique , no longer pink and is 165 degrees internal temperature","Cook the chicken till it is oblique , no longer pink and is 165 degrees internal temperature ."
pcc_eng_26_008.7478_x0125131_40:42-43,longer_pink,longer,pink,(+)_longer_pink,", or until the middle is no longer pink .","Finish cooking by placing the seared fish ( in an oven safe pan or dish ) in the oven at 350 degrees for 5 - 10 minutes depending on the thickness of the filet , or until the middle is no longer pink ."
pcc_eng_test_3.09002_x48972_4:11-12,longer_pink,longer,pink,(+)_longer_pink,"10 minutes or until burgers are no longer pink in center , turning once .","Cook 8 to 10 minutes or until burgers are no longer pink in center , turning once ."
pcc_eng_14_087.5301_x1398704_24:15-16,longer_pink,longer,pink,(+)_longer_pink,beef and onion until meat is no longer pink ; drain .,"1 .In a large skillet , brown beef and onion until meat is no longer pink ; drain ."
pcc_eng_11_001.6828_x0011098_22:18-19,longer_pink,longer,pink,(+)_longer_pink,butter or margarine until chicken is no longer pink .,"In a large skillet , saute chicken and garlic in butter or margarine until chicken is no longer pink ."
