hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_25_008.5491_x0122432_06:22-23,longer_viable,longer,viable,(+)_longer_viable,"office was opened and staffed is no longer viable , "" a kaspersky lab spokesperson",""" We are closing our facility in Arlington as the opportunity for which the office was opened and staffed is no longer viable , "" a Kaspersky Lab spokesperson told Tech Crunch ."
pcc_eng_17_010.7615_x0157916_11:30-31,longer_viable,longer,viable,(+)_longer_viable,loans as its financial model was no longer viable .,"Sources close to the matter said CIF , which specialized in mortgage lending to less privileged families , would cease providing new loans as its financial model was no longer viable ."
pcc_eng_24_074.0851_x1182271_23:6-7,longer_viable,longer,viable,(+)_longer_viable,"when the service was no longer viable , adobe pulled the plug on","When the service was no longer viable , Adobe pulled the plug on their ads servers ."
pcc_eng_03_046.0865_x0730357_18:6-7,longer_viable,longer,viable,(+)_longer_viable,its cost-to-returns ratio is no longer viable as more readers switch to online,Its cost-to-returns ratio is no longer viable as more readers switch to online purchasing and to ebooks .
pcc_eng_02_098.6574_x1578911_45:7-8,longer_viable,longer,viable,(+)_longer_viable,s.k. matching n.k. nukes is no longer viable .,S.K. matching N.K. nukes is no longer viable .
pcc_eng_28_034.7302_x0545419_08:14-15,longer_viable,longer,viable,(+)_longer_viable,"which you created that site is no longer viable , then you may want to","However , if the purpose to which you created that site is no longer viable , then you may want to delete the page just to create more space in your Facebook platform ."
pcc_eng_16_093.3308_x1494653_07:16-17,longer_viable,longer,viable,(+)_longer_viable,down the mine as it was no longer viable .,"After World War I , the town shut down the mine as it was no longer viable ."
pcc_eng_12_085.4561_x1364692_08:39-40,longer_viable,longer,viable,(+)_longer_viable,that serials of this length were no longer viable .,"This meant that the year could consist solely of four-part stories , rather than incorporating a six-episode adventure as had been the tradition since the mid-Seventies ; Nathan - Turner felt that serials of this length were no longer viable ."
pcc_eng_25_043.3920_x0686271_28:38-39,longer_viable,longer,viable,(+)_longer_viable,for catholic clergy is antiquated and no longer viable . '',"That majority was even larger -- 81 percent -- when those polled were asked whether they thought priests and nuns should be able to marry because the "" celibacy requirement for Catholic clergy is antiquated and no longer viable . ''"
pcc_eng_05_063.5140_x1011478_15:10-11,longer_viable,longer,viable,(+)_longer_viable,"bitcoin on an individual computer is no longer viable , there are other cryptocurrencies that","While mining bitcoin on an individual computer is no longer viable , there are other cryptocurrencies that you can still mine at home if you 're ."
pcc_eng_15_091.9123_x1469502_04:5-6,longer_viable,longer,viable,(+)_longer_viable,is that woman no longer viable for high office ?,Is that woman no longer viable for high office ?
pcc_eng_23_092.2130_x1474178_16:17-18,longer_viable,longer,viable,(+)_longer_viable,exercising veto power over releases is no longer viable .,"Moreover , the old approach of enforcing process and exercising veto power over releases is no longer viable ."
pcc_eng_24_026.0136_x0404364_39:14-15,longer_viable,longer,viable,(+)_longer_viable,of government we currently use is no longer viable for oak harbor .,"The "" strong mayor "" form of government we currently use is no longer viable for Oak Harbor ."
pcc_eng_20_026.1884_x0407365_18:39-40,longer_viable,longer,viable,(+)_longer_viable,' business as usual ' is no longer viable .,In the face of the promise of untold growth we are now confronted by a harsh reality : that in the second decade of the 21st century the traditional model of ' business as usual ' is no longer viable .
pcc_eng_15_013.8311_x0206936_36:8-9,longer_viable,longer,viable,(+)_longer_viable,the futures and options markets are no longer viable .,The futures and options markets are no longer viable .
pcc_eng_29_103.0870_x1649655_09:09-10,longer_viable,longer,viable,(+)_longer_viable,"that time , his organs were no longer viable and could not be recovered .","By that time , his organs were no longer viable and could not be recovered ."
pcc_eng_20_028.6567_x0447123_28:40-41,longer_viable,longer,viable,(+)_longer_viable,down the process until it 's no longer viable .,"This might sound overly cynical and rather "" Skynet "" in nature , but these possibilities are there , and a result would be subject to heavy governmental regulation that could bog down the process until it 's no longer viable ."
pcc_eng_23_032.2785_x0505009_11:22-23,longer_viable,longer,viable,(+)_longer_viable,in favor of the mine is no longer viable .,"In the face of this opposition , Ponta announced on Monday that the bill in favor of the mine is no longer viable ."
pcc_eng_14_029.1245_x0454362_73:36-37,longer_viable,longer,viable,(+)_longer_viable,to a particular historical context and no longer viable .,"The essence of the Sufi 's message had been that certain verses in the Koran represented the universal , eternal message of Islam , while others were relevant to a particular historical context and no longer viable ."
pcc_eng_25_010.9065_x0160310_09:5-6,longer_viable,longer,viable,(+)_longer_viable,"the eggs are no longer viable , which does n't help birds","The eggs are no longer viable , which does n't help birds like the Brown Pelican , Black Skimmer and Royal Tern ."
pcc_eng_10_074.4554_x1187334_04:22-23,longer_viable,longer,viable,(+)_longer_viable,"that pongetti is based on is no longer viable , he says .","But his father has fallen ill in recent years , and the business model that Pongetti is based on is no longer viable , he says ."
pcc_eng_10_101.3363_x1622357_24:19-20,longer_viable,longer,viable,(+)_longer_viable,"life as we know it is no longer viable . """,""" Revolution or collapse -- in either case , the good life as we know it is no longer viable . """
apw_eng_20011127_0621_4:15-16,longer_viable,longer,viable,(+)_longer_viable,"that our regional jet business is no longer viable in this environment , '' he","`` Regrettably , it has been concluded that our regional jet business is no longer viable in this environment , '' he said ."
pcc_eng_21_010.5062_x0153420_12:69-70,longer_viable,longer,viable,(+)_longer_viable,stand - alone vendor market is no longer viable from a software category perspective .,"To catch you up ( briefly ) PRM was a distinct segment recognized in the late 90 's into the early 00 's ( its heyday was probably from 1999 to 2001 or so ) , by which time then - AMR Research ( now Gartner ) declared : "" The notion of Partner Relationship Management ( PRM ) as a stand - alone vendor market is no longer viable from a software category perspective ."
apw_eng_19980122_0576_80:5-6,longer_viable,longer,viable,(+)_longer_viable,companies that are no longer viable at the new exchange rates will,companies that are no longer viable at the new exchange rates will go bankrupt .
pcc_eng_20_029.7996_x0465675_032:11-12,longer_viable,longer,viable,(+)_longer_viable,"hit some threshold - compromise is no longer viable or desirable and our "" hidden","... then we hit some threshold - compromise is no longer viable or desirable and our "" hidden contracts start showing themselves "" ..."
pcc_eng_04_030.6066_x0478412_09:5-6,longer_viable,longer,viable,(+)_longer_viable,that model is no longer viable .,That model is no longer viable .
pcc_eng_19_031.6619_x0495076_21:28-29,longer_viable,longer,viable,(+)_longer_viable,"a degree that commuter cycling was no longer viable , then a case could be","For example , I would think that if it came to pass that motorized use destroyed the surface to such a degree that commuter cycling was no longer viable , then a case could be made to have motorized vehicles banned ."
pcc_eng_00_073.6093_x1173832_28:14-15,longer_viable,longer,viable,(+)_longer_viable,"money , time and human resources no longer viable when money is on the line","Is that plan that spent city money , time and human resources no longer viable when money is on the line ?"
nyt_eng_20061206_0110_32:22-23,longer_viable,longer,viable,(+)_longer_viable,in our opinion that approach is no longer viable . '',"-- `` Staying the course '' because , as Baker put it , `` in our opinion that approach is no longer viable . ''"
pcc_eng_13_013.8518_x0207604_163:19-20,longer_viable,longer,viable,(+)_longer_viable,as pursuing resolution for them is no longer viable or advantageous to concerned parties .,YES : Crimes committed many years ago should simply be forgotten as pursuing resolution for them is no longer viable or advantageous to concerned parties .
pcc_eng_18_051.7157_x0821100_19:40-41,longer_viable,longer,viable,(+)_longer_viable,that it had overheated and was no longer viable .,"When he was six months old , Anurudh Ganesan 's grandparents carried him for 16 kms across remote rural terrain ( in India ) to receive a vaccine , only to find that it had overheated and was no longer viable ."
pcc_eng_20_005.0306_x0064945_06:19-20,longer_viable,longer,viable,(+)_longer_viable,"'s standpoint that "" it is no longer viable for the telecommunications sector to push","Describing LCR as ' deceased , ' it affirms the company 's standpoint that "" it is no longer viable for the telecommunications sector to push Least Cost Routing into the market going forward . """
pcc_eng_val_1.4777_x07819_09:27-28,longer_viable,longer,viable,(+)_longer_viable,such speeds that water rescues were no longer viable .,"Newman said authorities were now in "" uncharted territory "" , with debris-laden floodwaters roaring through the town at such speeds that water rescues were no longer viable ."
pcc_eng_25_058.4505_x0930445_09:6-7,longer_viable,longer,viable,(+)_longer_viable,now that california is no longer viable for velvet cloud ... we 've,"Now that California is no longer viable for Velvet Cloud ... we 've offered to now give their hometown a try . """
pcc_eng_14_008.7231_x0124598_39:15-16,longer_viable,longer,viable,(+)_longer_viable,"that profiting from risk pooling is no longer viable , and health insurance will evolve","Today 's economy and political climate suggest that profiting from risk pooling is no longer viable , and health insurance will evolve into a third - party administrator of value- based claims processing ."
pcc_eng_17_029.6795_x0464072_036:10-11,longer_viable,longer,viable,(+)_longer_viable,"if the course of action is no longer viable , the director must adjust the","Further , if the course of action is no longer viable , the director must adjust the course of action or place the company into administration or liquidation ."
nyt_eng_19960504_0028_16:19-20,longer_viable,longer,viable,(+)_longer_viable,together in the first place is no longer viable .,"but alas , the mission that brought Barkley and the Suns together in the first place is no longer viable ."
pcc_eng_21_030.4865_x0476724_6:19-20,longer_viable,longer,viable,(+)_longer_viable,"timer , and is a strategy no longer viable in the long run .","The links - to - rank system is in a death timer , and is a strategy no longer viable in the long run ."
pcc_eng_02_041.1497_x0649583_23:8-9,longer_viable,longer,viable,(+)_longer_viable,""" but if hotel use is no longer viable because of the economy we do",""" But if hotel use is no longer viable because of the economy we do n't want empty , boarded - up buildings sitting there . """
