hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_25_028.4129_x0443558_12:4-5,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,""" it is particularly noteworthy that people who reported using alcohol",""" It is particularly noteworthy that people who reported using alcohol and energy drinks for ' hedonistic motives ' -- that is , for the taste or the ' buzz ' -- are at higher risk of reporting one , greater alcohol and ED intake , two , alcohol dependence , and three , being in an accident , being injured , or experiencing aggression whilst intoxicated , "" added Peacock ."
pcc_eng_27_108.03159_x1736584_6:4-5,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,her achievements are particularly noteworthy given that she the first free-born,Her achievements are particularly noteworthy given that she the first free-born child in her family .
pcc_eng_08_034.3392_x0539787_02:28-29,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,rpgs and feel let down when a particularly noteworthy series is abandoned in favor of,This petition is meant to show Disney / EA that a significant portion of gamers still enjoy single - player RPGs and feel let down when a particularly noteworthy series is abandoned in favor of an MMO .
pcc_eng_04_072.1011_x1148350_08:2-3,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,a particularly noteworthy moment of the house debate occurred,"A particularly noteworthy moment of the House debate occurred when Frank Niceley ( R- District 17 ) misinvoked the authority of Albert Einstein in support of HB 368 , quoting the physicist as saying , according to the Knoxville News Sentinel ( April 8 , 2011 ) , "" A little knowledge would turn your head to atheism , while a broader knowledge would turn your head to Christianity . """
pcc_eng_26_035.7145_x0561154_27:2-3,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,one particularly noteworthy area of the new strongsville middle,"One particularly noteworthy area of the new Strongsville Middle School is the cafeteria , which is two stories tall ."
pcc_eng_07_070.9415_x1130379_34:3-4,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,during one particularly noteworthy performance against the lakers last winter,"During one particularly noteworthy performance against the Lakers last winter , Holmes and Embiid showed nice synergy and expressed excitement about playing together ."
pcc_eng_12_098.5625_x1576690_44:10-11,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,to boko haram 's media operations is particularly noteworthy .,The upgrade to Boko Haram 's media operations is particularly noteworthy .
nyt_eng_20001121_0314_14:5-6,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"they said that was particularly noteworthy , she recalled , because of","they said that was particularly noteworthy , she recalled , because of the small amounts spent on the `` anti '' side compared with the huge sums spent by the giant tobacco marketers ."
pcc_eng_12_017.4788_x0266634_034:2-3,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"a particularly noteworthy example is chile , which has","A particularly noteworthy example is Chile , which has now set a high standard for fiscal policy management for emerging market economies with its structural surplus rule ."
pcc_eng_18_010.0452_x0146345_10:10-11,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,cheers from the republican audience which was particularly noteworthy - this is not widely regarded,Ivanka received cheers from the Republican audience which was particularly noteworthy - this is not widely regarded as a top issue for Republicans .
pcc_eng_14_036.8269_x0578816_25:4-5,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,this timeframe is particularly noteworthy because it covers the aftermath of,"This timeframe is particularly noteworthy because it covers the aftermath of the Move In Day action , an attempt to take over a disused building and turn it into a social centre ."
pcc_eng_27_106.0145_x1698785_034:20-21,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"the political spectrum , but it is particularly noteworthy among independents .","This change in the image of the Democratic Party has occurred across the political spectrum , but it is particularly noteworthy among independents ."
pcc_eng_28_013.6563_x0205030_064:3-4,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"what is particularly noteworthy is the case of taiwan ,","What is particularly noteworthy is the case of Taiwan , which the report regards as a model to watch and to emulate ."
pcc_eng_24_043.4086_x0685411_07:11-12,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"four weeks , we will highlight some particularly noteworthy research : from using computing to","Over the next four weeks , we will highlight some particularly noteworthy research : from using computing to better understand the body 's immune response to HIV and AIDS , to measuring and modeling complex ecosystems and global environment conditions , to tools that inspire and enable citizen-scientists around the world ."
pcc_eng_15_067.8118_x1079250_13:1-2,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,particularly noteworthy are robb 's use of cover,Particularly noteworthy are Robb 's use of cover crops to protect soil and how he makes his own compost .
pcc_eng_12_037.3361_x0587741_17:4-5,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,this study is particularly noteworthy because it was randomized and double-blind,This study is particularly noteworthy because it was randomized and double-blind .
pcc_eng_06_055.5824_x0883078_14:1-2,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"particularly noteworthy is the castle of osu ,","Particularly noteworthy is the castle of Osu , the square of the Black Star , damaged by the tooth of time , as well as the Kwame Nkrumah mausoleum - the president of Ghana and a political activist ."
pcc_eng_17_050.0634_x0792554_31:7-8,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,"the "" vermont "" episode was particularly noteworthy .","The "" Vermont "" episode was particularly noteworthy ."
pcc_eng_15_094.5884_x1512652_083:8-9,particularly_noteworthy,noteworthy,(+)_particularly_noteworthy,particularly,the markets of birzebbuga and birkirkara are particularly noteworthy .,The markets of Birzebbuga and Birkirkara are particularly noteworthy .
