hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_02_036.0375_x0567144_20:19-20,remotely_close,close,(+)_remotely_close,remotely,to make its patents available at anything remotely close to a reasonable price .,"The blog claims that : "" Unfortunately , Motorola has refused to make its patents available at anything remotely close to a reasonable price ."
pcc_eng_21_072.6636_x1158160_14:56-57,remotely_close,close,(+)_remotely_close,remotely,"of reality , expect to tell anything remotely close to truth ? ""","Where every human being exists in his or her own world , with all the fragility of memory and the intricacies of human nature all wrapped up into the singular quantity ' a man , ' how can we , photojournalists , journalists , and all other documenters of reality , expect to tell anything remotely close to truth ? """
pcc_eng_01_039.8580_x0627902_30:7-8,remotely_close,close,(+)_remotely_close,remotely,"whenever i had proposed anything even remotely close to a "" profile "" of","Whenever I had proposed anything even remotely close to a "" profile "" of Steve or anyone else , the answer had always been "" no . """
pcc_eng_10_002.2391_x0020045_17:10-11,remotely_close,close,(+)_remotely_close,remotely,just hope the movies can come even remotely close to your amazingness .,Let 's just hope the movies can come even remotely close to your amazingness .
pcc_eng_25_005.8988_x0079721_18:27-28,remotely_close,close,(+)_remotely_close,remotely,"aetheric vehicle , "" that sounds even remotely close to anything nostalgic to supreme balloon","The song "" Teen Paranormal Romance "" is the only song on this album , other than maybe "" Aetheric Vehicle , "" that sounds even remotely close to anything nostalgic to Supreme Balloon and it is probably the strongest song on the album ."
pcc_eng_07_079.7699_x1272885_09:11-12,remotely_close,close,(+)_remotely_close,remotely,any belgian trip if you travel even remotely close to the brewery .,A must of any Belgian trip if you travel even remotely close to the brewery .
pcc_eng_27_001.9686_x0015533_20:6-7,remotely_close,close,(+)_remotely_close,remotely,can they count on anything remotely close to the 39 takeaways they had,Can they count on anything remotely close to the 39 takeaways they had on the way to the Super Bow ?
pcc_eng_26_059.9558_x0953278_53:09-10,remotely_close,close,(+)_remotely_close,remotely,"islam is to be seen as anything remotely close to its self-attached monicker , the","If Islam is to be seen as anything remotely close to its self-attached monicker , the "" Religion of Peace "" , it needs to make some serious accomodations with the modern world ."
pcc_eng_14_023.9414_x0370585_02:5-6,remotely_close,close,(+)_remotely_close,remotely,putting your head even remotely close to an opposition player 's head,"Putting your head even remotely close to an opposition player 's head is probably a bad idea unless you 're challenging for a header , says former referee Graham Poll ."
pcc_eng_02_010.6610_x0155966_01:12-13,remotely_close,close,(+)_remotely_close,remotely,internet and i cannot find an answer remotely close to my predicament .,I have scoured the internet and I cannot find an answer remotely close to my predicament .
pcc_eng_27_046.4537_x0734604_70:19-20,remotely_close,close,(+)_remotely_close,remotely,only factors keeping either of these races remotely close .,New Mexico and Hawaii - Strong female GOP candidates are the only factors keeping either of these races remotely close .
pcc_eng_26_038.5736_x0607520_06:23-24,remotely_close,close,(+)_remotely_close,remotely,to find somewhere to park that was remotely close to our front door ... we,If we were given a dollar for each time it took us over 15 minutes to find somewhere to park that was remotely close to our front door ... we 'd probably have enough money to afford a place with its own parking spot !
