key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] that~purported,73,0.78208804,8.416111,0.78494626,758.46666,that,purported,208262,93,72839571,0.26590445,72.73409555,0.9963575,3.0971985,8.512882,2.4385972,0.00035024466,0.00035052001,0.78208804,0.39121914,direct
[_direct_] that~uncommon,804,0.068226375,4.430093,0.07107496,3680.4163,that,uncommon,208262,11312,72839571,32.34313,771.65687,0.9597722,1.4281151,27.21424,1.395474,0.003715846,0.0038605218,0.068226375,0.03597111,direct
[_direct_] that~farfetched,93,0.06738373,3.7514608,0.07024169,423.24001,that,farfetched,208262,1324,72839571,3.7855644,89.2144356,0.95929503,1.4230766,9.251106,1.3903522,0.0004296043,0.0004465529,0.06738373,0.03390667,direct
[_direct_] that~dissimilar,307,0.06381151,4.131064,0.06666667,1365.5549,that,dissimilar,208262,4605,72839571,13.166559,293.833441,0.9571122,1.397656,16.76996,1.3676661,0.0014149292,0.0014741047,0.06381151,0.03261322,direct
[_mirror_] that~great,342,0.058385324,3.8951595,0.061422415,1405.852292,that,great,5494,5568,1701929,17.974071502685547,324.02593994140625,0.94744426,1.3326291,17.521317,1.2793796,0.05916915,0.062249728,0.05916915,0.058777235,mirror
[_direct_] that~bad,19708,0.043277986,4.0081034,0.04588196,74955.417,that,bad,208262,429537,72839571,1228.1269,18479.8731,0.9376838,1.2652799,131.63692,1.2053993,0.08898821,0.0946308,0.08898821,0.0661331,direct
[_direct_] that~great,11781,0.035385456,3.7106433,0.038094405,40195.145,that,great,208262,309258,72839571,884.22665,10896.77335,0.9249447,1.1637663,100.39379,1.1246185,0.052472457,0.056568168,0.052472457,0.043928955,direct
[_direct_] that~hard,10380,0.027058212,3.3386424,0.029787954,30573.424,that,hard,208262,348463,72839571,996.3211,9383.6789,0.9040153,1.0498846,92.10314,1.0177981,0.04518628,0.049841065,0.04518628,0.036122248,direct
[_mirror_] that~bad,299,0.026068527,2.7451582,0.029139461,804.140451,that,bad,5494,10261,1701929,33.12355041503906,265.8764343261719,0.88921887,0.98938066,15.376032,0.9555343,0.04855069,0.054423008,0.04855069,0.03730961,mirror
[_direct_] that~gullible,71,0.026015216,2.2662377,0.028873526,202.12382,that,gullible,208262,2459,72839571,7.0307424,63.9692576,0.90097547,1.0188274,7.591754,1.0042572,0.00030803835,0.00034091674,0.026015216,0.013161628,direct
