key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] yet~unborn,372,0.7154534,10.135111,0.716763,4318.9972,yet,unborn,95763,519,72839571,0.68233511,371.31766489,0.9981658,3.2846198,19.251925,2.7365453,0.0038825693,0.00388459,0.7154534,0.359668,direct
[_direct_] yet~unnamed,736,0.34800717,8.292905,0.34931183,7048.1544,yet,unnamed,95763,2107,72839571,2.7700965,733.2299035,0.99623626,2.6139154,27.027212,2.424383,0.0076667937,0.0076856404,0.34800717,0.17783698,direct
[_direct_] yet~unspecified,204,0.33476716,7.8602114,0.3360791,1933.2027,yet,unspecified,95763,607,72839571,0.7980297,203.2019703,0.9960881,2.5863695,14.226984,2.4076111,0.002124719,0.002130259,0.33476716,0.16844594,direct
[_direct_] yet~untitled,121,0.29237625,7.3700294,0.2936893,1107.5111,yet,untitled,95763,412,72839571,0.54166102,120.45833898,0.99552345,2.501081,10.950758,2.3490577,0.0012595357,0.001263536,0.29237625,0.1468179,direct
[_direct_] yet~undetermined,297,0.26771107,7.5533266,0.26902175,2658.034,yet,undetermined,95763,1104,72839571,1.4514412,295.5485588,0.995113,2.4482846,17.149467,2.310957,0.003090313,0.0031014066,0.26771107,0.1354007,direct
[_direct_] yet~unformed,53,0.21153742,6.2752695,0.2128514,445.94372,yet,unformed,95763,249,72839571,0.32736309,52.67263691,0.99382335,2.3158264,7.235143,2.2092462,0.00055075524,0.0005534497,0.21153742,0.106044084,direct
[_direct_] yet~unidentified,336,0.17646764,6.8483644,0.17777778,2694.3275,yet,unidentified,95763,1890,72839571,2.4848042,333.5151958,0.99260473,2.2175076,18.194746,2.131047,0.0034872994,0.003508662,0.17646764,0.08997747,direct
[_direct_] yet~unscheduled,52,0.16067977,5.8060803,0.16199377,406.30485,yet,unscheduled,95763,321,72839571,0.4220223,51.5779777,0.9918842,2.170431,7.1525784,2.090668,0.0005393093,0.0005430072,0.16067977,0.08060954,direct
[_direct_] yet~unannounced,129,0.1447799,6.185398,0.14609286,979.33351,yet,unannounced,95763,883,72839571,1.16089,127.83911,0.99100083,2.1157875,11.255606,2.0457985,0.0013367104,0.0013470756,0.1447799,0.07305831,direct
[_direct_] yet~unwritten,75,0.13887322,5.829495,0.14018692,562.71497,yet,unwritten,95763,535,72839571,0.70337049,74.29662951,0.99062175,2.095651,8.579036,2.027877,0.00077685993,0.0007831835,0.13887322,0.069825046,direct
