hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
apw_eng_19990609_1021_2:13-14,yet_undetermined,undetermined,(+)_yet_undetermined,yet,incentives and subsidies if an as - yet undetermined percentage of their web site is,"spanish companies will receive tax incentives and subsidies if an as - yet undetermined percentage of their Web site is written in the language of Cervantes , the newspaper ABC reported Wednesday ."
pcc_eng_28_011.0414_x0162401_41:29-30,yet_undetermined,undetermined,(+)_yet_undetermined,yet,him as a potential prime minister is yet undetermined .,"However , his ability to convince Canadians coast to coast to look past the visible symbols of his faith and assess him as a potential prime minister is yet undetermined ."
pcc_eng_20_107.00176_x1713235_10:7-8,yet_undetermined,undetermined,(+)_yet_undetermined,yet,"another zone 4 team , as yet undetermined , will take the boys host","Another Zone 4 team , as yet undetermined , will take the boys host spot ."
pcc_eng_08_030.8624_x0483531_08:36-37,yet_undetermined,undetermined,(+)_yet_undetermined,yet,fi lans -- kim said it is yet undetermined if this interest will translate into,Although there is much evidence of curiosity in the market surrounding voice over Wi- Fi -- a technology which enables the transmission of voice over packets across Wi- Fi LANs -- Kim said it is yet undetermined if this interest will translate into actual sales .
pcc_eng_24_012.6574_x0187987_81:4-5,yet_undetermined,undetermined,(+)_yet_undetermined,yet,it is as yet undetermined what it means to be human,"It is as yet undetermined what it means to be human , because every facet of our culture -- and even our biology itself -- remains open to innovation and insight ."
pcc_eng_09_091.6272_x1466264_27:7-8,yet_undetermined,undetermined,(+)_yet_undetermined,yet,"officials said the cost , as yet undetermined , will be minimal because most","Officials said the cost , as yet undetermined , will be minimal because most of the route is already paved , Davis said ."
nyt_eng_19960207_0671_26:26-27,yet_undetermined,undetermined,(+)_yet_undetermined,yet,open the question of whether some as yet undetermined aspect of asian diets is protective,"and , she said , the studies have involved women in Western countries eating Western diets , leaving open the question of whether some as yet undetermined aspect of Asian diets is protective against breast cancer ."
pcc_eng_10_003.2358_x0036285_085:26-27,yet_undetermined,undetermined,(+)_yet_undetermined,yet,", louisiana , to an area as yet undetermined , to help residents overcome the","In January 2016 , it announced $ 48 million in federal funding to relocate Isle de Jean Charles , Louisiana , to an area as yet undetermined , to help residents overcome the mounting impacts of climate change ."
pcc_eng_20_073.9305_x1178226_22:19-20,yet_undetermined,undetermined,(+)_yet_undetermined,yet,to battle against the babylonians is as yet undetermined .,How the Egyptian came to possess his divine leading to go to battle against the Babylonians is as yet undetermined .
nyt_eng_19951229_0486_3:7-8,yet_undetermined,undetermined,(+)_yet_undetermined,yet,"after paying a hefty , as yet undetermined , admission fee , visitors will","after paying a hefty , as yet undetermined , admission fee , visitors will be issued kopeks minted before 1961 to work the antique slot machines and soda-water fountains ."
