hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_17_063.8156_x1014636_09:11-12,any_higher,higher,(+)_any_higher,any,authorization of the flight ] didnt get any higher than me .,""" It [ authorization of the flight ] didnt get any higher than me ."
pcc_eng_16_092.8129_x1486249_61:6-7,any_higher,higher,(+)_any_higher,any,"if your little eyebrows get any higher on your forehead , they 're","If your little eyebrows get any higher on your forehead , they 're going to disappear . """
pcc_eng_21_097.8162_x1564158_22:1-2,any_higher,higher,(+)_any_higher,any,any higher than this disrupts the ostriches internal,Any higher than this disrupts the Ostriches internal chemistry .
pcc_eng_08_050.1001_x0794728_11:14-15,any_higher,higher,(+)_any_higher,any,"so very afraid to set the bar any higher than "" create a user name","We , as marketers , are so very afraid to set the bar any higher than "" create a user name and password "" or simply "" click here to join . """
pcc_eng_08_042.3378_x0668973_15:8-9,any_higher,higher,(+)_any_higher,any,the instability and chronic struggle to finish any higher than fifth hardly seems an enticement,"The instability and chronic struggle to finish any higher than fifth hardly seems an enticement , not for young players looking to develop as players and pursue silverware ."
pcc_eng_25_085.7978_x1372396_10:09-10,any_higher,higher,(+)_any_higher,any,also thinks it unlikely that donnelly is any higher than 48 or 49 points at,"He also thinks it unlikely that Donnelly is any higher than 48 or 49 points at this stage of the campaign because , A?"
pcc_eng_13_038.4823_x0606084_61:5-6,any_higher,higher,(+)_any_higher,any,if her eyebrows get any higher . and she keeps her eyes,If her eyebrows get any higher . and she keeps her eyes as WIDE OPEN as she just talks normally .
pcc_eng_20_073.5552_x1172151_42:16-17,any_higher,higher,(+)_any_higher,any,every spring to avoid elevating my bp any higher than it already is .,I have to suffer with a stuffy nose every spring to avoid elevating my BP any higher than it already is .
pcc_eng_13_034.4415_x0540630_04:26-27,any_higher,higher,(+)_any_higher,any,their homes if the river vitava gets any higher .,"In the historic centre of Prague , the mayor has warned residents may have to be evacuated from their homes if the River Vitava gets any higher ."
pcc_eng_23_108.7547_x1741751_54:8-9,any_higher,higher,(+)_any_higher,any,they asked john if he could go any higher to improve the connection so they,They asked John if he could go any higher to improve the connection so they could get more details of our situation .
pcc_eng_15_054.5288_x0865086_027:21-22,any_higher,higher,(+)_any_higher,any,if he gets his free throw percentage any higher than embarrassing .,"I think this will be his best year as a pro , especially if he gets his free throw percentage any higher than embarrassing ."
pcc_eng_19_035.4617_x0556367_23:6-7,any_higher,higher,(+)_any_higher,any,"if the msp percentage goes any higher , it can only remain at","If the MSP percentage goes any higher , it can only remain at 60 % , unless local producers can supply the country with 100 % of those products which they can produce ."
pcc_eng_17_032.2362_x0505246_10:21-22,any_higher,higher,(+)_any_higher,any,some easy scrambling is required to get any higher but it 's worth the extra,"When you top off you 'll be surrounded by the rock towers , some easy scrambling is required to get any higher but it 's worth the extra effort ."
pcc_eng_23_004.7965_x0061132_53:2-3,any_higher,higher,(+)_any_higher,any,go any higher and you could soon develop a,Go any higher and you could soon develop a reputation as someone eager to step over others to get ahead .
pcc_eng_05_090.2093_x1443094_063:17-18,any_higher,higher,(+)_any_higher,any,"and balancing but before i can go any higher , i look at the pegasi",""" Well , I 'm just flapping my wings and balancing but before I can go any higher , I look at the Pegasi near me and think that I am the worst flyer in Ponyville then I just fall down , "" said Rainbow ."
pcc_eng_08_085.9946_x1375989_33:09-10,any_higher,higher,(+)_any_higher,any,should the orange line bike lane be any higher ?,Why should the Orange Line bike lane be any higher ?
pcc_eng_01_066.5665_x1060595_21:5-6,any_higher,higher,(+)_any_higher,any,"if his stress is any higher than the non-smoking population , the","If his stress is any higher than the non-smoking population , the Winnipeg man says , it 's not because of cigarettes , but rather the "" anti-tobacco people "" crusading against their use ."
pcc_eng_09_089.9293_x1438919_11:3-4,any_higher,higher,(+)_any_higher,any,"this wine any higher , otherwise i 'd have left","this wine any higher , otherwise I 'd have left no room to express symbolically that the best is yet to come ."
pcc_eng_03_004.1569_x0050811_16:14-15,any_higher,higher,(+)_any_higher,any,"piercing , cassi refused to do it any higher than just slightly above the curve","While I wanted a high nostril piercing , Cassi refused to do it any higher than just slightly above the curve of my nostril cap ."
pcc_eng_03_054.0570_x0859479_197:11-12,any_higher,higher,(+)_any_higher,any,get movin ' before the sun gets any higher .,Now let 's get movin ' before the sun gets any higher .
pcc_eng_21_012.8614_x0191498_132:4-5,any_higher,higher,(+)_any_higher,any,"if she gets any higher than this , he 's pretty","If she gets any higher than this , he 's pretty much done , as there just is n't that many more places for him to make it up ."
pcc_eng_06_087.1394_x1393113_222:2-3,any_higher,higher,(+)_any_higher,any,""" any higher and you 'll flip over the",""" Any higher and you 'll flip over the bars . """
pcc_eng_10_069.1031_x1100888_74:5-6,any_higher,higher,(+)_any_higher,any,"if the heels were any higher , i 'd probably develop ankle","If the heels were any higher , I 'd probably develop ankle injuries ."
pcc_eng_05_061.3130_x0975879_19:14-15,any_higher,higher,(+)_any_higher,any,"year - old minivan before it went any higher , and his wife wondered whether","Brian filled up their 6 - year - old minivan before it went any higher , and his wife wondered whether it was possible to store a barrel in the backyard without blowing the neighborhood to smithereens ."
nyt_eng_19980127_0197_21:6-7,any_higher,higher,(+)_any_higher,any,"if the market continues going any higher , i 'm going to sell","if the market continues going any higher , I 'm going to sell , '' said Lefevre ."
pcc_eng_05_081.3970_x1301187_65:4-5,any_higher,higher,(+)_any_higher,any,"if you go any higher , you may have a big","If you go any higher , you may have a big size for movies and games , but your text will look very pixelated if you are browsing the web or you are doing any work on your computer ."
pcc_eng_09_095.3603_x1526786_017:24-25,any_higher,higher,(+)_any_higher,any,deciding whether you really want to go any higher .,"Consider that one the starter option , where you can take a few practice leaps before deciding whether you really want to go any higher ."
pcc_eng_10_001.1219_x0002000_22:4-5,any_higher,higher,(+)_any_higher,any,he cannot go any higher than politics than he is now,He cannot go any higher than politics than he is now other than as leader of a majority government .
nyt_eng_19961011_0739_27:6-7,any_higher,higher,(+)_any_higher,any,it 's hard to get any higher -lrb- emotionally -rrb- than you feel,"it 's hard to get any higher -LRB- emotionally -RRB- than you feel after beating OU , '' King said ."
pcc_eng_08_065.9074_x1051432_2:7-8,any_higher,higher,(+)_any_higher,any,"i was reluctant to give it any higher than that , and almost gave","I was reluctant to give it any higher than that , and almost gave it three and a half ."
pcc_eng_12_101.5673_x1625158_18:15-16,any_higher,higher,(+)_any_higher,any,"and even some invertebrate republicans boost taxes any higher , they should read "" how","Before President Barack Obama , Washington Democrats and even some invertebrate Republicans boost taxes any higher , they should read "" How Money Walks . """
pcc_eng_26_042.7169_x0674814_27:6-7,any_higher,higher,(+)_any_higher,any,""" if i go up any higher , we probably all wreck right",""" If I go up any higher , we probably all wreck right there , "" Smith said ."
pcc_eng_23_060.6028_x0962925_35:6-7,any_higher,higher,(+)_any_higher,any,can i raise the vibration any higher ?,Can I raise the vibration any higher ?
pcc_eng_17_063.8156_x1014636_10:17-18,any_higher,higher,(+)_any_higher,any,"- 13 , many things didnt get any higher than me .","On 9 -11 , 9 - 12 and 9 - 13 , many things didnt get any higher than me ."
pcc_eng_24_018.9451_x0289777_107:21-22,any_higher,higher,(+)_any_higher,any,"and that keeps him from being ranked any higher , but in a pro style","He does have a tendency to turn the ball over at times , and that keeps him from being ranked any higher , but in a pro style offense 4,000 + yards and 30 + touchdowns are impressive with that cast of skill players ."
pcc_eng_11_008.8323_x0126782_23:4-5,any_higher,higher,(+)_any_higher,any,"if temperatures get any higher than that , stripe rust slows","If temperatures get any higher than that , stripe rust slows down or dies off ."
pcc_eng_03_081.3504_x1301283_058:25-26,any_higher,higher,(+)_any_higher,any,- when an emissions rate that was any higher would make the switch from coal,"For natural gas , the most recent scientific research suggests that the break-even point for methane emissions - when an emissions rate that was any higher would make the switch from coal to natural gas worse for the climate in the short run-is 2.7 percent of production ."
pcc_eng_12_004.3946_x0054632_18:28-29,any_higher,higher,(+)_any_higher,any,why should they respond at a level any higher than the one you are speaking,"If you speak to an employee with a condescending attitude and that includes negative facial expressions and body language , why should they respond at a level any higher than the one you are speaking from ?"
pcc_eng_11_085.1884_x1362749_20:8-9,any_higher,higher,(+)_any_higher,any,but this is unlikely to boost profits any higher .,But this is unlikely to boost profits any higher .
pcc_eng_04_003.3254_x0037761_03:15-16,any_higher,higher,(+)_any_higher,any,", suggest that the board raise them any higher to settle the contract . """,""" I cannot , in good conscience , suggest that the board raise them any higher to settle the contract . """
pcc_eng_15_083.2314_x1328896_32:8-9,any_higher,higher,(+)_any_higher,any,""" if she had held her nose any higher , "" one man was quoted",""" If she had held her nose any higher , "" one man was quoted in Hollandsworth 's article , "" she would have drowned in a rainstorm . """
pcc_eng_09_040.4485_x0638284_71:5-6,any_higher,higher,(+)_any_higher,any,"i cannot recommend them any higher . ""","I cannot recommend them any higher . """
pcc_eng_03_066.0654_x1053445_226:16-17,any_higher,higher,(+)_any_higher,any,too many injury concerns to list them any higher .,"Coming into 2012 however , there are simply too many injury concerns to list them any higher ."
pcc_eng_18_050.1428_x0795581_12:4-5,any_higher,higher,(+)_any_higher,any,temperatures that are any higher or lower will quickly stress your,Temperatures that are any higher or lower will quickly stress your pet .
