key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~exactly_conducive,208,0.9559002,7.801208,1.0,1298.4478,NEGATED,exactly_conducive,3173681,208,71961373,9.1733331,198.8266669,0.95589745,exactly,56109,conducive,8990,3.956112,13.786149,1.3555362
NEGany~exactly_friendly,167,0.95589966,7.467764,1.0,1042.5017,NEGATED,exactly_friendly,3173681,167,71961373,7.3651281,159.6348719,0.95589745,exactly,56109,friendly,121505,3.861015,12.352918,1.3555362
NEGany~exactly_shocking,151,0.9558994,7.313457,1.0,942.62056,NEGATED,exactly_shocking,3173681,151,71961373,6.659487,144.340513,0.95589745,exactly,56109,shocking,34742,3.8174107,11.746264,1.3555362
NEGany~exactly_pleasant,142,0.9558993,7.2188306,1.0,886.43749,NEGATED,exactly_pleasant,3173681,142,71961373,6.262564,135.737436,0.95589745,exactly,56109,pleasant,51888,3.7908118,11.390833,1.3555362
NEGany~exactly_famous,130,0.9558992,7.082192,1.0,811.52681,NEGATED,exactly_famous,3173681,130,71961373,5.7333332,124.2666668,0.95589745,exactly,56109,famous,222391,3.7526057,10.898908,1.3555362
NEGany~exactly_sure,8794,0.9508106,10.925016,0.9947964,54348.244,NEGATED,exactly_sure,3173681,8840,71961373,389.86666,8404.13334,0.9556667,exactly,56109,sure,256817,3.6139104,89.61892,1.3532704
NEGany~exactly_easy,1066,0.9503146,9.386607,0.994403,6581.1689,NEGATED,exactly_easy,3173681,1072,71961373,47.277948,1018.722052,0.9556492,exactly,56109,easy,578041,3.5511408,31.201618,1.3530986
NEGany~exactly_cheap,691,0.9501512,8.944652,0.9942446,4264.8168,NEGATED,exactly_cheap,3173681,695,71961373,30.651281,660.348719,0.95564216,exactly,56109,cheap,59936,3.5226216,25.12085,1.3530294
NEGany~exactly_new,1371,0.9443799,9.13177,0.9884643,8385.8332,NEGATED,exactly_new,3173681,1387,71961373,61.170255,1309.829745,0.95538276,exactly,56109,new,252270,3.2558467,35.374973,1.3504971
NEGany~exactly_clear,1746,0.93737084,8.886504,0.98145026,10574.709,NEGATED,exactly_clear,3173681,1779,71961373,78.45846,1667.54154,0.9550639,exactly,56109,clear,346404,3.05331,39.9075,1.3474045
NEGmir~exactly_sure,148,0.8264864,5.2929792,1.0,518.3817138671875,NEGMIR,exactly_sure,291735,148,1680633,25.6907844,122.30921936035156,0.82641363,exactly,1031,sure,6736,3.1506581,10.053756,0.76048434
NEGmir~exactly_clear,52,0.8264392,3.6257405,1.0,182.11997985839844,NEGMIR,exactly_clear,291735,52,1680633,9.0264918,42.97350692749024,0.82641363,exactly,1031,clear,6689,2.698948,5.9593534,0.76048434
NEGmir~exactly_easy,20,0.82642347,1.834165,1.0,70.04432678222656,NEGMIR,exactly_easy,291735,20,1680633,3.4717276,16.52827262878418,0.82641363,exactly,1031,easy,18697,2.290495,3.6958342,0.76048434
NEGmir~exactly_new,29,0.79309446,2.292502,0.96666664,93.17761993408205,NEGMIR,exactly_new,291735,30,1680633,5.2075914,23.792407989501957,0.8204279,exactly,1031,new,12793,1.9714549,4.4181395,0.7457611
