hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_12_066.4338_x1057538_101:09-10-11,exactly,clear,exactly_clear,ain't,ain't_exactly_clear,"happening here , what it is ain't exactly clear .","Something 's happening here , what it is ain't exactly clear ."
pcc_eng_12_038.8482_x0612257_007:10-11-12,exactly,clear,exactly_clear,ain't,ain't_exactly_clear,"happenin here , what it is ain't exactly clear ... ""","There 's something happenin here , what it is ain't exactly clear ... """
pcc_eng_26_001.0240_x0000393_228:3-4-5,exactly,clear,exactly_clear,n't,n't_exactly_clear,it is n't exactly clear how widely renly 's relationship with,"It is n't exactly clear how widely Renly 's relationship with Loras was known about , or even to what extent their friends and family knew ( Robert , Stannis , etc . )"
pcc_eng_01_067.0149_x1067781_3:09-10-11,exactly,clear,exactly_clear,n't,n't_exactly_clear,actually yelling on the tape is n't exactly clear .,Who was actually yelling on the tape is n't exactly clear .
pcc_eng_16_047.7945_x0757208_15:3-4-5,exactly,clear,exactly_clear,n't,n't_exactly_clear,it is n't exactly clear ) into seducing a champion bodybuilder,it is n't exactly clear ) into seducing a champion bodybuilder for a fortune that may or may not be held in a secret safe in his dilapidated Italian villa .
pcc_eng_07_100.5435_x1608698_02:09-10-11,exactly,clear,exactly_clear,n't,n't_exactly_clear,"at the time , it was n't exactly clear if he meant a financial success","However , at the time , it was n't exactly clear if he meant a financial success or a success by some other measurement ."
pcc_eng_10_083.9405_x1340422_12:11-12-13,exactly,clear,exactly_clear,n't,n't_exactly_clear,'ll get another objective that is n't exactly clear .,"After that , you 'll get another objective that is n't exactly clear ."
pcc_eng_03_037.0521_x0583996_06:4-5-6,exactly,clear,exactly_clear,n't,n't_exactly_clear,while it is n't exactly clear what the galaxy f line will,"While it is n't exactly clear what the Galaxy F line will be , speculation is that F is for foldable ."
pcc_eng_10_042.6107_x0673258_06:42-43-44,exactly,clear,exactly_clear,n't,n't_exactly_clear,once qe will have ended are n't exactly clear either .,"Until recently , guidance had left ECB watchers somewhat dissatisfied : presenting it as data dependent is non-committal and the words "" well past "" when talking about the timing of the first rate hike once QE will have ended are n't exactly clear either ."
pcc_eng_25_034.8410_x0547862_03:16-17-18,exactly,clear,exactly_clear,n't,n't_exactly_clear,"this point , the answer is n't exactly clear , though there are some hopeful","Our Los Angeles marijuana lawyers know that , at this point , the answer is n't exactly clear , though there are some hopeful indications ."
pcc_eng_28_073.1847_x1167549_14:5-6-7,exactly,clear,exactly_clear,n't,n't_exactly_clear,But how much is n't exactly clear .,But how much is n't exactly clear .
nyt_eng_19960402_0354_17:18-19-20,exactly,clear,exactly_clear,n't,n't_exactly_clear,"legal sleazeball stuff , gere is n't exactly clear on the details of vail 's","or something like that ; while good at all the superficial legal sleazeball stuff , Gere is n't exactly clear on the details of Vail 's soul-searching ."
pcc_eng_26_031.9652_x0500371_12:26-27-28,exactly,clear,exactly_clear,n't,n't_exactly_clear,government -- a promise it was n't exactly clear he could complete -- and instead,"But Kolfage also announced on Friday he was suddenly stepping back from donating the money straight to the U.S. government -- a promise it was n't exactly clear he could complete -- and instead funneling the money to a new nonprofit he started called "" We Build the Wall , Inc . """
pcc_eng_29_037.6038_x0590764_39:08-09-10,exactly,clear,exactly_clear,n't,n't_exactly_clear,"the mechanism that causes this is n't exactly clear , agitation is clearly associated with","While the mechanism that causes this is n't exactly clear , agitation is clearly associated with artificial sweetener consumption in some ."
pcc_eng_18_004.5911_x0058191_58:5-6-7,exactly,clear,exactly_clear,n't,n't_exactly_clear,"how this happened is n't exactly clear , but the story ends with","How this happened is n't exactly clear , but the story ends with a surprise twist : she becomes pregnant and is stoned to death by Catholics in response ."
pcc_eng_27_026.5185_x0412393_25:5-6-7,exactly,clear,exactly_clear,n't,n't_exactly_clear,"well , it is n't exactly clear outside of ajimu making a nebulous","Well , it is n't exactly clear outside of Ajimu making a nebulous comment on "" love "" ."
pcc_eng_04_043.2286_x0682273_07:20-21-22,exactly,clear,exactly_clear,n't,n't_exactly_clear,"light at i/o , it is n't exactly clear how this will work .","They will eventually get the latest update although since details were a bit light at I/O , it is n't exactly clear how this will work ."
pcc_eng_11_013.1745_x0196793_012:5-6-7,exactly,clear,exactly_clear,n't,n't_exactly_clear,"the belgian yeast is n't exactly clear , which is probably good because","The Belgian yeast is n't exactly clear , which is probably good because it lends character without taking center stage , and I get a touch of clove along with soft notes of dark skinned fruit ( fig , plum , etc. ) ."
pcc_eng_25_095.8281_x1534706_65:12-13-14,exactly,clear,exactly_clear,n't,n't_exactly_clear,the peak of the endgame is n't exactly clear .,Just how you advance to the peak of the endgame is n't exactly clear .
pcc_eng_22_072.4619_x1154966_14:26-27-28,exactly,clear,exactly_clear,n't,n't_exactly_clear,for discounting the i phone are n't exactly clear .,"While the i Pad sales just seem like an offloading of stale products , Wal - Mart 's motivations for discounting the i Phone are n't exactly clear ."
pcc_eng_26_009.3790_x0135287_4:6-7-8,exactly,clear,exactly_clear,n't,n't_exactly_clear,"the reasons behind this are n't exactly clear , but it could be something","The reasons behind this are n't exactly clear , but it could be something as obvious as Blizzard trying to stop banned players from quickly getting back into the game , and could help filter out gold sellers and other spammers ."
pcc_eng_val_2.10767_x33718_39:10-11-12,exactly,clear,exactly_clear,n't,n't_exactly_clear,""" on that last point are n't exactly clear just yet .","The "" laws "" on that last point are n't exactly clear just yet ."
pcc_eng_11_093.3117_x1494490_09:3-4-5,exactly,clear,exactly_clear,n't,n't_exactly_clear,it was n't exactly clear but anderson promised more info tomorrow,It was n't exactly clear but Anderson promised more info tomorrow .
pcc_eng_12_039.1287_x0616768_12:29-31-32,exactly,clear,exactly_clear,n't,n't_exactly_clear,; of which it is n't always exactly clear as to which one that is,The problem being sometimes you have multiple pieces of evidence that would be considered incriminating but the game only accepts one specific piece ; of which it is n't always exactly clear as to which one that is .
pcc_eng_13_082.7186_x1320888_32:21-22-23,exactly,clear,exactly_clear,n't,n't_exactly_clear,both sydney and adrian ) is n't exactly clear .,"Even with reading The Indigo Spell , the reason for having two perspectives ( both Sydney and Adrian ) is n't exactly clear ."
