hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_20_014.2030_x0213070_04:4-5-6,exactly,famous,exactly_famous,n't,n't_exactly_famous,John Boyett is n't exactly famous .,John Boyett is n't exactly famous .
pcc_eng_08_079.8560_x1276903_06:6-7-8,exactly,famous,exactly_famous,n't,n't_exactly_famous,"the elderly of today are n't exactly famous for their good health , nor","The elderly of today are n't exactly famous for their good health , nor for their ability to go about their lives easily and without help in even the simplest tasks ."
pcc_eng_12_036.6990_x0577468_3:09-10-11,exactly,famous,exactly_famous,n't,n't_exactly_famous,"n't rich , and he was n't exactly famous ....","University was n't rich , and he was n't exactly famous ...."
apw_eng_19970308_0734_3:4-5-6,exactly,famous,exactly_famous,n't,n't_exactly_famous,smashing Pumpkins was n't exactly famous then .,smashing Pumpkins was n't exactly famous then .
pcc_eng_25_049.8957_x0791642_12:09-10-11,exactly,famous,exactly_famous,n't,n't_exactly_famous,"knows , and the company is n't exactly famous for communication .","Only Apple knows , and the company is n't exactly famous for communication ."
pcc_eng_17_052.4971_x0832024_08:3-4-5,exactly,famous,exactly_famous,n't,n't_exactly_famous,britain is n't exactly famous for producing top quality ice hockey,Britain is n't exactly famous for producing top quality Ice Hockey players .
pcc_eng_02_005.1474_x0067002_4:4-5-6,exactly,famous,exactly_famous,n't,n't_exactly_famous,"mad catz is n't exactly famous for their mice , but they","Mad Catz is n't exactly famous for their mice , but they have certainly done pretty well with the Eclipse Wireless Touchmouse , where your ordinary scroll wheel is no more with an optical touch - cum-scroll surface in place ."
pcc_eng_12_008.3188_x0118357_18:5-6-7,exactly,famous,exactly_famous,n't,n't_exactly_famous,"the pacific northwest is n't exactly famous for sunshine , but bloom said","The Pacific Northwest is n't exactly famous for sunshine , but Bloom said the solar technology does n't need heavy sun to function ."
pcc_eng_15_015.1350_x0228173_23:5-6-7,exactly,famous,exactly_famous,n't,n't_exactly_famous,"roswell , n.m. is n't exactly famous for golf , but if you","Roswell , N.M. is n't exactly famous for golf , but if you happen to be passing through or visiting the International UFO Museum and Research Center , check out Nancy Lopez Golf Course at Spring River ."
pcc_eng_26_007.7215_x0108389_03:17-18-19,exactly,famous,exactly_famous,n't,n't_exactly_famous,"been wrong , and blizzard is n't exactly famous for doing so , but here","It takes a big company to admit they might have been wrong , and Blizzard is n't exactly famous for doing so , but here we have it , in black and blue ."
pcc_eng_18_035.3879_x0556602_175:4-5-6,exactly,famous,exactly_famous,n't,n't_exactly_famous,barack obama is n't exactly famous for his loyalty ; he has,Barack Obama is n't exactly famous for his loyalty ; he has a history of jettisoning people once they 've outlived their usefulness to him .
pcc_eng_08_073.6861_x1176872_20:4-5-6,exactly,famous,exactly_famous,n't,n't_exactly_famous,"if he was n't exactly famous during that era , friedman was","If he was n't exactly famous during that era , Friedman was in demand , traveling all over Europe to do his job ."
pcc_eng_03_033.2877_x0522967_38:3-4-5,exactly,famous,exactly_famous,n't,n't_exactly_famous,baseball is n't exactly famous for making sound financial decisions .,Baseball is n't exactly famous for making sound financial decisions .
nyt_eng_20050731_0018_8:24-25-26,exactly,famous,exactly_famous,n't,n't_exactly_famous,"luxembourg , muller said he is n't exactly famous in his home country .","under THE RADAR : Although he is one of the few successful athletes to come out of Luxembourg , Muller said he is n't exactly famous in his home country ."
