hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_01_049.1907_x0778724_02:5-6-7,exactly,new,exactly_new,n't,n't_exactly_new,"' menarchy ' is n't exactly new , then , but kira posits","' Menarchy ' is n't exactly new , then , but Kira posits that the type of activism has changed over time :"
pcc_eng_25_006.5995_x0090960_09:4-5-6,exactly,new,exactly_new,n't,n't_exactly_new,"this track is n't exactly new , but it 's a.v. club-worthy","This track is n't exactly new , but it 's A.V. Club-worthy all the same : Avulse is a black-metal band from Portland , Maine that apparently has a thing for drinking and ' 90s bands ."
pcc_eng_16_020.7874_x0320501_04:31-32-33,exactly,new,exactly_new,n't,n't_exactly_new,"the journalists job and ethics are n't exactly new , nor invented by the recent","This just to say that even if the Media are much probably worse today than in 1981 , some of the moral question around the Journalists job and ethics are n't exactly new , nor invented by the recent political cleavage in the USA ( and transferred to all around the world ) ."
pcc_eng_04_078.2286_x1247503_36:4-5-6,exactly,new,exactly_new,n't,n't_exactly_new,farm-to-school programs were n't exactly new in the state ; they 'd,"Farm-to-school programs were n't exactly new in the state ; they 'd been around at least since the late ' 90s , points out the Vermont director of the National Farm to School Network , Anne Bijur ."
pcc_eng_16_023.5921_x0365641_37:17-18-19,exactly,new,exactly_new,n't,n't_exactly_new,air of hostility between them is n't exactly new .,"The boys have never got along , and so the air of hostility between them is n't exactly new ."
pcc_eng_05_001.2480_x0004067_14:21-22-23,exactly,new,exactly_new,n't,n't_exactly_new,"the themes of paranoid voyeurism are n't exactly new , and one device of repetitive","True , at times the whole pop-sugar confection feels a bit too derivative - the themes of paranoid voyeurism are n't exactly new , and one device of repetitive car crashes seems to barrel in directly from Crash - but even when he 's cribbing , Kuntz gives his kidnapped dramatic goods his own weirdly bemused spin ."
pcc_eng_08_046.4806_x0736216_04:09-10-11,exactly,new,exactly_new,n't,n't_exactly_new,of dark and light themes are n't exactly new and we have seen that applied,"The concept of dark and light themes are n't exactly new and we have seen that applied to websites and apps in the past , although in recent times , it seems that there is a greater call / demand for such features ."
pcc_eng_13_036.5483_x0574667_09:3-4-5,exactly,new,exactly_new,n't,n't_exactly_new,phillips is n't exactly new to uk but she does have,Phillips is n't exactly new to UK but she does have a new role in the Department of Geography .
pcc_eng_21_026.7216_x0415733_29:7-8-9,exactly,new,exactly_new,n't,n't_exactly_new,thompson noted that such blowouts are n't exactly new to the area -- just normally,Thompson noted that such blowouts are n't exactly new to the area -- just normally not this large .
pcc_eng_12_004.7115_x0059778_30:19-20-21,exactly,new,exactly_new,n't,n't_exactly_new,", even if the questions are n't exactly new .","Hero or traitor , he has given the nation much to consider , even if the questions are n't exactly new ."
pcc_eng_25_082.4661_x1318725_34:14-15-16,exactly,new,exactly_new,n't,n't_exactly_new,"a number of these issues are n't exactly new , but the accessibility of the",""" It is fair to say that a number of these issues are n't exactly new , but the accessibility of the Web makes us conscious of them in a way that we were n't before , "" says Corynne Mc Sherry , author of the 2001 book "" Who Owns Academic Work ? "" and a lawyer at the Electronic Frontier Foundation ."
pcc_eng_01_032.3043_x0505958_08:7-8-9,exactly,new,exactly_new,n't,n't_exactly_new,"biometrics used to verify identity is n't exactly new , but getting everything working on","Biometrics used to verify identity is n't exactly new , but getting everything working on a tiny pocket computer surely was n't easy ."
pcc_eng_16_051.7952_x0822318_10:4-5-6,exactly,new,exactly_new,n't,n't_exactly_new,cryptocurrency holders are n't exactly new to fudging the numbers on their,Cryptocurrency holders are n't exactly new to fudging the numbers on their taxes .
pcc_eng_07_104.8112_x1678123_060:4-5-6,exactly,new,exactly_new,n't,n't_exactly_new,"the revelations were n't exactly new , but the frame had shifted","The revelations were n't exactly new , but the frame had shifted : the handsy boss , the lewd entreaties , the casting couch , were no longer going to be business as usual ."
pcc_eng_06_079.6487_x1271721_27:19-20-21,exactly,new,exactly_new,n't,n't_exactly_new,"house ( hugh laurie ) is n't exactly new , but it does usually lead","March 10 , 2009 - The idea of someone behaving like Gregory House ( Hugh Laurie ) is n't exactly new , but it does usually lead to a few laughs and this was no different ."
pcc_eng_23_043.0425_x0679249_07:5-6-7,exactly,new,exactly_new,n't,n't_exactly_new,""" wearable technology is n't exactly new , but it 's experiencing a",""" Wearable technology is n't exactly new , but it 's experiencing a surge these days ."
pcc_eng_16_052.0599_x0826576_01:6-7-8,exactly,new,exactly_new,n't,n't_exactly_new,etts school bus solution is n't exactly new to school districts .,ETTS School Bus Solution is n't exactly new to school districts .
pcc_eng_21_070.0897_x1116456_129:27-28-29,exactly,new,exactly_new,n't,n't_exactly_new,"for lampshades , and idea was n't exactly new then .... ""","Pearman shrugged , "" Well , some of the more psychotic Nazi 's used skin from Prisoners with beautiful tattoos for lampshades , and idea was n't exactly new then .... """
pcc_eng_13_042.2756_x0667390_05:5-6-7,exactly,new,exactly_new,n't,n't_exactly_new,The tune alone is n't exactly new :,The tune alone is n't exactly new :
pcc_eng_02_047.1369_x0746379_13:5-6-7,exactly,new,exactly_new,n't,n't_exactly_new,"The concept here is n't exactly new , though .","The concept here is n't exactly new , though ."
pcc_eng_13_083.7475_x1337762_23:16-17-18,exactly,new,exactly_new,n't,n't_exactly_new,blasts and name checking that is n't exactly new in religion ; if you could,"There 's a particular leverage gained through social media blasts and name checking that is n't exactly new in religion ; if you could convince the public that village leaders were down with your god , you 'd subdue the village ."
pcc_eng_15_097.9126_x1566381_4:09-10-11,exactly,new,exactly_new,n't,n't_exactly_new,this kind of payment structure are n't exactly new to those american gamers who 've,"Games with this kind of payment structure are n't exactly new to those American gamers who 've been paying attention , but more recently high profile franchises in the Western markets have adopted the free-to - play structure , the most visible being DICE and Electronic Arts ' upcoming Battlefield Heroes ."
pcc_eng_21_093.7398_x1498415_30:08-09-10,exactly,new,exactly_new,n't,n't_exactly_new,"type of puzzle game idea is n't exactly new , but with the cheerful cartoony","This type of puzzle game idea is n't exactly new , but with the cheerful cartoony presentation , Twingo shows that there 's a lot of life left in used puzzle formulas ."
pcc_eng_29_033.8731_x0530552_09:6-7-8,exactly,new,exactly_new,n't,n't_exactly_new,while jackson 's observations are n't exactly new to us - michael pollan and,"While Jackson 's observations are n't exactly new to us - Michael Pollan and others have been making similar arguments - these issues are always good to revisit , especially in light of Home Cooking Month here at the Kitchn ."
