key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~immediately_possible,1000,0.9156036,7.8434973,0.9596929,5894.5366,NEGATED,immediately_possible,3173681,1042,71961373,45.954871,954.045129,0.9540451,immediately,91746,possible,238712,2.7079122,30.169556,1.3376684
NEGany~immediately_clear,24416,0.8952256,8.170932,0.9390047,140793.11,NEGATED,immediately_clear,3173681,26002,71961373,1146.7548,23269.2452,0.9530327,immediately,91746,clear,346404,2.5265348,148.91727,1.3282039
NEGany~immediately_reachable,109,0.8796277,5.681954,0.9237288,617.62749,NEGATED,immediately_reachable,3173681,118,71961373,5.2041025,103.7958975,0.95225596,immediately,91746,reachable,2613,2.3976529,9.941844,1.3210807
NEGany~immediately_sure,138,0.8130421,5.34523,0.85714287,731.48452,NEGATED,immediately_sure,3173681,161,71961373,7.1005127,130.8994873,0.948547,immediately,91746,sure,256817,2.106348,11.142904,1.2885894
NEGany~immediately_available,21078,0.80715835,6.8047647,0.8509831,111188.32,NEGATED,immediately_available,3173681,24769,71961373,1092.3764,19985.6236,0.9481746,immediately,91746,available,639462,2.095455,137.6585,1.2854571
NEGany~immediately_certain,70,0.7251291,4.251723,0.7692308,340.55191,NEGATED,immediately_certain,3173681,91,71961373,4.0133333,65.9866667,0.94266665,immediately,91746,certain,73223,1.8517075,7.886915,1.2415928
NEGany~immediately_forthcoming,133,0.70731163,4.66044,0.75141245,635.70807,NEGATED,immediately_forthcoming,3173681,177,71961373,7.8061537,125.1938463,0.9413071,immediately,91746,forthcoming,7257,1.8130866,10.855683,1.2314146
NEGany~immediately_able,626,0.594681,4.712571,0.6387755,2657.7611,NEGATED,immediately_able,3173681,980,71961373,43.220512,582.779488,0.9309577,immediately,91746,able,210786,1.5833356,23.292553,1.1608844
NEGany~immediately_intuitive,54,0.5626397,3.252341,0.60674155,220.95916,NEGATED,immediately_intuitive,3173681,89,71961373,3.9251281,50.0748719,0.92731243,immediately,91746,intuitive,20597,1.5221227,6.814327,1.1385399
NEGmir~immediately_clear,31,0.54735786,1.1101353,0.7209302,62.22684860229492,NEGMIR,immediately_clear,291735,43,1680633,7.4642144,23.535785675048828,0.7592189,immediately,1183,clear,6689,1.0791242,4.227152,0.61837757
NEGany~immediately_obvious,2238,0.52757365,4.586074,0.5716475,8776.6694,NEGATED,immediately_obvious,3173681,3915,71961373,172.66153,2065.33847,0.9228501,immediately,91746,obvious,164094,1.4615377,43.657734,1.1126645
NEGmir~immediately_available,162,0.4198884,1.845453,0.5934066,240.856201171875,NEGMIR,immediately_available,291735,273,1680633,47.389082,114.61091613769533,0.7074748,immediately,1183,available,9846,0.84146625,9.004684,0.5338367
