hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
nyt_eng_19981224_0282_8:07-09-10,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,extent of the changes wo n't be immediately obvious .,the extent of the changes wo n't be immediately obvious .
pcc_eng_12_039.6385_x0624978_07:16-17-18,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,begin to notice things that were n't immediately obvious at first glance .,"If you examine a situation long enough , you begin to notice things that were n't immediately obvious at first glance ."
pcc_eng_03_003.2329_x0036051_46:08-09-10,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,there is a significance that is n't immediately obvious .,Perhaps there is a significance that is n't immediately obvious .
pcc_eng_12_009.8870_x0143809_05:5-6-7,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"while the answer is n't immediately obvious , we do know that for","While the answer is n't immediately obvious , we do know that for some parents , the game 's influence will linger for many years to come ."
pcc_eng_16_023.0687_x0357233_4:19-21-22,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,benefits of our efforts are n't always immediately obvious - it is quite different from,""" Sometimes when we work for our clients in the environmental area the benefits of our efforts are n't always immediately obvious - it is quite different from building a bridge or a new road ."
pcc_eng_08_076.8075_x1227415_09:14-16-17,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"of important ways that are n't always immediately obvious , for instance , private loans","Private and government loans differ in a couple of important ways that are n't always immediately obvious , for instance , private loans may require a credit check ."
pcc_eng_23_099.1822_x1586932_38:5-6-7,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"furthermore , it is n't immediately obvious how to use all the tools","Furthermore , it is n't immediately obvious how to use all the tools ."
pcc_eng_24_023.9676_x0371330_6:09-10-11,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,a few questions where it was n't immediately obvious ( or i was n't quite,There were a few questions where it was n't immediately obvious ( or I was n't quite sure ) which one was different .
pcc_eng_19_013.5518_x0202778_28:16-17-18,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"and intensity to adam that is n't immediately obvious , "" burgess said .",""" There is a unique combination of political instinct and intensity to Adam that is n't immediately obvious , "" Burgess said ."
pcc_eng_22_059.9178_x0952435_08:16-17-18,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"b/ c the simple diagrams were n't immediately obvious to me ) , move the","It does not , as I first thought ( b/ c the simple diagrams were n't immediately obvious to me ) , move the charging port forward and backward or switch power between the watch and the phone ."
pcc_eng_19_044.3242_x0699495_04:12-13-14,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,that can increase home worth are n't immediately obvious .,Some of these upgrade choices that can increase home worth are n't immediately obvious .
pcc_eng_17_048.3921_x0765667_10:7-8-9,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"in 1978 , it perhaps was n't immediately obvious that the song 's heady imagery","In 1978 , it perhaps was n't immediately obvious that the song 's heady imagery ( "" Harmful elements in the air , symbols clashing everywhere ... "" ) was inspired by an incident involving racist skinheads at Siouxsie 's childhood local Chinese takeaway , the Hong Kong Garden in Chislehurst , Kent ."
nyt_eng_20060404_0162_7:12-13-14,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,this area in eastern missouri is n't immediately obvious .,-- The historical significance of this area in eastern Missouri is n't immediately obvious .
pcc_eng_28_046.7689_x0740676_09:12-13-14,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,identify links and patterns that are n't immediately obvious so that you can prevent undesired,Business intelligence allows you to identify links and patterns that are n't immediately obvious so that you can prevent undesired transactions before they occur .
apw_eng_20091001_1330_4:13-14-15,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,defects in the construction that were n't immediately obvious and asked for arbitration of their,Hanks and Wilson said they discovered defects in the construction that were n't immediately obvious and asked for arbitration of their claims .
pcc_eng_04_058.0545_x0921492_04:3-4-5,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,it is n't immediately obvious that there 's any crying demand,"It is n't immediately obvious that there 's any crying demand for this service , which essentially nags you to visit your folks ."
pcc_eng_00_003.3110_x0037311_33:29-30-31,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,any underlying health issues that are n't immediately obvious at a glance .,"First off , a crown requires an X -ray so that your Billericay dentist can better prepare the tooth , and locate any underlying health issues that are n't immediately obvious at a glance ."
pcc_eng_29_005.3445_x0070240_48:22-23-24,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"them , perhaps something that is n't immediately obvious ?","Is there something in particular about this story you hope readers will take away with them , perhaps something that is n't immediately obvious ?"
pcc_eng_06_077.8791_x1243201_042:19-20-21,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"the formula , but it was n't immediately obvious .","You could figure out the shelf life of something if you knew the formula , but it was n't immediately obvious ."
pcc_eng_21_093.5832_x1495934_35:23-24-25,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,only because their green features are n't immediately obvious to the casual observer .,"Built by Ernie Sota and Sota Construction Service these homes look unexceptional , but that 's only because their green features are n't immediately obvious to the casual observer ."
pcc_eng_14_003.5589_x0041403_051:18-19-20,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,good or a bad thing is n't immediately obvious .,This means that whether the personal income tax changes were a good or a bad thing is n't immediately obvious .
pcc_eng_19_072.3849_x1153023_35:18-19-20,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,wide variety of fields that are n't immediately obvious .,I think that students need to be prepared to learn a wide variety of fields that are n't immediately obvious .
pcc_eng_14_085.0904_x1359219_47:21-22-23,immediately,obvious,immediately_obvious,n't,n't_immediately_obvious,"statements , so the risks were n't immediately obvious .","They were doing so in conduits and SIVs that they kept off their financial statements , so the risks were n't immediately obvious ."
pcc_eng_11_082.9573_x1326477_09:31-32-33,immediately,obvious,immediately_obvious,nit,nit_immediately_obvious,tangible benefits of our activities are nit immediately obvious .,"Rather than feeling duty - bound to volunteer our time and energy to others , we are motivated and inspired , even if the tangible benefits of our activities are nit immediately obvious ."
apw_eng_20091121_0504_1:14-16-17,immediately,obvious,immediately_obvious,not,not_immediately_obvious,is making with england may not be immediately obvious to those sitting in the twickenham,even Martin Johnson acknowledges that any progress he is making with England may not be immediately obvious to those sitting in the Twickenham stands or watching on television .
pcc_eng_28_062.5375_x0995629_10:17-18-19,immediately,obvious,immediately_obvious,not,not_immediately_obvious,arrange things so that it was not immediately obvious that a burglary had taken place,Another thing was that the burglars had been careful to arrange things so that it was not immediately obvious that a burglary had taken place .
pcc_eng_00_036.6124_x0575293_16:16-17-18,immediately,obvious,immediately_obvious,not,not_immediately_obvious,changes in lighting conditions that are not immediately obvious to the naked eye .,This means the set-up is able to simulate dynamic changes in lighting conditions that are not immediately obvious to the naked eye .
pcc_eng_22_053.5517_x0848993_041:09-10-11,immediately,obvious,immediately_obvious,not,not_immediately_obvious,"others , christine 's deformities are not immediately obvious .","Unlike many others , Christine 's deformities are not immediately obvious ."
pcc_eng_25_003.3151_x0037782_09:19-20-21,immediately,obvious,immediately_obvious,not,not_immediately_obvious,hours of downtime but it 's not immediately obvious what has been updated .,Update : The Apple store is now back on line after several hours of downtime but it 's not immediately obvious what has been updated .
pcc_eng_04_108.07757_x1741800_1:22-23-24,immediately,obvious,immediately_obvious,not,not_immediately_obvious,"encounter it , because it is not immediately obvious how to use it correctly .","In my experience , is a source of confusion and subtle bugs when developers first encounter it , because it is not immediately obvious how to use it correctly ."
pcc_eng_17_075.8485_x1209707_085:10-11-12,immediately,obvious,immediately_obvious,not,not_immediately_obvious,has created a shift that is not immediately obvious on the individual level but all,Chiron 's arrival has created a shift that is not immediately obvious on the individual level but all the more evident in the world at large by adding a wounded image to masculinity .
