hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_01_005.4072_x0071135_05:10-11,immediately_obvious,obvious,(+)_immediately_obvious,immediately,"the splicing project , several mutations are immediately obvious : diarix , as they are","Due to the splicing project , several mutations are immediately obvious : Diarix , as they are called , are far more aggressive than a typical Aurix , due to the aggressive nature of the Diatak ."
pcc_eng_10_005.2195_x0068271_07:14-15,immediately_obvious,obvious,(+)_immediately_obvious,immediately,"cgi animated movies , and it was immediately obvious that they were all going to","We saw four trailers for forthcoming CGI animated movies , and it was immediately obvious that they were all going to suck ."
pcc_eng_24_044.4068_x0701677_08:10-11,immediately_obvious,obvious,(+)_immediately_obvious,immediately,"my art archive , the situation is immediately obvious ... had i done that before","Looking over my art archive , the situation is immediately obvious ... had I done that before responding above , I would have known better ."
pcc_eng_19_067.9118_x1080500_5:09-10,immediately_obvious,obvious,(+)_immediately_obvious,immediately,'m willing to bet this was more immediately obvious to a lot of you .,I 'm willing to bet this was more immediately obvious to a lot of you .
pcc_eng_12_013.9131_x0209036_13:26-27,immediately_obvious,obvious,(+)_immediately_obvious,immediately,that negatively affected the cocoa frontend were immediately obvious .,Because Net Suf has a comprehensive CI system that compiles the master branch on every commit any changes that negatively affected the cocoa frontend were immediately obvious .
pcc_eng_19_087.0718_x1390850_17:11-12,immediately_obvious,obvious,(+)_immediately_obvious,immediately,heat and hot water and it was immediately obvious that i did n't have either,The furnace provides heat and hot water and it was immediately obvious that I did n't have either .
nyt_eng_19950126_0046_41:4-5,immediately_obvious,obvious,(+)_immediately_obvious,immediately,"one thing is immediately obvious , though : this wildlife art","one thing is immediately obvious , though : this wildlife art has been done for the most part by European and American painters ."
pcc_eng_01_057.7068_x0917073_13:5-6,immediately_obvious,obvious,(+)_immediately_obvious,immediately,3 . make it immediately obvious that they understand the nsw market,3 . Make it immediately obvious that they understand the NSW market .
pcc_eng_24_013.1172_x0195329_15:10-11,immediately_obvious,obvious,(+)_immediately_obvious,immediately,a few instances of this which were immediately obvious and which had already crept into,"There were a few instances of this which were immediately obvious and which had already crept into some of the playbooks , such as mention in the Feelgood 's moves of interrupting their supply of drugs , so I latched onto the idea and looked for a way to formalise it in the rules ."
pcc_eng_11_020.2935_x0312105_067:8-9,immediately_obvious,obvious,(+)_immediately_obvious,immediately,"after entering the building , it was immediately obvious to me why nothing ran as","After entering the building , it was immediately obvious to me why nothing ran as it was supposed to ."
