key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~necessarily_appropriate,136,0.95589924,7.1521235,1.0,848.98214,NEGATED,necessarily_appropriate,3173681,136,71961373,5.9979486,130.0020514,0.95589745,necessarily,48641,appropriate,96850,3.7721286,11.147584,1.3555362
NEGany~necessarily_useful,104,0.9558988,6.7327614,1.0,649.22063,NEGATED,necessarily_useful,3173681,104,71961373,4.5866666,99.4133334,0.95589745,necessarily,48641,useful,225402,3.656108,9.74828,1.3555362
NEGany~necessarily_fun,96,0.9558987,6.605776,1.0,599.28035,NEGATED,necessarily_fun,3173681,96,71961373,4.2338461,91.7661539,0.95589745,necessarily,48641,fun,189195,3.621518,9.365844,1.3555362
NEGany~necessarily_essential,93,0.95589864,6.5551376,1.0,580.55276,NEGATED,necessarily_essential,3173681,93,71961373,4.1015384,88.8984616,0.95589745,necessarily,48641,essential,69390,3.6078017,9.218341,1.3555362
NEGany~necessarily_reliable,81,0.9558985,6.3328414,1.0,505.64243,NEGATED,necessarily_reliable,3173681,81,71961373,3.5723076,77.4276924,0.95589745,necessarily,48641,reliable,89739,3.548146,8.603077,1.3555362
NEGany~necessarily_surprising,340,0.9529694,8.313348,0.99706745,2108.9056,NEGATED,necessarily_surprising,3173681,341,71961373,15.038974,324.961026,0.95576775,necessarily,48641,surprising,69947,3.6920197,17.623486,1.3542607
NEGany~necessarily_easy,909,0.95043904,9.24492,0.99452955,5613.0528,NEGATED,necessarily_easy,3173681,914,71961373,40.309743,868.690257,0.95565486,necessarily,48641,easy,578041,3.5545118,28.812637,1.3531538
NEGany~necessarily_indicative,1389,0.95018935,9.613575,0.9942734,8573.5436,NEGATED,necessarily_indicative,3173681,1397,71961373,61.611281,1327.388719,0.9556434,necessarily,48641,indicative,8068,3.549577,35.616154,1.353042
NEGany~necessarily_representative,487,0.94775724,8.428545,0.99185336,2994.0689,NEGATED,necessarily_representative,3173681,491,71961373,21.654359,465.345641,0.9555352,necessarily,48641,representative,18160,3.3707762,21.086824,1.3519837
NEGany~necessarily_new,482,0.9375739,7.985639,0.9816701,2919.9346,NEGATED,necessarily_new,3173681,491,71961373,21.654359,460.345641,0.95507395,necessarily,48641,new,252270,3.041787,20.96817,1.3475018
NEGmir~necessarily_right,23,0.82642496,2.126029,1.0,80.55117797851562,NEGMIR,necessarily_right,291735,23,1680633,3.9924868,19.00751304626465,0.82641363,necessarily,1092,right,5535,2.3498132,3.9633405,0.76048434
NEGmir~necessarily_illegal,15,0.826421,1.1821222,1.0,52.53303527832031,NEGMIR,necessarily_illegal,291735,15,1680633,2.6037957,12.396203994750977,0.82641363,necessarily,1092,illegal,929,2.1690652,3.2006862,0.76048434
NEGmir~necessarily_wrong,211,0.80336875,5.0197706,0.9768519,693.4454956054688,NEGMIR,necessarily_wrong,291735,216,1680633,37.4946583,173.50534057617188,0.8223002,necessarily,1092,wrong,20727,2.2629416,11.9446,0.75031304
NEGmir~necessarily_bad,50,0.78797644,3.0930269,0.96153843,158.9231414794922,NEGMIR,necessarily_bad,291735,52,1680633,9.0264918,40.97350692749024,0.81947017,necessarily,1092,bad,10150,1.9831064,5.794529,0.743451
NEGmir~necessarily_new,23,0.78475815,1.8222543,0.9583333,72.61861419677734,NEGMIR,necessarily_new,291735,24,1680633,4.1660731,18.833927154541016,0.8188664,necessarily,1092,new,12793,1.8726918,3.9271452,0.74200094
NEGmir~necessarily_true,53,0.7402323,2.7751343,0.9137931,153.462646484375,NEGMIR,necessarily_true,291735,58,1680633,10.0680101,42.93199157714844,0.81003755,necessarily,1092,true,6098,1.6657497,5.8971624,0.72133225
NEGmir~necessarily_better,27,0.7264266,1.7565467,0.9,76.19926452636719,NEGMIR,necessarily_better,291735,30,1680633,5.2075914,21.792407989501957,0.8071262,necessarily,1092,better,13606,1.5729852,4.193951,0.71472687
