hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_11_068.1429_x1086788_27:7-8-9,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,some of his filmed dialogs are n't necessarily bad either : during the jury deliberation,"Some of his filmed dialogs are n't necessarily bad either : during the jury deliberation scene , the camera smoothly travels back and forth as the power struggle between the jurors , culminating in a montage of faces as the jurors bully Menier into convicting Baring ."
pcc_eng_17_056.5532_x0897470_29:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"this is n't necessarily bad , but it does offer incentives","This is n't necessarily bad , but it does offer incentives to the industry to perhaps order more tests than they need to , to perform more procedures than are really necessary , to recommend more expensive treatments , and so on ."
pcc_eng_05_030.6652_x0480572_35:08-09-10,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,in mind that a plugin is n't necessarily bad if it does n't meet all,"Keep in mind that a plugin is n't necessarily bad if it does n't meet all these criteria , but from my experience , plugins that fulfill more of the criteria above have a higher chance of being a great plugin ."
pcc_eng_29_033.4412_x0523581_71:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"sunday night 's episode was n't necessarily bad , but it instantly extinguished any","Sunday night 's episode was n't necessarily bad , but it instantly extinguished any interest I had in the rest of the season ."
pcc_eng_21_099.4187_x1590089_09:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"this is n't necessarily bad , and it even makes the","This is n't necessarily bad , and it even makes the installation process simpler for that reason ."
nyt_eng_20071227_0137_17:12-13-14,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,was the same : korn was n't necessarily bad ; harper just about never was,"Day after day , it was the same : Korn was n't necessarily bad ; Harper just about never was ."
pcc_eng_03_037.0718_x0584293_10:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,this is n't necessarily bad if it 's leading to more,This is n't necessarily bad if it 's leading to more conversations and awareness .
pcc_eng_10_057.0531_x0906413_66:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,Junk bonds are n't necessarily bad .,Junk bonds are n't necessarily bad .
pcc_eng_08_040.7274_x0643014_43:62-63-64,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"yards downfield , so he was n't necessarily bad in that aspect of the game","Tannehill completed 58.6 % of his passes between 10 - 19 yards downfield , which is better than league average , and , while he only completed 30.2 % of his passes 20 + yards downfield , he ranked 22nd out of 38 eligible in accuracy ( completions + drops / attempts ) 20 + yards downfield , so he was n't necessarily bad in that aspect of the game ."
pcc_eng_11_011.9947_x0177666_17:18-19-20,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"recipe called for , which was n't necessarily bad , great leftovers !","We were able to fill twice as many peppers as the recipe called for , which was n't necessarily bad , great leftovers !"
pcc_eng_19_073.8082_x1176184_053:08-09-10,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"in mind , that inequality is n't necessarily bad .","Keep in mind , that inequality is n't necessarily bad ."
pcc_eng_02_089.2853_x1427384_016:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,the assets are n't necessarily bad - at least not at first,The assets are n't necessarily bad - at least not at first - but they are hidden because they are risky .
pcc_eng_25_002.7251_x0028057_17:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,""" Those complaints are n't necessarily bad for us .",""" Those complaints are n't necessarily bad for us ."
pcc_eng_24_104.0718_x1667618_05:13-14-15,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"of life for individual patients is n't necessarily bad , it 's just that most",""" Aggressive care at the end of life for individual patients is n't necessarily bad , it 's just that most patients who recognize they 're dying do n't want to receive that kind of care , "" said Dr. Jennifer Mack , lead author of "" Associations Between End-of - Life Discussion Characteristics and Care Received Near Death : A Prospective Cohort Study . """
pcc_eng_17_052.1833_x0826953_16:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"heavily commented code blocks are n't necessarily bad , but lots of comments very","Heavily commented code blocks are n't necessarily bad , but lots of comments very strongly correlate to readability problems ."
pcc_eng_13_031.6283_x0495253_51:09-10-11,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"and that sort of sentimentality is n't necessarily bad , according to hill .","Probably , and that sort of sentimentality is n't necessarily bad , according to Hill ."
pcc_eng_08_107.7154_x1727812_10:10-11-12,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,suggested for making yourself happy are n't necessarily bad -- like taking time every day,"The tools often suggested for making yourself happy are n't necessarily bad -- like taking time every day to think about things you 're happy about or grateful for , or setting up situations that are likely to make you happy ."
pcc_eng_09_037.6935_x0593971_15:09-10-11,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"words , the herbal remedies are n't necessarily bad , but they are powerful enough","In other words , the herbal remedies are n't necessarily bad , but they are powerful enough that they should be taken into account ."
