hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_01_058.1117_x0923549_049:8-9,necessarily_true,true,(+)_necessarily_true,necessarily,"in my scheme , that is only necessarily true of secular space .","In my scheme , that is only necessarily true of secular space ."
pcc_eng_27_063.4486_x1009580_08:30-31,necessarily_true,true,(+)_necessarily_true,necessarily,"is the brother of chris "" is necessarily true for all worlds where both my","So "" Andrew is the son of Tim "" is necessarily true for all worlds where I exist , and "" Andrew is the brother of Chris "" is necessarily true for all worlds where both my brother and I exist ; however , "" Tim is the editor of Overdrive "" and "" Andrew was the Chess captain 2010 - 12 at Camp Hill Boys "" are merely contingently true - that is to say , there are possible worlds where they are not true ."
pcc_eng_06_089.7886_x1435942_159:7-8,necessarily_true,true,(+)_necessarily_true,necessarily,so premiss ( 1 ) seems necessarily true .,So premiss ( 1 ) seems necessarily true .
pcc_eng_10_071.2325_x1135336_111:5-6,necessarily_true,true,(+)_necessarily_true,necessarily,one ... is that necessarily true ?,One ... is that necessarily true ?
pcc_eng_29_080.5101_x1284500_24:3-4,necessarily_true,true,(+)_necessarily_true,necessarily,this is necessarily true once you get beyond abstract analyses,"This is necessarily true once you get beyond abstract analyses and bumper sticker sloganeering and go into the concreteness of legal challenges , policy work , and legislative reform ."
pcc_eng_13_033.6959_x0528642_35:21-22,necessarily_true,true,(+)_necessarily_true,necessarily,apart from god for it to be necessarily true .,But atheism has to be able to account for every scientifically inexplicable event apart from God for it to be necessarily true .
pcc_eng_00_016.4686_x0249710_04:13-14,necessarily_true,true,(+)_necessarily_true,necessarily,"often enough , does that make it necessarily true ?","So if someone says something often enough , does that make it necessarily true ?"
pcc_eng_20_023.5078_x0363950_082:8-9,necessarily_true,true,(+)_necessarily_true,necessarily,"and mind you , the opposite is necessarily true .","And mind you , the opposite is necessarily true ."
pcc_eng_23_094.1259_x1505155_59:13-14,necessarily_true,true,(+)_necessarily_true,necessarily,is only a law if it is necessarily true .,I believe a physical law is only a law if it is necessarily true .
nyt_eng_19940706_0237_1:11-12,necessarily_true,true,(+)_necessarily_true,necessarily,the imagination ? is a coherent thought necessarily true ? can a work of art,does knowledge inhibit the imagination ? Is a coherent thought necessarily true ? Can a work of art be considered immoral ?
pcc_eng_06_083.3951_x1332441_26:11-12,necessarily_true,true,(+)_necessarily_true,necessarily,", you 're looking for what is necessarily true .","Remember , though , you 're looking for what is necessarily true ."
pcc_eng_03_009.3630_x0135272_46:3-4,necessarily_true,true,(+)_necessarily_true,necessarily,scripturalism is necessarily true whether or who i am or,Scripturalism is necessarily true whether or who I am or am not ; that is the most important point because it is the most fundamental point .
pcc_eng_07_096.1083_x1537168_20:17-18,necessarily_true,true,(+)_necessarily_true,necessarily,"exist necessarily , every true proposition is necessarily true .","Consequently , since the truthmakers for every true proposition exist necessarily , every true proposition is necessarily true ."
pcc_eng_16_077.4058_x1236395_095:3-4,necessarily_true,true,(+)_necessarily_true,necessarily,it is necessarily true that if god knows x will,"It is necessarily true that if God knows x will happen , then x will happen ."
pcc_eng_17_064.7032_x1028859_15:3-4,necessarily_true,true,(+)_necessarily_true,necessarily,this is necessarily true because :,This is NECESSARILY TRUE because :
pcc_eng_19_008.4626_x0120808_38:09-10,necessarily_true,true,(+)_necessarily_true,necessarily,layperson 's affirmation of this proposition as necessarily true is linked essentially to some pretty,"The layperson 's affirmation of this proposition as necessarily true is linked essentially to some pretty basic "" inside "" feelings that rape is inherently evil ."
