key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~particularly_likable,119,0.87837964,5.7553687,0.92248064,673.41231,NEGATED,particularly_likable,3173681,129,71961373,5.6892307,113.3107693,0.95219135,particularly,511734,likable,8107,2.3921423,10.387181,1.3204935
NEGany~particularly_likeable,106,0.85420394,5.4349866,0.89830506,585.19346,NEGATED,particularly_likeable,3173681,118,71961373,5.2041025,100.7958975,0.95090467,particularly,511734,likeable,5882,2.2664015,9.790163,1.3089601
NEGany~particularly_forthcoming,72,0.8447873,4.9776793,0.8888889,393.76081,NEGATED,particularly_forthcoming,3173681,81,71961373,3.5723076,68.4276924,0.9503846,particularly,511734,forthcoming,7257,2.2185717,8.0642805,1.3043836
NEGmir~particularly_novel,54,0.82644016,3.689367,1.0,189.12489318847656,NEGMIR,particularly_novel,291735,54,1680633,9.3736646,44.62633514404297,0.82641363,particularly,12946,novel,319,2.715188,6.072875,0.76048434
NEGmir~particularly_comfortable,44,0.82643527,3.3394194,1.0,154.10052490234375,NEGMIR,particularly_comfortable,291735,44,1680633,7.6378008,36.36219787597656,0.82641363,particularly,12946,comfortable,4613,2.6271367,5.4818077,0.76048434
NEGmir~particularly_revolutionary,39,0.8264328,3.1273084,1.0,136.5885467529297,NEGMIR,particularly_revolutionary,291735,39,1680633,6.7698689,32.23012924194336,0.82641363,particularly,12946,revolutionary,481,2.5753665,5.1609516,0.76048434
NEGmir~particularly_convincing,34,0.8264303,2.8796554,1.0,119.07671356201172,NEGMIR,particularly_convincing,291735,34,1680633,5.9019369,28.09806251525879,0.82641363,particularly,12946,convincing,840,2.5165808,4.818778,0.76048434
NEGmir~particularly_radical,31,0.8264289,2.7085414,1.0,108.5696792602539,NEGMIR,particularly_radical,291735,31,1680633,5.3811778,25.61882209777832,0.82641363,particularly,12946,radical,1067,2.477068,4.6012764,0.76048434
NEGany~particularly_religious,485,0.8204315,6.1531014,0.86452764,2589.475,NEGATED,particularly_religious,3173681,561,71961373,24.741538,460.258462,0.94898653,particularly,511734,religious,27806,2.138541,20.89926,1.292315
NEGmir~particularly_surprising,166,0.8145903,5.0383425,0.9880952,560.49951171875,NEGMIR,particularly_surprising,291735,168,1680633,29.162512,136.83749389648438,0.8243222,particularly,12946,surprising,2648,2.5014021,10.620648,0.7552832
NEGmir~particularly_new,404,0.81197757,5.899109,0.98536587,1355.0157470703125,NEGMIR,particularly_new,291735,410,1680633,71.1704161,332.82958984375,0.8238356,particularly,12946,new,12793,2.4722865,16.558891,0.75408185
NEGany~particularly_original,360,0.80898273,5.9109898,0.8530806,1900.6974,NEGATED,particularly_original,3173681,422,71961373,18.611282,341.388718,0.948302,particularly,511734,original,37312,2.0970216,17.992765,1.2865262
NEGmir~particularly_remarkable,108,0.7994394,4.2175426,0.972973,351.8262023925781,NEGMIR,particularly_remarkable,291735,111,1680633,19.2680883,88.7319107055664,0.8215918,particularly,12946,remarkable,3209,2.1692028,8.538232,0.7485851
NEGmir~particularly_wrong,212,0.7989943,4.9278216,0.9724771,689.9254760742188,NEGMIR,particularly_wrong,291735,218,1680633,37.841831,174.15817260742188,0.8215008,particularly,12946,wrong,20727,2.1924407,11.961232,0.74836373
NEGany~particularly_new,747,0.78961265,6.0506053,0.83370537,3870.403,NEGATED,particularly_new,3173681,896,71961373,39.515897,707.484103,0.9471005,particularly,511734,new,252270,2.0350187,25.88549,1.2765487
NEGmir~particularly_close,136,0.7644106,3.984827,0.93793106,412.3159484863281,NEGMIR,particularly_close,291735,145,1680633,25.1700252,110.82997131347656,0.81492627,particularly,12946,close,13768,1.83529,9.503592,0.7326553
NEGany~particularly_athletic,108,0.7500165,4.752993,0.7941176,538.41823,NEGATED,particularly_athletic,3173681,136,71961373,5.9979486,102.0020514,0.94446343,particularly,511734,athletic,17061,1.916547,9.815152,1.255421
NEGany~particularly_revolutionary,77,0.7497129,4.468361,0.7938144,383.75788,NEGATED,particularly_revolutionary,3173681,97,71961373,4.2779486,72.7220514,0.9444422,particularly,511734,revolutionary,10183,1.9135057,8.287447,1.2552551
NEGany~particularly_flashy,57,0.7367201,4.1098175,0.7808219,280.48897,NEGATED,particularly_flashy,3173681,73,71961373,3.2194871,53.7805129,0.94351774,particularly,511734,flashy,4470,1.878139,7.123403,1.2480881
NEGany~particularly_surprising,1069,0.56992614,4.7004714,0.6140149,4411.9414,NEGATED,particularly_surprising,3173681,1741,71961373,76.782563,992.217437,0.9281735,particularly,511734,surprising,69947,1.537578,30.347157,1.1437151
