hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_09_009.3045_x0134535_060:14-15-16,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,is n't particularly strong and is n't particularly athletic .,"The guy is n't particularly big , is n't particularly strong and is n't particularly athletic ."
pcc_eng_06_070.3981_x1122908_04:25-26-27,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"california in san diego , was n't particularly athletic as a child .","Hile , a contracts and grants administrator in the computer science and engineering department at the University of California in San Diego , was n't particularly athletic as a child ."
pcc_eng_28_022.3446_x0344744_064:09-10-11,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,interviewing all these people that were n't particularly athletic or even particularly fit for their,They were interviewing all these people that were n't particularly athletic or even particularly fit for their whole lives .
pcc_eng_05_034.2492_x0538524_256:23-24-25,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,was too shy since he was n't particularly athletic or smart or rich .,She was wooed by every brother in the Williams family except for the middle brother who was too shy since he was n't particularly athletic or smart or rich .
pcc_eng_23_032.4449_x0507753_45:5-7-8,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"even if you have n't been particularly athletic at a younger age , there","Even if you have n't been particularly athletic at a younger age , there are many benefits of improved fitness as you get older ."
pcc_eng_19_074.6295_x1189468_076:28-29-30,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"a large human being and is n't particularly athletic , so he will have to","Gomez has a plus arm and third base and his hands are fine for the position , but he 's already a large human being and is n't particularly athletic , so he will have to improve his footwork and agility to stick at third and avoid a move to first base ."
pcc_eng_07_025.1551_x0390736_031:10-11-12,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"difficult task , since she was n't particularly athletic or sportive .","This was a difficult task , since she was n't particularly athletic or sportive ."
pcc_eng_18_003.7551_x0044611_10:3-4-5,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"he was n't particularly athletic looking , packing 210 pounds on","He was n't particularly athletic looking , packing 210 pounds on his compact 5 - foot - 8- inch frame , but boy , could he play ."
pcc_eng_16_055.0578_x0874869_43:3-4-5,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,"he was n't particularly athletic , not the strong one -","He was n't particularly athletic , not the strong one - on - one type player who finished strong at the basket with highlight plays ."
pcc_eng_18_045.9344_x0727244_39:4-5-6,particularly,athletic,particularly_athletic,n't,n't_particularly_athletic,He also is n't particularly athletic .,He also is n't particularly athletic .
