hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_22_057.0311_x0905534_27:28-29,particularly_religious,religious,(+)_particularly_religious,particularly,"up in an era , and a particularly religious environment , that ostracised gay men","On an album of typically caustic revelations and scabrous humour , including sex , sexuality and the pitfalls of growing up in an era , and a particularly religious environment , that ostracised gay men , ' Ernest Borgnine ' combines all these strands with the admission that Grant is HIV positive ."
pcc_eng_05_070.5059_x1124630_12:09-10,particularly_religious,religious,(+)_particularly_religious,particularly,"elders call on men and boys , particularly religious and traditional leaders , to change","The Elders call on men and boys , particularly religious and traditional leaders , to change harmful and discriminatory practices against women and girls and join the struggle to promote and protect gender equality ."
pcc_eng_18_079.5602_x1272095_08:6-7,particularly_religious,religious,(+)_particularly_religious,particularly,it appears to be a particularly religious community .,It appears to be a particularly religious community .
pcc_eng_21_087.0854_x1391389_033:18-19,particularly_religious,religious,(+)_particularly_religious,particularly,scholars from buraidah took sides with the particularly religious ikhwan against the king .,"He crushed the Ikhwan rebellion , in which the religious scholars from Buraidah took sides with the particularly religious Ikhwan against the king ."
pcc_eng_15_014.7511_x0221934_017:20-21,particularly_religious,religious,(+)_particularly_religious,particularly,"similar , and thus has taken on particularly religious significance .","When compared to the iconic hand of Buddha , it looks remarkably similar , and thus has taken on particularly religious significance ."
nyt_eng_19981010_0043_23:21-22,particularly_religious,religious,(+)_particularly_religious,particularly,"government 's repression of political , and particularly religious , groups .","he and others also trace this hesitancy to a reaction against the prewar government 's repression of political , and particularly religious , groups ."
pcc_eng_14_077.9265_x1243744_110:20-21,particularly_religious,religious,(+)_particularly_religious,particularly,"a great deal of respect ) are particularly religious , so i tend to keep","Two of my coworkers ( very brilliant people for whom I have a great deal of respect ) are particularly religious , so I tend to keep religious discussion out of our non-work dealings ."
pcc_eng_11_062.7275_x0999021_7:18-19,particularly_religious,religious,(+)_particularly_religious,particularly,what is right and holy ; the particularly religious character of this belief both shields,And yet the extremists sincerely believe that they are doing what is right and holy ; the particularly religious character of this belief both shields it from criticism and makes it extremely resistant to change .
pcc_eng_10_008.8050_x0126029_62:4-5,particularly_religious,religious,(+)_particularly_religious,particularly,"whether you 're particularly religious or not , rest is a","Whether you 're particularly religious or not , rest is a beautiful and beneficial activity ."
pcc_eng_14_096.1492_x1538278_13:6-7,particularly_religious,religious,(+)_particularly_religious,particularly,"if one comes from a particularly religious background , it can also help","If one comes from a particularly religious background , it can also help to read publications like magazines and newspapers that address and review children 's literature ."
pcc_eng_03_045.7635_x0725161_11:15-16,particularly_religious,religious,(+)_particularly_religious,particularly,"language of the scholars better , in particularly religious verdicts .","These definitions helped me to understand the language of the scholars better , in particularly religious verdicts ."
pcc_eng_13_047.5380_x0752456_80:4-5,particularly_religious,religious,(+)_particularly_religious,particularly,"it is a particularly religious , and christian , challenge ,","It is a particularly religious , and Christian , challenge , for we search endlessly to be certain that we are doing athe God-thinga right ."
