hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_05_046.1071_x0730140_06:09-10,particularly_surprising,surprising,(+)_particularly_surprising,particularly,'s lack of home runs have been particularly surprising .,Schierholtz 's lack of home runs have been particularly surprising .
pcc_eng_05_043.4879_x0687853_14:4-5,particularly_surprising,surprising,(+)_particularly_surprising,particularly,but what was particularly surprising was that for the choice of,"But what was particularly surprising was that for the choice of transhipment hub , which is entirely within the control of a carrier , the correlation was also weak in a number of cases . """
pcc_eng_04_071.1255_x1132635_16:10-11,particularly_surprising,surprising,(+)_particularly_surprising,particularly,early exits at the us open are particularly surprising since he typically performs well at,Gulbis ' early exits at the US Open are particularly surprising since he typically performs well at the Emirates Airline US Open Series .
apw_eng_19981103_0569_5:11-12,particularly_surprising,surprising,(+)_particularly_surprising,particularly,that the players ' action was therefore particularly surprising and went against the instructions issued,"Rousseau `` said that the players ' action was therefore particularly surprising and went against the instructions issued in writing by the manager , Clive Lloyd , '' according to the statement ."
pcc_eng_24_044.1379_x0697310_08:5-6,particularly_surprising,surprising,(+)_particularly_surprising,particularly,it would be a particularly surprising observation because raitt is responsible for,"It would be a particularly surprising observation because Raitt is responsible for defending the oil sands , while Prentice is responsible for reducing Canada 's carbon emissions ."
pcc_eng_04_053.5723_x0849246_061:7-8,particularly_surprising,surprising,(+)_particularly_surprising,particularly,""" but cappelli found one finding particularly surprising :",""" But Cappelli found one finding particularly surprising :"
pcc_eng_16_070.0288_x1117165_22:19-20,particularly_surprising,surprising,(+)_particularly_surprising,particularly,"this type of spider , and is particularly surprising given the moggridgea 's reluctance to","But this is the first time it has been shown for this type of spider , and is particularly surprising given the Moggridgea 's reluctance to travel ."
pcc_eng_21_057.4923_x0913299_09:12-13,particularly_surprising,surprising,(+)_particularly_surprising,particularly,"bias of the frc , it was particularly surprising to see rafidah hanim mokhtar ,","Given the blatantly anti-Islam bias of the FRC , it was particularly surprising to see Rafidah Hanim Mokhtar , the deputy dean ( academic and research ) of Universiti Sains Islam Malaysia ( Usim ) medicine and health science faculty , stepping in to defend the pamphlets ."
pcc_eng_22_091.1335_x1456610_10:40-41,particularly_surprising,surprising,(+)_particularly_surprising,particularly,"the past two weeks , which is particularly surprising given that thanksgiving is usually a","All five of the New York City - based gyms , organizations , and instructors that Ryan interviewed for the story said that they 'd seen a surprising rush of students over the past two weeks , which is particularly surprising given that Thanksgiving is usually a slow time for training ."
pcc_eng_26_016.2063_x0245717_073:63-64,particularly_surprising,surprising,(+)_particularly_surprising,particularly,"but it looks tired , which is particularly surprising at the beginning of the ballet","The pas de deux with Gulnare and Lankendem in Act I , the duet with Medora and Conrad in Act II ( sweet rather than passionate ) , and the Jardin Anime in Act III , look reasonably good ( although the Jardin Anime could use a shot of adrenaline - it 's pretty , but it looks tired , which is particularly surprising at the beginning of the ballet 's week - long run ) ."
pcc_eng_13_099.6057_x1593439_16:4-5,particularly_surprising,surprising,(+)_particularly_surprising,particularly,so it was particularly surprising on tuesday when justice antonin scalia,So it was particularly surprising on Tuesday when Justice Antonin Scalia -- who voted with the majority in Citizens United -- appeared to say that both independent expenditures and direct contributions to political parties are of similar value to candidates .
pcc_eng_15_015.8292_x0239145_14:18-19,particularly_surprising,surprising,(+)_particularly_surprising,particularly,disabilities lack access to services in one particularly surprising environment : schools .,"And , according to Girma , 57 million Americans with disabilities lack access to services in one particularly surprising environment : schools ."
pcc_eng_10_068.8316_x1096584_21:1-2,particularly_surprising,surprising,(+)_particularly_surprising,particularly,"particularly surprising , in light of the current","Particularly surprising , in light of the current maelstrom , is that we paid little attention to Mc Conaughey 's"
