hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_22_030.0595_x0469063_10:8-9,remotely_interested,interested,(+)_remotely_interested,remotely,"a "" must see "" for anyone remotely interested in martial arts .","A "" must see "" for anyone remotely interested in martial arts ."
pcc_eng_23_007.0546_x0097847_67:4-5,remotely_interested,interested,(+)_remotely_interested,remotely,"if mourinho is remotely interested in returning to england , he","If Mourinho is remotely interested in returning to England , he must be keener on our big clubs than expeditions to Kazakhstan and Belarus ."
pcc_eng_05_075.0820_x1199052_3:5-6,remotely_interested,interested,(+)_remotely_interested,remotely,"if you 're even remotely interested in lcd soundsystem , you probably","If you 're even remotely interested in LCD Soundsystem , you probably do n't need me to tell you that the band 's long awaited comeback album American Dreamis out today ."
pcc_eng_18_007.8403_x0110749_32:7-8,remotely_interested,interested,(+)_remotely_interested,remotely,i urge any woman who is remotely interested in the idea of pinup photography,"I urge any woman who is remotely interested in the idea of pinup photography to email Sophie with any questions or concerns - her responses will be fast , friendly and informative ."
pcc_eng_15_023.3682_x0361418_5:8-9,remotely_interested,interested,(+)_remotely_interested,remotely,martha is inviting anyone who 's even remotely interested to pop in for a free,Martha is inviting anyone who 's even remotely interested to pop in for a free ' taster ' session on Friday October the 20th .
pcc_eng_20_010.4488_x0152172_024:29-30,remotely_interested,interested,(+)_remotely_interested,remotely,"makes this an unmissable addition to anyone remotely interested in the barnstorming , physically exhilarating","' It is unalloyed pleasure to sit through all five at a sitting ... the quite outstanding pianism of Stephen Hough makes this an unmissable addition to anyone remotely interested in the barnstorming , physically exhilarating concertos of the late nineteenth century ' ( International Record Review )"
pcc_eng_00_047.1289_x0745562_58:31-32,remotely_interested,interested,(+)_remotely_interested,remotely,"it sector , or someone who is remotely interested in data science and technology .","These days , it seems like the term ' big data ' has become somewhat of a catchphrase for anyone working in the IT sector , or someone who is remotely interested in data science and technology ."
pcc_eng_17_073.0136_x1163707_004:8-9,remotely_interested,interested,(+)_remotely_interested,remotely,i must say that if i were remotely interested in sailing with 5000 + other,"I must say that if I were remotely interested in sailing with 5000 + other pax in the first instance , the lack of Club Dining would put me off - especially when travelling solo ."
pcc_eng_25_046.6068_x0738375_08:11-12,remotely_interested,interested,(+)_remotely_interested,remotely,well known to those who are even remotely interested in the development of alternative energy,Its advantages are well known to those who are even remotely interested in the development of alternative energy sources ;
pcc_eng_08_085.5488_x1368868_11:09-10,remotely_interested,interested,(+)_remotely_interested,remotely,is must-read for anyone who 's even remotely interested in working in television .,This is must-read for anyone who 's even remotely interested in working in television .
