hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_04_046.6310_x0737514_11:78-79,remotely_interesting,interesting,(+)_remotely_interesting,remotely,""" are waaaaay outdated to be even remotely interesting .","Next sign : even if you factor in that the thing 's been sitting on some shelf for a year , that still means that the endless references to "" Cast Away , "" "" Miss Congeniality , "" "" The Green Mile , "" "" Titanic , "" "" The Sixth Sense , "" "" Scream , "" and the Tim Burton version of "" Planet of the Apes "" are waaaaay outdated to be even remotely interesting ."
pcc_eng_12_086.4683_x1381086_27:10-11,remotely_interesting,interesting,(+)_remotely_interesting,remotely,belief that their hobbies would be even remotely interesting to today 's enlightened women is,Over- inflated belief that their hobbies would be even remotely interesting to today 's enlightened women is also very prevalent .
pcc_eng_15_096.0448_x1536233_51:7-8,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"when anyone starts anything that 's remotely interesting , it 's just seen as","When anyone starts anything that 's remotely interesting , it 's just seen as more , more , more ."
pcc_eng_01_039.4008_x0620551_466:18-19,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"tension , human drama , or anything remotely interesting .","Unlike other Syfy shows , there is little humor , tension , human drama , or anything remotely interesting ."
pcc_eng_27_089.6259_x1433455_13:13-14,remotely_interesting,interesting,(+)_remotely_interesting,remotely,new horizons will snap away at anything remotely interesting with its huge camera .,"Up to July 1 , New Horizons will snap away at anything remotely interesting with its huge camera ."
pcc_eng_19_064.3320_x1022501_11:13-14,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"upward , mouths open , at anything remotely interesting , pointing and explaining to me","And they stared , noses upward , mouths open , at anything remotely interesting , pointing and explaining to me "" very old , very famous . """
pcc_eng_25_074.1399_x1184504_15:4-5,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"irrelevant , but remotely interesting linguistic thingy :","Irrelevant , but remotely interesting linguistic thingy :"
pcc_eng_08_059.6885_x0950395_2:6-7,remotely_interesting,interesting,(+)_remotely_interesting,remotely,anything you write that is remotely interesting about these things will serve you,Anything you write that is remotely interesting about these things will serve you better than churning out whatever you think they want or copying what some half - hearted people on a message board think .
pcc_eng_06_043.2251_x0682934_22:5-6,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"if this sounds even remotely interesting , please click the link below","If this sounds even remotely interesting , please click the link below ."
pcc_eng_21_071.9743_x1147017_02:64-65,remotely_interesting,interesting,(+)_remotely_interesting,remotely,if i hope to produce something even remotely interesting .,"I established three key things in my last couple of Just Write blog entries : my main character , Anna , is relentless in her quest to have her story told , my novel ( as it stands ) is a big pile of dog poo , and that it is necessary to start all over if I hope to produce something even remotely interesting ."
pcc_eng_02_053.1624_x0843748_38:18-19,remotely_interesting,interesting,(+)_remotely_interesting,remotely,to post about whatever i thought was remotely interesting and to get myself out there,"At the beginning , i was just crazed with wanting to post about whatever i thought was remotely interesting and to get myself out there ."
pcc_eng_19_010.1453_x0147898_21:7-8,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"if you find this stuff even remotely interesting , take a look at more","If you find this stuff even remotely interesting , take a look at more of my thoughts on this whole Internet marketing malarkey on my web site - please note :"
pcc_eng_08_032.0890_x0503399_091:18-19,remotely_interesting,interesting,(+)_remotely_interesting,remotely,", the only character that was even remotely interesting was the seagull .","That being said , the real MVP of this movie , the only character that was even remotely interesting was the seagull ."
pcc_eng_00_032.4611_x0508464_15:19-20,remotely_interesting,interesting,(+)_remotely_interesting,remotely,to keep their characters from saying anything remotely interesting or even funny .,It 's almost as if the filmmakers ' primary rule was to keep their characters from saying anything remotely interesting or even funny .
pcc_eng_25_071.2406_x1137785_06:5-6,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"when i saw anything remotely interesting , i called the agent listed","When I saw anything remotely interesting , I called the agent listed on the sign and got on her / his email list ."
pcc_eng_01_097.1418_x1554382_05:19-20,remotely_interesting,interesting,(+)_remotely_interesting,remotely,"tonight against cincinnati at fed ex field remotely interesting , look at it as the","But for the sake of making the Redskins ' preseason game tonight against Cincinnati at Fed Ex Field remotely interesting , look at it as the opener for several starter -quality players ."
