hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_21_094.4902_x1510569_21:16-17-18,terribly,likely,terribly_likely,n't,n't_terribly_likely,"purchases in general , it is n't terribly likely that you 'll do so when","If you were n't previously prone to making stupid purchases in general , it is n't terribly likely that you 'll do so when you 're , as the British say , "" tired and emotional "" -- it 's probably the going out and drinking itself that adds up ."
pcc_eng_02_092.0224_x1471611_38:6-7-8,terribly,likely,terribly_likely,n't,n't_terribly_likely,"but then , victory is n't terribly likely .","But then , victory is n't terribly likely ."
pcc_eng_08_047.6190_x0754742_39:13-14-15,terribly,likely,terribly_likely,n't,n't_terribly_likely,"tvs at ces , which is n't terribly likely , they 'll remain far too","Even if we see new OLED TVs at CES , which is n't terribly likely , they 'll remain far too expensive for most consumers ."
pcc_eng_17_054.7879_x0869063_10:17-18-19,terribly,likely,terribly_likely,n't,n't_terribly_likely,air that means wwiii and is n't terribly likely .,If he means the Russians would bomb them from the air that means WWIII and is n't terribly likely .
pcc_eng_01_046.0750_x0728317_086:07-09-10,terribly,likely,terribly_likely,n't,n't_terribly_likely,", well , this is n't exactly terribly likely .","But , well , this is n't exactly terribly likely ."
pcc_eng_21_069.1295_x1101031_03:36-37-38,terribly,likely,terribly_likely,n't,n't_terribly_likely,"five minutes , but it is n't terribly likely .","While any of them are theoretically possible , it is also theoretically possible that little green men will land a flying saucer in my back yard in the next five minutes , but it is n't terribly likely ."
apw_eng_19970408_0606_5:1-4-5,terribly,likely,terribly_likely,nor,nor_terribly_likely,nor is it terribly likely that the russians will have to,nor is it terribly likely that the Russians will have to carry out their threat .
pcc_eng_20_001.1325_x0002071_32:11-12-13,terribly,likely,terribly_likely,not,not_terribly_likely,with the spoiler that it 's not terribly likely .,We 'll preempt you with the spoiler that it 's not terribly likely .
pcc_eng_22_085.2705_x1362033_099:11-12-13,terribly,likely,terribly_likely,not,not_terribly_likely,"'s possible , but it 's not terribly likely .","Yes , theoretically that 's possible , but it 's not terribly likely ."
pcc_eng_20_009.0884_x0130505_27:7-8-9,terribly,likely,terribly_likely,not,not_terribly_likely,"john henson is maybe possible but not terribly likely , not for lowry alone .","John Henson is maybe possible but not terribly likely , not for Lowry alone ."
pcc_eng_05_082.4116_x1317661_10:3-4-5,terribly,likely,terribly_likely,not,not_terribly_likely,it 's not terribly likely that the government will ask apple,It 's not terribly likely that the government will ask Apple Chief Executive Steve Jobs for help .
pcc_eng_06_076.8041_x1226102_101:14-15-16,terribly,likely,terribly_likely,not,not_terribly_likely,"deadly rampages , so it 's not terribly likely that humanity will be under direct","Cows are n't exactly notorious for their deadly rampages , so it 's not terribly likely that humanity will be under direct , physical attack by vicious herds of Cow-People ."
pcc_eng_00_068.1264_x1084934_051:3-4-5,terribly,likely,terribly_likely,not,not_terribly_likely,It 's not terribly likely is it ?,It 's not terribly likely is it ?
pcc_eng_08_072.5832_x1158905_11:16-17-18,terribly,likely,terribly_likely,not,not_terribly_likely,"( this is conceded as "" not terribly likely "" even by the author )","While there is a remote possibility of this occurring ( this is conceded as "" not terribly likely "" even by the author ) , there is a far greater possibility of this occurring when patching closed source software ."
pcc_eng_15_038.3612_x0604070_417:12-13-14,terribly,likely,terribly_likely,not,not_terribly_likely,"better than last season , and not terribly likely to get them into the post-season","That 's just a game better than last season , and not terribly likely to get them into the post-season . """
pcc_eng_01_045.3126_x0715997_28:3-5-6,terribly,likely,terribly_likely,not,not_terribly_likely,it may not be terribly likely that arrieta returns to the cubs,"It may not be terribly likely that Arrieta returns to the Cubs for one more season , but it might just be the best option for Arrieta 's future to consider that option ."
pcc_eng_00_031.9840_x0500713_44:14-15-16,terribly,likely,terribly_likely,not,not_terribly_likely,"just succeed , although it 's not terribly likely .","On paper , Sarkozy 's gamble might just succeed , although it 's not terribly likely ."
pcc_eng_val_2.02128_x19651_32:3-4-5,terribly,likely,terribly_likely,not,not_terribly_likely,it 's not terribly likely that poaching talent from the gig,"It 's not terribly likely that poaching talent from the gig labor pool will be enough on its own to topple the whole system , but it could at least lead to a significant weakening , as more and more job seekers decide they 'd prefer regular full - time employment over one - off gigs for companies that do n't very much care about them ."
pcc_eng_10_057.0585_x0906495_015:3-4-5,terribly,likely,terribly_likely,not,not_terribly_likely,This is not terribly likely .,This is not terribly likely .
