hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_07_058.8079_x0934350_46:3-5-6,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,i would n't be terribly surprised if canopy growth turns out to,I would n't be terribly surprised if Canopy Growth turns out to be equally successful and meets the same fate .
pcc_eng_01_098.8338_x1581670_22:26-27-28,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,", quite honestly , i was n't terribly surprised when i got the news .","Says Dr. Firpo Carr , a friend and confidante of Jackson's , "" I sensed something was wrong and , quite honestly , I was n't terribly surprised when I got the news ."
pcc_eng_test_3.04553_x41760_32:21-23-24,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"physics problems , i would n't be terribly surprised if the striking contrast in results","Since we tend to think about financial problems the same way we would think about physics problems , I would n't be terribly surprised if the striking contrast in results happened because as soon as the tax incentive was introduced , people started thinking with their task positive networks instead of their default networks ."
pcc_eng_07_021.1747_x0326232_76:3-4-5,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,i was n't terribly surprised about the film because i think,I was n't terribly surprised about the film because I think a lot of us hoped and prayed that it would have the impact .
pcc_eng_06_108.2215_x1734333_091:18-21-22,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,", you probably wo n't be too terribly surprised when he pops up alive about","Supposedly he dies , although if you 've seen any of the trailers , you probably wo n't be too terribly surprised when he pops up alive about an hour later ."
pcc_eng_06_107.1802_x1717656_006:4-5-6,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"so stewart was n't terribly surprised when , on stage 4 ,","So Stewart was n't terribly surprised when , on stage 4 , he saw fans , a media motorcycle , and even a team car push a San Luis Somos Todos rider up the climb of Alto de el Amago , without consequences ."
pcc_eng_27_107.06643_x1725384_055:25-26-27,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"of visuals , so i was n't terribly surprised they missed one little tombstone .","There was so much stuff in the game that had to be reworked or touched up in terms of visuals , so I was n't terribly surprised they missed one little tombstone ."
pcc_eng_26_087.8640_x1404621_15:35-37-38,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"in january , i wo n't be terribly surprised ( no later than january though","Given that Blizzard announced Legion will go into beta this year , I 'm hoping we 'll get a beta start date , though if it has to start in January , I wo n't be terribly surprised ( no later than January though , I hope . )"
pcc_eng_27_028.6385_x0446323_0398:20-21-22,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"into the com , but was n't terribly surprised when the man himself spoke at",""" Mal , we 're coming up on Amnesty , "" Hank said into the com , but was n't terribly surprised when the man himself spoke at his elbow ."
pcc_eng_00_037.0807_x0582900_074:3-4-5,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,i was n't terribly surprised when he finally told me .,I was n't terribly surprised when he finally told me .
pcc_eng_29_096.4751_x1542458_93:6-8-9,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,""" still , we should n't be terribly surprised they are playing with things .",""" Still , we should n't be terribly surprised they are playing with things ."
pcc_eng_14_042.8662_x0676336_14:3-5-6,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,so do n't be terribly surprised if king salman 's reign is,So do n't be terribly surprised if King Salman 's reign is neither long or fruitful .
pcc_eng_00_067.6049_x1076539_152:2-4-5,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,do n't be terribly surprised if a running back is chosen,Do n't be terribly surprised if a running back is chosen here .
pcc_eng_05_004.5980_x0058447_07:14-16-17,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"is easy , so do n't be terribly surprised when you find yourself up and","Getting familiar with the Fifty / CL amplifier is easy , so do n't be terribly surprised when you find yourself up and running in no time ."
pcc_eng_26_084.2847_x1346808_27:3-4-5,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,i was n't terribly surprised that it worked just fine with,I was n't terribly surprised that it worked just fine with the short cable connected directly to the projector rather than using the wall jack which has a 50 ' cable running up the wall and across the ceiling .
pcc_eng_20_008.0238_x0113268_22:4-5-6,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,""" I was n't terribly surprised "" .",""" I was n't terribly surprised "" ."
pcc_eng_03_030.2297_x0473227_22:15-16-17,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"agility class , so i was n't terribly surprised that her general distracted behavior continued","Miley was incredibly spacey the night before at agility class , so I was n't terribly surprised that her general distracted behavior continued into the workshop ."
pcc_eng_14_009.2026_x0132330_35:3-5-6,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,"i would n't be terribly surprised if the panthers win it ,","I would n't be terribly surprised if the Panthers win it , just because Brisbane have n't been that reliable , but I think that the Broncos are really itching to cop a hammering from the Storm ."
pcc_eng_07_005.1466_x0066984_22:2-4-5,terribly,surprised,terribly_surprised,n't,n't_terribly_surprised,do n't be terribly surprised if you 're unable to remember,Do n't be terribly surprised if you 're unable to remember simple things like your phone number or address .
