hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_21_096.8946_x1549350_09:3-4-5,that,fond,that_fond,n't,n't_that_fond,i was n't that fond of the rocky balboa character in,I was n't that fond of the Rocky Balboa character in this one at all especially the fact that Rocky was n't even in the ring at all due to retirement and brain damage he received fighting Ivan Drago really made me feel put off by it when that scene came along as I was watching it .
pcc_eng_23_086.5393_x1382644_10:4-5-6,that,fond,that_fond,n't,n't_that_fond,if you are n't that fond with women wigs as you are,If you are n't that fond with women wigs as you are a man who need a wigs to wear .
pcc_eng_08_073.7680_x1178190_08:13-14-15,that,fond,that_fond,n't,n't_that_fond,he worried about kids and was n't that fond of pot 's skunky smell .,"A middle - aged dad , he worried about kids and was n't that fond of pot 's skunky smell ."
pcc_eng_09_087.5738_x1400774_13:53-55-56,that,fond,that_fond,n't,n't_that_fond,kirby and steve ditko were n't all that fond of interacting with stan lee .,"You do get a few "" insider "" tidbits here and there , such as Goodman 's "" pump and dump "" strategy of riding the crests between trends to keep the cash flowing , or how the Marvel Method of writing was crystallized because artists Jack Kirby and Steve Ditko were n't all that fond of interacting with Stan Lee ."
pcc_eng_17_048.6299_x0769508_327:14-15-16,that,fond,that_fond,n't,n't_that_fond,"+ , mostly because i was n't that fond of "" water of love ""","I would give this album a B + , mostly because I was n't that fond of "" Water of Love "" and "" River of Time "" ."
pcc_eng_15_004.5201_x0056654_31:5-6-7,that,fond,that_fond,n't,n't_that_fond,even those who are n't that fond of savoring bananas alone are going,Even those who are n't that fond of savoring bananas alone are going to fall head over heels in love with this twist to the creamy fruit .
nyt_eng_20001222_0027_94:4-5-6,that,fond,that_fond,n't,n't_that_fond,"the director was n't that fond of it , however , saying","the director was n't that fond of it , however , saying `` It 's not a Hitchcock picture ... the story is lacking in humor . ''"
pcc_eng_21_027.7355_x0432217_072:3-4-5,that,fond,that_fond,n't,n't_that_fond,i was n't that fond of the route overall .,I was n't that fond of the route overall .
pcc_eng_11_019.0946_x0292553_18:08-09-10,that,fond,that_fond,n't,n't_that_fond,"even told you that i was n't that fond of musicals , but you still","I even told you that I was n't that fond of musicals , but you still insisted I listed to the soundtrack ."
pcc_eng_29_098.6163_x1577142_16:12-13-14,that,fond,that_fond,n't,n't_that_fond,he preferred wakefield a d was n't that fond of rovers .,He somewhat disappointingly replied that he preferred Wakefield a d was n't that fond of Rovers .
pcc_eng_04_049.1042_x0777431_47:12-13-14,that,fond,that_fond,n't,n't_that_fond,"the air that certain people were n't that fond of the tone and , for",""" There were rumblings in the air that certain people were n't that fond of the tone and , for me , I think the tone is it . """
pcc_eng_02_038.3531_x0604390_142:19-20-21,that,fond,that_fond,n't,n't_that_fond,in the control position and was n't that fond of being penetrated .,"Seldom was it the other way , as Felicia preferred to be in the control position and was n't that fond of being penetrated ."
pcc_eng_06_082.1289_x1312009_05:3-5-6,that,fond,that_fond,n't,n't_that_fond,"we are n't really that fond of animals but last year ,","We are n't really that fond of animals but last year , everything changed ."
